age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,HIS,added_sugar,CED,MJ,-1290500.7116806281,-1265175.0793993361,-1173800.5218862707,-1242000.0179145033,64617.107513532894,0,0,0,0,0,-1290500.7116806281,-1265175.0793993361,-1173800.5218862707,-1242000.0179145033,64617.107513532894,-50496537.07346212,-49505559.91411157,-45930126.9916293,-48598733.33055658,2528429.574353088,-854966.340880721,-838187.920717102,-777651.5952587444,-822834.269736492,42809.31538363492,-435534.3707999073,-426987.1586822342,-396148.92662752623,-419165.74817801145,21807.79212989803,2200614.6420994936,2291989.1996125584,2317314.8318938506,2268814.1381277256,64617.107513532814,1026814.1202132225,1026814.1202132225,1026814.1202132225,1026814.1202132223,0,1457923.6037724563,1518459.9292308139,1535238.349394433,1503106.2782502037,42809.315383634945,680272.0085137119,680272.0085137119,680272.0085137119,680272.0085137119,0,742691.0383270369,773529.2703817447,782076.4824994178,765707.8598775221,21807.792129898018,346542.11169951054,346542.11169951054,346542.11169951054,346542.11169951054,0,-854966.340880721,-838187.920717102,-777651.5952587444,-822834.269736492,42809.31538363492,-435534.3707999073,-426987.1586822342,-396148.92662752623,-419165.74817801145,21807.79212989803,0,0,0,0,0,0,0,0,0,0,742691.0383270369,773529.2703817447,782076.4824994178,765707.8598775221,21807.792129898018,346542.11169951054,346542.11169951054,346542.11169951054,346542.11169951054,0
20-34,Female,HIS,added_sugar,FL,mrh-eq,-55938.750860017426,-54840.97212829503,-50880.20049802516,-53836.41321652398,2800.9285432994143,0,0,0,0,0,-55938.750860017426,-54840.97212829503,-50880.20049802516,-53836.41321652398,2800.9285432994143,-50496537.07346212,-49505559.91411157,-45930126.9916293,-48598733.33055658,2528429.574353088,-37059.83941221045,-36332.5528196017,-33708.51209095618,-35667.025052571254,1855.6360380572241,-18878.911447806975,-18508.41930869333,-17171.688407068985,-18169.38816395273,945.2925052421913,95389.04790141217,99349.81953168205,100447.59826340445,98345.26061991102,2800.9285432994247,44508.84740338702,44508.84740338702,44508.84740338702,44508.84740338702,0,63195.95526464862,65819.99599329414,66547.2825859029,65154.4682262637,1855.6360380572241,29487.443173692445,29487.443173692445,29487.443173692445,29487.443173692445,0,32193.09263676356,33529.82353838791,33900.31567750155,33190.79239364731,945.2925052421948,15021.404229694575,15021.404229694575,15021.404229694575,15021.404229694575,0,-37059.83941221045,-36332.5528196017,-33708.51209095618,-35667.025052571254,1855.6360380572241,-18878.911447806975,-18508.41930869333,-17171.688407068985,-18169.38816395273,945.2925052421913,0,0,0,0,0,0,0,0,0,0,32193.09263676356,33529.82353838791,33900.31567750155,33190.79239364731,945.2925052421948,15021.404229694575,15021.404229694575,15021.404229694575,15021.404229694575,0
20-34,Female,HIS,added_sugar,Food_price,USD,-1207859.0890369418,-1184155.2701550997,-1098632.1946543101,-1162464.3029203813,60479.13024073828,0,0,0,0,0,-1207859.0890369418,-1184155.2701550997,-1098632.1946543101,-1162464.3029203813,60479.13024073828,-50496537.07346212,-49505559.91411157,-45930126.9916293,-48598733.33055658,2528429.574353088,-800215.6498686235,-784511.6931711371,-727852.0181628594,-770141.2656936664,40067.87459592583,-407643.4391683183,-399643.57698396244,-370780.17649145075,-392323.03722671483,20411.255644812372,2059690.7641112995,2145213.839612089,2168917.658493931,2123522.872377371,60479.13024073815,961058.5694569898,961058.5694569898,961058.5694569898,961058.5694569898,0,1364560.4841586917,1421220.1591669694,1436924.1158644557,1406849.7316894988,40067.87459592581,636708.4659958323,636708.4659958323,636708.4659958323,636708.4659958323,0,695130.279952608,723993.6804451197,731993.5426294756,716673.1406878721,20411.255644812372,324350.10346115736,324350.10346115736,324350.10346115736,324350.10346115736,0,-800215.6498686235,-784511.6931711371,-727852.0181628594,-770141.2656936664,40067.87459592583,-407643.4391683183,-399643.57698396244,-370780.17649145075,-392323.03722671483,20411.255644812372,0,0,0,0,0,0,0,0,0,0,695130.279952608,723993.6804451197,731993.5426294756,716673.1406878721,20411.255644812372,324350.10346115736,324350.10346115736,324350.10346115736,324350.10346115736,0
20-34,Female,HIS,oil,CED,MJ,-31467.829375192545,-18693.434849036188,-1538.1774354837048,-17156.28997626562,15808.597060717242,0,0,0,0,0,-31467.829375192545,-18693.434849036188,-1538.1774354837048,-17156.28997626562,15808.597060717242,-3335294.0931961075,-1981328.3620600915,-163032.34817018412,-1818405.455830656,1675562.676080035,-26245.069269748947,-15590.859053318136,-1282.883953071669,-14308.83628706703,13184.821869002406,-5222.760105443597,-3102.575795718054,-255.29348241203604,-2847.4536891985895,2623.775191714834,1030465.070068616,1047620.3274821684,1060394.7220083247,1046083.1826093979,15808.597060717262,1028926.8926331322,1028926.8926331322,1028926.8926331322,1028926.8926331322,0,859437.3263421836,873745.3014424302,884399.5116588611,872463.2786761792,13184.82186900245,858154.442389112,858154.442389112,858154.442389112,858154.442389112,0,171027.74372643224,173875.02603973827,175995.21034946383,173619.9039332188,2623.7751917148403,170772.45024402018,170772.45024402018,170772.45024402018,170772.45024402018,0,-26245.069269748947,-15590.859053318136,-1282.883953071669,-14308.83628706703,13184.821869002406,-5222.760105443597,-3102.575795718054,-255.29348241203604,-2847.4536891985895,2623.775191714834,0,0,0,0,0,0,0,0,0,0,171027.74372643224,173875.02603973827,175995.21034946383,173619.9039332188,2623.7751917148403,170772.45024402018,170772.45024402018,170772.45024402018,170772.45024402018,0
20-34,Female,HIS,oil,FL,mrh-eq,-1624.2882233865046,-964.9069123232646,-79.39675355887965,-885.5634569895295,815.9990232509771,0,0,0,0,0,-1624.2882233865046,-964.9069123232646,-79.39675355887965,-885.5634569895295,815.9990232509771,-3335294.0931961075,-1981328.3620600915,-163032.34817018412,-1818405.455830656,1675562.676080035,-1354.7028118317876,-804.7599486715013,-66.21916218309502,-738.58523873181,680.5665123553954,-269.58541155471687,-160.14696365176326,-13.17759137578464,-146.97821825771942,135.43251089558177,53189.95021763748,54075.460376401876,54734.841687465116,53996.11692106813,815.9990232509816,53110.55346407861,53110.55346407861,53110.55346407861,53110.55346407861,0,44361.93902261654,45100.479809104945,45650.422672265224,45034.30509916525,680.5665123553937,44295.71986043344,44295.71986043344,44295.71986043344,44295.71986043345,0,8828.011195020954,8974.980567296932,9084.419015199886,8961.811821902887,135.43251089558242,8814.83360364517,8814.83360364517,8814.83360364517,8814.83360364517,0,-1354.7028118317876,-804.7599486715013,-66.21916218309502,-738.58523873181,680.5665123553954,-269.58541155471687,-160.14696365176326,-13.17759137578464,-146.97821825771942,135.43251089558177,0,0,0,0,0,0,0,0,0,0,8828.011195020954,8974.980567296932,9084.419015199886,8961.811821902887,135.43251089558242,8814.83360364517,8814.83360364517,8814.83360364517,8814.83360364517,0
20-34,Female,HIS,oil,Food_price,USD,-34577.76098180548,-20540.88683500024,-1690.1938509203778,-18851.827593851252,17370.94364233722,0,0,0,0,0,-34577.76098180548,-20540.88683500024,-1690.1938509203778,-18851.827593851252,17370.94364233722,-3335294.0931961075,-1981328.3620600915,-163032.34817018412,-1818405.455830656,1675562.676080035,-28838.841133278976,-17131.68682272207,-1409.6699892391134,-15722.963130467315,14487.863580875204,-5738.919848526505,-3409.2000122781715,-280.52386168126446,-3128.8644633839353,2883.080061462017,1132304.820523199,1151155.5135072786,1165192.3876540842,1149466.4542661298,17370.943642337297,1130614.6266722784,1130614.6266722784,1130614.6266722784,1130614.6266722784,0,944374.5895142521,960096.606347735,971803.760658292,958687.8826554803,14487.863580875213,942964.9195250131,942964.9195250131,942964.9195250131,942964.919525013,0,187930.23100894675,191058.90715954365,193388.626995792,190778.57161064944,2883.080061462002,187649.7071472655,187649.7071472655,187649.7071472655,187649.70714726546,0,-28838.841133278976,-17131.68682272207,-1409.6699892391134,-15722.963130467315,14487.863580875204,-5738.919848526505,-3409.2000122781715,-280.52386168126446,-3128.8644633839353,2883.080061462017,0,0,0,0,0,0,0,0,0,0,187930.23100894675,191058.90715954365,193388.626995792,190778.57161064944,2883.080061462002,187649.7071472655,187649.7071472655,187649.7071472655,187649.70714726546,0
20-34,Female,HIS,sat_fat,CED,MJ,-3185437.938346574,-3178613.229993801,-3059846.652832285,-3139335.381288979,74339.50157451943,0,0,0,0,0,-3185437.938346574,-3178613.229993801,-3059846.652832285,-3139335.381288979,74339.50157451943,-60765140.99373676,-60634953.44234699,-58369372.399412274,-59885692.568120696,1418093.9581966903,-2439879.665099661,-2434652.2937138574,-2343683.2771709436,-2404567.505939433,56940.188983704415,-745558.2732469132,-743960.9362799436,-716163.3756613417,-734767.8753495463,17399.312590815094,6474640.5024710335,6593407.079632549,6600231.787985323,6554129.230927728,74339.5015745196,3414793.849638748,3414793.849638748,3414793.849638748,3414793.8496387475,0,4959237.632803938,5050206.649346852,5055434.020732656,5020121.861572427,56940.18898370417,2615554.355632995,2615554.355632995,2615554.355632995,2615554.355632995,0,1515402.8696670947,1543200.4302856969,1544797.7672526664,1534007.3693552995,17399.312590815152,799239.4940057532,799239.4940057532,799239.4940057532,799239.4940057532,0,-2439879.665099661,-2434652.2937138574,-2343683.2771709436,-2404567.505939433,56940.188983704415,-745558.2732469132,-743960.9362799436,-716163.3756613417,-734767.8753495463,17399.312590815094,0,0,0,0,0,0,0,0,0,0,1515402.8696670947,1543200.4302856969,1544797.7672526664,1534007.3693552995,17399.312590815152,799239.4940057532,799239.4940057532,799239.4940057532,799239.4940057532,0
20-34,Female,HIS,sat_fat,FL,mrh-eq,-87202.10935559981,-87015.28136660201,-83764.01851047977,-85940.04106234782,2035.0612604014066,0,0,0,0,0,-87202.10935559981,-87015.28136660201,-83764.01851047977,-85940.04106234782,2035.0612604014066,-60765140.99373676,-60634953.44234699,-58369372.399412274,-59885692.568120696,1418093.9581966903,-66792.27707100172,-66649.17655545258,-64158.87842939206,-65825.59844650123,1558.7510045990068,-20409.83228459809,-20366.104811149427,-19605.14008108771,-20114.442615846605,476.3102558024011,177244.7996358504,180496.06249197258,180682.8904809704,179420.82218771838,2035.0612604013945,93480.78112537057,93480.78112537057,93480.78112537057,93480.78112537057,0,135760.29128372992,138250.58940979044,138393.6899253396,137427.0113008391,1558.7510045990027,71601.41285433785,71601.41285433785,71601.41285433785,71601.41285433785,0,41484.508352120436,42245.47308218216,42289.20055563082,41993.81088687933,476.310255802402,21879.36827103273,21879.36827103273,21879.36827103273,21879.36827103273,0,-66792.27707100172,-66649.17655545258,-64158.87842939206,-65825.59844650123,1558.7510045990068,-20409.83228459809,-20366.104811149427,-19605.14008108771,-20114.442615846605,476.3102558024011,0,0,0,0,0,0,0,0,0,0,41484.508352120436,42245.47308218216,42289.20055563082,41993.81088687933,476.310255802402,21879.36827103273,21879.36827103273,21879.36827103273,21879.36827103273,0
20-34,Female,HIS,sat_fat,Food_price,USD,-707574.8838554291,-706058.9251980876,-679677.5457245369,-697334.2161397686,16512.883066798568,0,0,0,0,0,-707574.8838554291,-706058.9251980876,-679677.5457245369,-697334.2161397686,16512.883066798568,-60765140.99373676,-60634953.44234699,-58369372.399412274,-59885692.568120696,1418093.9581966903,-541965.5331757038,-540804.3877467965,-520597.62416809524,-534121.7147117811,12648.00896662995,-165609.3506797253,-165254.5374512911,-159079.92155644155,-163212.50142798747,3864.874100168663,1438198.7940783908,1464580.1735519418,1466096.1322092833,1455855.4644936228,16512.883066798637,758521.2483538542,758521.2483538542,758521.2483538542,758521.2483538542,0,1101585.420893213,1121792.1844719143,1122953.329900822,1115109.511436899,12648.008966629986,580987.796725118,580987.796725118,580987.796725118,580987.796725118,0,336613.3731851778,342787.98908002727,343142.80230846145,340745.95305672364,3864.8741001686385,177533.45162873622,177533.45162873622,177533.45162873622,177533.45162873622,0,-541965.5331757038,-540804.3877467965,-520597.62416809524,-534121.7147117811,12648.00896662995,-165609.3506797253,-165254.5374512911,-159079.92155644155,-163212.50142798747,3864.874100168663,0,0,0,0,0,0,0,0,0,0,336613.3731851778,342787.98908002727,343142.80230846145,340745.95305672364,3864.8741001686385,177533.45162873622,177533.45162873622,177533.45162873622,177533.45162873622,0
20-34,Female,NHB,added_sugar,CED,MJ,-1030344.6273372461,-1015448.1936820996,-928894.4006544307,-990305.2605689339,57663.99203407832,0,0,0,0,0,-1030344.6273372461,-1015448.1936820996,-928894.4006544307,-990305.2605689339,57663.99203407832,-39911472.16043593,-39334443.28937398,-35981691.97767792,-38360505.59090587,2233674.7838200885,-681280.8775548397,-671431.1096968336,-614200.3128303698,-654806.1872377257,38128.383507777115,-349063.7497824063,-344017.0839852659,-314694.0878240608,-335499.07333120814,19535.608526301214,1566935.9089958621,1653489.7020235308,1668386.1356786771,1628346.7689103652,57663.99203407821,638041.5083414314,638041.5083414314,638041.5083414314,638041.5083414314,0,1036083.8915729856,1093314.6884394493,1103164.4562974551,1076689.7659803412,38128.38350777708,421883.57874261553,421883.57874261553,421883.57874261553,421883.5787426156,0,530852.0174228766,560175.0135840817,565221.679381222,551657.0029300238,19535.60852630123,216157.9295988157,216157.9295988157,216157.9295988157,216157.9295988157,0,-681280.8775548397,-671431.1096968336,-614200.3128303698,-654806.1872377257,38128.383507777115,-349063.7497824063,-344017.0839852659,-314694.0878240608,-335499.07333120814,19535.608526301214,0,0,0,0,0,0,0,0,0,0,530852.0174228766,560175.0135840817,565221.679381222,551657.0029300238,19535.60852630123,216157.9295988157,216157.9295988157,216157.9295988157,216157.9295988157,0
