sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,CED,MJ,-13499621.333011676,-13011159.875823395,-12965465.012167467,-13166516.57530843,311670.68078873743,0,0,0,0,0,-13499621.333011676,-13011159.875823395,-12965465.012167467,-13166516.57530843,311670.68078873743,-346704701.5087629,-321499443.8520377,-316078928.14022934,-328441458.56955236,17203496.598272312,-10001100.967696529,-9646378.840797806,-9603336.837752592,-9755740.287763948,229776.359378473,-3498520.365315147,-3364781.035025589,-3362128.1744148806,-3410776.287544484,82096.35115183752,30997165.429638922,31042860.293294843,31531321.750483125,31198216.992779884,311670.6807887382,18031700.417471446,18031700.417471446,18031700.417471446,18031700.417471446,0,23388360.736876782,23431402.73992199,23786124.866820715,23540764.186888132,229776.35937847279,13785023.899124188,13785023.899124188,13785023.899124188,13785023.899124188,0,7608804.692762136,7611457.553372846,7745196.883662404,7657452.80589174,82096.351151837793,4246676.518347257,4246676.518347257,4246676.518347257,4246676.518347257,0,-10001100.967696529,-9646378.840797806,-9603336.837752592,-9755740.287763948,229776.359378473,-3498520.365315147,-3364781.035025589,-3362128.1744148806,-3410776.287544484,82096.35115183752,0,0,0,0,0,0,0,0,0,0,7608804.692762136,7611457.553372846,7745196.883662404,7657452.80589174,82096.351151837793,4246676.518347257,4246676.518347257,4246676.518347257,4246676.518347257,0
Female,HIS,FL,mrh-eq,-445803.09383116907,-424678.81863915717,-422518.2127272355,-431332.73768480285,13542.374986703098,0,0,0,0,0,-445803.09383116907,-424678.81863915717,-422518.2127272355,-431332.73768480285,13542.374986703098,-346704701.5087629,-321499443.8520377,-316078928.14022934,-328441458.56955236,17203496.598272312,-324173.4276044695,-308454.8569573564,-307220.0745895232,-313536.8879325423,9949.218514795086,-121629.6662266996,-116223.96168180085,-115298.1381377123,-117795.84975226056,3599.7085858035516,1061646.4915482153,1063807.097460137,1084931.372652149,1070461.0165057827,13542.374986703193,639128.2788209801,639128.2788209801,639128.2788209801,639128.2788209801,0,794820.7208093649,796055.5031771979,811774.073824311,801137.5341523839,9949.218514794991,487600.64621984167,487600.64621984167,487600.64621984167,487600.64621984167,0,266825.7707388507,267751.59428293916,273157.29882783804,269323.4823533989,3599.708585803587,151527.63260113835,151527.63260113835,151527.63260113835,151527.63260113835,0,-324173.4276044695,-308454.8569573564,-307220.0745895232,-313536.8879325423,9949.218514795086,-121629.6662266996,-116223.96168180085,-115298.1381377123,-117795.84975226056,3599.7085858035516,0,0,0,0,0,0,0,0,0,0,266825.7707388507,267751.59428293916,273157.29882783804,269323.4823533989,3599.708585803587,151527.63260113835,151527.63260113835,151527.63260113835,151527.63260113835,0
Female,HIS,Food_price,USD,-5586919.983709396,-5231371.202649176,-5105715.577421979,-5312035.467853745,262723.1329697249,0,0,0,0,0,-5586919.983709396,-5231371.202649176,-5105715.577421979,-5312035.467853745,262723.1329697249,-346704701.5087629,-321499443.8520377,-316078928.14022934,-328441458.56955236,17203496.598272312,-3892010.2129685152,-3629320.339330577,-3544529.798333748,-3691741.1578011415,190706.53689634104,-1694909.7707408806,-1602050.8633185984,-1561185.77908823,-1620294.3100526033,72132.5825315121,13799770.28457278,13925425.909799976,14280974.690860193,14006090.175004544,262723.13296972285,8694054.7071508,8694054.7071508,8694054.7071508,8694054.7071508,0,10117187.239506293,10201977.780503124,10464667.654141061,10264398.598973686,190706.53689634198,6572657.441172547,6572657.441172547,6572657.441172547,6572657.441172547,0,3682583.0450664833,3723448.1292968523,3816307.036719133,3741691.5760308565,72132.58253151162,2121397.2659782534,2121397.2659782534,2121397.2659782534,2121397.2659782534,0,-3892010.2129685152,-3629320.339330577,-3544529.798333748,-3691741.1578011415,190706.53689634104,-1694909.7707408806,-1602050.8633185984,-1561185.77908823,-1620294.3100526033,72132.5825315121,0,0,0,0,0,0,0,0,0,0,3682583.0450664833,3723448.1292968523,3816307.036719133,3741691.5760308565,72132.58253151162,2121397.2659782534,2121397.2659782534,2121397.2659782534,2121397.2659782534,0
Female,NHB,CED,MJ,-11086527.58328987,-10872778.379574161,-10551022.440344967,-10834881.279393991,283749.2568199158,0,0,0,0,0,-11086527.58328987,-10872778.379574161,-10551022.440344967,-10834881.279393991,283749.2568199158,-340108035.9314623,-331133809.92271674,-315169314.30855095,-328681083.74537635,13296405.618591608,-8128611.491999408,-7971976.996464251,-7730285.142572925,-7942132.309321736,211232.67381898526,-2957916.091290462,-2900801.3831099113,-2820737.2977720443,-2892748.9700722564,72535.36602650938,22890365.882146224,23212121.82137542,23425871.02509112,23174224.721195247,283749.25681991235,12339343.441801252,12339343.441801252,12339343.441801252,12339343.441801252,0,17125881.503197234,17367573.357088566,17524207.85262372,17337728.66994605,211232.6738189875,9395596.36062431,9395596.36062431,9395596.36062431,9395596.36062431,0,5764484.378948985,5844548.464286852,5901663.172467401,5836496.051249196,72535.36602650848,2943747.0811769413,2943747.0811769413,2943747.0811769413,2943747.0811769417,0,-8128611.491999408,-7971976.996464251,-7730285.142572925,-7942132.309321736,211232.67381898526,-2957916.091290462,-2900801.3831099113,-2820737.2977720443,-2892748.9700722564,72535.36602650938,0,0,0,0,0,0,0,0,0,0,5764484.378948985,5844548.464286852,5901663.172467401,5836496.051249196,72535.36602650848,2943747.0811769413,2943747.0811769413,2943747.0811769413,2943747.0811769417,0
Female,NHB,FL,mrh-eq,-371777.37355101993,-363526.0087894745,-352431.0059217152,-362528.2410329082,10218.89735991231,0,0,0,0,0,-371777.37355101993,-363526.0087894745,-352431.0059217152,-362528.2410329082,10218.89735991231,-340108035.9314623,-331133809.92271674,-315169314.30855095,-328681083.74537635,13296405.618591608,-268369.6155046721,-262449.39659565245,-254029.80544677528,-261572.42387991297,7585.385417860659,-103407.75804634768,-101076.61219382199,-98401.20047493982,-100955.81715299515,2637.1060401962254,776678.3604515711,787773.3633193306,796024.7280808759,786775.5955627643,10218.897359912373,424247.35452985606,424247.35452985606,424247.35452985606,424247.35452985606,0,576806.916408308,585226.5075571853,591146.7264662049,584349.5348414457,7585.385417860665,322777.1109615327,322777.1109615327,322777.1109615327,322777.1109615327,0,199871.44404326324,202546.8557621454,204878.00161467105,202426.06072131856,2637.1060401962036,101470.24356832339,101470.24356832339,101470.24356832339,101470.24356832339,0,-268369.6155046721,-262449.39659565245,-254029.80544677528,-261572.42387991297,7585.385417860659,-103407.75804634768,-101076.61219382199,-98401.20047493982,-100955.81715299515,2637.1060401962254,0,0,0,0,0,0,0,0,0,0,199871.44404326324,202546.8557621454,204878.00161467105,202426.06072131856,2637.1060401962036,101470.24356832339,101470.24356832339,101470.24356832339,101470.24356832339,0
Female,NHB,Food_price,USD,-5994943.111807934,-5763696.337094528,-5539062.407700275,-5766016.63369774,239945.62689252675,0,0,0,0,0,-5994943.111807934,-5763696.337094528,-5539062.407700275,-5766016.63369774,239945.62689252675,-340108035.9314623,-331133809.92271674,-315169314.30855095,-328681083.74537635,13296405.618591608,-4160829.631535833,-3996312.509767698,-3830787.4883466773,-3995958.860766685,173706.6611498492,-1834113.4802721015,-1767383.8273268302,-1708274.9193535985,-1770057.7729310545,66271.29250408064,11932732.731164526,12157366.66055878,12388613.435272183,12159686.95716199,239945.62689252628,6393670.323464251,6393670.323464251,6393670.323464251,6393670.323464251,0,8618583.902282963,8784108.923703985,8948626.045472119,8783755.274702972,173706.66114984945,4787796.413936285,4787796.413936285,4787796.413936285,4787796.413936285,0,3314148.828881566,3373257.736854798,3439987.38980007,3375931.682459023,66271.29250408134,1605873.9095279677,1605873.9095279677,1605873.9095279677,1605873.9095279677,0,-4160829.631535833,-3996312.509767698,-3830787.4883466773,-3995958.860766685,173706.6611498492,-1834113.4802721015,-1767383.8273268302,-1708274.9193535985,-1770057.7729310545,66271.29250408064,0,0,0,0,0,0,0,0,0,0,3314148.828881566,3373257.736854798,3439987.38980007,3375931.682459023,66271.29250408134,1605873.9095279677,1605873.9095279677,1605873.9095279677,1605873.9095279677,0
Female,NHW,CED,MJ,-72771302.3038675,-71769678.53232141,-70195302.12284058,-71568712.69444957,1366914.7033734622,0,0,0,0,0,-72771302.3038675,-71769678.53232141,-70195302.12284058,-71568712.69444957,1366914.7033734622,-1896659452.657744,-1878508310.4812012,-1804887405.2231517,-1859045235.7157602,51157624.61784296,-54447171.27453724,-53602146.89569141,-52574521.77834317,-53538076.46112916,987165.6282079376,-18324131.029330283,-18167531.636629995,-17620780.344497424,-18030636.23332042,388705.38993659534,146786113.33890972,148360489.7483906,149362113.51993668,148159523.91051874,1366914.7033734862,76590811.21606916,76590811.21606916,76590811.21606916,76590811.21606916,0,111369673.33337918,112397298.45072746,113242322.82957324,112333228.01616518,987165.6282079355,58795151.555036016,58795151.555036016,58795151.555036016,58795151.555036016,0,35416440.00553055,35963191.29766313,36119790.69036342,35826295.89435355,388705.3899365996,17795659.661033127,17795659.661033127,17795659.661033127,17795659.661033127,0,-54447171.27453724,-53602146.89569141,-52574521.77834317,-53538076.46112916,987165.6282079376,-18324131.029330283,-18167531.636629995,-17620780.344497424,-18030636.23332042,388705.38993659534,0,0,0,0,0,0,0,0,0,0,35416440.00553055,35963191.29766313,36119790.69036342,35826295.89435355,388705.3899365996,17795659.661033127,17795659.661033127,17795659.661033127,17795659.661033127,0
Female,NHW,FL,mrh-eq,-2375942.0986895044,-2371745.4737311606,-2285903.1343480726,-2343097.8546347595,53490.42076714958,0,0,0,0,0,-2375942.0986895044,-2371745.4737311606,-2285903.1343480726,-2343097.8546347595,53490.42076714958,-1896659452.657744,-1878508310.4812012,-1804887405.2231517,-1859045235.7157602,51157624.61784296,-1743869.5667548666,-1737570.4052868006,-1679661.2998444121,-1719461.6530151085,37255.439452342885,-634064.4086280591,-631961.8721183368,-606131.1746873597,-623636.2016196509,16374.603378821435,4992634.247047752,5078476.586430839,5082673.211389183,5049828.967334438,53490.420767149044,2706731.112699679,2706731.112699679,2706731.112699679,2706731.112699679,0,3749320.6650460334,3807229.770488422,3813528.9319564877,3789121.0182167296,37255.439452342594,2069659.365201621,2069659.365201621,2069659.365201621,2069659.365201621,0,1243202.9221854173,1269033.6196163946,1271136.1561261169,1260707.9491177087,16374.60337882157,637071.7474980577,637071.7474980577,637071.7474980577,637071.7474980577,0,-1743869.5667548666,-1737570.4052868006,-1679661.2998444121,-1719461.6530151085,37255.439452342885,-634064.4086280591,-631961.8721183368,-606131.1746873597,-623636.2016196509,16374.603378821435,0,0,0,0,0,0,0,0,0,0,1243202.9221854173,1269033.6196163946,1271136.1561261169,1260707.9491177087,16374.60337882157,637071.7474980577,637071.7474980577,637071.7474980577,637071.7474980577,0
Female,NHW,Food_price,USD,-35458517.02870324,-34466084.81407949,-32772092.968521833,-34219923.54006759,1429888.340277703,0,0,0,0,0,-35458517.02870324,-34466084.81407949,-32772092.968521833,-34219923.54006759,1429888.340277703,-1896659452.657744,-1878508310.4812012,-1804887405.2231517,-1859045235.7157602,51157624.61784296,-24552640.800479006,-23890800.034786046,-22731332.51100387,-23716194.154754743,970436.691750735,-10905876.22822424,-10575284.779293457,-10040760.457517957,-10503729.385312855,459521.6617302633,74814901.3442554,76508893.18981305,77501325.4044368,76262731.91580115,1429888.340277695,42042808.37573357,42042808.37573357,42042808.37573357,42042808.37573357,0,54160880.07074462,55320347.59452679,55982188.360219754,55145741.71449549,970436.6917507347,31429547.559740752,31429547.559740752,31429547.559740752,31429547.559740752,0,20654021.273510773,21188545.59528627,21519137.044217054,21116990.20130567,459521.6617302622,10613260.815992814,10613260.815992814,10613260.815992814,10613260.815992814,0,-24552640.800479006,-23890800.034786046,-22731332.51100387,-23716194.154754743,970436.691750735,-10905876.22822424,-10575284.779293457,-10040760.457517957,-10503729.385312855,459521.6617302633,0,0,0,0,0,0,0,0,0,0,20654021.273510773,21188545.59528627,21519137.044217054,21116990.20130567,459521.6617302622,10613260.815992814,10613260.815992814,10613260.815992814,10613260.815992814,0
Female,OTH,CED,MJ,-8900741.47170407,-8762780.075414408,-8281627.365147451,-8642362.070510095,342130.51307650603,0,0,0,0,0,-8900741.47170407,-8762780.075414408,-8281627.365147451,-8642362.070510095,342130.51307650603,-244790682.61961672,-239935131.54788098,-227526649.74092492,-237284980.41271594,9371708.748964077,-6726281.428725924,-6607399.974249408,-6222958.580857606,-6514221.04831422,276924.767312715,-2174460.0429781456,-2155380.101164999,-2058668.7842898439,-2128141.0221958733,65349.03599894133,20854309.544885345,21335462.255152304,21473423.651441965,21215044.25024799,342130.51307650586,12572682.179737894,12572682.179737894,12572682.179737894,12572682.179737894,0,15915432.956138238,16299874.349530036,16418755.804006552,16206695.42359485,276924.7673127136,9692474.375280628,9692474.375280628,9692474.375280628,9692474.375280628,0,4938876.588747107,5035587.905622263,5054667.847435409,5008348.826653138,65349.03599894182,2880207.8044572645,2880207.8044572645,2880207.8044572645,2880207.8044572645,0,-6726281.428725924,-6607399.974249408,-6222958.580857606,-6514221.04831422,276924.767312715,-2174460.0429781456,-2155380.101164999,-2058668.7842898439,-2128141.0221958733,65349.03599894133,0,0,0,0,0,0,0,0,0,0,4938876.588747107,5035587.905622263,5054667.847435409,5008348.826653138,65349.03599894182,2880207.8044572645,2880207.8044572645,2880207.8044572645,2880207.8044572645,0
