age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,added_sugar,CED,MJ,-0.178472913160412,-0.197227563764911,-0.193157532811143
20-34,Female,HIS,added_sugar,Food_price,USD,-0.167043790333882,-0.184597422803294,-0.180788030188726
20-34,Female,HIS,added_sugar,FL,mrh-eq,-0.00773618467171567,-0.008549134031709,-0.00837271224018678
20-34,Female,HIS,oil,CED,MJ,-9.69881748314523e-05,-0.00285397476918368,-0.00490692178190277
20-34,Female,HIS,oil,Food_price,USD,-0.00010657341144818,-0.00313603001466424,-0.0053918675644278
20-34,Female,HIS,oil,FL,mrh-eq,-5.00627953419222e-06,-0.000147314819594191,-0.000253282651573886
20-34,Female,HIS,sat_fat,CED,MJ,-0.466200320207833,-0.486383840756865,-0.485287055731413
20-34,Female,HIS,sat_fat,Food_price,USD,-0.103556133821789,-0.108039458402172,-0.107795831763695
20-34,Female,HIS,sat_fat,FL,mrh-eq,-0.0127623429152353,-0.0133148715157489,-0.0132848467688914
20-34,Female,NHB,added_sugar,CED,MJ,-0.224336993963717,-0.201103343109993,-0.220925483217748
20-34,Female,NHB,added_sugar,Food_price,USD,-0.217177997398939,-0.194685774090046,-0.213875354090657
20-34,Female,NHB,added_sugar,FL,mrh-eq,-0.00881821648363446,-0.00790495042210185,-0.00868411715492964
20-34,Female,NHB,oil,CED,MJ,-0.0240115228594293,-0.0177795443585457,-0.0163442239321485
20-34,Female,NHB,oil,Food_price,USD,-0.0328853412256998,-0.0243502416107122,-0.0223844769956722
20-34,Female,NHB,oil,FL,mrh-eq,-0.00123696174882889,-0.000915919261426233,-0.000841978242559578
20-34,Female,NHB,sat_fat,CED,MJ,-0.377523660134338,-0.36837321760309,-0.380194187242876
20-34,Female,NHB,sat_fat,Food_price,USD,-0.0670604663863983,-0.0654350505288357,-0.067534838756417
20-34,Female,NHB,sat_fat,FL,mrh-eq,-0.00989151576432431,-0.0096517645749123,-0.00996148637486501
20-34,Female,NHW,added_sugar,CED,MJ,-0.167174823762005,-0.190904726196057,-0.173224539724342
20-34,Female,NHW,added_sugar,Food_price,USD,-0.226808807899949,-0.259003553266103,-0.235016556140225
20-34,Female,NHW,added_sugar,FL,mrh-eq,-0.00769213067812659,-0.00878400268608984,-0.0079704932012664
20-34,Female,NHW,oil,CED,MJ,-0.0106403322291231,-0.0102091605825617,-0.0151420905795776
20-34,Female,NHW,oil,Food_price,USD,-0.011847028376682,-0.0113669585234069,-0.0168593210170215
20-34,Female,NHW,oil,FL,mrh-eq,-0.000567245944821407,-0.000544259785858767,-0.00080723884296343
20-34,Female,NHW,sat_fat,CED,MJ,-0.5612659171025,-0.517058498544843,-0.581355653564227
20-34,Female,NHW,sat_fat,Food_price,USD,-0.0932450515079545,-0.0859007198910934,-0.0965826290341752
20-34,Female,NHW,sat_fat,FL,mrh-eq,-0.0146289978652632,-0.0134767628693323,-0.0151526225908292
20-34,Female,OTH,added_sugar,CED,MJ,-0.161716751065002,-0.14492006292534,-0.120841229420611
20-34,Female,OTH,added_sugar,Food_price,USD,-0.182172248187141,-0.163250952648187,-0.136126395640996
20-34,Female,OTH,added_sugar,FL,mrh-eq,-0.00735207949162006,-0.00658845676493602,-0.00549376807729908
20-34,Female,OTH,oil,CED,MJ,-0.00743108832704367,-0.0301905972883239,-0.0108847653682143
20-34,Female,OTH,oil,Food_price,USD,-0.00846952652766338,-0.0344095041487937,-0.0124058287260539
20-34,Female,OTH,oil,FL,mrh-eq,-0.000380343797780541,-0.00154523885661742,-0.0005571126079918
20-34,Female,OTH,sat_fat,CED,MJ,-0.374416476430339,-0.366604000198884,-0.337995634831209
20-34,Female,OTH,sat_fat,Food_price,USD,-0.0687986348915907,-0.0673631005770448,-0.0621063434424743
20-34,Female,OTH,sat_fat,FL,mrh-eq,-0.00991660760772463,-0.00970969026805348,-0.00895198340548585
20-34,Male,HIS,added_sugar,CED,MJ,-0.133148940923899,-0.10718257757377,-0.13671206341626
20-34,Male,HIS,added_sugar,Food_price,USD,-0.146661938501365,-0.118060305185052,-0.150586674576782
20-34,Male,HIS,added_sugar,FL,mrh-eq,-0.00487008753677249,-0.00392033561498255,-0.00500041315800264
20-34,Male,HIS,oil,CED,MJ,0.0134419469019207,0.0208598087153773,0.0173226102908758
20-34,Male,HIS,oil,Food_price,USD,0.0148972791711932,0.023118257805814,0.0191980940975215
20-34,Male,HIS,oil,FL,mrh-eq,0.000704228308429225,0.001092852688154,0.000907537623212829
20-34,Male,HIS,sat_fat,CED,MJ,-0.38886128561453,-0.395621570487742,-0.34612231802976
20-34,Male,HIS,sat_fat,Food_price,USD,-0.0633444659651854,-0.0644456983349478,-0.0563824021709401
20-34,Male,HIS,sat_fat,FL,mrh-eq,-0.0107206733925456,-0.0109070504088426,-0.00954238558257034
20-34,Male,NHB,added_sugar,CED,MJ,-0.188678143449519,-0.166986571900619,-0.189868257435512
20-34,Male,NHB,added_sugar,Food_price,USD,-0.175609329565426,-0.15542022728108,-0.176717010165657
