race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
HIS,added_sugar,CED,MJ,-0.169172888847527,-0.180858615402208,-0.163591726404291
HIS,added_sugar,Food_price,USD,-0.170778329651686,-0.181949664090291,-0.164723157418017
HIS,added_sugar,FL,mrh-eq,-0.00767502283016632,-0.0082379313728808,-0.00738744261351543
HIS,oil,CED,MJ,0.00997142653414675,0.0102610665427668,0.0129995609471392
HIS,oil,Food_price,USD,0.0106532243722316,0.0106294992190186,0.0133259716165936
HIS,oil,FL,mrh-eq,0.000515534320551291,0.000521498551722485,0.000661533467239492
HIS,sat_fat,CED,MJ,-0.44569507059764,-0.453032252842723,-0.436604608578157
HIS,sat_fat,Food_price,USD,-0.0718150445270634,-0.0732480652516312,-0.0706870882344929
HIS,sat_fat,FL,mrh-eq,-0.0121703089867934,-0.0123709182465285,-0.0119148453702725
NHB,added_sugar,CED,MJ,-0.233558999420603,-0.220254821766725,-0.237372658792711
NHB,added_sugar,Food_price,USD,-0.233736194806715,-0.221567197035302,-0.23917648436954
NHB,added_sugar,FL,mrh-eq,-0.00993409540806505,-0.00942079084110907,-0.0101145155925096
NHB,oil,CED,MJ,-0.0127404038132358,-0.00773541224789392,-0.0121844849118597
NHB,oil,Food_price,USD,-0.0133806372729716,-0.00849764476092983,-0.0144492931945673
NHB,oil,FL,mrh-eq,-0.000633751876107472,-0.00038316493669078,-0.000598154014597362
NHB,sat_fat,CED,MJ,-0.406360848809585,-0.397229140033836,-0.398715653748229
NHB,sat_fat,Food_price,USD,-0.06359887763723,-0.0621269796669216,-0.0626736721346767
NHB,sat_fat,FL,mrh-eq,-0.0108490650245593,-0.010611471995721,-0.0106347013799535
NHW,added_sugar,CED,MJ,-0.225634060451043,-0.233019486119362,-0.212537463951874
NHW,added_sugar,Food_price,USD,-0.27978733518862,-0.290546214358692,-0.264596491529094
NHW,added_sugar,FL,mrh-eq,-0.0105527603081537,-0.0109208066757555,-0.00999215549250449
NHW,oil,CED,MJ,-0.00365721451805737,-0.00697625491698823,-0.00534771811398223
NHW,oil,Food_price,USD,-0.00399939676190924,-0.00711088470115602,-0.00522102039835159
NHW,oil,FL,mrh-eq,-0.000184576289479623,-0.000356017865261466,-0.00026507312081459
NHW,sat_fat,CED,MJ,-0.606692670673575,-0.603776663387529,-0.595183475407924
NHW,sat_fat,Food_price,USD,-0.0891972095346475,-0.0887943434892243,-0.0876547015402218
NHW,sat_fat,FL,mrh-eq,-0.0163933883675036,-0.0163306416781197,-0.0160850598861514
OTH,added_sugar,CED,MJ,-0.121445800231088,-0.14713410566873,-0.135654512069985
OTH,added_sugar,Food_price,USD,-0.142894133141911,-0.173676143784206,-0.163108541110019
OTH,added_sugar,FL,mrh-eq,-0.00595499929515633,-0.00734331551820776,-0.00663737159059151
OTH,oil,CED,MJ,-0.00597227307711311,-0.00704799052192109,-0.0078042981057427
OTH,oil,Food_price,USD,-0.00722927534532855,-0.00913081488979817,-0.00962027304826081
OTH,oil,FL,mrh-eq,-0.000327254398425681,-0.000357985553401916,-0.000418069518216191
OTH,sat_fat,CED,MJ,-0.426337488546404,-0.420025943072545,-0.432359341279057
OTH,sat_fat,Food_price,USD,-0.0772185061380491,-0.0759546348485156,-0.0778622115473115
OTH,sat_fat,FL,mrh-eq,-0.0114035393107377,-0.0112620211496956,-0.0115643219568123
