age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,CED,MJ,-0.644770221543077,-0.686465379290959,-0.683351510324458
20-34,Female,HIS,Food_price,USD,-0.27070649756712,-0.29577291122013,-0.293975729516849
20-34,Female,HIS,FL,mrh-eq,-0.0205035338664852,-0.0220113203670521,-0.0219108416606521
20-34,Female,NHB,CED,MJ,-0.625872176957484,-0.587256105071629,-0.617463894392773
20-34,Female,NHB,Food_price,USD,-0.317123805011037,-0.284471066229594,-0.303794669842747
20-34,Female,NHB,FL,mrh-eq,-0.0199466939967877,-0.0184726342584404,-0.0194875817723542
20-34,Female,NHW,CED,MJ,-0.739081073093628,-0.718172385323462,-0.769722283868147
20-34,Female,NHW,Food_price,USD,-0.331900887784586,-0.356271231680604,-0.348458506191421
20-34,Female,NHW,FL,mrh-eq,-0.0228883744882112,-0.0228050253412809,-0.023930354635059
20-34,Female,OTH,CED,MJ,-0.543564315822384,-0.541714660412549,-0.469721629620034
20-34,Female,OTH,Food_price,USD,-0.259440409606396,-0.265023557374026,-0.210638567809524
20-34,Female,OTH,FL,mrh-eq,-0.0176490308971252,-0.0178433858896069,-0.0150028640907767
20-34,Male,HIS,CED,MJ,-0.508568279636508,-0.481944339346135,-0.465511771155145
20-34,Male,HIS,Food_price,USD,-0.195109125295357,-0.159387745714186,-0.1877709826502
20-34,Male,HIS,FL,mrh-eq,-0.0148865326208889,-0.0137345333356712,-0.0136352611173602
20-34,Male,NHB,CED,MJ,-0.533955022418139,-0.486343693936311,-0.500591814999972
20-34,Male,NHB,Food_price,USD,-0.222597831757715,-0.196761021971731,-0.217942487434224
20-34,Male,NHB,FL,mrh-eq,-0.0166454648029746,-0.015037607257844,-0.015729968829856
20-34,Male,NHW,CED,MJ,-0.555905716681717,-0.557841874656803,-0.544518435671117
20-34,Male,NHW,Food_price,USD,-0.205285220496845,-0.183855880936462,-0.184859614677357
20-34,Male,NHW,FL,mrh-eq,-0.0166478950650175,-0.0164127339246673,-0.0161238006842126
20-34,Male,OTH,CED,MJ,-0.384951939205487,-0.404397314178449,-0.423563290721833
20-34,Male,OTH,Food_price,USD,-0.169531582715496,-0.164321422798674,-0.217014974290547
20-34,Male,OTH,FL,mrh-eq,-0.0116892650267918,-0.0120628295694951,-0.0133130661943874
35-44,Female,HIS,CED,MJ,-0.592290248122426,-0.67463658324922,-0.572460888248948
35-44,Female,HIS,Food_price,USD,-0.247436488769979,-0.257427753043787,-0.2119976757133
35-44,Female,HIS,FL,mrh-eq,-0.0199477164742221,-0.0221244706431115,-0.0185097754001324
35-44,Female,NHB,CED,MJ,-0.662715849053592,-0.655597035138401,-0.693628809016657
35-44,Female,NHB,Food_price,USD,-0.358338170891372,-0.357178141493013,-0.383072488503309
35-44,Female,NHB,FL,mrh-eq,-0.0220769750338735,-0.0217864035096242,-0.0229590733158011
35-44,Female,NHW,CED,MJ,-0.894220096385897,-0.868617705127585,-0.853870673549402
35-44,Female,NHW,Food_price,USD,-0.386837124879284,-0.336272729110601,-0.357077783345353
35-44,Female,NHW,FL,mrh-eq,-0.0292639588415612,-0.0276611944742995,-0.0277643716973323
35-44,Female,OTH,CED,MJ,-0.832542540592564,-0.752833819032669,-0.833155468776645
35-44,Female,OTH,Food_price,USD,-0.376588832018144,-0.344045829013279,-0.341666455369271
35-44,Female,OTH,FL,mrh-eq,-0.0294570464046975,-0.0266305365293746,-0.0284405753079484
35-44,Male,HIS,CED,MJ,-0.567471862080896,-0.609386061614967,-0.503021445713183
35-44,Male,HIS,Food_price,USD,-0.192485592039974,-0.252647925869338,-0.178188500602917
35-44,Male,HIS,FL,mrh-eq,-0.017128875932508,-0.0191084805861411,-0.0152161033965235
35-44,Male,NHB,CED,MJ,-0.530606129470017,-0.490034681475416,-0.512595545331421
35-44,Male,NHB,Food_price,USD,-0.218153199201976,-0.175366578493518,-0.190086805256595
35-44,Male,NHB,FL,mrh-eq,-0.0167863429051633,-0.0149853795041951,-0.0158014931164776
35-44,Male,NHW,CED,MJ,-0.793497015616075,-0.785021807012973,-0.631063473481136
