age_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,CED,MJ,-0.5813119277747606,-0.5749651431731249,-0.5718690635022968,-0.5761057413944609,0.00506714053117417,0,0,0,0,0,-0.5813119277747606,-0.5749651431731249,-0.5718690635022968,-0.5761057413944609,0.00506714053117417,-13.621892654871306,-13.493520840887602,-13.332958619094763,-13.482225960954572,0.15238481366393014,-0.42818505735858015,-0.42306951982237495,-0.41989858214763287,-0.42375183556323925,0.004401150723426431,-0.1531308103111233,-0.1519744212496069,-0.1518995632456928,-0.15235390583122174,7.265965283112958e-4,1.3521905425791374,1.3552866222499658,1.3616334068516014,1.3564272204713017,0.005067140531174302,0.7803214790768407,0.7803214790768407,0.7803214790768407,0.7803214790768407,0,1.011698549674592,1.0148694873493342,1.0199850248855393,1.0155518030901984,0.004401150723426422,0.5917999675269592,0.5917999675269592,0.5917999675269592,0.5917999675269592,0,0.34042107479557426,0.34049593279948837,0.34165232186100475,0.3408754173811032,7.265965283112797e-4,0.1885215115498815,0.1885215115498815,0.1885215115498815,0.1885215115498815,0,-0.42818505735858015,-0.42306951982237495,-0.41989858214763287,-0.42375183556323925,0.004401150723426431,-0.1531308103111233,-0.1519744212496069,-0.1518995632456928,-0.15235390583122174,7.265965283112958e-4,0,0,0,0,0,0,0,0,0,0,0.34042107479557426,0.34049593279948837,0.34165232186100475,0.3408754173811032,7.265965283112797e-4,0.1885215115498815,0.1885215115498815,0.1885215115498815,0.1885215115498815,0
20-34,HIS,FL,mrh-eq,-0.017764377789900292,-0.01766951044103104,-0.017626993189026566,-0.017687878896071315,7.403682440391726e-5,0,0,0,0,0,-0.017764377789900292,-0.01766951044103104,-0.017626993189026566,-0.017687878896071315,7.403682440391726e-5,-13.621892654871306,-13.493520840887602,-13.332958619094763,-13.482225960954572,0.15238481366393014,-0.012909148875202482,-0.012803329195272299,-0.012801446507331801,-0.01283979831526868,6.489020376501084e-5,-0.004867487495222346,-0.004854652476220923,-0.004823087555277377,-0.0048480805808026346,2.4051486072212225e-5,0.04452077346914826,0.044563290721152726,0.04465815807002198,0.044581659176193,7.403682440391473e-5,0.026893780280121696,0.026893780280121696,0.026893780280121696,0.026893780280121696,0,0.03329584328290602,0.033297725970846515,0.033403545650776696,0.03333419509084289,6.489020376501136e-5,0.020494396775574214,0.020494396775574214,0.020494396775574214,0.020494396775574214,0,0.011222471059824853,0.0112540359807684,0.011266870999769824,0.011247464085350113,2.405148607221391e-5,0.006399383504547477,0.006399383504547477,0.006399383504547477,0.006399383504547477,0,-0.012909148875202482,-0.012803329195272299,-0.012801446507331801,-0.01283979831526868,6.489020376501084e-5,-0.004867487495222346,-0.004854652476220923,-0.004823087555277377,-0.0048480805808026346,2.4051486072212225e-5,0,0,0,0,0,0,0,0,0,0,0.011222471059824853,0.0112540359807684,0.011266870999769824,0.011247464085350113,2.405148607221391e-5,0.006399383504547477,0.006399383504547477,0.006399383504547477,0.006399383504547477,0
20-34,HIS,Food_price,USD,-0.23916543244189972,-0.23196196557202686,-0.22617833047311078,-0.2324601521583275,0.0068489195143087624,0,0,0,0,0,-0.23916543244189972,-0.23196196557202686,-0.22617833047311078,-0.2324601521583275,0.0068489195143087624,-13.621892654871306,-13.493520840887602,-13.332958619094763,-13.482225960954572,0.15238481366393014,-0.1653773947288393,-0.16068957419116353,-0.15669654599246235,-0.16093336097676866,0.0045737431682739286,-0.07378803771306036,-0.07127239138086333,-0.06948178448064846,-0.07152679118155882,0.002277132150193807,0.6317284156759904,0.6375120507749064,0.6447155176447793,0.638010237361207,0.006848919514308779,0.4055500852028796,0.4055500852028796,0.4055500852028796,0.40555008520287955,0,0.4628885560917336,0.46688158429043486,0.47156940482811066,0.46712537107603996,0.0045737431682739416,0.30619201009927133,0.30619201009927133,0.30619201009927133,0.30619201009927133,0,0.16883985958425665,0.17063046648447158,0.17314611281666864,0.17088486628516708,0.002277132150193834,0.09935807510360825,0.09935807510360825,0.09935807510360825,0.09935807510360824,0,-0.1653773947288393,-0.16068957419116353,-0.15669654599246235,-0.16093336097676866,0.0045737431682739286,-0.07378803771306036,-0.07127239138086333,-0.06948178448064846,-0.07152679118155882,0.002277132150193807,0,0,0,0,0,0,0,0,0,0,0.16883985958425665,0.17063046648447158,0.17314611281666864,0.17088486628516708,0.002277132150193834,0.09935807510360825,0.09935807510360825,0.09935807510360825,0.09935807510360824,0
20-34,NHB,CED,MJ,-0.5810421301784411,-0.5617535778529194,-0.5402834153872846,-0.5609881006107744,0.021462195750966705,0,0,0,0,0,-0.5810421301784411,-0.5617535778529194,-0.5402834153872846,-0.5609881006107744,0.021462195750966705,-16.802475895019768,-15.992614463869764,-15.197098667127852,-15.997648019802428,0.8449466279772031,-0.42549279934196094,-0.4105769264438505,-0.3961892274097933,-0.4107622506066762,0.015423767653883454,-0.1555493308364802,-0.15117665140906883,-0.14409418797749132,-0.15022585000409824,0.0060849922334344185,1.2014376165189784,1.222907778984613,1.242196331310135,1.2221423017424682,0.021462195750966702,0.6611542011316938,0.6611542011316938,0.6611542011316938,0.6611542011316938,0,0.8977969132416399,0.9121846122756972,0.9271004851738076,0.9123699364385228,0.015423767653883454,0.5016076858318466,0.5016076858318466,0.5016076858318466,0.5016076858318466,0,0.3036407032773384,0.3107231667089159,0.3150958461363273,0.3097723653039453,0.00608499223343442,0.1595465152998471,0.1595465152998471,0.1595465152998471,0.1595465152998471,0,-0.42549279934196094,-0.4105769264438505,-0.3961892274097933,-0.4107622506066762,0.015423767653883454,-0.1555493308364802,-0.15117665140906883,-0.14409418797749132,-0.15022585000409824,0.0060849922334344185,0,0,0,0,0,0,0,0,0,0,0.3036407032773384,0.3107231667089159,0.3150958461363273,0.3097723653039453,0.00608499223343442,0.1595465152998471,0.1595465152998471,0.1595465152998471,0.1595465152998471,0
20-34,NHB,FL,mrh-eq,-0.01833923857624298,-0.01769641139574738,-0.016878292312787462,-0.017634905465058148,7.707618279938818e-4,0,0,0,0,0,-0.01833923857624298,-0.01769641139574738,-0.016878292312787462,-0.017634905465058148,7.707618279938818e-4,-16.802475895019768,-15.992614463869764,-15.197098667127852,-15.997648019802428,0.8449466279772031,-0.013274946296990109,-0.012772771911757467,-0.012227583940907052,-0.01275767942557579,5.513982799206657e-4,-0.005064292279252871,-0.0049236394839899155,-0.004650708371880412,-0.004877226039482354,2.213557859472272e-4,0.03895542161698841,0.039773540699948325,0.04041636788044392,0.03971203476925909,7.707618279938783e-4,0.022077129304200943,0.022077129304200943,0.022077129304200943,0.022077129304200943,0,0.029023863697040114,0.029569051667890523,0.03007122605312317,0.02955395918170885,5.513982799206657e-4,0.01679627975613306,0.01679627975613306,0.01679627975613306,0.01679627975613306,0,0.009931557919948295,0.010204489032057798,0.010345141827320756,0.010158075587550238,2.2135578594722712e-4,0.0052808495480678825,0.0052808495480678825,0.0052808495480678825,0.0052808495480678825,0,-0.013274946296990109,-0.012772771911757467,-0.012227583940907052,-0.01275767942557579,5.513982799206657e-4,-0.005064292279252871,-0.0049236394839899155,-0.004650708371880412,-0.004877226039482354,2.213557859472272e-4,0,0,0,0,0,0,0,0,0,0,0.009931557919948295,0.010204489032057798,0.010345141827320756,0.010158075587550238,2.2135578594722712e-4,0.0052808495480678825,0.0052808495480678825,0.0052808495480678825,0.0052808495480678825,0
20-34,NHB,Food_price,USD,-0.27160565282000926,-0.2628708471259357,-0.24367210240747383,-0.25919928957351873,0.015041781563356506,0,0,0,0,0,-0.27160565282000926,-0.2628708471259357,-0.24367210240747383,-0.25919928957351873,0.015041781563356506,-16.802475895019768,-15.992614463869764,-15.197098667127852,-15.997648019802428,0.8449466279772031,-0.18882846171076026,-0.1818635661257743,-0.1691807429590388,-0.17985727574621305,0.010485857565751674,-0.082777191109249,-0.08100728100016143,-0.07449135944843503,-0.0793420138273057,0.004593238874280869,0.5704623768640843,0.5896611215825461,0.5983959272766197,0.5859895640301293,0.015041781563356529,0.3267902744566103,0.3267902744566103,0.3267902744566103,0.3267902744566103,0,0.41541092602038165,0.42809374918711707,0.43505864477210304,0.42608745880755583,0.010485857565751612,0.24623018306134278,0.24623018306134278,0.24623018306134278,0.24623018306134278,0,0.1550514508437026,0.16156737239542895,0.16333728250451657,0.15990210522257323,0.004593238874280864,0.08056009139526753,0.08056009139526753,0.08056009139526753,0.08056009139526753,0,-0.18882846171076026,-0.1818635661257743,-0.1691807429590388,-0.17985727574621305,0.010485857565751674,-0.082777191109249,-0.08100728100016143,-0.07449135944843503,-0.0793420138273057,0.004593238874280869,0,0,0,0,0,0,0,0,0,0,0.1550514508437026,0.16156737239542895,0.16333728250451657,0.15990210522257323,0.004593238874280864,0.08056009139526753,0.08056009139526753,0.08056009139526753,0.08056009139526753,0
20-34,NHW,CED,MJ,-0.6533578128569826,-0.6447994092023046,-0.6361066407858383,-0.6447522636718526,0.009079656048485958,0,0,0,0,0,-0.6533578128569826,-0.6447994092023046,-0.6361066407858383,-0.6447522636718526,0.009079656048485958,-15.830031854813214,-15.39401209772188,-15.354242293446687,-15.533047168885439,0.2778597042682406,-0.4911661304090598,-0.48303830675807546,-0.47645197092333513,-0.4835791796760558,0.00775844729400272,-0.1621916824479228,-0.16176110244422912,-0.1596546698625032,-0.16117308399579675,0.0014290800054441413,1.444042977386727,1.4527357458031935,1.4612941494578713,1.4526886002727413,0.009079656048485958,0.8079363366008886,0.8079363366008886,0.8079363366008886,0.8079363366008886,0,1.0959653946322898,1.10255173046703,1.1106795541180146,1.1030926033850104,0.007758447294002832,0.6195134237089546,0.6195134237089546,0.6195134237089546,0.6195134237089546,0,0.34807758275443734,0.3501840153361633,0.3506145953398569,0.3495959968877309,0.0014290800054441426,0.1884229128919341,0.1884229128919341,0.1884229128919341,0.1884229128919341,0,-0.4911661304090598,-0.48303830675807546,-0.47645197092333513,-0.4835791796760558,0.00775844729400272,-0.1621916824479228,-0.16176110244422912,-0.1596546698625032,-0.16117308399579675,0.0014290800054441413,0,0,0,0,0,0,0,0,0,0,0.34807758275443734,0.3501840153361633,0.3506145953398569,0.3495959968877309,0.0014290800054441426,0.1884229128919341,0.1884229128919341,0.1884229128919341,0.1884229128919341,0
20-34,NHW,FL,mrh-eq,-0.019900470054353556,-0.01967635516954695,-0.019522941698801526,-0.019701162683252626,1.998572130388761e-4,0,0,0,0,0,-0.019900470054353556,-0.01967635516954695,-0.019522941698801526,-0.019701162683252626,1.998572130388761e-4,-15.830031854813214,-15.39401209772188,-15.354242293446687,-15.533047168885439,0.2778597042682406,-0.01475420807752822,-0.014517796644601975,-0.014403945526844831,-0.014560800263959554,1.8807293974337772e-4,-0.005157911338201836,-0.005145614790082197,-0.005118348985213555,-0.005140362419293072,2.1313337458114665e-5,0.04754725582082008,0.04770066929156551,0.04792478417637211,0.04772547680527118,1.998572130388775e-4,0.02802431412201856,0.02802431412201856,0.02802431412201856,0.02802431412201856,0,0.03592194121827534,0.03603579233603248,0.03627220376895872,0.03607879595539006,1.8807293974337812e-4,0.0215179956914305,0.0215179956914305,0.0215179956914305,0.021517995691430498,0,0.01162466741580161,0.011651933220670251,0.011664229768789891,0.011646680849881129,2.1313337458114824e-5,0.0065063184305880544,0.0065063184305880544,0.0065063184305880544,0.0065063184305880544,0,-0.01475420807752822,-0.014517796644601975,-0.014403945526844831,-0.014560800263959554,1.8807293974337772e-4,-0.005157911338201836,-0.005145614790082197,-0.005118348985213555,-0.005140362419293072,2.1313337458114665e-5,0,0,0,0,0,0,0,0,0,0,0.01162466741580161,0.011651933220670251,0.011664229768789891,0.011646680849881129,2.1313337458114824e-5,0.0065063184305880544,0.0065063184305880544,0.0065063184305880544,0.0065063184305880544,0
20-34,NHW,Food_price,USD,-0.26748797354763526,-0.2667308997445235,-0.26437688412577676,-0.26617056928289723,0.001707807700183343,0,0,0,0,0,-0.26748797354763526,-0.2667308997445235,-0.26437688412577676,-0.26617056928289723,0.001707807700183343,-15.830031854813214,-15.39401209772188,-15.354242293446687,-15.533047168885439,0.2778597042682406,-0.1867991201989679,-0.1861277515798402,-0.18582526774467184,-0.18625718483736978,5.24667752411299e-4,-0.08068885334866732,-0.08060314816468332,-0.07855161638110482,-0.07991338444552736,0.0012736341800461224,0.7008993417080376,0.7032533573267846,0.7040104311298963,0.7026930268651581,0.0017078077001834236,0.43652245758226105,0.43652245758226105,0.43652245758226105,0.43652245758226105,0,0.5152376123973125,0.5155400962324808,0.5162114648516086,0.5156695294900104,5.24667752411328e-4,0.32941234465264063,0.32941234465264063,0.32941234465264063,0.32941234465264063,0,0.18566172931072514,0.18771326109430367,0.1877989662782877,0.1870234973751477,0.0012736341800461556,0.10711011292962036,0.10711011292962036,0.10711011292962036,0.10711011292962036,0,-0.1867991201989679,-0.1861277515798402,-0.18582526774467184,-0.18625718483736978,5.24667752411299e-4,-0.08068885334866732,-0.08060314816468332,-0.07855161638110482,-0.07991338444552736,0.0012736341800461224,0,0,0,0,0,0,0,0,0,0,0.18566172931072514,0.18771326109430367,0.1877989662782877,0.1870234973751477,0.0012736341800461556,0.10711011292962036,0.10711011292962036,0.10711011292962036,0.10711011292962036,0
20-34,OTH,CED,MJ,-0.47345840410365103,-0.4652235757977492,-0.4478384264892846,-0.4620129368494816,0.013767889003789557,0,0,0,0,0,-0.47345840410365103,-0.4652235757977492,-0.4478384264892846,-0.4620129368494816,0.013767889003789557,-12.51648721884233,-11.70666779775018,-11.408963931706367,-11.886357466188192,0.6033215108574579,-0.3528887688622379,-0.34490971982950136,-0.33160203993423204,-0.3430400247900162,0.01131994534958838,-0.12056963524141308,-0.12031385596824785,-0.11623638655505251,-0.11897291205946536,0.002559295841448824,1.2147508090690244,1.2321359583774887,1.2403707866833904,1.2289253194292211,0.01376788900378949,0.7669123825797395,0.7669123825797395,0.7669123825797395,0.7669123825797395,0,0.917653203992422,0.9309608838876916,0.9389399329204281,0.9290911888482064,0.01131994534958853,0.5860511640581902,0.5860511640581902,0.5860511640581902,0.5860511640581902,0,0.29709760507660177,0.3011750744897971,0.30143085376296236,0.2998341305810146,0.0025592958414488417,0.18086121852154924,0.18086121852154924,0.18086121852154924,0.18086121852154924,0,-0.3528887688622379,-0.34490971982950136,-0.33160203993423204,-0.3430400247900162,0.01131994534958838,-0.12056963524141308,-0.12031385596824785,-0.11623638655505251,-0.11897291205946536,0.002559295841448824,0,0,0,0,0,0,0,0,0,0,0.29709760507660177,0.3011750744897971,0.30143085376296236,0.2998341305810146,0.0025592958414488417,0.18086121852154924,0.18086121852154924,0.18086121852154924,0.18086121852154924,0
