age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,-16549467.1259854,-16551877.6405803,-17388236.0792878
20-34,Female,Food_price,USD,-15152566.6682911,-14354783.4059755,-15349778.9494556
20-34,Female,FL,mrh-eq,-539354.812002417,-532621.691369944,-559346.663157911
20-34,Male,CED,MJ,-17215561.3427671,-16101048.7178171,-17191364.4772129
20-34,Male,Food_price,USD,-13469462.7204264,-12269281.1866308,-13330762.4919686
20-34,Male,FL,mrh-eq,-524802.355619909,-484202.813796927,-521501.977998341
35-44,Female,CED,MJ,-9382521.84031596,-9344152.19065204,-9305021.223187
35-44,Female,Food_price,USD,-7881876.48689493,-7352546.24558309,-7711462.11711816
35-44,Female,FL,mrh-eq,-312106.941938692,-306111.85178299,-307040.531363879
35-44,Male,CED,MJ,-9338789.08244941,-10213128.0923864,-9538230.5949921
35-44,Male,Food_price,USD,-8014551.95737363,-8614494.60059571,-7927808.03474228
35-44,Male,FL,mrh-eq,-292402.000428366,-319642.167919078,-299380.752988403
45-54,Female,CED,MJ,-8026808.84046095,-8459582.79063147,-7254435.56328059
45-54,Female,Food_price,USD,-5924193.47512884,-6729184.17205175,-5393281.66897087
45-54,Female,FL,mrh-eq,-261029.658199019,-278268.292526643,-234594.10249579
45-54,Male,CED,MJ,-8329833.53388541,-8685381.04704592,-8496271.18619804
45-54,Male,Food_price,USD,-6298821.42846072,-6163397.55002118,-5955199.18877825
45-54,Male,FL,mrh-eq,-270344.341084803,-278698.577153281,-269436.134562601
55-64,Female,CED,MJ,-10464288.8941485,-9984907.74172166,-10218526.2081369
55-64,Female,Food_price,USD,-7515471.23755979,-7029207.07665775,-7481340.04289781
55-64,Female,FL,mrh-eq,-341642.656469833,-323947.60715674,-335533.362529717
55-64,Male,CED,MJ,-8779110.31989806,-9290949.66610893,-8581512.06483279
55-64,Male,Food_price,USD,-6555244.84337134,-5890956.27614843,-5127098.59394828
55-64,Male,FL,mrh-eq,-294056.627986963,-301215.61813911,-277684.878486932
65-74,Female,CED,MJ,-5362288.65657353,-5314645.35539145,-5545735.61764814
65-74,Female,Food_price,USD,-3368274.95157523,-3340307.66649514,-3756228.32157461
65-74,Female,FL,mrh-eq,-170722.285626633,-170031.811745573,-180644.483460314
65-74,Male,CED,MJ,-5009159.97281338,-4965314.79427688,-4791217.1861258
65-74,Male,Food_price,USD,-2852239.58656471,-3044200.37045235,-2707453.32394606
65-74,Male,FL,mrh-eq,-159736.661113128,-162025.89135789,-153209.058583384
75+,Female,CED,MJ,-4351572.4739402,-4255134.79161492,-4254750.6044996
75+,Female,Food_price,USD,-2925539.19384535,-2933032.58541722,-2812304.65469105
75+,Female,FL,mrh-eq,-146841.363742495,-143564.364300512,-143068.605467087
75+,Male,CED,MJ,-3020191.39270957,-2830196.88122097,-2892429.14624919
75+,Male,Food_price,USD,-1890691.66882246,-1586673.47704385,-1833787.66121239
75+,Male,FL,mrh-eq,-98253.0229088006,-90211.536258893,-94234.4528732937
