age_gp,sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,added_sugar,CED,MJ,-5130917.818219419,-5093700.293679597,-4853381.552220103,-5022436.708795502,158574.3389519029,0,0,0,0,0,-5130917.818219419,-5093700.293679597,-4853381.552220103,-5022436.708795502,158574.3389519029,-203080381.31996945,-201367760.94876578,-191922903.64060724,-198654695.35685182,6324959.808452694,-3398429.607517954,-3373685.0235770782,-3214484.484256543,-3326507.4953736886,105081.3469579063,-1732488.2107014647,-1720015.270102519,-1638897.067963561,-1695929.213421813,53493.01861479043,8950773.496906023,9191092.238365516,9228309.762905337,9119828.653481422,158574.3389519029,4097391.944685919,4097391.944685919,4097391.944685919,4097391.944685919,0,5928573.330674372,6087773.869994907,6112518.453935781,6040596.341791517,105081.34695790564,2714088.8464178275,2714088.8464178275,2714088.8464178275,2714088.8464178275,0,3022200.1662316527,3103318.3683706108,3115791.3089695564,3079232.3116899044,53493.01861479043,1383303.098268092,1383303.098268092,1383303.098268092,1383303.098268092,0,-3398429.607517954,-3373685.0235770782,-3214484.484256543,-3326507.4953736886,105081.3469579063,-1732488.2107014647,-1720015.270102519,-1638897.067963561,-1695929.213421813,53493.01861479043,0,0,0,0,0,0,0,0,0,0,3022200.1662316527,3103318.3683706108,3115791.3089695564,3079232.3116899044,53493.01861479043,1383303.098268092,1383303.098268092,1383303.098268092,1383303.098268092,0
20-34,Female,added_sugar,FL,mrh-eq,-226546.97793979777,-224411.60802896385,-213504.45474978257,-221333.78930322794,7363.823233094408,0,0,0,0,0,-226546.97793979777,-224411.60802896385,-213504.45474978257,-221333.78930322794,7363.823233094408,-203080381.31996945,-201367760.94876578,-191922903.64060724,-198654695.35685182,6324959.808452694,-150058.93461257408,-148640.60791143897,-141414.87804023933,-146602.9225886093,4879.764628620301,-76488.04332722367,-75771.00011752489,-72089.57670954325,-74730.86671461862,2484.059535266369,395387.51274103764,406294.66602021904,408430.0359310529,403216.84729448304,7363.823233094454,181883.05799125516,181883.05799125516,181883.05799125516,181883.05799125516,0,261897.96902957198,269123.6989007716,270542.0256019068,267086.013577942,4879.764628620316,120483.09098933269,120483.09098933269,120483.09098933269,120483.09098933269,0,133489.54371146575,137170.96711944736,137888.01032914617,136130.8337165411,2484.059535266366,61399.96700192248,61399.96700192248,61399.96700192248,61399.96700192248,0,-150058.93461257408,-148640.60791143897,-141414.87804023933,-146602.9225886093,4879.764628620301,-76488.04332722367,-75771.00011752489,-72089.57670954325,-74730.86671461862,2484.059535266369,0,0,0,0,0,0,0,0,0,0,133489.54371146575,137170.96711944736,137888.01032914617,136130.8337165411,2484.059535266366,61399.96700192248,61399.96700192248,61399.96700192248,61399.96700192248,0
20-34,Female,added_sugar,Food_price,USD,-14684554.245857617,-14517550.907729154,-13768195.683335578,-14313216.912548414,513733.1696505117,0,0,0,0,0,-14684554.245857617,-14517550.907729154,-13768195.683335578,-14313216.912548414,513733.1696505117,-203080381.31996945,-201367760.94876578,-191922903.64060724,-198654695.35685182,6324959.808452694,-9726531.426631622,-9615641.563172307,-9119213.905122899,-9480365.144017888,340433.58194617415,-4958022.819225995,-4901909.344556848,-4648981.778212676,-4832851.768530523,173299.64916338577,25544133.644231733,26293488.86862531,26460492.206753768,26089154.87344457,513733.1696505096,11775937.960896155,11775937.960896155,11775937.960896155,11775937.960896155,0,16919754.251094572,17416181.90914398,17527071.772603296,17280905.48998956,340433.58194617415,7800540.345971675,7800540.345971675,7800540.345971675,7800540.345971675,0,8624379.393137155,8877306.959481325,8933420.434150474,8808249.383455003,173299.6491633854,3975397.614924478,3975397.614924478,3975397.614924478,3975397.614924478,0,-9726531.426631622,-9615641.563172307,-9119213.905122899,-9480365.144017888,340433.58194617415,-4958022.819225995,-4901909.344556848,-4648981.778212676,-4832851.768530523,173299.64916338577,0,0,0,0,0,0,0,0,0,0,8624379.393137155,8877306.959481325,8933420.434150474,8808249.383455003,173299.6491633854,3975397.614924478,3975397.614924478,3975397.614924478,3975397.614924478,0
20-34,Female,oil,CED,MJ,-495333.39712542394,-418788.8013741029,-377335.2390462186,-431101.44468057185,63013.047760656766,0,0,0,0,0,-495333.39712542394,-418788.8013741029,-377335.2390462186,-431101.44468057185,63013.047760656766,-53067344.67507536,-44870318.94610532,-40428150.03908902,-46187812.567843474,6749348.813652182,-413358.28120590467,-349467.3879493521,-314932.8546975602,-359767.865144005,52565.30004187987,-81975.11591951932,-69321.41342475075,-62402.38434865838,-71333.57953656696,10447.785765024859,5028417.981292792,5069871.543620677,5146416.139371999,5082184.186927146,63013.04776065726,4651082.742246574,4651082.742246574,4651082.742246574,4651082.742246574,0,4195394.366993938,4229928.90024573,4293819.793502282,4240229.377440383,52565.300041879666,3880461.5122963777,3880461.5122963777,3880461.5122963777,3880461.512296377,0,833023.6142988546,839942.643374947,852596.3458697156,841954.8094867632,10447.785765024837,770621.2299501963,770621.2299501963,770621.2299501963,770621.2299501965,0,-413358.28120590467,-349467.3879493521,-314932.8546975602,-359767.865144005,52565.30004187987,-81975.11591951932,-69321.41342475075,-62402.38434865838,-71333.57953656696,10447.785765024859,0,0,0,0,0,0,0,0,0,0,833023.6142988546,839942.643374947,852596.3458697156,841954.8094867632,10447.785765024837,770621.2299501963,770621.2299501963,770621.2299501963,770621.2299501965,0
20-34,Female,oil,FL,mrh-eq,-25889.427354505315,-21921.490935188034,-19630.69775255881,-22509.962246306648,3333.2580526200904,0,0,0,0,0,-25889.427354505315,-21921.490935188034,-19630.69775255881,-22509.962246306648,3333.2580526200904,-53067344.67507536,-44870318.94610532,-40428150.03908902,-46187812.567843474,6749348.813652182,-21604.659072030106,-18292.691469305606,-16384.103958018477,-18785.105536476614,2780.5561328244703,-4284.768282475207,-3628.7994658824323,-3246.593794540332,-3724.8567098300373,552.7038433866487,263360.6630315997,265651.45621422894,269619.3926335462,266239.9275253475,3333.2580526200645,243729.96527904092,243729.96527904092,243729.96527904092,243729.96527904095,0,219729.90930110996,221638.4968123971,224950.46441512153,222130.91087956808,2780.5561328244453,203345.80534309146,203345.80534309146,203345.80534309146,203345.80534309146,0,43630.75373048978,44012.95940183188,44668.928218424655,44109.016645779484,552.70384338665,40384.15993594945,40384.15993594945,40384.15993594945,40384.15993594945,0,-21604.659072030106,-18292.691469305606,-16384.103958018477,-18785.105536476614,2780.5561328244703,-4284.768282475207,-3628.7994658824323,-3246.593794540332,-3724.8567098300373,552.7038433866487,0,0,0,0,0,0,0,0,0,0,43630.75373048978,44012.95940183188,44668.928218424655,44109.016645779484,552.70384338665,40384.15993594945,40384.15993594945,40384.15993594945,40384.15993594945,0
20-34,Female,oil,Food_price,USD,-118050.82240857094,-99861.68250330191,-96214.08526463155,-104963.97817579267,12313.186598561295,0,0,0,0,0,-118050.82240857094,-99861.68250330191,-96214.08526463155,-104963.97817579267,12313.186598561295,-53067344.67507536,-44870318.94610532,-40428150.03908902,-46187812.567843474,6749348.813652182,-98541.11410075525,-83366.00418589287,-80311.27050056223,-87618.76777520224,10277.25129065249,-19509.708307815683,-16495.678317409052,-15902.814764069311,-17345.21040059042,2035.9440883551563,1093945.5526783643,1097593.1499170347,1115782.2898223037,1102695.4455895254,12313.18659856126,997731.4674137327,997731.4674137327,997731.4674137327,997731.4674137327,0,912919.1512280849,915973.8849134156,931148.994828278,920226.6485027251,10277.251290652524,832607.8807275228,832607.8807275228,832607.8807275228,832607.8807275227,0,181026.40145027929,181619.26500361902,184633.29499402567,182468.79708680036,2035.9440883551613,165123.58668620998,165123.58668620998,165123.58668620998,165123.58668620998,0,-98541.11410075525,-83366.00418589287,-80311.27050056223,-87618.76777520224,10277.25129065249,-19509.708307815683,-16495.678317409052,-15902.814764069311,-17345.21040059042,2035.9440883551563,0,0,0,0,0,0,0,0,0,0,181026.40145027929,181619.26500361902,184633.29499402567,182468.79708680036,2035.9440883551613,165123.58668620998,165123.58668620998,165123.58668620998,165123.58668620998,0
20-34,Female,sat_fat,CED,MJ,-11850813.454900442,-11292355.641799744,-10973202.315723803,-11376322.128475094,467589.5016395092,0,0,0,0,0,-11850813.454900442,-11292355.641799744,-10973202.315723803,-11376322.128475094,467589.5016395092,-232605492.1632744,-221437010.0237178,-215382621.32149136,-223231428.7736582,9196911.19905595,-9217409.141375178,-8783265.787262293,-8535705.842786826,-8848733.650292967,363243.25600779935,-2633404.3135252604,-2509089.8545374535,-2437496.4729369744,-2527588.47818213,104346.51680361354,23201073.651206117,23520226.977282066,24078684.790382765,23604193.463957414,467589.5016395118,12227871.335482322,12227871.335482322,12227871.335482322,12227871.335482322,0,18040036.086025104,18287596.03050057,18721739.384613458,18353063.893531244,363243.25600780116,9504330.243238276,9504330.243238276,9504330.243238276,9504330.243238276,0,5161037.565181019,5232630.946781498,5356945.405769306,5251129.570426174,104346.51680361423,2723541.092244045,2723541.092244045,2723541.092244045,2723541.092244045,0,-9217409.141375178,-8783265.787262293,-8535705.842786826,-8848733.650292967,363243.25600779935,-2633404.3135252604,-2509089.8545374535,-2437496.4729369744,-2527588.47818213,104346.51680361354,0,0,0,0,0,0,0,0,0,0,5161037.565181019,5232630.946781498,5356945.405769306,5251129.570426174,104346.51680361423,2723541.092244045,2723541.092244045,2723541.092244045,2723541.092244045,0
20-34,Female,sat_fat,FL,mrh-eq,-312406.79957505997,-297769.806383878,-289291.18128622824,-299930.6372938893,12309.1934811001,0,0,0,0,0,-312406.79957505997,-297769.806383878,-289291.18128622824,-299930.6372938893,12309.1934811001,-232605492.1632744,-221437010.0237178,-215382621.32149136,-223231428.7736582,9196911.19905595,-242951.71486277002,-231573.9322987403,-224999.66356222663,-233259.37574699157,9560.528767888418,-69455.08471228991,-66195.8740851377,-64291.51772400164,-66671.26154689776,2748.673854838667,612226.8565747977,620705.4816724474,635342.4748636294,622866.3125824587,12309.1934811001,322935.67528856953,322935.67528856953,322935.67528856953,322935.67528856953,0,475969.08347807394,482543.3522145877,493921.1347786174,484228.7956628389,9560.52876788843,250969.41991584733,250969.41991584733,250969.41991584733,250969.41991584733,0,136257.77309672377,138162.12945785985,141421.34008501208,138637.5169196199,2748.67385483868,71966.25537272215,71966.25537272215,71966.25537272215,71966.25537272215,0,-242951.71486277002,-231573.9322987403,-224999.66356222663,-233259.37574699157,9560.528767888418,-69455.08471228991,-66195.8740851377,-64291.51772400164,-66671.26154689776,2748.673854838667,0,0,0,0,0,0,0,0,0,0,136257.77309672377,138162.12945785985,141421.34008501208,138637.5169196199,2748.67385483868,71966.25537272215,71966.25537272215,71966.25537272215,71966.25537272215,0
20-34,Female,sat_fat,Food_price,USD,-555244.9713749788,-530005.3648296527,-516707.5024919352,-534195.450516533,20604.920967906826,0,0,0,0,0,-555244.9713749788,-530005.3648296527,-516707.5024919352,-534195.450516533,20604.920967906826,-232605492.1632744,-221437010.0237178,-215382621.32149136,-223231428.7736582,9196911.19905595,-431796.8024899841,-412179.1957287588,-401872.7955211326,-415446.2857475655,16001.607567843103,-123448.16888499481,-117826.16910089385,-114834.70697080267,-118749.16476896747,4603.33199400042,1094253.3417339083,1107551.2040716256,1132790.8106169521,1111741.289758506,20604.920967906914,577545.839241973,577545.839241973,577545.839241973,577545.839241973,0,850719.1660697028,861025.566277329,880643.1730385544,864292.6562961357,16001.607567843115,448846.3705485703,448846.3705485703,448846.3705485703,448846.3705485703,0,243534.1756642054,246525.63779429664,252147.63757839755,247448.63346237023,4603.331994000421,128699.46869340276,128699.46869340276,128699.46869340276,128699.46869340276,0,-431796.8024899841,-412179.1957287588,-401872.7955211326,-415446.2857475655,16001.607567843103,-123448.16888499481,-117826.16910089385,-114834.70697080267,-118749.16476896747,4603.33199400042,0,0,0,0,0,0,0,0,0,0,243534.1756642054,246525.63779429664,252147.63757839755,247448.63346237023,4603.331994000421,128699.46869340276,128699.46869340276,128699.46869340276,128699.46869340276,0
20-34,Male,added_sugar,CED,MJ,-4957541.382824926,-4904945.87300779,-4518027.759748081,-4787639.6963612735,252647.71106808636,0,0,0,0,0,-4957541.382824926,-4904945.87300779,-4518027.759748081,-4787639.6963612735,252647.71106808636,-188780126.48622411,-186785389.06476986,-172057821.07250094,-182317729.2153612,9614122.179436078,-3281412.4827708905,-3246528.0211469484,-2990315.633260537,-3168869.0996513455,167320.46602190673,-1676128.9000540352,-1658417.8518608413,-1527712.1264875436,-1618770.5967099275,85327.25179161705,9611313.26379477,9998231.377054479,10050826.886871614,9880925.200407961,252647.71106808548,5093285.504046688,5093285.504046688,5093285.504046688,5093285.504046688,0,6361746.793441808,6617959.181328219,6652843.64295216,6540300.259832616,167320.4660219068,3371431.16018127,3371431.16018127,3371431.16018127,3371431.1601812704,0,3249566.470352962,3380272.1957262596,3397983.243919454,3340624.9405753464,85327.25179161693,1721854.3438654186,1721854.3438654186,1721854.3438654186,1721854.3438654186,0,-3281412.4827708905,-3246528.0211469484,-2990315.633260537,-3168869.0996513455,167320.46602190673,-1676128.9000540352,-1658417.8518608413,-1527712.1264875436,-1618770.5967099275,85327.25179161705,0,0,0,0,0,0,0,0,0,0,3249566.470352962,3380272.1957262596,3397983.243919454,3340624.9405753464,85327.25179161693,1721854.3438654186,1721854.3438654186,1721854.3438654186,1721854.3438654186,0
