age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,-0.153343694135074,-0.145728226635881,-0.154523081338969
20-34,Female,added_sugar,Food_price,USD,-0.437044733226156,-0.413298394001581,-0.442336906803839
20-34,Female,added_sugar,FL,mrh-eq,-0.00675581659656205,-0.00641017950308416,-0.00682348439498655
20-34,Female,oil,CED,MJ,-0.0150330837280456,-0.0126074598351986,-0.0112938367081942
20-34,Female,oil,Food_price,USD,-0.00358268991507137,-0.00289070492464512,-0.00300629373828712
20-34,Female,oil,FL,mrh-eq,-0.000785677269099902,-0.000659937217963402,-0.000587344207015786
20-34,Female,sat_fat,CED,MJ,-0.329837934183149,-0.339951593098097,-0.357648578774329
20-34,Female,sat_fat,Food_price,USD,-0.0155341911231378,-0.0159555874646242,-0.0167554060812291
20-34,Female,sat_fat,FL,mrh-eq,-0.0086955547539052,-0.00896423414810001,-0.00942806624565677
20-34,Male,added_sugar,CED,MJ,-0.145235931221965,-0.13168983899505,-0.143614903819636
20-34,Male,added_sugar,Food_price,USD,-0.378263660493203,-0.343809947661305,-0.374418071900844
20-34,Male,added_sugar,FL,mrh-eq,-0.00580459234685638,-0.0052507944053159,-0.00573543445299478
20-34,Male,oil,CED,MJ,0.00877570938268355,0.013714706963543,0.010912649727816
20-34,Male,oil,Food_price,USD,0.00160550373353866,0.00159416984150193,0.00192557700548333
20-34,Male,oil,FL,mrh-eq,0.000453516036368838,0.000707648361504054,0.000566729477373208
20-34,Male,sat_fat,CED,MJ,-0.36760470577763,-0.353457300226224,-0.370654198730615
20-34,Male,sat_fat,Food_price,USD,-0.0177224629616302,-0.0170239942744667,-0.0178270361849052
20-34,Male,sat_fat,FL,mrh-eq,-0.0100149321589299,-0.00963412366171513,-0.0101006697231158
35-44,Female,added_sugar,CED,MJ,-0.131025633154872,-0.12321131404486,-0.128761838830241
35-44,Female,added_sugar,Food_price,USD,-0.35592524661838,-0.330344814390993,-0.34888358068555
35-44,Female,added_sugar,FL,mrh-eq,-0.00615832041839155,-0.00572962179852088,-0.00604888478247527
35-44,Female,oil,CED,MJ,-0.0134311553924838,-0.01321799164006,-0.00902864050563664
35-44,Female,oil,Food_price,USD,-0.00325659371023623,-0.00334176980987759,-0.0020700040417582
35-44,Female,oil,FL,mrh-eq,-0.000656447045281727,-0.000636700054190959,-0.000449396978847612
35-44,Female,sat_fat,CED,MJ,-0.301432517976317,-0.307636544760378,-0.304415734623245
35-44,Female,sat_fat,Food_price,USD,-0.0153917019087731,-0.0157313870463858,-0.0155212878288742
35-44,Female,sat_fat,FL,mrh-eq,-0.00801761451963167,-0.00818115308347206,-0.00809332718289778
35-44,Male,added_sugar,CED,MJ,-0.137554354752633,-0.147509902454882,-0.137207608161535
35-44,Male,added_sugar,Food_price,USD,-0.391369238904549,-0.419217862853513,-0.385713613545893
35-44,Male,added_sugar,FL,mrh-eq,-0.00582873267992597,-0.00625895491213467,-0.00580206375635301
35-44,Male,oil,CED,MJ,0.0142390594411934,0.0158099148424732,0.0102609772286679
35-44,Male,oil,Food_price,USD,0.00246414924660276,0.00164215138976838,0.0015045972713463
35-44,Male,oil,FL,mrh-eq,0.000717412412933785,0.000767630029211963,0.000518813268317286
35-44,Male,sat_fat,CED,MJ,-0.347920961687788,-0.38365550569824,-0.354353465289105
35-44,Male,sat_fat,Food_price,USD,-0.015510025896629,-0.0171125715336533,-0.0158289920279707
35-44,Male,sat_fat,FL,mrh-eq,-0.00964331472951954,-0.0106378517650842,-0.00982353307997506
45-54,Female,added_sugar,CED,MJ,-0.118080569398348,-0.135166494400822,-0.10799957092049
45-54,Female,added_sugar,Food_price,USD,-0.278528426479776,-0.318406530686632,-0.254674834577103
45-54,Female,added_sugar,FL,mrh-eq,-0.00527124086415007,-0.00602485949493065,-0.00481288003647118
45-54,Female,oil,CED,MJ,-0.0078580468603452,-0.00709026993206182,-0.0045691041906995
45-54,Female,oil,Food_price,USD,-0.00173927138842271,-0.00155851607657185,-0.000456938208131314
45-54,Female,oil,FL,mrh-eq,-0.000417521628012357,-0.00037691158363311,-0.00023009418210635
45-54,Female,sat_fat,CED,MJ,-0.272492936760495,-0.277656650345138,-0.247524119572772
45-54,Female,sat_fat,Food_price,USD,-0.0137950677459091,-0.014055527728109,-0.0125778032054374
45-54,Female,sat_fat,FL,mrh-eq,-0.00726812413207795,-0.0074108000379325,-0.00660171477854732
45-54,Male,added_sugar,CED,MJ,-0.118372959738452,-0.119153116075372,-0.112827691538874
45-54,Male,added_sugar,Food_price,USD,-0.316403122988,-0.309167974805098,-0.300206627913626
45-54,Male,added_sugar,FL,mrh-eq,-0.00537819074232441,-0.00541371862371375,-0.00512228454857048
45-54,Male,oil,CED,MJ,0.000139641453378145,0.00410232479605146,0.0073802035797852
45-54,Male,oil,Food_price,USD,-0.000551138187871796,0.00042141952630021,0.00240036432515786
45-54,Male,oil,FL,mrh-eq,-7.28306221529892e-06,0.000199204114588106,0.000382123809064464
45-54,Male,sat_fat,CED,MJ,-0.321090732233108,-0.343025203440137,-0.342654656776134
45-54,Male,sat_fat,Food_price,USD,-0.0152521067167316,-0.0163174169619696,-0.0162771113810078
45-54,Male,sat_fat,FL,mrh-eq,-0.00887276682858917,-0.0094843371894775,-0.00947018014071449
55-64,Female,added_sugar,CED,MJ,-0.107533944608022,-0.0999694552390119,-0.105667508581202
55-64,Female,added_sugar,Food_price,USD,-0.282583436923898,-0.264179518900126,-0.281115979321908
55-64,Female,added_sugar,FL,mrh-eq,-0.00511695668003796,-0.00475838492186383,-0.00502364279273631
55-64,Female,oil,CED,MJ,-0.00815660596485705,-0.00656874399354933,-0.0103817474394202
55-64,Female,oil,Food_price,USD,-0.00209518977552687,-0.0015854309456698,-0.00265421081488238
55-64,Female,oil,FL,mrh-eq,-0.000419505646989685,-0.00034068572456299,-0.00053813972904639
55-64,Female,sat_fat,CED,MJ,-0.30000688971878,-0.290115661509291,-0.289885177866338
