sex_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
Female,HIS,CED,MJ,-0.3864662448305986,-0.3806504314431945,-0.3792914269781701,-0.3822142240475382,0.004011723119042283,0,0,0,0,0,-0.3864662448305986,-0.3806504314431945,-0.3792914269781701,-0.3822142240475382,0.004011723119042283,-10.261197177280192,-9.887886064930923,-9.73546433020254,-9.96539110971018,0.2847261723581966,-0.28479019111324344,-0.2814606761257246,-0.28039569112310003,-0.28225524805024893,0.002413087326879525,-0.1016760537173551,-0.09918975531746976,-0.09889573585506994,-0.09995897599728924,0.0016078233591923518,0.9208633483524313,0.9222223528174557,0.9280381662048599,0.9237861454217996,0.0040117231190423255,0.5415719213742614,0.5415719213742614,0.5415719213742614,0.5415719213742614,0,0.6946716803914719,0.6957366653940964,0.6990661803816152,0.6965312373186207,0.002413087326879494,0.41427598926837167,0.41427598926837167,0.41427598926837167,0.41427598926837167,0,0.2261916679609596,0.22648568742335945,0.22897198582324474,0.22725490810317894,0.0016078233591923403,0.12729593210588963,0.12729593210588963,0.12729593210588963,0.12729593210588963,0,-0.28479019111324344,-0.2814606761257246,-0.28039569112310003,-0.28225524805024893,0.002413087326879525,-0.1016760537173551,-0.09918975531746976,-0.09889573585506994,-0.09995897599728924,0.0016078233591923518,0,0,0,0,0,0,0,0,0,0,0.2261916679609596,0.22648568742335945,0.22897198582324474,0.22725490810317894,0.0016078233591923403,0.12729593210588963,0.12729593210588963,0.12729593210588963,0.12729593210588963,0
Female,HIS,FL,mrh-eq,-0.01297484444507093,-0.012512063029199993,-0.012512012029172051,-0.012674424578618587,2.812649459850011e-4,0,0,0,0,0,-0.01297484444507093,-0.012512063029199993,-0.012512012029172051,-0.012674424578618587,2.812649459850011e-4,-10.261197177280192,-9.887886064930923,-9.73546433020254,-9.96539110971018,0.2847261723581966,-0.009386143728185253,-0.009090207264325278,-0.009086940543281383,-0.00919289840215548,1.808524025237282e-4,-0.003588869965360202,-0.0034252407343651936,-0.003422025013349238,-0.0034815261764631067,1.0043497651566884e-4,0.032023780915722486,0.03202383191575043,0.03248661333162135,0.032186193465169016,2.812649459849941e-4,0.019511768886550436,0.019511768886550436,0.019511768886550436,0.019511768886550436,0,0.024007353086175676,0.02401061980721957,0.024306556271079548,0.024113310945049773,1.8085240252372768e-4,0.014920412542894293,0.014920412542894293,0.014920412542894293,0.014920412542894293,0,0.008013381357005377,0.008016597078021334,0.008180226309016343,0.008072882520119248,1.0043497651566947e-4,0.0045913563436561396,0.0045913563436561396,0.0045913563436561396,0.0045913563436561396,0,-0.009386143728185253,-0.009090207264325278,-0.009086940543281383,-0.00919289840215548,1.808524025237282e-4,-0.003588869965360202,-0.0034252407343651936,-0.003422025013349238,-0.0034815261764631067,1.0043497651566884e-4,0,0,0,0,0,0,0,0,0,0,0.008013381357005377,0.008016597078021334,0.008180226309016343,0.008072882520119248,1.0043497651566947e-4,0.0045913563436561396,0.0045913563436561396,0.0045913563436561396,0.0045913563436561396,0
Female,HIS,Food_price,USD,-0.3141849107894253,-0.28256322917785126,-0.28174128942973553,-0.29337015614748574,0.01947223749877075,0,0,0,0,0,-0.3141849107894253,-0.28256322917785126,-0.28174128942973553,-0.29337015614748574,0.01947223749877075,-10.261197177280192,-9.887886064930923,-9.73546433020254,-9.96539110971018,0.2847261723581966,-0.20987457186769035,-0.188835274228023,-0.18832997811390778,-0.1960401870440062,0.012942638483832137,-0.10431033892173505,-0.0937279549498282,-0.0934113113158278,-0.09732996910347959,0.006529652747263326,0.5746702777859122,0.5754922175340281,0.6071138991456023,0.5862991445036626,0.019472237498770913,0.29292898835617687,0.29292898835617687,0.29292898835617687,0.29292898835617687,0,0.3902851426518095,0.3907904387659246,0.4118297364055921,0.3979953515819079,0.012942638483832161,0.2019551645379017,0.2019551645379017,0.2019551645379017,0.20195516453790172,0,0.18438513513410293,0.18470177876810334,0.19528416274001012,0.1883037929217547,0.006529652747263291,0.09097382381827511,0.09097382381827511,0.09097382381827511,0.09097382381827511,0,-0.20987457186769035,-0.188835274228023,-0.18832997811390778,-0.1960401870440062,0.012942638483832137,-0.10431033892173505,-0.0937279549498282,-0.0934113113158278,-0.09732996910347959,0.006529652747263326,0,0,0,0,0,0,0,0,0,0,0.18438513513410293,0.18470177876810334,0.19528416274001012,0.1883037929217547,0.006529652747263291,0.09097382381827511,0.09097382381827511,0.09097382381827511,0.09097382381827511,0
Female,NHB,CED,MJ,-0.5061943948978628,-0.4952512813226035,-0.49266431832075575,-0.4981832639799409,0.007560248429823776,0,0,0,0,0,-0.5061943948978628,-0.4952512813226035,-0.49266431832075575,-0.4981832639799409,0.007560248429823776,-15.664730868636312,-15.66248936132225,-15.451350307461082,-15.589191976568879,0.1290035597638378,-0.37270162347502417,-0.3638153696985529,-0.36218543326409397,-0.3663614459589081,0.005957876999426366,-0.13349277142283858,-0.13143591162405058,-0.13047888505666175,-0.13182181802103274,0.0016210801496174879,1.0927479218223382,1.0953348848241862,1.1062779983994453,1.0982668674815232,0.00756024842982368,0.6000836035015822,0.6000836035015822,0.6000836035015822,0.6000836035015822,0,0.8221071275706421,0.823737064005101,0.8326233177815726,0.8262831402654564,0.005957876999426524,0.45992169430654845,0.45992169430654845,0.45992169430654845,0.45992169430654845,0,0.2706407942516958,0.2715978208190846,0.2736546806178727,0.2719837272160668,0.001621080149617503,0.14016190919503402,0.14016190919503402,0.14016190919503402,0.14016190919503402,0,-0.37270162347502417,-0.3638153696985529,-0.36218543326409397,-0.3663614459589081,0.005957876999426366,-0.13349277142283858,-0.13143591162405058,-0.13047888505666175,-0.13182181802103274,0.0016210801496174879,0,0,0,0,0,0,0,0,0,0,0.2706407942516958,0.2715978208190846,0.2736546806178727,0.2719837272160668,0.001621080149617503,0.14016190919503402,0.14016190919503402,0.14016190919503402,0.14016190919503402,0
Female,NHB,FL,mrh-eq,-0.016692230250101022,-0.01643234746651844,-0.016427124559418818,-0.01652170180914404,1.5955117519368691e-4,0,0,0,0,0,-0.016692230250101022,-0.01643234746651844,-0.016427124559418818,-0.01652170180914404,1.5955117519368691e-4,-15.664730868636312,-15.66248936132225,-15.451350307461082,-15.589191976568879,0.1290035597638378,-0.012128916596491858,-0.011923983167617381,-0.011912542581725239,-0.011991875393225217,1.2816361278502914e-4,-0.0045639157897087515,-0.0045204070208927786,-0.004503743527901027,-0.004529826415918821,3.270333382308433e-5,0.037390363552793036,0.03739558645989265,0.037655469243475244,0.03748494080251826,1.5955117519368892e-4,0.020963238993374222,0.020963238993374222,0.020963238993374222,0.020963238993374222,0,0.02802408429453905,0.02803552488043118,0.02824045830930566,0.02810341710603902,1.281636127850278e-4,0.016111541712813805,0.016111541712813805,0.016111541712813805,0.016111541712813805,0,0.00935544080846144,0.009372104301453195,0.009415613070269165,0.009381523696479236,3.270333382308444e-5,0.004851697280560415,0.004851697280560415,0.004851697280560415,0.004851697280560415,0,-0.012128916596491858,-0.011923983167617381,-0.011912542581725239,-0.011991875393225217,1.2816361278502914e-4,-0.0045639157897087515,-0.0045204070208927786,-0.004503743527901027,-0.004529826415918821,3.270333382308433e-5,0,0,0,0,0,0,0,0,0,0,0.00935544080846144,0.009372104301453195,0.009415613070269165,0.009381523696479236,3.270333382308444e-5,0.004851697280560415,0.004851697280560415,0.004851697280560415,0.004851697280560415,0
Female,NHB,Food_price,USD,-0.4769534458396293,-0.4762441061672617,-0.46973540513140966,-0.4742092425309514,0.004187799709877271,0,0,0,0,0,-0.4769534458396293,-0.4762441061672617,-0.46973540513140966,-0.4742092425309514,0.004187799709877271,-15.664730868636312,-15.66248936132225,-15.451350307461082,-15.589191976568879,0.1290035597638378,-0.3180383173200558,-0.3176785293575828,-0.31339401521572857,-0.3163014324525368,0.002719786628897706,-0.15891512851957368,-0.15856557680967884,-0.15634138991568095,-0.15790781007841462,0.0014695005865487257,0.7935616940580605,0.8000703950939126,0.8007797347662802,0.7980355314576023,0.004187799709877267,0.3238262889266509,0.3238262889266509,0.3238262889266509,0.3238262889266509,0,0.5336802381179697,0.537964752259824,0.5383245402222967,0.5365876553547778,0.0027197866288976805,0.22028622290224098,0.22028622290224098,0.22028622290224098,0.22028622290224098,0,0.25988145594009077,0.26210564283408866,0.26245519454398353,0.26144787610282444,0.0014695005865487513,0.10354006602440982,0.10354006602440982,0.10354006602440982,0.10354006602440984,0,-0.3180383173200558,-0.3176785293575828,-0.31339401521572857,-0.3163014324525368,0.002719786628897706,-0.15891512851957368,-0.15856557680967884,-0.15634138991568095,-0.15790781007841462,0.0014695005865487257,0,0,0,0,0,0,0,0,0,0,0.25988145594009077,0.26210564283408866,0.26245519454398353,0.26144787610282444,0.0014695005865487513,0.10354006602440982,0.10354006602440982,0.10354006602440982,0.10354006602440984,0
Female,NHW,CED,MJ,-0.44275954809752643,-0.4425304632909466,-0.43929987713219465,-0.44147730492176346,0.0020365310958025858,0,0,0,0,0,-0.44275954809752643,-0.4425304632909466,-0.43929987713219465,-0.44147730492176346,0.0020365310958025858,-11.556897797401666,-11.53820345457501,-11.529696410715486,-11.541777945440671,0.014647370542955247,-0.33214782656986724,-0.3320423244864446,-0.32974371468072133,-0.3312728130049356,0.0014300876975030978,-0.11061172152765932,-0.11048813880450203,-0.10955616245147334,-0.11020449191682785,6.074419328838907e-4,0.9429479022497392,0.9461784884084913,0.9464075732150713,0.9451253300393082,0.002036531095802685,0.5036480251175446,0.5036480251175446,0.5036480251175446,0.5036480251175446,0,0.7183387646630259,0.7206373744687492,0.7207428765521717,0.7198678629872401,0.0014300876975030298,0.3885950499823047,0.3885950499823047,0.3885950499823047,0.3885950499823047,0,0.22460913758671333,0.225541113939742,0.22566469666289923,0.2252574670520678,6.074419328838526e-4,0.1150529751352399,0.1150529751352399,0.1150529751352399,0.11505297513523989,0,-0.33214782656986724,-0.3320423244864446,-0.32974371468072133,-0.3312728130049356,0.0014300876975030978,-0.11061172152765932,-0.11048813880450203,-0.10955616245147334,-0.11020449191682785,6.074419328838907e-4,0,0,0,0,0,0,0,0,0,0,0.22460913758671333,0.225541113939742,0.22566469666289923,0.2252574670520678,6.074419328838526e-4,0.1150529751352399,0.1150529751352399,0.1150529751352399,0.11505297513523989,0
Female,NHW,FL,mrh-eq,-0.014334541962796632,-0.014321356488700579,-0.014252584864178531,-0.014301852576270405,4.632447901028761e-5,0,0,0,0,0,-0.014334541962796632,-0.014321356488700579,-0.014252584864178531,-0.014301852576270405,4.632447901028761e-5,-11.556897797401666,-11.53820345457501,-11.529696410715486,-11.541777945440671,0.014647370542955247,-0.01056024418577867,-0.010555781922303465,-0.010512046084869832,-0.010542001720914544,2.8034381353425048e-5,-0.0037742977770179563,-0.0037655745663971144,-0.0037405387793086955,-0.0037598508553558594,1.8446373399628955e-5,0.03228913027314738,0.03235790189766943,0.032371087371765486,0.03233839798523926,4.632447901028959e-5,0.018036545408968856,0.018036545408968856,0.018036545408968856,0.018036545408968856,0,0.024410110148689337,0.024453845986122966,0.02445830824959817,0.02444006578473405,2.803438135342305e-5,0.013898064063819505,0.013898064063819505,0.013898064063819505,0.013898064063819505,0,0.00787902012445805,0.007904055911546467,0.00791277912216731,0.007898332200505212,1.844637339962823e-5,0.004138481345149353,0.004138481345149353,0.004138481345149353,0.004138481345149353,0,-0.01056024418577867,-0.010555781922303465,-0.010512046084869832,-0.010542001720914544,2.8034381353425048e-5,-0.0037742977770179563,-0.0037655745663971144,-0.0037405387793086955,-0.0037598508553558594,1.8446373399628955e-5,0,0,0,0,0,0,0,0,0,0,0.00787902012445805,0.007904055911546467,0.00791277912216731,0.007898332200505212,1.844637339962823e-5,0.004138481345149353,0.004138481345149353,0.004138481345149353,0.004138481345149353,0
Female,NHW,Food_price,USD,-0.33818199682540817,-0.3316342045998086,-0.3303369380277494,-0.33347649430280524,0.004426509396173189,0,0,0,0,0,-0.33818199682540817,-0.3316342045998086,-0.3303369380277494,-0.33347649430280524,0.004426509396173189,-11.556897797401666,-11.53820345457501,-11.529696410715486,-11.541777945440671,0.014647370542955247,-0.22622616392631226,-0.22188949203738914,-0.2210688171647107,-0.22312317520098376,0.0029170893276626066,-0.1119558328990959,-0.10974471256241942,-0.10926812086303872,-0.11035331910182145,0.001509587016467132,0.6208808245097538,0.622178091081813,0.6287258833074126,0.6240203807848096,0.004426509396173233,0.29054388648200463,0.29054388648200463,0.29054388648200463,0.29054388648200463,0,0.42078189125625093,0.42160256612892943,0.4259392380178524,0.422836249292524,0.0029170893276625315,0.19971307409154018,0.19971307409154018,0.19971307409154018,0.19971307409154018,0,0.20009893325350314,0.20057552495288383,0.20278664528956025,0.20118413149228584,0.0015095870164671163,0.09083081239046441,0.09083081239046441,0.09083081239046441,0.09083081239046441,0,-0.22622616392631226,-0.22188949203738914,-0.2210688171647107,-0.22312317520098376,0.0029170893276626066,-0.1119558328990959,-0.10974471256241942,-0.10926812086303872,-0.11035331910182145,0.001509587016467132,0,0,0,0,0,0,0,0,0,0,0.20009893325350314,0.20057552495288383,0.20278664528956025,0.20118413149228584,0.0015095870164671163,0.09083081239046441,0.09083081239046441,0.09083081239046441,0.09083081239046441,0
Female,OTH,CED,MJ,-0.32619948788915376,-0.29743290671391465,-0.28508144057461954,-0.3031925962002108,0.022208483830847506,0,0,0,0,0,-0.32619948788915376,-0.29743290671391465,-0.28508144057461954,-0.3031925962002108,0.022208483830847506,-8.843122562346533,-8.57877913244153,-7.992659652375234,-8.465875255191953,0.4581670202914319,-0.24577850543502563,-0.22465839167020232,-0.2145749250167596,-0.22853089942858149,0.01676186442507217,-0.08042098245412806,-0.07277451504371228,-0.0705065155578599,-0.07466169677162926,0.005468096665041765,0.7496015526500158,0.7619530187893107,0.7907195999645499,0.7677127082756069,0.02220848383084744,0.464520112075396,0.464520112075396,0.464520112075396,0.46452011207539606,0,0.5725663101797227,0.5826497768331653,0.6037698905979888,0.5865222845915445,0.016761864425072184,0.3579913851629631,0.3579913851629631,0.3579913851629631,0.3579913851629631,0,0.17703524247029284,0.17930324195614528,0.18694970936656105,0.18119042368406224,0.005468096665041779,0.10652872691243297,0.10652872691243297,0.10652872691243297,0.10652872691243297,0,-0.24577850543502563,-0.22465839167020232,-0.2145749250167596,-0.22853089942858149,0.01676186442507217,-0.08042098245412806,-0.07277451504371228,-0.0705065155578599,-0.07466169677162926,0.005468096665041765,0,0,0,0,0,0,0,0,0,0,0.17703524247029284,0.17930324195614528,0.18694970936656105,0.18119042368406224,0.005468096665041779,0.10652872691243297,0.10652872691243297,0.10652872691243297,0.10652872691243297,0
