Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Mean_Intake,SE_Intake,CF_Mean_Intake,CF_SE_Intake,Intake_unit,GHG_unit,WATER_unit,BLUEWATER_unit,CED_to_intake_conversion,GHG_to_intake_conversion,WATER_to_intake_conversion,BLUEWATER_to_intake_conversion,Food_price_to_intake_conversion,FL_to_intake_conversion,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,HIS,20-34,3,6549965,7.336884092,0.318807647,3.076062972,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0400465668406347,0.0400465668406347,0.0400465668406347
added_sugar,Female,HIS,20-34,3,6549965,7.336884092,0.318807647,3.076062972,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00173588042611765,0.00173588042611765,0.00173588042611765
added_sugar,Female,HIS,20-34,3,6549965,7.336884092,0.318807647,3.076062972,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0915336611832775,0.0915336611832775,0.0915336611832775
added_sugar,Female,HIS,35-44,11,4706043,5.715080026,0.256072832,2.770242457,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0346617982760103,0.0346617982760103,0.0346617982760103
added_sugar,Female,HIS,35-44,11,4706043,5.715080026,0.256072832,2.770242457,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00173182655857364,0.00173182655857364,0.00173182655857364
added_sugar,Female,HIS,35-44,11,4706043,5.715080026,0.256072832,2.770242457,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.096656929085827,0.096656929085827,0.096656929085827
added_sugar,Female,HIS,45-54,19,2981376,5.636557719,0.264504691,2.659948587,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0340184948973572,0.0340184948973572,0.0340184948973572
added_sugar,Female,HIS,45-54,19,2981376,5.636557719,0.264504691,2.659948587,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00161559877715888,0.00161559877715888,0.00161559877715888
added_sugar,Female,HIS,45-54,19,2981376,5.636557719,0.264504691,2.659948587,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.08135673835125,0.08135673835125,0.08135673835125
added_sugar,Female,HIS,55-64,27,2911586,5.022346055,0.311315568,2.268156283,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0286948843876611,0.0286948843876611,0.0286948843876611
added_sugar,Female,HIS,55-64,27,2911586,5.022346055,0.311315568,2.268156283,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00137349959250195,0.00137349959250195,0.00137349959250195
added_sugar,Female,HIS,55-64,27,2911586,5.022346055,0.311315568,2.268156283,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0634185319324428,0.0634185319324428,0.0634185319324428
added_sugar,Female,HIS,65-74,35,1616432,3.130704687,0.257879447,1.720803038,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0209120543675468,0.0209120543675468,0.0209120543675468
added_sugar,Female,HIS,65-74,35,1616432,3.130704687,0.257879447,1.720803038,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00115472845682362,0.00115472845682362,0.00115472845682362
added_sugar,Female,HIS,65-74,35,1616432,3.130704687,0.257879447,1.720803038,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0382012765544418,0.0382012765544418,0.0382012765544418
added_sugar,Female,HIS,75+,43,737080,3.91778961,0.239701608,1.901632754,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0230111995026267,0.0230111995026267,0.0230111995026267
added_sugar,Female,HIS,75+,43,737080,3.91778961,0.239701608,1.901632754,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00129093114635621,0.00129093114635621,0.00129093114635621
added_sugar,Female,HIS,75+,43,737080,3.91778961,0.239701608,1.901632754,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0705550470693765,0.0705550470693765,0.0705550470693765
added_sugar,Female,NHB,20-34,2,4596338,9.101918056,0.431751215,3.584539157,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.047412913466733,0.047412913466733,0.047412913466733
added_sugar,Female,NHB,20-34,2,4596338,9.101918056,0.431751215,3.584539157,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00186370213704968,0.00186370213704968,0.00186370213704968
added_sugar,Female,NHB,20-34,2,4596338,9.101918056,0.431751215,3.584539157,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.128107708300455,0.128107708300455,0.128107708300455
added_sugar,Female,NHB,35-44,10,2841551,8.06461754,0.423156193,2.933335162,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0385345637176433,0.0385345637176433,0.0385345637176433
added_sugar,Female,NHB,35-44,10,2841551,8.06461754,0.423156193,2.933335162,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00160959936460402,0.00160959936460402,0.00160959936460402
added_sugar,Female,NHB,35-44,10,2841551,8.06461754,0.423156193,2.933335162,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0899634427713099,0.0899634427713099,0.0899634427713099
added_sugar,Female,NHB,45-54,18,2294986,7.481485813,0.386141203,2.871925199,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0376654369508543,0.0376654369508543,0.0376654369508543
added_sugar,Female,NHB,45-54,18,2294986,7.481485813,0.386141203,2.871925199,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00159645650641684,0.00159645650641684,0.00159645650641684
added_sugar,Female,NHB,45-54,18,2294986,7.481485813,0.386141203,2.871925199,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0890211480808279,0.0890211480808279,0.0890211480808279
added_sugar,Female,NHB,55-64,26,3005374,6.895535336,0.368406907,2.656995267,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0338904393030389,0.0338904393030389,0.0338904393030389
added_sugar,Female,NHB,55-64,26,3005374,6.895535336,0.368406907,2.656995267,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.0015293664999556,0.0015293664999556,0.0015293664999556
added_sugar,Female,NHB,55-64,26,3005374,6.895535336,0.368406907,2.656995267,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0866252689669566,0.0866252689669566,0.0866252689669566
added_sugar,Female,NHB,65-74,34,1390166,5.069075426,0.211211476,1.839085292,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0234433067785935,0.0234433067785935,0.0234433067785935
added_sugar,Female,NHB,65-74,34,1390166,5.069075426,0.211211476,1.839085292,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00116755060407723,0.00116755060407723,0.00116755060407723
added_sugar,Female,NHB,65-74,34,1390166,5.069075426,0.211211476,1.839085292,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0707575614816199,0.0707575614816199,0.0707575614816199
added_sugar,Female,NHB,75+,42,1249362,4.460307686,0.391123102,1.790140353,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.022661904566828,0.022661904566828,0.022661904566828
added_sugar,Female,NHB,75+,42,1249362,4.460307686,0.391123102,1.790140353,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00115496347325042,0.00115496347325042,0.00115496347325042
added_sugar,Female,NHB,75+,42,1249362,4.460307686,0.391123102,1.790140353,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0508489286083101,0.0508489286083101,0.0508489286083101
added_sugar,Female,NHW,20-34,1,18192633,7.05996697,0.292664447,3.214806388,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0407547312947012,0.0407547312947012,0.0407547312947012
added_sugar,Female,NHW,20-34,1,18192633,7.05996697,0.292664447,3.214806388,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00187522685423657,0.00187522685423657,0.00187522685423657
added_sugar,Female,NHW,20-34,1,18192633,7.05996697,0.292664447,3.214806388,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.12694705025601,0.12694705025601,0.12694705025601
added_sugar,Female,NHW,35-44,9,10789518,5.777862837,0.402939376,2.568738521,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0328632378495078,0.0328632378495078,0.0328632378495078
added_sugar,Female,NHW,35-44,9,10789518,5.777862837,0.402939376,2.568738521,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00154082393522281,0.00154082393522281,0.00154082393522281
added_sugar,Female,NHW,35-44,9,10789518,5.777862837,0.402939376,2.568738521,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0940419513818115,0.0940419513818115,0.0940419513818115
added_sugar,Female,NHW,45-54,17,12961330,5.173423375,0.422438374,2.065897254,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0264275190613655,0.0264275190613655,0.0264275190613655
added_sugar,Female,NHW,45-54,17,12961330,5.173423375,0.422438374,2.065897254,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00116918855843196,0.00116918855843196,0.00116918855843196
added_sugar,Female,NHW,45-54,17,12961330,5.173423375,0.422438374,2.065897254,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.06192068720748,0.06192068720748,0.06192068720748
added_sugar,Female,NHW,55-64,25,16626401,4.761551875,0.279923266,2.039440935,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0259433933362418,0.0259433933362418,0.0259433933362418
added_sugar,Female,NHW,55-64,25,16626401,4.761551875,0.279923266,2.039440935,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.0012507015815282,0.0012507015815282,0.0012507015815282
added_sugar,Female,NHW,55-64,25,16626401,4.761551875,0.279923266,2.039440935,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0696762888320811,0.0696762888320811,0.0696762888320811
added_sugar,Female,NHW,65-74,33,11513863,3.796359188,0.167556837,1.709079736,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0214976999366925,0.0214976999366925,0.0214976999366925
added_sugar,Female,NHW,65-74,33,11513863,3.796359188,0.167556837,1.709079736,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.0010445919013568,0.0010445919013568,0.0010445919013568
added_sugar,Female,NHW,65-74,33,11513863,3.796359188,0.167556837,1.709079736,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0643910970592758,0.0643910970592758,0.0643910970592758
added_sugar,Female,NHW,75+,41,9145660,4.215096021,0.171797829,1.727657038,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0211733367699045,0.0211733367699045,0.0211733367699045
added_sugar,Female,NHW,75+,41,9145660,4.215096021,0.171797829,1.727657038,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00116893871613851,0.00116893871613851,0.00116893871613851
added_sugar,Female,NHW,75+,41,9145660,4.215096021,0.171797829,1.727657038,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.054515347660999,0.054515347660999,0.054515347660999
added_sugar,Female,OTH,20-34,4,3878604,6.183358511,0.397342171,3.187666409,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0416742317018708,0.0416742317018708,0.0416742317018708
added_sugar,Female,OTH,20-34,4,3878604,6.183358511,0.397342171,3.187666409,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00189462292685557,0.00189462292685557,0.00189462292685557
added_sugar,Female,OTH,20-34,4,3878604,6.183358511,0.397342171,3.187666409,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.123118502006832,0.123118502006832,0.123118502006832
added_sugar,Female,OTH,35-44,12,2705155,5.232982927,0.338530334,2.25897812,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.028409713434026,0.028409713434026,0.028409713434026
added_sugar,Female,OTH,35-44,12,2705155,5.232982927,0.338530334,2.25897812,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.001437715788688,0.001437715788688,0.001437715788688
added_sugar,Female,OTH,35-44,12,2705155,5.232982927,0.338530334,2.25897812,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0693354371748078,0.0693354371748078,0.0693354371748078
added_sugar,Female,OTH,45-54,20,1908325,2.856626882,0.311674631,1.673200651,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0208341923134308,0.0208341923134308,0.0208341923134308
added_sugar,Female,OTH,45-54,20,1908325,2.856626882,0.311674631,1.673200651,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00104431024296611,0.00104431024296611,0.00104431024296611
added_sugar,Female,OTH,45-54,20,1908325,2.856626882,0.311674631,1.673200651,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0511165361002588,0.0511165361002588,0.0511165361002588
added_sugar,Female,OTH,55-64,28,2629488,3.726044561,0.396086742,2.020042382,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.026171421846823,0.026171421846823,0.026171421846823
added_sugar,Female,OTH,55-64,28,2629488,3.726044561,0.396086742,2.020042382,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00124835017773536,0.00124835017773536,0.00124835017773536
added_sugar,Female,OTH,55-64,28,2629488,3.726044561,0.396086742,2.020042382,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0931512127287049,0.0931512127287049,0.0931512127287049
added_sugar,Female,OTH,65-74,36,1089947,2.409806483,0.258418655,1.500088779,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0195710879587858,0.0195710879587858,0.0195710879587858
added_sugar,Female,OTH,65-74,36,1089947,2.409806483,0.258418655,1.500088779,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00103892149065925,0.00103892149065925,0.00103892149065925
added_sugar,Female,OTH,65-74,36,1089947,2.409806483,0.258418655,1.500088779,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0570474080343415,0.0570474080343415,0.0570474080343415
added_sugar,Female,OTH,75+,44,689818,2.599280674,0.363147954,1.27727901,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0159054425376964,0.0159054425376964,0.0159054425376964
added_sugar,Female,OTH,75+,44,689818,2.599280674,0.363147954,1.27727901,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.000786833679830917,0.000786833679830917,0.000786833679830917
added_sugar,Female,OTH,75+,44,689818,2.599280674,0.363147954,1.27727901,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0322221216457503,0.0322221216457503,0.0322221216457503
added_sugar,Male,HIS,20-34,7,6886181,7.543377618,0.378704168,3.653983459,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0488037742498208,0.0488037742498208,0.0488037742498208
added_sugar,Male,HIS,20-34,7,6886181,7.543377618,0.378704168,3.653983459,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00178505852973593,0.00178505852973593,0.00178505852973593
added_sugar,Male,HIS,20-34,7,6886181,7.543377618,0.378704168,3.653983459,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.122127491624791,0.122127491624791,0.122127491624791
added_sugar,Male,HIS,35-44,15,4477083,6.123810974,0.375950196,2.982538223,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0387617901417698,0.0387617901417698,0.0387617901417698
added_sugar,Male,HIS,35-44,15,4477083,6.123810974,0.375950196,2.982538223,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00163631158230408,0.00163631158230408,0.00163631158230408
added_sugar,Male,HIS,35-44,15,4477083,6.123810974,0.375950196,2.982538223,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0934236002398955,0.0934236002398955,0.0934236002398955
added_sugar,Male,HIS,45-54,23,3207152,5.505628958,0.347102027,2.636498374,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0346509584854804,0.0346509584854804,0.0346509584854804
added_sugar,Male,HIS,45-54,23,3207152,5.505628958,0.347102027,2.636498374,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.0015586935694605,0.0015586935694605,0.0015586935694605
added_sugar,Male,HIS,45-54,23,3207152,5.505628958,0.347102027,2.636498374,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.071175650474416,0.071175650474416,0.071175650474416
added_sugar,Male,HIS,55-64,31,2832735,4.873515221,0.288198777,2.638127269,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0339090118080553,0.0339090118080553,0.0339090118080553
added_sugar,Male,HIS,55-64,31,2832735,4.873515221,0.288198777,2.638127269,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,FL,mrh-eq,0.00161373699434105,0.00161373699434105,0.00161373699434105
added_sugar,Male,HIS,55-64,31,2832735,4.873515221,0.288198777,2.638127269,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,Food_price,USD,0.0537709382743119,0.0537709382743119,0.0537709382743119
added_sugar,Male,HIS,65-74,39,1168063,3.450182257,0.335833048,2.049442705,0,tsp eq/day,kgCO2-eq,L-eq,L,1,1,1,1,1,1,CED,MJ,0.0259803324446262,0.0259803324446262,0.0259803324446262
