age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,18715043.0512312,18715043.0512312,18715043.0512312
20-34,added_sugar,Food_price,USD,35979199.4748458,35979199.4748458,35979199.4748458
20-34,added_sugar,FL,mrh-eq,789700.406297387,789700.406297387,789700.406297387
20-34,oil,CED,MJ,20327974.789372,20327974.789372,20327974.789372
20-34,oil,Food_price,USD,13656749.9325776,13656749.9325776,13656749.9325776
20-34,oil,FL,mrh-eq,1056245.26837522,1056245.26837522,1056245.26837522
20-34,sat_fat,CED,MJ,59342927.4839378,59342927.4839378,59342927.4839378
20-34,sat_fat,Food_price,USD,7075233.69324432,7075233.69324432,7075233.69324432
20-34,sat_fat,FL,mrh-eq,1592554.95316739,1592554.95316739,1592554.95316739
35-44,added_sugar,CED,MJ,11143477.2654389,11143477.2654389,11143477.2654389
35-44,added_sugar,Food_price,USD,19482303.4914776,19482303.4914776,19482303.4914776
35-44,added_sugar,FL,mrh-eq,504789.65610517,504789.65610517,504789.65610517
35-44,oil,CED,MJ,12267087.1636245,12267087.1636245,12267087.1636245
35-44,oil,Food_price,USD,6985533.98001655,6985533.98001655,6985533.98001655
35-44,oil,FL,mrh-eq,611401.337709838,611401.337709838,611401.337709838
35-44,sat_fat,CED,MJ,36569401.063624,36569401.063624,36569401.063624
35-44,sat_fat,Food_price,USD,4048543.83856632,4048543.83856632,4048543.83856632
35-44,sat_fat,FL,mrh-eq,993043.382680314,993043.382680314,993043.382680314
45-54,added_sugar,CED,MJ,10641266.1878857,10641266.1878857,10641266.1878857
45-54,added_sugar,Food_price,USD,17305962.204033,17305962.204033,17305962.204033
45-54,added_sugar,FL,mrh-eq,482849.531925628,482849.531925628,482849.531925628
45-54,oil,CED,MJ,11736146.3404576,11736146.3404576,11736146.3404576
45-54,oil,Food_price,USD,8314729.27246009,8314729.27246009,8314729.27246009
45-54,oil,FL,mrh-eq,619480.188017691,619480.188017691,619480.188017691
45-54,sat_fat,CED,MJ,35205715.6991083,35205715.6991083,35205715.6991083
45-54,sat_fat,Food_price,USD,4058987.77000086,4058987.77000086,4058987.77000086
45-54,sat_fat,FL,mrh-eq,955137.240196149,955137.240196149,955137.240196149
55-64,added_sugar,CED,MJ,12969079.3886631,12969079.3886631,12969079.3886631
55-64,added_sugar,Food_price,USD,20649478.897019,20649478.897019,20649478.897019
55-64,added_sugar,FL,mrh-eq,612184.008266706,612184.008266706,612184.008266706
55-64,oil,CED,MJ,14275509.1504207,14275509.1504207,14275509.1504207
55-64,oil,Food_price,USD,11598925.0396092,11598925.0396092,11598925.0396092
55-64,oil,FL,mrh-eq,737215.725355835,737215.725355835,737215.725355835
55-64,sat_fat,CED,MJ,43145196.9959577,43145196.9959577,43145196.9959577
55-64,sat_fat,Food_price,USD,4705935.94434529,4705935.94434529,4705935.94434529
55-64,sat_fat,FL,mrh-eq,1180020.57536987,1180020.57536987,1180020.57536987
65-74,added_sugar,CED,MJ,8010325.68431523,8010325.68431523,8010325.68431523
65-74,added_sugar,Food_price,USD,12700897.7890766,12700897.7890766,12700897.7890766
65-74,added_sugar,FL,mrh-eq,394583.144595108,394583.144595108,394583.144595108
65-74,oil,CED,MJ,8657866.48838716,8657866.48838716,8657866.48838716
65-74,oil,Food_price,USD,6977276.80798613,6977276.80798613,6977276.80798613
65-74,oil,FL,mrh-eq,417401.844345476,417401.844345476,417401.844345476
65-74,sat_fat,CED,MJ,26446848.658277,26446848.658277,26446848.658277
65-74,sat_fat,Food_price,USD,3051213.81851704,3051213.81851704,3051213.81851704
65-74,sat_fat,FL,mrh-eq,717964.601956275,717964.601956275,717964.601956275
75+,added_sugar,CED,MJ,5473900.63695723,5473900.63695723,5473900.63695723
75+,added_sugar,Food_price,USD,8543209.62156757,8543209.62156757,8543209.62156757
75+,added_sugar,FL,mrh-eq,288346.205732528,288346.205732528,288346.205732528
75+,oil,CED,MJ,6058915.0933022,6058915.0933022,6058915.0933022
75+,oil,Food_price,USD,4873875.70438584,4873875.70438584,4873875.70438584
75+,oil,FL,mrh-eq,289720.108937886,289720.108937886,289720.108937886
75+,sat_fat,CED,MJ,18370093.6178585,18370093.6178585,18370093.6178585
75+,sat_fat,Food_price,USD,2105054.34762054,2105054.34762054,2105054.34762054
75+,sat_fat,FL,mrh-eq,488209.362312839,488209.362312839,488209.362312839
