age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,10360332.2095536,10360332.2095536,10360332.2095536
20-34,NHW,added_sugar,Food_price,USD,21217720.1045201,21217720.1045201,21217720.1045201
20-34,NHW,added_sugar,FL,mrh-eq,449364.046142984,449364.046142984,449364.046142984
20-34,NHW,oil,CED,MJ,11335698.6002971,11335698.6002971,11335698.6002971
20-34,NHW,oil,Food_price,USD,7982194.97314252,7982194.97314252,7982194.97314252
20-34,NHW,oil,FL,mrh-eq,592457.817398797,592457.817398797,592457.817398797
20-34,NHW,sat_fat,CED,MJ,33273837.9407488,33273837.9407488,33273837.9407488
20-34,NHW,sat_fat,Food_price,USD,3883753.74356732,3883753.74356732,3883753.74356732
20-34,NHW,sat_fat,FL,mrh-eq,887197.361893591,887197.361893591,887197.361893591
20-34,NHB,added_sugar,CED,MJ,2471117.49077065,2471117.49077065,2471117.49077065
20-34,NHB,added_sugar,Food_price,USD,4487678.77785948,4487678.77785948,4487678.77785948
20-34,NHB,added_sugar,FL,mrh-eq,96760.829558566,96760.829558566,96760.829558566
20-34,NHB,oil,CED,MJ,2643245.77547133,2643245.77547133,2643245.77547133
20-34,NHB,oil,Food_price,USD,1457252.71787675,1457252.71787675,1457252.71787675
20-34,NHB,oil,FL,mrh-eq,133470.276362315,133470.276362315,133470.276362315
20-34,NHB,sat_fat,CED,MJ,7319637.19583003,7319637.19583003,7319637.19583003
20-34,NHB,sat_fat,Food_price,USD,754341.212597658,754341.212597658,754341.212597658
20-34,NHB,sat_fat,FL,mrh-eq,194277.177465949,194277.177465949,194277.177465949
20-34,HIS,added_sugar,CED,MJ,3739096.35661464,3739096.35661464,3739096.35661464
20-34,HIS,added_sugar,Food_price,USD,6256310.53676594,6256310.53676594,6256310.53676594
20-34,HIS,added_sugar,FL,mrh-eq,148975.903857969,148975.903857969,148975.903857969
20-34,HIS,oil,CED,MJ,4049666.53653166,4049666.53653166,4049666.53653166
20-34,HIS,oil,Food_price,USD,2405956.22097384,2405956.22097384,2405956.22097384
20-34,HIS,oil,FL,mrh-eq,210617.148680966,210617.148680966,210617.148680966
20-34,HIS,sat_fat,CED,MJ,12171468.6897329,12171468.6897329,12171468.6897329
20-34,HIS,sat_fat,Food_price,USD,1544734.87834761,1544734.87834761,1544734.87834761
20-34,HIS,sat_fat,FL,mrh-eq,334399.840279174,334399.840279174,334399.840279174
20-34,OTH,added_sugar,CED,MJ,2144496.99429231,2144496.99429231,2144496.99429231
20-34,OTH,added_sugar,Food_price,USD,4017490.05570023,4017490.05570023,4017490.05570023
20-34,OTH,added_sugar,FL,mrh-eq,94599.6267378676,94599.6267378676,94599.6267378676
20-34,OTH,oil,CED,MJ,2299363.8770719,2299363.8770719,2299363.8770719
20-34,OTH,oil,Food_price,USD,1811346.02058447,1811346.02058447,1811346.02058447
20-34,OTH,oil,FL,mrh-eq,119700.025933137,119700.025933137,119700.025933137
20-34,OTH,sat_fat,CED,MJ,6577983.65762607,6577983.65762607,6577983.65762607
20-34,OTH,sat_fat,Food_price,USD,892403.858731732,892403.858731732,892403.858731732
20-34,OTH,sat_fat,FL,mrh-eq,176680.573528671,176680.573528671,176680.573528671
35-44,NHW,added_sugar,CED,MJ,5866511.15655806,5866511.15655806,5866511.15655806
35-44,NHW,added_sugar,Food_price,USD,10779132.4823685,10779132.4823685,10779132.4823685
35-44,NHW,added_sugar,FL,mrh-eq,263379.245478982,263379.245478982,263379.245478982
35-44,NHW,oil,CED,MJ,6448477.73519583,6448477.73519583,6448477.73519583
35-44,NHW,oil,Food_price,USD,3661085.70049915,3661085.70049915,3661085.70049915
35-44,NHW,oil,FL,mrh-eq,307813.679877886,307813.679877886,307813.679877886
35-44,NHW,sat_fat,CED,MJ,19586221.0685719,19586221.0685719,19586221.0685719
35-44,NHW,sat_fat,Food_price,USD,2169285.93483675,2169285.93483675,2169285.93483675
35-44,NHW,sat_fat,FL,mrh-eq,532068.126378266,532068.126378266,532068.126378266
35-44,NHB,added_sugar,CED,MJ,1459174.40013976,1459174.40013976,1459174.40013976
35-44,NHB,added_sugar,Food_price,USD,2397468.70374886,2397468.70374886,2397468.70374886
35-44,NHB,added_sugar,FL,mrh-eq,58578.558866251,58578.558866251,58578.558866251
35-44,NHB,oil,CED,MJ,1565501.13841378,1565501.13841378,1565501.13841378
35-44,NHB,oil,Food_price,USD,396973.389104947,396973.389104947,396973.389104947
35-44,NHB,oil,FL,mrh-eq,78918.6625435371,78918.6625435371,78918.6625435371
35-44,NHB,sat_fat,CED,MJ,4408502.01380397,4408502.01380397,4408502.01380397
35-44,NHB,sat_fat,Food_price,USD,472382.974236774,472382.974236774,472382.974236774
35-44,NHB,sat_fat,FL,mrh-eq,118531.073254122,118531.073254122,118531.073254122
35-44,HIS,added_sugar,CED,MJ,2481838.92237469,2481838.92237469,2481838.92237469
35-44,HIS,added_sugar,Food_price,USD,4233441.19733235,4233441.19733235,4233441.19733235
35-44,HIS,added_sugar,FL,mrh-eq,114481.590287393,114481.590287393,114481.590287393
35-44,HIS,oil,CED,MJ,2736793.41780685,2736793.41780685,2736793.41780685
35-44,HIS,oil,Food_price,USD,1909875.85528872,1909875.85528872,1909875.85528872
35-44,HIS,oil,FL,mrh-eq,139500.086769979,139500.086769979,139500.086769979
35-44,HIS,sat_fat,CED,MJ,8178749.01112072,8178749.01112072,8178749.01112072
35-44,HIS,sat_fat,Food_price,USD,830650.179378233,830650.179378233,830650.179378233
35-44,HIS,sat_fat,FL,mrh-eq,223568.936107997,223568.936107997,223568.936107997
35-44,OTH,added_sugar,CED,MJ,1335952.78636637,1335952.78636637,1335952.78636637
35-44,OTH,added_sugar,Food_price,USD,2072261.10802794,2072261.10802794,2072261.10802794
35-44,OTH,added_sugar,FL,mrh-eq,68350.2614725438,68350.2614725438,68350.2614725438
35-44,OTH,oil,CED,MJ,1516314.872208,1516314.872208,1516314.872208
35-44,OTH,oil,Food_price,USD,1017599.03512373,1017599.03512373,1017599.03512373
35-44,OTH,oil,FL,mrh-eq,85168.9085184357,85168.9085184357,85168.9085184357
35-44,OTH,sat_fat,CED,MJ,4395928.97012743,4395928.97012743,4395928.97012743
35-44,OTH,sat_fat,Food_price,USD,576224.750114563,576224.750114563,576224.750114563
35-44,OTH,sat_fat,FL,mrh-eq,118875.246939929,118875.246939929,118875.246939929
45-54,NHW,added_sugar,CED,MJ,6413345.77844433,6413345.77844433,6413345.77844433
45-54,NHW,added_sugar,Food_price,USD,11182545.6628724,11182545.6628724,11182545.6628724
45-54,NHW,added_sugar,FL,mrh-eq,288533.879922552,288533.879922552,288533.879922552
45-54,NHW,oil,CED,MJ,7067890.20367902,7067890.20367902,7067890.20367902
45-54,NHW,oil,Food_price,USD,5638295.29155216,5638295.29155216,5638295.29155216
45-54,NHW,oil,FL,mrh-eq,386148.969099034,386148.969099034,386148.969099034
45-54,NHW,sat_fat,CED,MJ,21666935.2947969,21666935.2947969,21666935.2947969
45-54,NHW,sat_fat,Food_price,USD,2273912.52966473,2273912.52966473,2273912.52966473
45-54,NHW,sat_fat,FL,mrh-eq,589541.1815511,589541.1815511,589541.1815511
45-54,NHB,added_sugar,CED,MJ,1282586.77189069,1282586.77189069,1282586.77189069
45-54,NHB,added_sugar,Food_price,USD,1925222.69022871,1925222.69022871,1925222.69022871
45-54,NHB,added_sugar,FL,mrh-eq,54792.4724521839,54792.4724521839,54792.4724521839
45-54,NHB,oil,CED,MJ,1387327.77518552,1387327.77518552,1387327.77518552
45-54,NHB,oil,Food_price,USD,805286.54299056,805286.54299056,805286.54299056
45-54,NHB,oil,FL,mrh-eq,67333.6456648902,67333.6456648902,67333.6456648902
