age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,48169277.6188753,48169277.6188753,48169277.6188753
20-34,Female,Food_price,USD,28445016.3872835,28445016.3872835,28445016.3872835
20-34,Female,FL,mrh-eq,1697251.98603671,1697251.98603671,1697251.98603671
20-34,Male,CED,MJ,50216667.7056657,50216667.7056657,50216667.7056657
20-34,Male,Food_price,USD,28266166.7133841,28266166.7133841,28266166.7133841
20-34,Male,FL,mrh-eq,1741248.64180328,1741248.64180328,1741248.64180328
35-44,Female,CED,MJ,30604848.8661914,30604848.8661914,30604848.8661914
35-44,Female,Food_price,USD,15016445.9462584,15016445.9462584,15016445.9462584
35-44,Female,FL,mrh-eq,1080273.51698018,1080273.51698018,1080273.51698018
35-44,Male,CED,MJ,29375116.626496,29375116.626496,29375116.626496
35-44,Male,Food_price,USD,15499935.3638021,15499935.3638021,15499935.3638021
35-44,Male,FL,mrh-eq,1028960.85951514,1028960.85951514,1028960.85951514
45-54,Female,CED,MJ,29435386.9428186,29435386.9428186,29435386.9428186
45-54,Female,Food_price,USD,15485512.5775229,15485512.5775229,15485512.5775229
45-54,Female,FL,mrh-eq,1049846.64384465,1049846.64384465,1049846.64384465
45-54,Male,CED,MJ,28147741.284633,28147741.284633,28147741.284633
45-54,Male,Food_price,USD,14194166.668971,14194166.668971,14194166.668971
45-54,Male,FL,mrh-eq,1007620.31629482,1007620.31629482,1007620.31629482
55-64,Female,CED,MJ,36885276.3952323,36885276.3952323,36885276.3952323
55-64,Female,Food_price,USD,20460833.9198391,20460833.9198391,20460833.9198391
55-64,Female,FL,mrh-eq,1319814.34745711,1319814.34745711,1319814.34745711
55-64,Male,CED,MJ,33504509.1398092,33504509.1398092,33504509.1398092
55-64,Male,Food_price,USD,16493505.9611343,16493505.9611343,16493505.9611343
55-64,Male,FL,mrh-eq,1209605.96153529,1209605.96153529,1209605.96153529
65-74,Female,CED,MJ,23050887.1091231,23050887.1091231,23050887.1091231
65-74,Female,Food_price,USD,13002667.4106169,13002667.4106169,13002667.4106169
65-74,Female,FL,mrh-eq,814162.547207015,814162.547207015,814162.547207015
65-74,Male,CED,MJ,20064153.7218563,20064153.7218563,20064153.7218563
65-74,Male,Food_price,USD,9726721.0049629,9726721.0049629,9726721.0049629
65-74,Male,FL,mrh-eq,715787.043689844,715787.043689844,715787.043689844
75+,Female,CED,MJ,17075472.6758005,17075472.6758005,17075472.6758005
75+,Female,Food_price,USD,9100350.92855364,9100350.92855364,9100350.92855364
75+,Female,FL,mrh-eq,613440.818078196,613440.818078196,613440.818078196
75+,Male,CED,MJ,12827436.6723174,12827436.6723174,12827436.6723174
75+,Male,Food_price,USD,6421788.74502031,6421788.74502031,6421788.74502031
75+,Male,FL,mrh-eq,452834.858905058,452834.858905058,452834.858905058
