age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,added_sugar,CED,MJ,4881480.05366017,4881480.05366017,4881480.05366017
20-34,Female,NHW,added_sugar,Food_price,USD,10487104.7202003,10487104.7202003,10487104.7202003
20-34,Female,NHW,added_sugar,FL,mrh-eq,224609.07468267,224609.07468267,224609.07468267
20-34,Female,NHW,oil,CED,MJ,5501856.88583398,5501856.88583398,5501856.88583398
20-34,Female,NHW,oil,Food_price,USD,3837682.94575975,3837682.94575975,3837682.94575975
20-34,Female,NHW,oil,FL,mrh-eq,293309.075343999,293309.075343999,293309.075343999
20-34,Female,NHW,sat_fat,CED,MJ,15956750.4141891,15956750.4141891,15956750.4141891
20-34,Female,NHW,sat_fat,Food_price,USD,1888553.49047047,1888553.49047047,1888553.49047047
20-34,Female,NHW,sat_fat,FL,mrh-eq,415901.376928044,415901.376928044,415901.376928044
20-34,Female,NHB,added_sugar,CED,MJ,1281301.23512032,1281301.23512032,1281301.23512032
20-34,Female,NHB,added_sugar,Food_price,USD,2355741.32338201,2355741.32338201,2355741.32338201
20-34,Female,NHB,added_sugar,FL,mrh-eq,50365.2628681768,50365.2628681768,50365.2628681768
20-34,Female,NHB,oil,CED,MJ,1375563.01739523,1375563.01739523,1375563.01739523
20-34,Female,NHB,oil,Food_price,USD,1028868.08496779,1028868.08496779,1028868.08496779
20-34,Female,NHB,oil,FL,mrh-eq,70862.5956622057,70862.5956622057,70862.5956622057
20-34,Female,NHB,sat_fat,CED,MJ,3800517.11380644,3800517.11380644,3800517.11380644
20-34,Female,NHB,sat_fat,Food_price,USD,424214.291088771,424214.291088771,424214.291088771
20-34,Female,NHB,sat_fat,FL,mrh-eq,99577.5335787528,99577.5335787528,99577.5335787528
20-34,Female,HIS,added_sugar,CED,MJ,1804027.17064995,1804027.17064995,1804027.17064995
20-34,Female,HIS,added_sugar,Food_price,USD,2737519.36593433,2737519.36593433,2737519.36593433
20-34,Female,HIS,added_sugar,FL,mrh-eq,78198.3500902276,78198.3500902276,78198.3500902276
20-34,Female,HIS,oil,CED,MJ,2000573.25764656,2000573.25764656,2000573.25764656
20-34,Female,HIS,oil,Food_price,USD,1356367.23151358,1356367.23151358,1356367.23151358
20-34,Female,HIS,oil,FL,mrh-eq,103264.433770542,103264.433770542,103264.433770542
20-34,Female,HIS,sat_fat,CED,MJ,5975641.12818093,5975641.12818093,5975641.12818093
20-34,Female,HIS,sat_fat,Food_price,USD,880681.945757201,880681.945757201,880681.945757201
20-34,Female,HIS,sat_fat,FL,mrh-eq,163584.574936006,163584.574936006,163584.574936006
20-34,Female,OTH,added_sugar,CED,MJ,1072944.6427268,1072944.6427268,1072944.6427268
20-34,Female,OTH,added_sugar,Food_price,USD,2084219.04576671,2084219.04576671,2084219.04576671
20-34,Female,OTH,added_sugar,FL,mrh-eq,48778.9561160835,48778.9561160835,48778.9561160835
20-34,Female,OTH,oil,CED,MJ,1179189.13359773,1179189.13359773,1179189.13359773
20-34,Female,OTH,oil,Food_price,USD,935185.842468623,935185.842468623,935185.842468623
20-34,Female,OTH,oil,FL,mrh-eq,60354.1841565668,60354.1841565668,60354.1841565668
20-34,Female,OTH,sat_fat,CED,MJ,3339433.56606802,3339433.56606802,3339433.56606802
20-34,Female,OTH,sat_fat,Food_price,USD,428878.099974001,428878.099974001,428878.099974001
20-34,Female,OTH,sat_fat,FL,mrh-eq,88446.5679034358,88446.5679034358,88446.5679034358
20-34,Male,NHW,added_sugar,CED,MJ,5478852.15589339,5478852.15589339,5478852.15589339
20-34,Male,NHW,added_sugar,Food_price,USD,10730615.3843198,10730615.3843198,10730615.3843198
20-34,Male,NHW,added_sugar,FL,mrh-eq,224754.971460314,224754.971460314,224754.971460314
20-34,Male,NHW,oil,CED,MJ,5833841.7144631,5833841.7144631,5833841.7144631
20-34,Male,NHW,oil,Food_price,USD,4144512.02738277,4144512.02738277,4144512.02738277
20-34,Male,NHW,oil,FL,mrh-eq,299148.742054798,299148.742054798,299148.742054798
20-34,Male,NHW,sat_fat,CED,MJ,17317087.5265596,17317087.5265596,17317087.5265596
20-34,Male,NHW,sat_fat,Food_price,USD,1995200.25309686,1995200.25309686,1995200.25309686
20-34,Male,NHW,sat_fat,FL,mrh-eq,471295.984965547,471295.984965547,471295.984965547
20-34,Male,NHB,added_sugar,CED,MJ,1189816.25565033,1189816.25565033,1189816.25565033
20-34,Male,NHB,added_sugar,Food_price,USD,2131937.45447747,2131937.45447747,2131937.45447747
20-34,Male,NHB,added_sugar,FL,mrh-eq,46395.5666903892,46395.5666903892,46395.5666903892
20-34,Male,NHB,oil,CED,MJ,1267682.7580761,1267682.7580761,1267682.7580761
20-34,Male,NHB,oil,Food_price,USD,428384.632908963,428384.632908963,428384.632908963
20-34,Male,NHB,oil,FL,mrh-eq,62607.6807001094,62607.6807001094,62607.6807001094
20-34,Male,NHB,sat_fat,CED,MJ,3519120.08202359,3519120.08202359,3519120.08202359
20-34,Male,NHB,sat_fat,Food_price,USD,330126.921508887,330126.921508887,330126.921508887
20-34,Male,NHB,sat_fat,FL,mrh-eq,94699.6438871965,94699.6438871965,94699.6438871965
20-34,Male,HIS,added_sugar,CED,MJ,1935069.18596469,1935069.18596469,1935069.18596469
20-34,Male,HIS,added_sugar,Food_price,USD,3518791.17083161,3518791.17083161,3518791.17083161
20-34,Male,HIS,added_sugar,FL,mrh-eq,70777.5537677418,70777.5537677418,70777.5537677418
20-34,Male,HIS,oil,CED,MJ,2049093.27888511,2049093.27888511,2049093.27888511
20-34,Male,HIS,oil,Food_price,USD,1049588.98946026,1049588.98946026,1049588.98946026
20-34,Male,HIS,oil,FL,mrh-eq,107352.714910425,107352.714910425,107352.714910425
20-34,Male,HIS,sat_fat,CED,MJ,6195827.561552,6195827.561552,6195827.561552
20-34,Male,HIS,sat_fat,Food_price,USD,664052.932590406,664052.932590406,664052.932590406
20-34,Male,HIS,sat_fat,FL,mrh-eq,170815.265343167,170815.265343167,170815.265343167
20-34,Male,OTH,added_sugar,CED,MJ,1071552.35156551,1071552.35156551,1071552.35156551
20-34,Male,OTH,added_sugar,Food_price,USD,1933271.00993352,1933271.00993352,1933271.00993352
20-34,Male,OTH,added_sugar,FL,mrh-eq,45820.6706217841,45820.6706217841,45820.6706217841
20-34,Male,OTH,oil,CED,MJ,1120174.74347417,1120174.74347417,1120174.74347417
20-34,Male,OTH,oil,Food_price,USD,876160.178115848,876160.178115848,876160.178115848
