race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
NHW,added_sugar,CED,MJ,41688937.1049417,41688937.1049417,41688937.1049417
NHW,added_sugar,Food_price,USD,74089007.8732673,74089007.8732673,74089007.8732673
NHW,added_sugar,FL,mrh-eq,1931370.16069519,1931370.16069519,1931370.16069519
NHW,oil,CED,MJ,45652557.7562025,45652557.7562025,45652557.7562025
NHW,oil,Food_price,USD,34993132.0433554,34993132.0433554,34993132.0433554
NHW,oil,FL,mrh-eq,2324535.56516704,2324535.56516704,2324535.56516704
NHW,sat_fat,CED,MJ,138708427.984439,138708427.984439,138708427.984439
NHW,sat_fat,Food_price,USD,15407769.4652463,15407769.4652463,15407769.4652463
NHW,sat_fat,FL,mrh-eq,3754581.73503342,3754581.73503342,3754581.73503342
NHB,added_sugar,CED,MJ,7802519.86573305,7802519.86573305,7802519.86573305
NHB,added_sugar,Food_price,USD,12773390.7276106,12773390.7276106,12773390.7276106
NHB,added_sugar,FL,mrh-eq,328430.607993673,328430.607993673,328430.607993673
NHB,oil,CED,MJ,8406084.98698448,8406084.98698448,8406084.98698448
NHB,oil,Food_price,USD,4171706.96050425,4171706.96050425,4171706.96050425
NHB,oil,FL,mrh-eq,415007.773353337,415007.773353337,415007.773353337
NHB,sat_fat,CED,MJ,23511812.7734778,23511812.7734778,23511812.7734778
NHB,sat_fat,Food_price,USD,2615482.04435147,2615482.04435147,2615482.04435147
NHB,sat_fat,FL,mrh-eq,628796.390863552,628796.390863552,628796.390863552
HIS,added_sugar,CED,MJ,10545232.2765238,10545232.2765238,10545232.2765238
HIS,added_sugar,Food_price,USD,16381061.56679,16381061.56679,16381061.56679
HIS,added_sugar,FL,mrh-eq,472036.505704901,472036.505704901,472036.505704901
HIS,oil,CED,MJ,11556975.7316361,11556975.7316361,11556975.7316361
HIS,oil,Food_price,USD,7905696.13506651,7905696.13506651,7905696.13506651
HIS,oil,FL,mrh-eq,585688.047824683,585688.047824683,585688.047824683
HIS,sat_fat,CED,MJ,34617690.0624641,34617690.0624641,34617690.0624641
HIS,sat_fat,Food_price,USD,3993097.56251158,3993097.56251158,3993097.56251158
HIS,sat_fat,FL,mrh-eq,946356.588763092,946356.588763092,946356.588763092
OTH,added_sugar,CED,MJ,6916402.96729275,6916402.96729275,6916402.96729275
OTH,added_sugar,Food_price,USD,11417591.3103515,11417591.3103515,11417591.3103515
OTH,added_sugar,FL,mrh-eq,340615.678528766,340615.678528766,340615.678528766
OTH,oil,CED,MJ,7707880.55074105,7707880.55074105,7707880.55074105
OTH,oil,Food_price,USD,5336555.59810925,5336555.59810925,5336555.59810925
OTH,oil,FL,mrh-eq,406233.086396878,406233.086396878,406233.086396878
OTH,sat_fat,CED,MJ,22242252.6983824,22242252.6983824,22242252.6983824
OTH,sat_fat,Food_price,USD,3028620.34018505,3028620.34018505,3028620.34018505
OTH,sat_fat,FL,mrh-eq,597195.401022763,597195.401022763,597195.401022763
