sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,116494544.575557,116494544.575557,116494544.575557
Female,NHW,Food_price,USD,65062427.6280903,65062427.6280903,65062427.6280903
Female,NHW,FL,mrh-eq,4135755.87370776,4135755.87370776,4135755.87370776
Female,NHB,CED,MJ,21567295.277805,21567295.277805,21567295.277805
Female,NHB,Food_price,USD,11373398.7813159,11373398.7813159,11373398.7813159
Female,NHB,FL,mrh-eq,746615.36896767,746615.36896767,746615.36896767
Female,HIS,CED,MJ,28593697.0657784,28593697.0657784,28593697.0657784
Female,HIS,Food_price,USD,14406897.0298453,14406897.0298453,14406897.0298453
Female,HIS,FL,mrh-eq,1019656.20031909,1019656.20031909,1019656.20031909
Female,OTH,CED,MJ,18565612.6889003,18565612.6889003,18565612.6889003
Female,OTH,Food_price,USD,10668103.7308229,10668103.7308229,10668103.7308229
Female,OTH,FL,mrh-eq,672762.416609341,672762.416609341,672762.416609341
Male,NHW,CED,MJ,109555378.270026,109555378.270026,109555378.270026
Male,NHW,Food_price,USD,59427481.7537786,59427481.7537786,59427481.7537786
Male,NHW,FL,mrh-eq,3874731.58718789,3874731.58718789,3874731.58718789
Male,NHB,CED,MJ,18153122.3483904,18153122.3483904,18153122.3483904
Male,NHB,Food_price,USD,8187180.9511505,8187180.9511505,8187180.9511505
Male,NHB,FL,mrh-eq,625619.403242892,625619.403242892,625619.403242892
Male,HIS,CED,MJ,28126201.0048456,28126201.0048456,28126201.0048456
Male,HIS,Food_price,USD,13872958.2345228,13872958.2345228,13872958.2345228
Male,HIS,FL,mrh-eq,984424.941973586,984424.941973586,984424.941973586
Male,OTH,CED,MJ,18300923.5275159,18300923.5275159,18300923.5275159
Male,OTH,Food_price,USD,9114663.51782287,9114663.51782287,9114663.51782287
Male,OTH,FL,mrh-eq,671281.749339067,671281.749339067,671281.749339067
