age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,42074486.3034901,42074486.3034901,42074486.3034901
20-34,NHW,Food_price,USD,23725043.2054291,23725043.2054291,23725043.2054291
20-34,NHW,FL,mrh-eq,1478680.61161392,1478680.61161392,1478680.61161392
20-34,NHB,CED,MJ,9470816.68544007,9470816.68544007,9470816.68544007
20-34,NHB,Food_price,USD,4765929.74128419,4765929.74128419,4765929.74128419
20-34,NHB,FL,mrh-eq,324835.45745551,324835.45745551,324835.45745551
20-34,HIS,CED,MJ,15158559.0507406,15158559.0507406,15158559.0507406
20-34,HIS,Food_price,USD,7328520.27815142,7328520.27815142,7328520.27815142
20-34,HIS,FL,mrh-eq,530065.103707084,530065.103707084,530065.103707084
20-34,OTH,CED,MJ,8406299.18215698,8406299.18215698,8406299.18215698
20-34,OTH,Food_price,USD,4863698.93942437,4863698.93942437,4863698.93942437
20-34,OTH,FL,mrh-eq,298720.997205538,298720.997205538,298720.997205538
35-44,NHW,CED,MJ,24318942.5300692,24318942.5300692,24318942.5300692
35-44,NHW,Food_price,USD,11859863.8575315,11859863.8575315,11859863.8575315
35-44,NHW,FL,mrh-eq,839999.81710785,839999.81710785,839999.81710785
35-44,NHB,CED,MJ,5657311.49940949,5657311.49940949,5657311.49940949
35-44,NHB,Food_price,USD,2280717.7549397,2280717.7549397,2280717.7549397
35-44,NHB,FL,mrh-eq,195652.269003194,195652.269003194,195652.269003194
35-44,HIS,CED,MJ,10176572.8243053,10176572.8243053,10176572.8243053
35-44,HIS,Food_price,USD,5039326.14722816,5039326.14722816,5039326.14722816
35-44,HIS,FL,mrh-eq,363177.530709735,363177.530709735,363177.530709735
35-44,OTH,CED,MJ,5547588.8908337,5547588.8908337,5547588.8908337
35-44,OTH,Food_price,USD,2671909.08250502,2671909.08250502,2671909.08250502
35-44,OTH,FL,mrh-eq,208280.72076558,208280.72076558,208280.72076558
45-54,NHW,CED,MJ,26838240.5069388,26838240.5069388,26838240.5069388
45-54,NHW,Food_price,USD,13866047.5781944,13866047.5781944,13866047.5781944
45-54,NHW,FL,mrh-eq,967376.826531284,967376.826531284,967376.826531284
45-54,NHB,CED,MJ,4950011.10249622,4950011.10249622,4950011.10249622
45-54,NHB,Food_price,USD,2310569.68666971,2310569.68666971,2310569.68666971
45-54,NHB,FL,mrh-eq,171494.670414052,171494.670414052,171494.670414052
45-54,HIS,CED,MJ,6862696.4714445,6862696.4714445,6862696.4714445
45-54,HIS,Food_price,USD,3097652.32120925,3097652.32120925,3097652.32120925
45-54,HIS,FL,mrh-eq,242055.106377074,242055.106377074,242055.106377074
45-54,OTH,CED,MJ,5278697.34686206,5278697.34686206,5278697.34686206
45-54,OTH,Food_price,USD,2257691.85908601,2257691.85908601,2257691.85908601
45-54,OTH,FL,mrh-eq,190461.252506235,190461.252506235,190461.252506235
55-64,NHW,CED,MJ,36431689.7383295,36431689.7383295,36431689.7383295
55-64,NHW,Food_price,USD,18500362.7424063,18500362.7424063,18500362.7424063
55-64,NHW,FL,mrh-eq,1311198.93850062,1311198.93850062,1311198.93850062
55-64,NHB,CED,MJ,5419786.18264561,5419786.18264561,5419786.18264561
55-64,NHB,Food_price,USD,2534528.65574744,2534528.65574744,2534528.65574744
55-64,NHB,FL,mrh-eq,189844.868891942,189844.868891942,189844.868891942
55-64,HIS,CED,MJ,6404422.10972308,6404422.10972308,6404422.10972308
55-64,HIS,Food_price,USD,2939009.16695351,2939009.16695351,2939009.16695351
55-64,HIS,FL,mrh-eq,230003.576177733,230003.576177733,230003.576177733
55-64,OTH,CED,MJ,5217594.98344996,5217594.98344996,5217594.98344996
55-64,OTH,Food_price,USD,2992238.99693257,2992238.99693257,2992238.99693257
55-64,OTH,FL,mrh-eq,191374.05447264,191374.05447264,191374.05447264
65-74,NHW,CED,MJ,24821282.6055114,24821282.6055114,24821282.6055114
65-74,NHW,Food_price,USD,12907553.7732143,12907553.7732143,12907553.7732143
65-74,NHW,FL,mrh-eq,874351.046831168,874351.046831168,874351.046831168
65-74,NHB,CED,MJ,2673311.72635455,2673311.72635455,2673311.72635455
65-74,NHB,Food_price,USD,1116249.0953566,1116249.0953566,1116249.0953566
65-74,NHB,FL,mrh-eq,93852.9661437123,93852.9661437123,93852.9661437123
65-74,HIS,CED,MJ,3053262.6413513,3053262.6413513,3053262.6413513
65-74,HIS,Food_price,USD,1474245.09940887,1474245.09940887,1474245.09940887
65-74,HIS,FL,mrh-eq,109393.837973002,109393.837973002,109393.837973002
65-74,OTH,CED,MJ,2273684.01308686,2273684.01308686,2273684.01308686
65-74,OTH,Food_price,USD,1101579.96109866,1101579.96109866,1101579.96109866
65-74,OTH,FL,mrh-eq,83371.8776733516,83371.8776733516,83371.8776733516
75+,NHW,CED,MJ,18095417.0476901,18095417.0476901,18095417.0476901
75+,NHW,Food_price,USD,9333071.72207114,9333071.72207114,9333071.72207114
75+,NHW,FL,mrh-eq,640202.749262399,640202.749262399,640202.749262399
75+,NHB,CED,MJ,2017357.76406488,2017357.76406488,2017357.76406488
75+,NHB,Food_price,USD,936990.72355296,936990.72355296,936990.72355296
75+,NHB,FL,mrh-eq,69747.4145818426,69747.4145818426,69747.4145818426
75+,HIS,CED,MJ,1445738.96933831,1445738.96933831,1445738.96933831
75+,HIS,Food_price,USD,635181.224783388,635181.224783388,635181.224783388
75+,HIS,FL,mrh-eq,50739.6291242339,50739.6291242339,50739.6291242339
75+,OTH,CED,MJ,1450351.26116335,1450351.26116335,1450351.26116335
75+,OTH,Food_price,USD,481648.010649169,481648.010649169,481648.010649169
75+,OTH,FL,mrh-eq,53272.176790032,53272.176790032,53272.176790032
