race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,172580058.732029,172580058.732029,172580058.732029
NHW,Food_price,USD,90191942.8788467,90191942.8788467,90191942.8788467
NHW,FL,mrh-eq,6111809.98984723,6111809.98984723,6111809.98984723
NHB,CED,MJ,30188594.9604108,30188594.9604108,30188594.9604108
NHB,Food_price,USD,13944985.6575506,13944985.6575506,13944985.6575506
NHB,FL,mrh-eq,1045427.64649025,1045427.64649025,1045427.64649025
HIS,CED,MJ,43101252.0669031,43101252.0669031,43101252.0669031
HIS,Food_price,USD,20513934.2377346,20513934.2377346,20513934.2377346
HIS,FL,mrh-eq,1525434.78406886,1525434.78406886,1525434.78406886
OTH,CED,MJ,28174215.6775529,28174215.6775529,28174215.6775529
OTH,Food_price,USD,14368766.8496958,14368766.8496958,14368766.8496958
OTH,FL,mrh-eq,1025481.07941338,1025481.07941338,1025481.07941338
