sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,22687176.9961103,22687176.9961103,22687176.9961103
Female,added_sugar,Food_price,USD,39554476.854679,39554476.854679,39554476.854679
Female,added_sugar,FL,mrh-eq,1071377.62211983,1071377.62211983,1071377.62211983
Female,oil,CED,MJ,31823062.1914697,31823062.1914697,31823062.1914697
Female,oil,Food_price,USD,23940015.6065286,23940015.6065286,23940015.6065286
Female,oil,FL,mrh-eq,1632202.65623016,1632202.65623016,1632202.65623016
Female,sat_fat,CED,MJ,87716712.3778595,87716712.3778595,87716712.3778595
Female,sat_fat,Food_price,USD,10214157.0300561,10214157.0300561,10214157.0300561
Female,sat_fat,FL,mrh-eq,2333258.06942707,2333258.06942707,2333258.06942707
Male,added_sugar,CED,MJ,21694405.0138294,21694405.0138294,21694405.0138294
Male,added_sugar,Food_price,USD,36445247.4460549,36445247.4460549,36445247.4460549
Male,added_sugar,FL,mrh-eq,965514.117851933,965514.117851933,965514.117851933
Male,oil,CED,MJ,29403721.0630624,29403721.0630624,29403721.0630624
Male,oil,Food_price,USD,19819013.4461394,19819013.4461394,19819013.4461394
Male,oil,FL,mrh-eq,1483575.22648561,1483575.22648561,1483575.22648561
Male,sat_fat,CED,MJ,80719043.7945646,80719043.7945646,80719043.7945646
Male,sat_fat,Food_price,USD,9046719.24036976,9046719.24036976,9046719.24036976
Male,sat_fat,FL,mrh-eq,2222225.80770513,2222225.80770513,2222225.80770513
