age_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,added_sugar,CED,MJ,6322690.10088057,6322690.10088057,6322690.10088057
20-34,added_sugar,Food_price,USD,12154608.0850156,12154608.0850156,12154608.0850156
20-34,added_sugar,FL,mrh-eq,266758.434071296,266758.434071296,266758.434071296
20-34,oil,CED,MJ,3351890.39836258,3351890.39836258,3351890.39836258
20-34,oil,Food_price,USD,2251727.56365685,2251727.56365685,2251727.56365685
20-34,oil,FL,mrh-eq,174168.842463217,174168.842463217,174168.842463217
20-34,sat_fat,CED,MJ,13601203.60347,13601203.60347,13601203.60347
20-34,sat_fat,Food_price,USD,1621655.28770622,1621655.28770622,1621655.28770622
20-34,sat_fat,FL,mrh-eq,365271.18132343,365271.18132343,365271.18132343
35-44,added_sugar,CED,MJ,3759025.7308379,3759025.7308379,3759025.7308379
35-44,added_sugar,Food_price,USD,6572715.66592164,6572715.66592164,6572715.66592164
35-44,added_sugar,FL,mrh-eq,170234.468003196,170234.468003196,170234.468003196
35-44,oil,CED,MJ,2028106.33761229,2028106.33761229,2028106.33761229
35-44,oil,Food_price,USD,1154490.22534828,1154490.22534828,1154490.22534828
35-44,oil,FL,mrh-eq,101076.898802196,101076.898802196,101076.898802196
35-44,sat_fat,CED,MJ,8492417.67961949,8492417.67961949,8492417.67961949
35-44,sat_fat,Food_price,USD,937358.57658617,937358.57658617,937358.57658617
35-44,sat_fat,FL,mrh-eq,230812.67210357,230812.67210357,230812.67210357
45-54,added_sugar,CED,MJ,3587306.44314526,3587306.44314526,3587306.44314526
45-54,added_sugar,Food_price,USD,5833901.96512093,5833901.96512093,5833901.96512093
45-54,added_sugar,FL,mrh-eq,162770.915080352,162770.915080352,162770.915080352
45-54,oil,CED,MJ,1947814.9572581,1947814.9572581,1947814.9572581
45-54,oil,Food_price,USD,1380685.13648877,1380685.13648877,1380685.13648877
45-54,oil,FL,mrh-eq,102824.97478766,102824.97478766,102824.97478766
45-54,sat_fat,CED,MJ,8118361.39930667,8118361.39930667,8118361.39930667
45-54,sat_fat,Food_price,USD,933130.699724866,933130.699724866,933130.699724866
45-54,sat_fat,FL,mrh-eq,220483.21444281,220483.21444281,220483.21444281
55-64,added_sugar,CED,MJ,4373070.38882556,4373070.38882556,4373070.38882556
55-64,added_sugar,Food_price,USD,6962228.64775599,6962228.64775599,6962228.64775599
55-64,added_sugar,FL,mrh-eq,206405.99910636,206405.99910636,206405.99910636
55-64,oil,CED,MJ,2354377.11143714,2354377.11143714,2354377.11143714
55-64,oil,Food_price,USD,1913408.80100321,1913408.80100321,1913408.80100321
55-64,oil,FL,mrh-eq,121587.581854806,121587.581854806,121587.581854806
55-64,sat_fat,CED,MJ,10188845.0206306,10188845.0206306,10188845.0206306
55-64,sat_fat,Food_price,USD,1112562.87017438,1112562.87017438,1112562.87017438
55-64,sat_fat,FL,mrh-eq,279005.289988309,279005.289988309,279005.289988309
65-74,added_sugar,CED,MJ,2691072.54661119,2691072.54661119,2691072.54661119
65-74,added_sugar,Food_price,USD,4267856.72869172,4267856.72869172,4267856.72869172
65-74,added_sugar,FL,mrh-eq,132555.7336833,132555.7336833,132555.7336833
65-74,oil,CED,MJ,1422748.32057899,1422748.32057899,1422748.32057899
65-74,oil,Food_price,USD,1149214.61431189,1149214.61431189,1149214.61431189
65-74,oil,FL,mrh-eq,68598.3923657463,68598.3923657463,68598.3923657463
65-74,sat_fat,CED,MJ,6179678.97748505,6179678.97748505,6179678.97748505
65-74,sat_fat,Food_price,USD,712689.143497744,712689.143497744,712689.143497744
65-74,sat_fat,FL,mrh-eq,167825.736226579,167825.736226579,167825.736226579
75+,added_sugar,CED,MJ,1838344.99425108,1838344.99425108,1838344.99425108
75+,added_sugar,Food_price,USD,2870016.0847798,2870016.0847798,2870016.0847798
75+,added_sugar,FL,mrh-eq,96835.6630062604,96835.6630062604,96835.6630062604
75+,oil,CED,MJ,991778.645782881,991778.645782881,991778.645782881
75+,oil,Food_price,USD,798535.343558358,798535.343558358,798535.343558358
75+,oil,FL,mrh-eq,47429.8997525541,47429.8997525541,47429.8997525541
75+,sat_fat,CED,MJ,4063920.66582736,4063920.66582736,4063920.66582736
75+,sat_fat,Food_price,USD,466696.564179146,466696.564179146,466696.564179146
75+,sat_fat,FL,mrh-eq,108048.144465931,108048.144465931,108048.144465931
