race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,53469864.113554,53469864.113554,53469864.113554
NHW,Food_price,USD,34297966.5030223,34297966.5030223,34297966.5030223
NHW,FL,mrh-eq,1898677.47104842,1898677.47104842,1898677.47104842
NHB,CED,MJ,9531822.66578455,9531822.66578455,9531822.66578455
NHB,Food_price,USD,5615594.07491576,5615594.07491576,5615594.07491576
NHB,FL,mrh-eq,326807.12572031,326807.12572031,326807.12572031
HIS,CED,MJ,13618646.0037209,13618646.0037209,13618646.0037209
HIS,Food_price,USD,7765921.02663355,7765921.02663355,7765921.02663355
HIS,FL,mrh-eq,478646.358223813,478646.358223813,478646.358223813
OTH,CED,MJ,8692320.53886332,8692320.53886332,8692320.53886332
OTH,Food_price,USD,5414000.39895,5414000.39895,5414000.39895
OTH,FL,mrh-eq,318563.08653503,318563.08653503,318563.08653503
