sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,11538463.526381,11538463.526381,11538463.526381
Female,added_sugar,Food_price,USD,20119480.0825105,20119480.0825105,20119480.0825105
Female,added_sugar,FL,mrh-eq,544812.053241224,544812.053241224,544812.053241224
Female,oil,CED,MJ,6323050.59823162,6323050.59823162,6323050.59823162
Female,oil,Food_price,USD,4756561.14442024,4756561.14442024,4756561.14442024
Female,oil,FL,mrh-eq,324335.216738371,324335.216738371,324335.216738371
Female,sat_fat,CED,MJ,25132683.9179889,25132683.9179889,25132683.9179889
Female,sat_fat,Food_price,USD,2926136.45188011,2926136.45188011,2926136.45188011
Female,sat_fat,FL,mrh-eq,668804.241847211,668804.241847211,668804.241847211
Male,added_sugar,CED,MJ,11033046.6781706,11033046.6781706,11033046.6781706
Male,added_sugar,Food_price,USD,18541847.0947752,18541847.0947752,18541847.0947752
Male,added_sugar,FL,mrh-eq,490749.159709541,490749.159709541,490749.159709541
Male,oil,CED,MJ,5773665.17280037,5773665.17280037,5773665.17280037
Male,oil,Food_price,USD,3891500.53994712,3891500.53994712,3891500.53994712
Male,oil,FL,mrh-eq,291351.373287807,291351.373287807,291351.373287807
Male,sat_fat,CED,MJ,25511743.4283502,25511743.4283502,25511743.4283502
Male,sat_fat,Food_price,USD,2857956.68998841,2857956.68998841,2857956.68998841
Male,sat_fat,FL,mrh-eq,702641.996703418,702641.996703418,702641.996703418
