age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-7004579.28938329,-6726681.30602365,-6878071.97643404
20-34,NHW,added_sugar,Food_price,USD,-14310205.4097721,-13719901.3801055,-14478766.0646058
20-34,NHW,added_sugar,FL,mrh-eq,-305651.380404322,-295395.496973201,-301565.763110037
20-34,NHW,oil,CED,MJ,-31225.894882589,-74025.343201289,-92224.4293166646
20-34,NHW,oil,Food_price,USD,34800.447148767,-27789.2794681007,-133504.809218201
20-34,NHW,oil,FL,mrh-eq,-2295.24072436658,-4442.11077569898,-5393.51011933128
20-34,NHW,sat_fat,CED,MJ,-24849824.8064345,-24569366.5559523,-25888261.2059267
20-34,NHW,sat_fat,Food_price,USD,-2929002.46516968,-2889997.57033048,-3027527.96661047
20-34,NHW,sat_fat,FL,mrh-eq,-661597.722156767,-654394.252277133,-688947.657446551
20-34,NHB,added_sugar,CED,MJ,-2441703.63966335,-2268613.79162367,-2394455.01470552
20-34,NHB,added_sugar,Food_price,USD,-4404949.40396446,-4169748.67631017,-4290526.72398016
20-34,NHB,added_sugar,FL,mrh-eq,-95642.1351050693,-88864.5418604602,-93786.1084271907
20-34,NHB,oil,CED,MJ,-208245.44651959,-106574.803796125,-175028.60106949
20-34,NHB,oil,Food_price,USD,-171327.174210987,-122131.855510015,-120253.166305015
20-34,NHB,oil,FL,mrh-eq,-10761.1054746674,-5641.63636721209,-9018.50349302715
20-34,NHB,sat_fat,CED,MJ,-5015449.73062815,-4750785.24950342,-5020218.45370308
20-34,NHB,sat_fat,Food_price,USD,-518710.229308881,-494359.874318613,-509934.258045835
20-34,NHB,sat_fat,FL,mrh-eq,-133087.623386603,-125992.610797031,-133060.359317196
20-34,HIS,added_sugar,CED,MJ,-2716443.63236022,-2677928.48774703,-2791039.22008198
20-34,HIS,added_sugar,Food_price,USD,-4592401.42212644,-4526519.56669751,-4659017.48534932
20-34,HIS,added_sugar,FL,mrh-eq,-109084.083615803,-108460.77133961,-112166.661769999
20-34,HIS,oil,CED,MJ,95521.8411569489,214338.389754399,157717.02649643
