race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
NHW,added_sugar,CED,MJ,-34950327.5110477,-35406131.0620819,-33109533.5330921
NHW,added_sugar,Food_price,USD,-61435691.40059,-61686673.296871,-58760211.8967296
NHW,added_sugar,FL,mrh-eq,-1624206.86013832,-1648024.48825648,-1544550.51789413
NHW,oil,CED,MJ,-868030.418288958,-1050619.96658463,-879728.670463528
NHW,oil,Food_price,USD,-639220.744300169,-985950.010502846,-734006.244705174
NHW,oil,FL,mrh-eq,-44508.229033405,-53864.5105934067,-43436.6044045431
NHW,sat_fat,CED,MJ,-110143869.876207,-110564201.669206,-109384436.664531
NHW,sat_fat,Food_price,USD,-12290795.6269357,-12278239.047723,-12134998.7834092
NHW,sat_fat,FL,mrh-eq,-2977054.84024753,-2990882.94658328,-2956692.4030771
NHB,added_sugar,CED,MJ,-7541135.44116723,-7297520.27976989,-7668728.71605718
NHB,added_sugar,Food_price,USD,-12393213.8906603,-12156759.258509,-12619319.0704758
NHB,added_sugar,FL,mrh-eq,-317668.402164107,-308247.851945619,-323466.883327521
NHB,oil,CED,MJ,-554694.125137033,-367924.924190557,-523055.049822651
NHB,oil,Food_price,USD,-367490.057268677,-244218.578234831,-384405.92080255
NHB,oil,FL,mrh-eq,-27657.2893687978,-18408.5227435221,-25900.4262776792
NHB,sat_fat,CED,MJ,-15424597.9769456,-15115887.9127562,-15360648.2577169
NHB,sat_fat,Food_price,USD,-1719060.09077073,-1682379.31173959,-1703692.70809102
NHB,sat_fat,FL,mrh-eq,-412098.999396758,-404017.189632805,-410058.918154451
HIS,added_sugar,CED,MJ,-7377531.36984221,-7553429.28046995,-7052654.79768654
HIS,added_sugar,Food_price,USD,-11635858.6728637,-11531390.8618785,-11031763.1124257
HIS,added_sugar,FL,mrh-eq,-330937.013290939,-338910.276911642,-314257.911654899
HIS,oil,CED,MJ,550016.0161076,599808.123279211,641077.842990661
HIS,oil,Food_price,USD,392814.391882891,374863.216477371,462439.810923228
HIS,oil,FL,mrh-eq,28193.7656965619,30555.0765920214,32664.6485258381
HIS,sat_fat,CED,MJ,-21131388.8671475,-21908131.2681317,-21172561.6925178
HIS,sat_fat,Food_price,USD,-2477575.80735641,-2546074.14289291,-2460018.5291399
HIS,sat_fat,FL,mrh-eq,-577364.50517716,-598864.091483723,-578381.776497888
OTH,added_sugar,CED,MJ,-3381824.67530054,-3651379.72450109,-3552436.27250473
OTH,added_sugar,Food_price,USD,-5721881.14154119,-5788534.49919077,-5904645.13803603
OTH,added_sugar,FL,mrh-eq,-163344.802619064,-179953.011197436,-171858.231609517
OTH,oil,CED,MJ,-204238.387559211,-221177.338849347,-306809.663153289
OTH,oil,Food_price,USD,-183628.954324027,-217808.564815635,-245902.182183049
OTH,oil,FL,mrh-eq,-10858.7739609463,-11360.9876304094,-16220.7322991476
OTH,sat_fat,CED,MJ,-13089536.8813253,-12793032.5322968,-12868808.0185422
OTH,sat_fat,Food_price,USD,-1772208.18440017,-1736997.69672637,-1769014.13164296
OTH,sat_fat,FL,mrh-eq,-350388.150370191,-343167.21056763,-344824.478285251
