age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-10574545.7297407,-10154544.2968461,-10383202.3910131
20-34,NHW,added_sugar,Food_price,USD,-21603082.9611223,-20711271.770848,-21856960.6073499
20-34,NHW,added_sugar,FL,mrh-eq,-461419.290661535,-445916.434307922,-455235.960429422
20-34,NHW,oil,CED,MJ,-38302.3784927719,-89436.926720298,-111232.832420929
20-34,NHW,oil,Food_price,USD,41064.698235364,-33783.1490865817,-160454.484917041
20-34,NHW,oil,FL,mrh-eq,-2796.25644164371,-5361.01917294376,-6500.47624771991
20-34,NHW,sat_fat,CED,MJ,-32094288.7444407,-31738477.4852013,-33428228.4208979
20-34,NHW,sat_fat,Food_price,USD,-3781811.06878892,-3733476.91894958,-3908505.0598235
20-34,NHW,sat_fat,FL,mrh-eq,-854673.382474814,-845538.463853412,-889812.232148786
20-34,NHB,added_sugar,CED,MJ,-3691291.20443829,-3429629.67120584,-3619839.35306658
20-34,NHB,added_sugar,Food_price,USD,-6659331.51542056,-6303779.15639311,-6486303.43684738
20-34,NHB,added_sugar,FL,mrh-eq,-144589.045189378,-134343.276015942,-141782.26268195
20-34,NHB,oil,CED,MJ,-249259.103895426,-127454.5945159,-209521.621221841
20-34,NHB,oil,Food_price,USD,-205091.464482864,-146185.534595547,-143944.252267869
20-34,NHB,oil,FL,mrh-eq,-12880.5528470234,-6747.36718559173,-10795.790097594
20-34,NHB,sat_fat,CED,MJ,-6520587.55509862,-6174691.16495919,-6522929.38096576
20-34,NHB,sat_fat,Food_price,USD,-673914.043504349,-642135.00254131,-662216.652171943
20-34,NHB,sat_fat,FL,mrh-eq,-173043.014356409,-163769.958809572,-172905.055041037
20-34,HIS,added_sugar,CED,MJ,-4105721.02450665,-4046924.54223256,-4218412.21188304
20-34,HIS,added_sugar,Food_price,USD,-6941918.84650417,-6841529.35255281,-7042611.69777688
20-34,HIS,added_sugar,FL,mrh-eq,-164853.618594666,-163888.601042336,-169510.001604478
20-34,HIS,oil,CED,MJ,113996.988922238,255984.335528495,188334.83828377
20-34,HIS,oil,Food_price,USD,87012.129139161,124124.287409464,88388.4984482088
20-34,HIS,oil,FL,mrh-eq,6022.31860778497,13473.8992469347,9920.03563704035
20-34,HIS,sat_fat,CED,MJ,-9977674.40199573,-10587205.4082569,-10195329.2590906
20-34,HIS,sat_fat,Food_price,USD,-1323726.04660993,-1381936.4289266,-1322432.33895523
20-34,HIS,sat_fat,FL,mrh-eq,-274111.689113319,-290854.860419278,-280041.249077219
20-34,OTH,added_sugar,CED,MJ,-2085417.3370846,-1662175.45471459,-1915400.19345981
20-34,OTH,added_sugar,Food_price,USD,-4042244.66047683,-3051758.94594536,-3610172.76281073
20-34,OTH,added_sugar,FL,mrh-eq,-92372.315668392,-73582.7355340587,-84356.4951164628
20-34,OTH,oil,CED,MJ,-28487.8050814605,-67422.2124340619,-49071.9091200403
20-34,OTH,oil,Food_price,USD,-9522.30597107489,-84542.8018422664,-25562.0735409938
20-34,OTH,oil,FL,mrh-eq,-1346.31159680963,-3308.1685206442,-2368.19365425403
20-34,OTH,sat_fat,CED,MJ,-5088611.14437874,-4842456.85160825,-4665284.67447144
20-34,OTH,sat_fat,Food_price,USD,-662876.911058008,-662958.393255489,-621869.853286965
20-34,OTH,sat_fat,FL,mrh-eq,-136600.635820492,-130044.424922631,-125352.765456932
35-44,NHW,added_sugar,CED,MJ,-8607916.7353607,-7816738.7380067,-7515070.85944749
35-44,NHW,added_sugar,Food_price,USD,-15107829.9143806,-14307271.9349419,-13610381.5069635
35-44,NHW,added_sugar,FL,mrh-eq,-385871.173649005,-349227.386675184,-337758.950615278
35-44,NHW,oil,CED,MJ,-271899.560151673,-276125.327114174,-313270.244175639
35-44,NHW,oil,Food_price,USD,-156209.503159184,-232616.726205902,-207179.812851685
35-44,NHW,oil,FL,mrh-eq,-13015.6314202497,-13236.845788073,-14988.5244452496
35-44,NHW,sat_fat,CED,MJ,-20139495.0745112,-21325542.4714921,-19401438.2501117
35-44,NHW,sat_fat,Food_price,USD,-2267920.96693089,-2361057.3889332,-2095818.27477622
35-44,NHW,sat_fat,FL,mrh-eq,-546561.779514857,-579087.490405758,-525904.994341295
35-44,NHB,added_sugar,CED,MJ,-2173478.58942618,-2244345.67761169,-2234146.88668118
35-44,NHB,added_sugar,Food_price,USD,-3539192.22883427,-3807689.22166318,-3683589.31690427
35-44,NHB,added_sugar,FL,mrh-eq,-87453.590888211,-90639.4804458914,-89930.5861536436
35-44,NHB,oil,CED,MJ,-92129.6659192902,-68981.9327617721,-27050.7649246156
35-44,NHB,oil,Food_price,USD,4211.95637350565,53758.4870691964,46722.0617255081
35-44,NHB,oil,FL,mrh-eq,-4553.06915756106,-3392.80925691249,-1284.18003368035
35-44,NHB,sat_fat,CED,MJ,-3644088.2483453,-3631094.25127931,-3588607.48324251
35-44,NHB,sat_fat,Food_price,USD,-387391.702237404,-387452.043630691,-393780.415626753
35-44,NHB,sat_fat,FL,mrh-eq,-98029.3296406355,-97620.315505945,-96484.1927994504
35-44,HIS,added_sugar,CED,MJ,-2561336.70947878,-2590333.3873094,-2438360.67084341
35-44,HIS,added_sugar,Food_price,USD,-4436759.72958664,-4171069.85188949,-4281989.31114811
35-44,HIS,added_sugar,FL,mrh-eq,-119593.779537463,-118847.539901478,-112599.297354434
35-44,HIS,oil,CED,MJ,305158.50125727,277939.343744835,334067.555840763
35-44,HIS,oil,Food_price,USD,234532.229426924,201475.364861753,282985.699081318
35-44,HIS,oil,FL,mrh-eq,15577.8934680517,14183.2078741042,17041.9099754898
35-44,HIS,sat_fat,CED,MJ,-6661162.34704171,-7026972.44145809,-6332113.81749003
35-44,HIS,sat_fat,Food_price,USD,-666397.761136811,-715925.440196223,-636959.895144142
35-44,HIS,sat_fat,FL,mrh-eq,-182265.94839919,-192066.642785331,-173065.540831598
35-44,OTH,added_sugar,CED,MJ,-1159381.16698147,-1325318.61751556,-1281856.00028636
35-44,OTH,added_sugar,Food_price,USD,-1696458.87563855,-1943930.78141324,-1937158.48881505
35-44,OTH,added_sugar,FL,mrh-eq,-58891.3083111726,-67441.4456104355,-65270.1686271791
35-44,OTH,oil,CED,MJ,3780.31316468369,30000.899524428,9246.8832241716
35-44,OTH,oil,Food_price,USD,-18264.9517340224,41154.6724109217,-5091.85341543904
35-44,OTH,oil,FL,mrh-eq,86.5361588613164,1677.58742913713,405.26701121087
35-44,OTH,sat_fat,CED,MJ,-3612285.77555434,-3356095.42287086,-3490105.95549499
35-44,OTH,sat_fat,Food_price,USD,-471929.620052623,-428763.237103791,-463332.596274356
35-44,OTH,sat_fat,FL,mrh-eq,-97651.8391764155,-90737.4117371609,-94336.0790137891
45-54,NHW,added_sugar,CED,MJ,-9613489.29178896,-9587356.32334906,-8135749.21450958
45-54,NHW,added_sugar,Food_price,USD,-16389213.2920599,-16550417.2994911,-14163872.6843486
45-54,NHW,added_sugar,FL,mrh-eq,-431407.907385055,-430022.040380416,-365507.900132098
45-54,NHW,oil,CED,MJ,-182765.86709255,-208902.105629186,216278.098603253
45-54,NHW,oil,Food_price,USD,-79636.052038528,-164808.476750684,176639.056912901
