age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,CED,MJ,-22268759.5458339,-22109967.9292052,-23597151.6486474
20-34,Female,NHW,Food_price,USD,-14115721.6444557,-14304179.4804331,-15129975.3610411
20-34,Female,NHW,FL,mrh-eq,-702013.145021305,-704007.842905098,-742820.431727647
20-34,Female,NHB,CED,MJ,-5764038.20811248,-5523819.38475854,-5924475.5849329
20-34,Female,NHB,Food_price,USD,-4408877.74091592,-4171516.73405951,-4217812.93814932
20-34,Female,NHB,FL,mrh-eq,-184990.886902403,-175521.474740099,-186880.691898162
20-34,Female,HIS,CED,MJ,-7212570.25741816,-7719624.30663081,-7661520.13416742
20-34,Female,HIS,Food_price,USD,-4164540.67170049,-4456581.76507865,-4282692.67134922
20-34,Female,HIS,FL,mrh-eq,-233647.929066018,-250727.253511245,-247297.286426373
20-34,Female,OTH,CED,MJ,-3958143.01850716,-3560561.06518503,-3344229.16215363
20-34,Female,OTH,Food_price,USD,-2738570.5455332,-2176766.0106042,-2197533.01382552
20-34,Female,OTH,FL,mrh-eq,-129535.426670594,-115535.85349825,-108981.339841342
20-34,Male,NHW,CED,MJ,-20438377.3068403,-19872490.7795626,-20325511.9956845
20-34,Male,NHW,Food_price,USD,-11228107.6872202,-10174352.3584511,-10795944.7910494
20-34,Male,NHW,FL,mrh-eq,-616875.784556688,-592808.07442918,-608728.237098281
20-34,Male,NHB,CED,MJ,-4697099.65531985,-4207956.04592239,-4427814.77032128
20-34,Male,NHB,Food_price,USD,-3129459.28249185,-2920582.95947046,-3074651.40313788
20-34,Male,NHB,FL,mrh-eq,-145521.725490408,-129339.127271008,-138602.415922419
20-34,Male,HIS,CED,MJ,-6756828.18016198,-6658521.30833014,-6563886.49852245
20-34,Male,HIS,Food_price,USD,-4014092.09227445,-3642759.7289913,-3993962.86693469
20-34,Male,HIS,FL,mrh-eq,-199295.060034183,-190542.308703434,-192333.928618284
20-34,Male,OTH,CED,MJ,-3244373.26803764,-3011493.45357187,-3285527.61489766
20-34,Male,OTH,Food_price,USD,-1976073.33197272,-1622494.13043891,-2060071.67581317
20-34,Male,OTH,FL,mrh-eq,-100783.8364151,-91399.4754790838,-103096.114386306
35-44,Female,NHW,CED,MJ,-14848050.5013476,-14651593.1602749,-14666457.1412126
35-44,Female,NHW,Food_price,USD,-8461181.03964032,-7664971.43202999,-8158944.17064899
35-44,Female,NHW,FL,mrh-eq,-486342.404352688,-470289.33801457,-475501.801483976
35-44,Female,NHB,CED,MJ,-3298516.47664829,-3473298.17048396,-3324588.70965875
35-44,Female,NHB,Food_price,USD,-2199871.35013062,-2519694.22408886,-2247933.55941619
35-44,Female,NHB,FL,mrh-eq,-109593.085541069,-115820.538671365,-109835.364752628
35-44,Female,HIS,CED,MJ,-4673881.76487088,-4748268.85807623,-4382190.65653343
35-44,Female,HIS,Food_price,USD,-2965510.10367204,-2339156.59576234,-2492991.36262711
35-44,Female,HIS,FL,mrh-eq,-158881.321784085,-154300.832531841,-143994.762010731
35-44,Female,OTH,CED,MJ,-3132917.79950209,-2917271.71707351,-3063459.59166192
35-44,Female,OTH,Food_price,USD,-1630514.22103836,-1614047.93228932,-1674741.10589102
35-44,Female,OTH,FL,mrh-eq,-109327.67926401,-102217.714170186,-106556.132493728
35-44,Male,NHW,CED,MJ,-14171260.8686759,-14766813.3763381,-12563322.2125222
35-44,Male,NHW,Food_price,USD,-9070779.34483038,-9235974.61805103,-7754435.42394243
35-44,Male,NHW,FL,mrh-eq,-459106.180231423,-471262.384854445,-403150.667917846
35-44,Male,NHB,CED,MJ,-2611180.02704248,-2471123.69116881,-2525216.42518956
35-44,Male,NHB,Food_price,USD,-1722500.62456755,-1621688.55413581,-1782714.11138933
35-44,Male,NHB,FL,mrh-eq,-80442.9041453387,-75832.066537384,-77863.594234146
35-44,Male,HIS,CED,MJ,-4243458.79039234,-4591097.62694643,-4054216.27595925
35-44,Male,HIS,Food_price,USD,-1903115.15762448,-2346363.33146162,-2142972.14458382
35-44,Male,HIS,FL,mrh-eq,-127400.512684516,-142430.142280864,-124628.166199811
35-44,Male,OTH,CED,MJ,-1634968.82986903,-1734141.42378848,-1699255.48089525
35-44,Male,OTH,Food_price,USD,-556139.22638684,-717491.413816789,-730841.832613826
35-44,Male,OTH,FL,mrh-eq,-47128.9320647171,-54283.5557482731,-52644.8481360297
45-54,Female,NHW,CED,MJ,-18232631.7809708,-17737534.5790259,-15250113.9115018
45-54,Female,NHW,Food_price,USD,-10728662.1205908,-11311914.4001591,-8674947.81019645
45-54,Female,NHW,FL,mrh-eq,-596895.088662501,-588251.873184421,-489884.358165312
45-54,Female,NHB,CED,MJ,-2756344.80412133,-2558458.54990015,-2793067.26198135
45-54,Female,NHB,Food_price,USD,-2016841.81822746,-1778803.27185843,-1984718.94336751
45-54,Female,NHB,FL,mrh-eq,-91998.769699176,-83743.6093351754,-92726.4641818226
45-54,Female,HIS,CED,MJ,-2923472.63061914,-3025232.75655662,-2886617.07521943
45-54,Female,HIS,Food_price,USD,-1798150.51538329,-1814812.9470175,-1615123.04877289
45-54,Female,HIS,FL,mrh-eq,-98115.4445279387,-101311.736054334,-94078.0726153898
45-54,Female,OTH,CED,MJ,-1878190.48129174,-1686133.87961382,-1875891.59500913
45-54,Female,OTH,Food_price,USD,-923012.61411225,-882597.912471031,-893776.403453946
45-54,Female,OTH,FL,mrh-eq,-59293.3295380561,-53671.0128751474,-58882.9516343538
45-54,Male,NHW,CED,MJ,-13093444.7790573,-13675825.5267207,-13154356.4885992
45-54,Male,NHW,Food_price,USD,-8011268.91305457,-7684097.38248644,-7470769.26098723
45-54,Male,NHW,FL,mrh-eq,-430059.518069123,-441848.002249884,-421615.44589483
45-54,Male,NHB,CED,MJ,-2319698.98809347,-2363910.2143712,-2464148.75234599
45-54,Male,NHB,Food_price,USD,-1343778.90603091,-1314651.85292369,-1433404.06781106
45-54,Male,NHB,FL,mrh-eq,-77241.4902645561,-77089.9174899804,-82024.7229483754
45-54,Male,HIS,CED,MJ,-2741505.83304159,-3392774.01197321,-2893225.71781898
45-54,Male,HIS,Food_price,USD,-1308094.19611212,-1628477.2986069,-1272008.41804378
45-54,Male,HIS,FL,mrh-eq,-88973.4348516146,-110178.732021699,-93278.571175464
45-54,Male,OTH,CED,MJ,-1781268.09096845,-2211162.62314735,-2045745.14241768
45-54,Male,OTH,Food_price,USD,-553311.079469629,-961203.077564354,-697928.328850117
45-54,Male,OTH,FL,mrh-eq,-54997.3709890104,-73014.7935820409,-64343.8882264418
55-64,Female,NHW,CED,MJ,-22747196.719887,-24139225.1607698,-22736074.4787709
55-64,Female,NHW,Food_price,USD,-12348094.5286119,-13770206.9304304,-12728745.7959223
55-64,Female,NHW,FL,mrh-eq,-742790.533270505,-805116.935742597,-751129.236694101
55-64,Female,NHB,CED,MJ,-3433370.79409524,-3442172.81037209,-3524817.58266383
55-64,Female,NHB,Food_price,USD,-2588554.47655412,-2459610.94155007,-2859408.44155381
55-64,Female,NHB,FL,mrh-eq,-118056.09626187,-117170.408718879,-124213.650141918
55-64,Female,HIS,CED,MJ,-3414004.5619321,-3065550.58647357,-3193875.91029538
55-64,Female,HIS,Food_price,USD,-1492503.56148378,-1466699.7256387,-1280406.78151835
55-64,Female,HIS,FL,mrh-eq,-109383.849111495,-102602.684763087,-102342.600839931
55-64,Female,OTH,CED,MJ,-2521648.65968366,-2295422.6581786,-2581660.25475239
55-64,Female,OTH,Food_price,USD,-1140846.66748809,-1080317.13571914,-1492021.14057953
55-64,Female,OTH,FL,mrh-eq,-78264.4643964895,-71393.5598846035,-85545.5320029336
55-64,Male,NHW,CED,MJ,-18262020.7291423,-20488592.733346,-18890913.7659633
55-64,Male,NHW,Food_price,USD,-10267512.469242,-10981224.5158134,-9165827.19645724
55-64,Male,NHW,FL,mrh-eq,-610324.873518421,-684678.758576469,-620606.51513623
55-64,Male,NHB,CED,MJ,-2124314.91017949,-2180449.12838463,-2127737.8796571
55-64,Male,NHB,Food_price,USD,-1028912.68534816,-1097048.21213852,-1126720.74426809
55-64,Male,NHB,FL,mrh-eq,-67394.3065642397,-69402.8066513632,-67803.3276214658
55-64,Male,HIS,CED,MJ,-2411406.25051129,-2316620.12994712,-2244018.46574079
55-64,Male,HIS,Food_price,USD,-986741.685431612,-930720.093377487,-743823.841287205
55-64,Male,HIS,FL,mrh-eq,-79640.9813704207,-76951.894328708,-70852.2164032668
55-64,Male,OTH,CED,MJ,-1492339.88566709,-2053810.57778513,-1643634.77483543
55-64,Male,OTH,Food_price,USD,-523780.413619786,-816762.385316743,-493481.458446995
55-64,Male,OTH,FL,mrh-eq,-49546.6270114261,-71783.3977874449,-51885.8989997395
65-74,Female,NHW,CED,MJ,-16086371.0726599,-15460387.4377424,-15830631.4320397
65-74,Female,NHW,Food_price,USD,-7820488.35230971,-7785251.74409825,-7814937.00821655
65-74,Female,NHW,FL,mrh-eq,-519525.591020479,-504047.705538797,-510854.994120616
65-74,Female,NHB,CED,MJ,-1794413.38350916,-1830797.3953983,-1881349.21134506
65-74,Female,NHB,Food_price,USD,-1057466.69377365,-1066508.59238609,-1005207.45263635
65-74,Female,NHB,FL,mrh-eq,-62900.5405202399,-64394.1302519439,-64127.8343900888
65-74,Female,HIS,CED,MJ,-1470638.92799884,-1601863.18229959,-1412166.39278023
65-74,Female,HIS,Food_price,USD,-577212.748167468,-684955.015453775,-541967.166247004
65-74,Female,HIS,FL,mrh-eq,-50079.9126242914,-56621.606760865,-47917.5853662115
65-74,Female,OTH,CED,MJ,-1042218.9659944,-1071613.16558767,-1075929.66065534
65-74,Female,OTH,Food_price,USD,-430019.081166973,-580029.012187342,-449761.993804701
65-74,Female,OTH,FL,mrh-eq,-32137.3726539875,-36440.4227636484,-33833.2233915044
65-74,Male,NHW,CED,MJ,-13083889.2203212,-13269413.2145374,-13440559.0440228
65-74,Male,NHW,Food_price,USD,-5779295.68746596,-6340360.59397261,-6272758.84242552
