age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,73960116.2941906,73444559.5086674,74933043.9151675
20-34,NHW,Food_price,USD,40929450.633222,40362731.4353332,41364842.0458635
20-34,NHW,FL,mrh-eq,2448224.95489937,2432912.47163995,2474587.54228984
20-34,NHB,CED,MJ,17136215.5022512,16596790.5303633,17060518.7549182
20-34,NHB,Food_price,USD,9860916.54876851,9552170.14742299,9686643.8896152
20-34,NHB,FL,mrh-eq,564326.32142185,545334.246480214,560700.428692924
20-34,HIS,CED,MJ,25405442.3981046,25714013.5072467,25585042.1637183
20-34,HIS,Food_price,USD,12860182.4858799,12807727.0695096,12924719.1344377
20-34,HIS,FL,mrh-eq,843605.743058532,849544.662659038,847982.444844296
20-34,OTH,CED,MJ,13730725.4970996,13291850.9812837,13306592.4301271
20-34,OTH,Food_price,USD,8061360.66153361,7467178.20244996,7756645.82254429
20-34,OTH,FL,mrh-eq,466239.237863668,450338.784382069,453049.296604691
35-44,NHW,CED,MJ,45734938.2040139,46120736.6705116,44488719.1678893
35-44,NHW,Food_price,USD,23738606.2473265,23343414.4800585,22658943.9955614
35-44,NHW,FL,mrh-eq,1526574.12489175,1527328.36075556,1480768.93530195
35-44,NHB,CED,MJ,9968936.60199463,9987409.98269442,9912961.16732705
35-44,NHB,Food_price,USD,4916338.8870599,5052607.65043839,4981343.86337322
35-44,NHB,FL,mrh-eq,332535.626087154,333384.121086298,330280.642734244
35-44,HIS,CED,MJ,16701515.9099951,17025053.3930591,16347392.9602336
35-44,HIS,Food_price,USD,8295387.99159627,8183686.41237793,8129241.16311387
35-44,HIS,FL,mrh-eq,568493.443061218,576694.352240723,555676.67154051
35-44,OTH,CED,MJ,9105221.87681674,8995653.30877567,9088369.44733333
35-44,OTH,Food_price,USD,4179204.85531564,4261078.28628822,4322031.03407445
35-44,OTH,FL,mrh-eq,322772.857796848,321792.440651817,324210.524786896
45-54,NHW,CED,MJ,49959625.6235368,50021326.0137315,47828431.8670871
45-54,NHW,Food_price,USD,26549369.078835,26733317.9244973,24771992.8092801
