age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,13248984.5326693,13335090.6528485,13296275.5577288
20-34,Female,added_sugar,Food_price,USD,25904627.3630747,25729387.7836302,26051577.2654228
20-34,Female,added_sugar,FL,mrh-eq,586906.02782532,591252.890680771,589333.883288559
20-34,Female,oil,CED,MJ,9085242.63645926,9076253.81018537,9057956.32057709
20-34,Female,oil,Food_price,USD,6405196.29446042,6446470.56547882,6466567.28694009
20-34,Female,oil,FL,mrh-eq,476704.864009148,476185.400608874,475262.771009425
20-34,Female,sat_fat,CED,MJ,43931313.0526218,43607667.0620806,44930183.7940387
20-34,Female,sat_fat,Food_price,USD,5509367.55759001,5428035.36023142,5591131.83045809
20-34,Female,sat_fat,FL,mrh-eq,1158778.35193401,1150589.30975077,1185087.33858936
20-34,Male,added_sugar,CED,MJ,12688569.731269,11832396.1810913,12429559.4359216
20-34,Male,added_sugar,Food_price,USD,23907177.5463001,22534475.3167947,23594784.3006747
20-34,Male,added_sugar,FL,mrh-eq,507648.284431733,473189.362799689,497054.14542006
20-34,Male,oil,CED,MJ,8058419.34657868,7922174.11065099,8068429.73772686
20-34,Male,oil,Food_price,USD,5071369.53532386,5074972.59299332,5139377.00969378
20-34,Male,oil,FL,mrh-eq,414497.603820936,407444.135703957,414884.967284847
20-34,Male,sat_fat,CED,MJ,43219970.3920479,43273632.7107043,43102792.4179379
20-34,Male,sat_fat,Food_price,USD,4914172.03265493,4976465.23558727,4889413.19927128
20-34,Male,sat_fat,FL,mrh-eq,1177861.12522227,1179469.06561721,1174696.60683949
35-44,Female,added_sugar,CED,MJ,8953045.16774349,8451296.8357367,8609059.57697866
35-44,Female,added_sugar,Food_price,USD,14929398.5260948,14140535.5292988,14498516.3198759
35-44,Female,added_sugar,FL,mrh-eq,422747.0426873,398344.841831449,405926.609248599
35-44,Female,oil,CED,MJ,5759320.60542737,5772512.50608461,5659629.88484728
35-44,Female,oil,Food_price,USD,2949328.02451664,2947309.5380579,2912361.74077428
35-44,Female,oil,FL,mrh-eq,287620.10704987,287565.718710373,282518.238915775
35-44,Female,sat_fat,CED,MJ,28085551.0833575,28533214.11833,28179753.0191088
35-44,Female,sat_fat,Food_price,USD,3274605.45672855,3330153.48825812,3282995.99702886
35-44,Female,sat_fat,FL,mrh-eq,747333.602442544,759218.432044166,749823.113780712
35-44,Male,added_sugar,CED,MJ,8038605.03372804,8192210.58194612,7698859.36378759
35-44,Male,added_sugar,Food_price,USD,14396143.3596116,14819339.5445297,13987920.5604248
35-44,Male,added_sugar,FL,mrh-eq,343656.244773127,351060.876684895,329855.095150116
35-44,Male,oil,CED,MJ,4524124.63652607,4495727.18072721,4575309.49820416
35-44,Male,oil,Food_price,USD,2827117.96294771,2829518.03366709,2819601.14155194
35-44,Male,oil,FL,mrh-eq,224218.70694908,223314.771312503,226749.626717283
35-44,Male,sat_fat,CED,MJ,26149966.0660379,26683892.1322161,25114831.3998568
35-44,Male,sat_fat,Food_price,USD,2752944.65139901,2773930.69535141,2590164.29646719
35-44,Male,sat_fat,FL,mrh-eq,724800.347935053,739694.634151011,696064.090551117
45-54,Female,added_sugar,CED,MJ,9162555.21857592,9179494.85722876,8277922.35588139
45-54,Female,added_sugar,Food_price,USD,14623024.8647646,14887834.2659621,13331282.4133963
45-54,Female,added_sugar,FL,mrh-eq,410602.028980683,411620.225208873,371221.43480843
45-54,Female,oil,CED,MJ,5320939.39569317,5331335.94472799,5125070.13096525
45-54,Female,oil,Food_price,USD,3965562.75359161,4009444.04344794,3789769.78703353
45-54,Female,oil,FL,mrh-eq,286668.868661862,287476.834720546,275694.871481141
45-54,Female,sat_fat,CED,MJ,27266440.4611703,26624304.4209593,26166736.2820578
45-54,Female,sat_fat,Food_price,USD,3226032.5413567,3124334.00192209,3118347.65474068
45-54,Female,sat_fat,FL,mrh-eq,726282.239995799,709224.502887601,696628.686461597
45-54,Male,added_sugar,CED,MJ,7180625.23434885,7362912.71824512,7064904.08587785
45-54,Male,added_sugar,Food_price,USD,12044836.4011383,12184196.8245885,11793188.4693832
45-54,Male,added_sugar,FL,mrh-eq,327340.81672686,336161.440904164,322161.166722915
45-54,Male,oil,CED,MJ,4701575.44586164,4625601.42575917,4566341.25461759
45-54,Male,oil,Food_price,USD,3114636.50401451,3090239.23473822,3059429.07171291
45-54,Male,oil,FL,mrh-eq,242642.153933708,238759.714396619,235394.056541805
45-54,Male,sat_fat,CED,MJ,24030203.690036,25186520.1915102,24758647.7970037
45-54,Male,sat_fat,Food_price,USD,2662910.14306928,2808083.65576578,2741495.6607632
45-54,Male,sat_fat,FL,mrh-eq,664415.514562479,696443.044338743,684557.028806066
55-64,Female,added_sugar,CED,MJ,10215282.3103072,10673162.318581,10432502.8132029
55-64,Female,added_sugar,Food_price,USD,17655021.0475679,18141089.2754241,17965990.0322963
55-64,Female,added_sugar,FL,mrh-eq,487400.207468339,509661.509395196,497554.105650325
55-64,Female,oil,CED,MJ,6570359.87189854,6909925.0601822,6906865.8742461
55-64,Female,oil,Food_price,USD,5412669.97188558,5826492.31651014,5758263.08760276
55-64,Female,oil,FL,mrh-eq,341169.227136262,358937.599191761,358725.693004408
55-64,Female,sat_fat,CED,MJ,35471251.7344258,35257543.1459216,34842453.0042673
55-64,Female,sat_fat,Food_price,USD,3814262.3949326,3795995.67412728,3742597.89351248
55-64,Female,sat_fat,FL,mrh-eq,949821.06649253,944232.193810082,933051.034821538
55-64,Male,added_sugar,CED,MJ,8792705.77750981,9583751.13646512,8406017.83740638
55-64,Male,added_sugar,Food_price,USD,13081272.8779729,13741527.763798,12202329.7361218
55-64,Male,added_sugar,FL,mrh-eq,405859.276755896,443482.472122633,387249.540489135
55-64,Male,oil,CED,MJ,5657943.32120674,5502800.77491365,5610634.72459647
55-64,Male,oil,Food_price,USD,4522391.8999023,4404587.67492172,4449557.55131826
55-64,Male,oil,FL,mrh-eq,290402.597114992,282239.464431053,287935.709658047
55-64,Male,sat_fat,CED,MJ,28351170.268145,29657297.3416061,29293637.5332399
55-64,Male,sat_fat,Food_price,USD,3110899.13528512,3233403.70965003,3213306.82848314
55-64,Male,sat_fat,FL,mrh-eq,793383.15154505,830066.455025815,819845.103846114
65-74,Female,added_sugar,CED,MJ,5808810.88592607,6155688.35509209,5792772.37680249
65-74,Female,added_sugar,Food_price,USD,9496878.62418817,9915429.74854569,9613934.71035188
65-74,Female,added_sugar,FL,mrh-eq,287771.911568197,305456.733366905,287107.368558604
65-74,Female,oil,CED,MJ,4346766.88554474,4181175.81475144,4258919.19776367
65-74,Female,oil,Food_price,USD,4315113.75245694,4066096.01965481,4108907.43277129
65-74,Female,oil,FL,mrh-eq,209183.269531837,201301.16917187,205002.110696311
65-74,Female,sat_fat,CED,MJ,22790116.5525897,22206842.080598,22741372.3910174
65-74,Female,sat_fat,Food_price,USD,2617147.71174834,2539044.49412083,2615231.51725701
65-74,Female,sat_fat,FL,mrh-eq,613886.369791307,598131.559555809,612443.306948659
65-74,Male,added_sugar,CED,MJ,5119920.64374773,5315744.87126093,5315781.07931504
65-74,Male,added_sugar,Food_price,USD,7817871.60222978,8098106.41336107,7985550.41958735
65-74,Male,added_sugar,FL,mrh-eq,249355.383790548,259156.494364574,258953.919956407
65-74,Male,oil,CED,MJ,3199559.23515733,3433104.74199036,3396625.23330755
65-74,Male,oil,Food_price,USD,1920824.03906855,2082945.69665623,2086409.54991331
65-74,Male,oil,FL,mrh-eq,154606.25798626,165907.450217617,164165.452445727
65-74,Male,sat_fat,CED,MJ,18557047.7106571,18202940.9646668,18257189.174431
65-74,Male,sat_fat,Food_price,USD,2154816.95761384,2119004.95320645,2129675.25293104
65-74,Male,sat_fat,FL,mrh-eq,508813.541271178,499120.621812774,500620.834415519
75+,Female,added_sugar,CED,MJ,4924884.53374941,4895549.35331133,4968428.48430358
75+,Female,added_sugar,Food_price,USD,8164521.55830009,8132406.81571655,8178783.65373587
75+,Female,added_sugar,FL,mrh-eq,268568.746747103,266717.380808579,270717.562392645
75+,Female,oil,CED,MJ,3055262.5314099,2952822.84918217,3031910.02833791
75+,Female,oil,Food_price,USD,2480352.63961645,2413209.86101633,2462028.01964476
75+,Female,oil,FL,mrh-eq,147778.990265822,142779.887585753,146582.933719515
75+,Female,sat_fat,CED,MJ,17329765.0013009,16893178.9886981,17290816.870483
