race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,318542286.537573,319601011.429902,315953757.600115
NHW,Food_price,USD,164557650.650673,165142805.233944,161821159.803691
NHW,FL,mrh-eq,10757579.9192665,10804581.9352804,10656489.515223
NHB,CED,MJ,53709022.5036607,52969928.0771275,53741026.9840076
NHB,Food_price,USD,28424749.6962503,28028342.806034,28652403.35692
NHB,FL,mrh-eq,1802852.33741992,1776101.2108122,1804853.8742499
HIS,CED,MJ,71060156.2877852,71963004.4922255,70685390.7141168
HIS,Food_price,USD,34234554.3260718,34216536.0260286,33543276.0683769
HIS,FL,mrh-eq,2405542.5368404,2432654.07587221,2385409.82369581
OTH,CED,MJ,44849815.621738,44839805.2732001,44902269.6317531
OTH,Food_price,USD,22046485.1299612,22112107.6104286,22288328.3015578
OTH,FL,mrh-eq,1550072.80636358,1559962.28880885,1558384.52160729
