sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,170190765.57866,169492968.850649,168420057.008488
Female,NHW,Food_price,USD,88655224.2850153,89420342.5455982,87864851.6445081
Female,NHW,FL,mrh-eq,5747676.59276324,5744693.43793058,5684108.63481238
Female,NHB,CED,MJ,30008434.2350324,29780405.7562134,30343539.6281781
Female,NHB,Food_price,USD,17056810.9178158,16888397.9890086,17160632.8322804
Female,NHB,FL,mrh-eq,1016350.55724641,1007302.63942801,1025899.65143388
Female,HIS,CED,MJ,37023038.5367394,37351523.245147,36999994.5335104
Female,HIS,Food_price,USD,18255275.5135816,18089503.7470106,17734108.0772584
Female,HIS,FL,mrh-eq,1270397.4422601,1280868.04761541,1262955.35058035
Female,OTH,CED,MJ,24103654.1104383,23412160.3224908,23805036.7924318
Female,OTH,Food_price,USD,12702762.098978,12344111.6369924,12651255.3012942
Female,OTH,FL,mrh-eq,830627.194197161,810216.217943137,824538.761417286
Male,NHW,CED,MJ,148351520.958912,150108042.579253,147533700.591627
Male,NHW,Food_price,USD,75902426.3656572,75722462.6883454,73956308.1591826
Male,NHW,FL,mrh-eq,5009903.32650326,5059888.49734982,4972380.88041064
Male,NHB,CED,MJ,23700588.2686283,23189522.3209141,23397487.3558295
Male,NHB,Food_price,USD,11367938.7784345,11139944.8170254,11491770.5246396
Male,NHB,FL,mrh-eq,786501.780173507,768798.571384186,778954.222816025
Male,HIS,CED,MJ,34037117.7510457,34611481.2470785,33685396.1806064
Male,HIS,Food_price,USD,15979278.8124902,16127032.279018,15809167.9911185
Male,HIS,FL,mrh-eq,1135145.0945803,1151786.0282568,1122454.47311546
Male,OTH,CED,MJ,20746161.5112997,21427644.9507094,21097232.8393213
Male,OTH,Food_price,USD,9343723.03098324,9767995.97343614,9637073.00026363
Male,OTH,FL,mrh-eq,719445.612166418,749746.070865717,733845.760190007
