age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,0,0,0
20-34,NHW,Food_price,USD,0,0,0
20-34,NHW,FL,mrh-eq,0,0,0
20-34,NHB,CED,MJ,0,0,0
20-34,NHB,Food_price,USD,0,0,0
20-34,NHB,FL,mrh-eq,0,0,0
20-34,HIS,CED,MJ,0,0,0
20-34,HIS,Food_price,USD,0,0,0
20-34,HIS,FL,mrh-eq,0,0,0
20-34,OTH,CED,MJ,0,0,0
20-34,OTH,Food_price,USD,0,0,0
20-34,OTH,FL,mrh-eq,0,0,0
35-44,NHW,CED,MJ,0,0,0
35-44,NHW,Food_price,USD,0,0,0
35-44,NHW,FL,mrh-eq,0,0,0
35-44,NHB,CED,MJ,0,0,0
35-44,NHB,Food_price,USD,0,0,0
35-44,NHB,FL,mrh-eq,0,0,0
35-44,HIS,CED,MJ,0,0,0
35-44,HIS,Food_price,USD,0,0,0
35-44,HIS,FL,mrh-eq,0,0,0
35-44,OTH,CED,MJ,0,0,0
35-44,OTH,Food_price,USD,0,0,0
35-44,OTH,FL,mrh-eq,0,0,0
45-54,NHW,CED,MJ,0,0,0
45-54,NHW,Food_price,USD,0,0,0
45-54,NHW,FL,mrh-eq,0,0,0
45-54,NHB,CED,MJ,0,0,0
45-54,NHB,Food_price,USD,0,0,0
45-54,NHB,FL,mrh-eq,0,0,0
45-54,HIS,CED,MJ,0,0,0
45-54,HIS,Food_price,USD,0,0,0
45-54,HIS,FL,mrh-eq,0,0,0
45-54,OTH,CED,MJ,0,0,0
45-54,OTH,Food_price,USD,0,0,0
45-54,OTH,FL,mrh-eq,0,0,0
55-64,NHW,CED,MJ,0,0,0
55-64,NHW,Food_price,USD,0,0,0
55-64,NHW,FL,mrh-eq,0,0,0
55-64,NHB,CED,MJ,0,0,0
55-64,NHB,Food_price,USD,0,0,0
55-64,NHB,FL,mrh-eq,0,0,0
55-64,HIS,CED,MJ,0,0,0
55-64,HIS,Food_price,USD,0,0,0
55-64,HIS,FL,mrh-eq,0,0,0
55-64,OTH,CED,MJ,0,0,0
55-64,OTH,Food_price,USD,0,0,0
55-64,OTH,FL,mrh-eq,0,0,0
65-74,NHW,CED,MJ,0,0,0
65-74,NHW,Food_price,USD,0,0,0
65-74,NHW,FL,mrh-eq,0,0,0
65-74,NHB,CED,MJ,0,0,0
65-74,NHB,Food_price,USD,0,0,0
65-74,NHB,FL,mrh-eq,0,0,0
65-74,HIS,CED,MJ,0,0,0
65-74,HIS,Food_price,USD,0,0,0
65-74,HIS,FL,mrh-eq,0,0,0
65-74,OTH,CED,MJ,0,0,0
65-74,OTH,Food_price,USD,0,0,0
65-74,OTH,FL,mrh-eq,0,0,0
75+,NHW,CED,MJ,0,0,0
75+,NHW,Food_price,USD,0,0,0
75+,NHW,FL,mrh-eq,0,0,0
75+,NHB,CED,MJ,0,0,0
75+,NHB,Food_price,USD,0,0,0
75+,NHB,FL,mrh-eq,0,0,0
75+,HIS,CED,MJ,0,0,0
75+,HIS,Food_price,USD,0,0,0
75+,HIS,FL,mrh-eq,0,0,0
75+,OTH,CED,MJ,0,0,0
75+,OTH,Food_price,USD,0,0,0
75+,OTH,FL,mrh-eq,0,0,0
