age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,87372788.648747,87083250.3046549,88696654.1487766
20-34,Female,Food_price,USD,53872726.9898889,53554060.3774589,54273030.3716487
20-34,Female,FL,mrh-eq,2947439.37369703,2943044.4106914,2983231.73593024
20-34,Male,CED,MJ,85353346.1160255,83967129.2930527,84819408.5850916
20-34,Male,Food_price,USD,48613899.1073434,46626355.8907359,48190797.4503192
20-34,Male,FL,mrh-eq,2803725.04829966,2745337.62768598,2784009.33782857
35-44,Female,CED,MJ,56558215.4085603,56395280.7721,56041544.9652581
35-44,Female,Food_price,USD,30273522.6607398,29154316.1304289,29591056.1448417
35-44,Female,FL,mrh-eq,1944418.00792203,1922901.94036814,1916161.57772124
35-44,Male,CED,MJ,52035985.1424757,52938292.7447378,50217127.0210623
35-44,Male,Food_price,USD,28752469.7172113,29421453.2812673,27910898.8763315
35-44,Male,FL,mrh-eq,1743039.38864114,1772769.00893611,1687248.13600297
45-54,Female,CED,MJ,55226026.6398215,54442746.707915,52241076.7865304
45-54,Female,Food_price,USD,30952179.6458367,31273641.109029,28654078.7833137
45-54,Female,FL,mrh-eq,1896149.27627232,1876824.87529373,1785418.49044153
45-54,Male,CED,MJ,48083658.9757938,49791413.6608455,48705217.3858149
45-54,Male,Food_price,USD,25410619.7636382,25782596.2805524,25068276.7446632
45-54,Male,FL,mrh-eq,1658892.13046912,1709751.76163842,1668882.94453993
55-64,Female,CED,MJ,69001497.1308301,69827647.6110262,68921704.6217147
55-64,Female,Food_price,USD,38030833.153977,39237668.6531774,38821416.0794131
55-64,Female,FL,mrh-eq,2368309.29049747,2416097.93656628,2383045.367136
55-64,Male,CED,MJ,57794590.9153094,60543981.7092722,58410814.0260058
55-64,Male,Food_price,USD,29300453.2147759,30319261.1677805,28023359.2015939
55-64,Male,FL,mrh-eq,2016512.7499998,2112422.81887928,2020753.919696
65-74,Female,CED,MJ,43444529.4592854,43015548.290151,43250963.8059434
65-74,Female,Food_price,USD,22887854.2860347,23119411.7747423,22814541.0315215
65-74,Female,FL,mrh-eq,1478805.96402601,1475666.41252227,1470896.18447544
65-74,Male,CED,MJ,35993763.0289397,36099649.9402577,36127134.364241
65-74,Male,Food_price,USD,16885106.4845856,17451984.4519685,17300890.0472205
65-74,Male,FL,mrh-eq,1230529.53065328,1245957.18061036,1245532.34523718
75+,Female,CED,MJ,33177677.9710284,32452376.2513845,33165290.7974381
75+,Female,Food_price,USD,17733042.1935886,17530004.8694074,17726659.9694839
75+,Female,FL,mrh-eq,1162912.9510525,1139492.68554714,1163421.00740844
75+,Male,CED,MJ,24564173.9725873,23880285.6551268,23898525.0589414
75+,Male,Food_price,USD,11662530.8332088,11190007.0478553,11541891.2179055
75+,Male,FL,mrh-eq,831725.567458974,808007.475906647,813265.453467931
