age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,20002158.8337363,20131806.0345154,20073358.7641337
20-34,Female,added_sugar,Food_price,USD,39107313.2391744,38842431.0581391,39328677.3753634
20-34,Female,added_sugar,FL,mrh-eq,886022.409475066,892570.542410616,889679.52787027
20-34,Female,oil,CED,MJ,10889942.6067926,10879214.209176,10857291.7018137
20-34,Female,oil,Food_price,USD,7677341.02477064,7726844.78400393,7751001.69008207
20-34,Female,oil,FL,mrh-eq,571401.740563469,570781.44943807,569676.046921181
20-34,Female,sat_fat,CED,MJ,56480687.2082181,56072230.0609635,57766003.6828292
20-34,Female,sat_fat,Food_price,USD,7088072.72594385,6984784.53531587,7193351.30620324
20-34,Female,sat_fat,FL,mrh-eq,1490015.2236585,1479692.41884272,1523876.16113879
20-34,Male,added_sugar,CED,MJ,19169859.5132651,17876510.9817148,18778538.43652
20-34,Male,added_sugar,Food_price,USD,36118464.2191953,34045107.6424459,35646570.6042673
20-34,Male,added_sugar,FL,mrh-eq,766912.266936293,714860.910787029,750905.59825943
20-34,Male,oil,CED,MJ,9640084.48112684,9477089.97833775,9652174.61203734
20-34,Male,oil,Food_price,USD,6065945.85088635,6070292.34668859,6147320.55477321
20-34,Male,oil,FL,mrh-eq,495844.33008944,487406.474569392,496313.645816563
20-34,Male,sat_fat,CED,MJ,56543402.1216335,56613528.3330001,56388695.5365343
20-34,Male,sat_fat,Food_price,USD,6429489.03726168,6510955.90160143,6396906.29127873
20-34,Male,sat_fat,FL,mrh-eq,1540968.45127392,1543070.24232956,1536790.09375257
35-44,Female,added_sugar,CED,MJ,13505880.4602291,12749247.5095484,12987445.4558721
35-44,Female,added_sugar,Food_price,USD,22521784.5654069,21333190.6307128,21872556.7744959
35-44,Female,added_sugar,FL,mrh-eq,637666.629439637,600867.92126874,612316.389623326
35-44,Female,oil,CED,MJ,6907824.80793371,6923909.11703093,6788524.97123059
35-44,Female,oil,Food_price,USD,3538102.42301847,3535760.95624277,3493930.80449513
35-44,Female,oil,FL,mrh-eq,344965.043025977,344912.314008261,338859.436228571
35-44,Female,sat_fat,CED,MJ,36144510.1403975,36722124.1455206,36265574.5381554
35-44,Female,sat_fat,Food_price,USD,4213635.67231438,4285364.5434733,4224568.56585064
35-44,Female,sat_fat,FL,mrh-eq,961786.335456416,977121.70509114,964985.751869344
35-44,Male,added_sugar,CED,MJ,12139710.0064569,12370966.1763338,11625466.2268252
35-44,Male,added_sugar,Food_price,USD,21740759.6745108,22379074.6506726,21122865.3408126
35-44,Male,added_sugar,FL,mrh-eq,518932.879051385,530077.587469419,498032.269232378
35-44,Male,oil,CED,MJ,5414352.76733975,5380345.06320021,5475568.76242919
35-44,Male,oil,Food_price,USD,3383161.82609085,3386001.2256378,3374167.08098172
35-44,Male,oil,FL,mrh-eq,268340.565634758,267257.883443321,271367.428973496
35-44,Male,sat_fat,CED,MJ,34481922.3686791,35186981.5052039,33116092.0318079
35-44,Male,sat_fat,Food_price,USD,3628548.21660966,3656377.40495692,3413866.45453716
35-44,Male,sat_fat,FL,mrh-eq,955765.943954996,975433.538023369,917848.437797101
45-54,Female,added_sugar,CED,MJ,13821574.4075607,13846843.4696402,12487350.4848301
45-54,Female,added_sugar,Food_price,USD,22058637.9190152,22457615.1670513,20110420.207177
45-54,Female,added_sugar,FL,mrh-eq,619371.799076456,620895.549760571,559977.58996406
45-54,Female,oil,CED,MJ,6379880.15477118,6392288.09349355,6145047.89571434
45-54,Female,oil,Food_price,USD,4754840.55020453,4807398.30096295,4544066.73853418
45-54,Female,oil,FL,mrh-eq,343720.27509457,344686.671726478,330562.920929695
45-54,Female,sat_fat,CED,MJ,35024572.0774896,34203615.1447813,33608678.4059859
45-54,Female,sat_fat,Food_price,USD,4138701.17661692,4008627.64101473,3999591.83760253
45-54,Female,sat_fat,FL,mrh-eq,933057.202101295,911242.65380668,894877.979547772
45-54,Male,added_sugar,CED,MJ,10833020.4764095,11107990.1401882,10658608.6565177
45-54,Male,added_sugar,Food_price,USD,18170970.9172702,18381265.0202293,17791597.5040249
45-54,Male,added_sugar,FL,mrh-eq,493840.666077872,507147.053310963,486034.368225169
45-54,Male,oil,CED,MJ,5637337.3311822,5546195.11234678,5474988.35866974
45-54,Male,oil,Food_price,USD,3735239.39655048,3705923.87676915,3668956.87883522
45-54,Male,oil,FL,mrh-eq,290948.109893847,286290.281131268,282247.003668866
45-54,Male,sat_fat,CED,MJ,31613301.1682021,33137228.4083106,32571620.3706274
45-54,Male,sat_fat,Food_price,USD,3504409.44981754,3695407.38355391,3607722.36180308
45-54,Male,sat_fat,FL,mrh-eq,874103.354497402,916314.427196192,900601.572645892
55-64,Female,added_sugar,CED,MJ,15403551.0470405,16094640.1116241,15731115.1081161
55-64,Female,added_sugar,Food_price,USD,26622902.8917464,27356793.3658426,27091880.6720106
55-64,Female,added_sugar,FL,mrh-eq,734957.655186786,768556.525940893,750270.16949099
55-64,Female,oil,CED,MJ,7877819.33502631,8284919.73311495,8281252.5924516
55-64,Female,oil,Food_price,USD,6489862.0692393,6986054.10799889,6904166.05352892
55-64,Female,oil,FL,mrh-eq,409061.424476411,430363.43707591,430109.734739602
55-64,Female,sat_fat,CED,MJ,45720126.7487633,45448087.7662872,44909336.921147
55-64,Female,sat_fat,Food_price,USD,4918068.19299132,4894821.1793359,4825369.35387359
