sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,78922568.8004254,79490419.4695924,77509801.507567
Female,added_sugar,Food_price,USD,136950174.027368,137211814.722372,135240811.608664
Female,added_sugar,FL,mrh-eq,3717108.37112537,3745836.05564284,3653553.80912271
Female,oil,CED,MJ,40921618.4306842,41025391.1025115,40805089.0720306
Female,oil,Food_price,USD,30600941.4281351,30817920.5410738,30564831.182179
Female,oil,FL,mrh-eq,2096730.71462656,2102895.27011411,2090350.33836307
Female,sat_fat,CED,MJ,224936548.027163,222701039.365128,224002344.546064
Female,sat_fat,Food_price,USD,26199043.4745622,25839367.6507983,26075139.5893798
Female,sat_fat,FL,mrh-eq,5984195.77771544,5925296.935232,5958270.2156271
Male,added_sugar,CED,MJ,68371986.1940025,68793470.6854004,66963998.6410893
Male,added_sugar,Food_price,USD,115296204.971903,114996675.01859,112670837.166163
Male,added_sugar,FL,mrh-eq,3030503.58296399,3060450.95719962,2970154.40860753
Male,oil,CED,MJ,33697285.8363859,33549179.7690087,33803011.3061284
Male,oil,Food_price,USD,22765197.0223713,22878160.6300062,22925781.3091729
Male,oil,FL,mrh-eq,1700684.61625021,1692426.2210346,1704708.80063307
Male,sat_fat,CED,MJ,201756246.120743,204878102.548883,201411216.493939
Male,sat_fat,Food_price,USD,22563677.1264885,22916822.4715641,22439495.0626979
Male,sat_fat,FL,mrh-eq,5553236.21630777,5641368.69542259,5544828.92753197
