sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,224110560.358676,223325648.408795,221687515.612415
Female,NHW,Food_price,USD,125695501.93065,126848358.639338,124566625.609777
Female,NHW,FL,mrh-eq,7640855.89037533,7642173.90083156,7552913.20386755
Female,NHB,CED,MJ,40014061.9045754,39717246.9581759,40458074.2246927
Female,NHB,Food_price,USD,24460670.7806149,24235696.1889356,24598731.22443
Female,NHB,FL,mrh-eq,1362749.80878834,1351155.40229666,1375726.75716127
Female,HIS,CED,MJ,49099777.6893752,49514756.1786636,49028485.1291149
Female,HIS,Food_price,USD,25798111.7617548,25506340.8559422,25016683.4442109
Female,HIS,FL,mrh-eq,1697851.70952909,1710587.38211757,1686075.93397961
Female,OTH,CED,MJ,31556335.3056464,30659198.3915974,31143160.159439
Female,OTH,Food_price,USD,17795874.4570461,17278707.2300276,17698742.1018046
Female,OTH,FL,mrh-eq,1096577.45477461,1070111.57574316,1087458.46810445
Male,NHW,CED,MJ,198588025.88622,200901385.531356,197285234.128314
Male,NHW,Food_price,USD,108188212.732263,107820964.385097,105190928.310301
Male,NHW,FL,mrh-eq,6736185.24482068,6802058.37200423,6676814.53640854
Male,NHB,CED,MJ,31900487.2429848,31204706.8582591,31518029.6842798
Male,NHB,Food_price,USD,16501385.5565012,16174174.1208608,16702844.2403093
Male,NHB,FL,mrh-eq,1060552.90937799,1036339.34459935,1051295.79099946
Male,HIS,CED,MJ,45733203.7084678,46550605.49591,45257690.5807524
Male,HIS,Food_price,USD,22811139.7322995,23057978.0166725,22576529.2339325
Male,HIS,FL,mrh-eq,1527071.99941151,1551964.97161685,1509644.83243237
Male,OTH,CED,MJ,27603801.3134588,28564055.1177672,28117272.0478108
Male,OTH,Food_price,USD,13124341.0996995,13738541.5975296,13565811.7534906
Male,OTH,FL,mrh-eq,960614.261911786,1003883.18543636,981936.976932206
