age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,42493635.0731265,42003165.0701465,42630865.4699372
20-34,Food_price,USD,30774715.7678282,29990609.4134792,30730976.9295072
20-34,FL,mrh-eq,1428768.16475327,1410251.87321612,1430921.36132705
35-44,CED,MJ,27083587.9582157,27204720.161797,26421229.2435371
35-44,Food_price,USD,17896454.3966528,17734982.5825332,17410394.9650503
35-44,FL,mrh-eq,937081.344726195,936471.674569851,912472.939360616
45-54,CED,MJ,25647346.1699294,25923990.8103301,24986672.2659415
45-54,Food_price,USD,16725796.2015399,16952105.3631568,15888842.4709471
45-54,FL,mrh-eq,897089.783880052,906890.874475605,868644.190159502
55-64,CED,MJ,31737374.7626465,32787149.5426287,31840406.8607615
55-64,Food_price,USD,19734769.0412064,20413833.4065266,19512730.1516722
55-64,FL,mrh-eq,1116786.51398421,1159901.06146902,1119438.09936243
65-74,CED,MJ,19616070.5746024,19619701.402049,19615438.7175472
65-74,Food_price,USD,11450308.0833146,11750768.9011657,11575722.1959301
65-74,FL,mrh-eq,685718.760739964,692549.564643086,688135.536691386
75+,CED,MJ,13866957.9201276,13525126.681118,13718404.0791008
75+,Food_price,USD,8529754.75733087,8318669.69110784,8493061.67460401
75+,FL,mrh-eq,500967.111015267,488909.57549843,497116.638208446
