age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,21107248.4269966,21064238.7795404,21412238.476432
20-34,Female,Food_price,USD,16053535.7747637,15950166.6681185,16163753.9888277
20-34,Female,FL,mrh-eq,725050.129928553,725016.809650984,733547.743042885
20-34,Male,CED,MJ,21386386.6461299,20938926.2906061,21218626.9935052
20-34,Male,Food_price,USD,14721179.9930645,14040442.7453607,14567222.9406795
20-34,Male,FL,mrh-eq,703718.034824714,685235.063565132,697373.61828417
35-44,Female,CED,MJ,13760298.5520319,13638257.3119486,13593102.4843233
35-44,Female,Food_price,USD,9120190.65339974,8736317.57481408,8897182.08716274
35-44,Female,FL,mrh-eq,486717.255742317,477772.947782152,477893.615776157
35-44,Male,CED,MJ,13323289.4061837,13566462.8498484,12828126.7592137
35-44,Male,Food_price,USD,8776263.743253,8998665.00771909,8513212.87788758
35-44,Male,FL,mrh-eq,450364.088983879,458698.726787699,434579.323584459
45-54,Female,CED,MJ,13476091.5643821,13307611.484999,12671348.0176259
45-54,Female,Food_price,USD,9137559.48612378,9252028.79769686,8414678.92814319
45-54,Female,FL,mrh-eq,472596.138633977,468503.312476708,441873.49769036
45-54,Male,CED,MJ,12171254.6055473,12616379.3253311,12315324.2483157
45-54,Male,Food_price,USD,7588236.71541613,7700076.5654599,7474163.5428039
45-54,Male,FL,mrh-eq,424493.645246076,438387.561998897,426770.692469142
55-64,Female,CED,MJ,16744603.2141986,16987017.0863414,16739882.9299984
55-64,Female,Food_price,USD,11148879.7395909,11474091.3871159,11354565.0660015
55-64,Female,FL,mrh-eq,589918.789400343,603266.634169242,593714.533659727
55-64,Male,CED,MJ,14992771.5484479,15800132.4562873,15100523.9307631
55-64,Male,Food_price,USD,8585889.30161555,8939742.01941073,8158165.08567067
55-64,Male,FL,mrh-eq,526867.724583865,556634.42729978,525723.565702699
65-74,Female,CED,MJ,10498835.1352248,10471842.0397095,10457899.8403598
65-74,Female,Food_price,USD,6458714.19764123,6598841.51242099,6476467.37114129
65-74,Female,FL,mrh-eq,367964.413134673,370776.950427686,366343.398271863
65-74,Male,CED,MJ,9117235.43937756,9147859.3623395,9157538.87718745
65-74,Male,Food_price,USD,4991593.88567338,5151927.38874475,5099254.8247888
65-74,Male,FL,mrh-eq,317754.347605291,321772.6142154,321792.138419523
75+,Female,CED,MJ,7867765.90456827,7710825.06019294,7874135.4143135
75+,Female,Food_price,USD,5161206.2631555,5115301.05546788,5163287.08360501
75+,Female,FL,mrh-eq,290736.3501606,285611.263565051,291299.176427994
75+,Male,CED,MJ,5999192.01555933,5814301.62092505,5844268.66478729
75+,Male,Food_price,USD,3368548.49417537,3203368.63563996,3329774.590999
75+,Male,FL,mrh-eq,210230.760854667,203298.311933379,205817.461780452
