age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,CED,MJ,11515687.8275694,11524077.0063367,11845496.7459282
20-34,Female,NHW,Food_price,USD,9068828.26673339,9148603.18188134,9386852.35644461
20-34,Female,NHW,FL,mrh-eq,396989.626754515,399408.98845262,407753.429904463
20-34,Female,NHB,CED,MJ,3038386.34012116,2972206.63434306,3070724.97337791
20-34,Female,NHB,Food_price,USD,2477360.29845069,2406262.02641427,2420687.63578953
20-34,Female,NHB,FL,mrh-eq,101357.132677723,98790.9463896616,101673.786932381
20-34,Female,HIS,CED,MJ,4247525.95227057,4383187.6151135,4360495.15303407
20-34,Female,HIS,Food_price,USD,2678301.15202712,2769576.93733217,2709271.4864245
20-34,Female,HIS,FL,mrh-eq,145999.505988063,150723.84669638,149533.957027186
20-34,Female,OTH,CED,MJ,2305648.30703541,2184767.52374711,2135521.60409176
20-34,Female,OTH,Food_price,USD,1829046.05755249,1625724.52249075,1646942.51016903
20-34,Female,OTH,FL,mrh-eq,80703.8645082512,76093.0281123228,74586.569178855
20-34,Male,NHW,CED,MJ,12201201.4815136,11983690.9443631,12113991.7338356
20-34,Male,NHW,Food_price,USD,8429219.25295047,8050866.04289966,8257894.57101229
20-34,Male,NHW,FL,mrh-eq,402693.573359482,393513.682677081,398226.922067001
20-34,Male,NHB,CED,MJ,2720536.48313201,2596778.72804658,2655047.08903013
20-34,Male,NHB,Food_price,USD,1899332.88452245,1832940.2280266,1884405.52421635
20-34,Male,NHB,FL,mrh-eq,89337.4416800672,85243.692528061,87617.1755821057
20-34,Male,HIS,CED,MJ,4276661.67008416,4241176.07547998,4240100.89881676
20-34,Male,HIS,Food_price,USD,2847150.76215535,2729039.12331557,2849666.55350906
20-34,Male,HIS,FL,mrh-eq,137330.632871715,134993.945677371,136107.705991284
20-34,Male,OTH,CED,MJ,2187987.01140008,2117280.54271642,2209487.27182273
20-34,Male,OTH,Food_price,USD,1545477.09343625,1427597.35111883,1575256.29194178
20-34,Male,OTH,FL,mrh-eq,74356.3869134502,71483.7426826184,75421.814643779
35-44,Female,NHW,CED,MJ,7387800.97692859,7257780.36961461,7311804.57988623
35-44,Female,NHW,Food_price,USD,4928720.83192594,4642192.21746849,4823583.93548443
35-44,Female,NHW,FL,mrh-eq,257355.042772938,249743.293656272,253278.479610869
