age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,NHW,added_sugar,CED,MJ,-413656646.015714,-398459607.618162,-407117089.329517
20-34,NHW,added_sugar,Food_price,USD,-413656646.015714,-398459607.618162,-407117089.329517
20-34,NHW,added_sugar,FL,mrh-eq,-413656646.015714,-398459607.618162,-407117089.329517
20-34,NHW,oil,CED,MJ,-4182103.7844898,-9638564.6238243,-11969376.1783301
20-34,NHW,oil,Food_price,USD,-4182103.7844898,-9638564.6238243,-11969376.1783301
20-34,NHW,oil,FL,mrh-eq,-4182103.7844898,-9638564.6238243,-11969376.1783301
20-34,NHW,sat_fat,CED,MJ,-622927835.051655,-616014433.724702,-648826973.081819
20-34,NHW,sat_fat,Food_price,USD,-622927835.051655,-616014433.724702,-648826973.081819
20-34,NHW,sat_fat,FL,mrh-eq,-622927835.051655,-616014433.724702,-648826973.081819
20-34,NHB,added_sugar,CED,MJ,-141734538.356629,-131696379.332931,-138971310.156175
20-34,NHB,added_sugar,Food_price,USD,-141734538.356629,-131696379.332931,-138971310.156175
20-34,NHB,added_sugar,FL,mrh-eq,-141734538.356629,-131696379.332931,-138971310.156175
20-34,NHB,oil,CED,MJ,-26940243.3223883,-13858684.934376,-22629188.0036143
20-34,NHB,oil,Food_price,USD,-26940243.3223883,-13858684.934376,-22629188.0036143
20-34,NHB,oil,FL,mrh-eq,-26940243.3223883,-13858684.934376,-22629188.0036143
20-34,NHB,sat_fat,CED,MJ,-135607191.731672,-128421236.965806,-135672074.856028
20-34,NHB,sat_fat,Food_price,USD,-135607191.731672,-128421236.965806,-135672074.856028
20-34,NHB,sat_fat,FL,mrh-eq,-135607191.731672,-128421236.965806,-135672074.856028
20-34,HIS,added_sugar,CED,MJ,-159359279.765629,-157214995.318558,-163746265.419786
20-34,HIS,added_sugar,Food_price,USD,-159359279.765629,-157214995.318558,-163746265.419786
20-34,HIS,added_sugar,FL,mrh-eq,-159359279.765629,-157214995.318558,-163746265.419786
20-34,HIS,oil,CED,MJ,12525323.7806105,27967578.8323608,20598687.0441206
20-34,HIS,oil,Food_price,USD,12525323.7806105,27967578.8323608,20598687.0441206
20-34,HIS,oil,FL,mrh-eq,12525323.7806105,27967578.8323608,20598687.0441206
20-34,HIS,sat_fat,CED,MJ,-192081541.924454,-203811793.80068,-196181640.358519
20-34,HIS,sat_fat,Food_price,USD,-192081541.924454,-203811793.80068,-196181640.358519
20-34,HIS,sat_fat,FL,mrh-eq,-192081541.924454,-203811793.80068,-196181640.358519
20-34,OTH,added_sugar,CED,MJ,-80394761.1018844,-64063737.6978347,-73672501.2842571
20-34,OTH,added_sugar,Food_price,USD,-80394761.1018844,-64063737.6978347,-73672501.2842571
20-34,OTH,added_sugar,FL,mrh-eq,-80394761.1018844,-64063737.6978347,-73672501.2842571
20-34,OTH,oil,CED,MJ,-2869494.77519666,-6967701.1885037,-5013967.91094251
20-34,OTH,oil,Food_price,USD,-2869494.77519666,-6967701.1885037,-5013967.91094251
20-34,OTH,oil,FL,mrh-eq,-2869494.77519666,-6967701.1885037,-5013967.91094251
20-34,OTH,sat_fat,CED,MJ,-102637621.229085,-97713372.9949918,-94190560.5412588
20-34,OTH,sat_fat,Food_price,USD,-102637621.229085,-97713372.9949918,-94190560.5412588
20-34,OTH,sat_fat,FL,mrh-eq,-102637621.229085,-97713372.9949918,-94190560.5412588
35-44,NHW,added_sugar,CED,MJ,-339893969.522247,-308445820.667557,-296896284.128151
35-44,NHW,added_sugar,Food_price,USD,-339893969.522247,-308445820.667557,-296896284.128151
35-44,NHW,added_sugar,FL,mrh-eq,-339893969.522247,-308445820.667557,-296896284.128151
35-44,NHW,oil,CED,MJ,-29476660.0573707,-30009855.5944199,-33931949.2684448
35-44,NHW,oil,Food_price,USD,-29476660.0573707,-30009855.5944199,-33931949.2684448
35-44,NHW,oil,FL,mrh-eq,-29476660.0573707,-30009855.5944199,-33931949.2684448
35-44,NHW,sat_fat,CED,MJ,-383223990.69237,-405716638.48035,-369320970.473792
35-44,NHW,sat_fat,Food_price,USD,-383223990.69237,-405716638.48035,-369320970.473792
35-44,NHW,sat_fat,FL,mrh-eq,-383223990.69237,-405716638.48035,-369320970.473792
35-44,NHB,added_sugar,CED,MJ,-83883694.0670291,-86699332.8457715,-86233789.9566896
35-44,NHB,added_sugar,Food_price,USD,-83883694.0670291,-86699332.8457715,-86233789.9566896
35-44,NHB,added_sugar,FL,mrh-eq,-83883694.0670291,-86699332.8457715,-86233789.9566896
35-44,NHB,oil,CED,MJ,-9927587.57354799,-7434294.1154332,-2918229.28649921
35-44,NHB,oil,Food_price,USD,-9927587.57354799,-7434294.1154332,-2918229.28649921
35-44,NHB,oil,FL,mrh-eq,-9927587.57354799,-7434294.1154332,-2918229.28649921
35-44,NHB,sat_fat,CED,MJ,-74873825.3259293,-74591303.7550821,-73720122.4150307
35-44,NHB,sat_fat,Food_price,USD,-74873825.3259293,-74591303.7550821,-73720122.4150307
35-44,NHB,sat_fat,FL,mrh-eq,-74873825.3259293,-74591303.7550821,-73720122.4150307
35-44,HIS,added_sugar,CED,MJ,-102220297.289398,-103098780.066025,-97146212.5449332
35-44,HIS,added_sugar,Food_price,USD,-102220297.289398,-103098780.066025,-97146212.5449332
35-44,HIS,added_sugar,FL,mrh-eq,-102220297.289398,-103098780.066025,-97146212.5449332
35-44,HIS,oil,CED,MJ,33079218.4902201,30124504.7778967,36203556.5227766
35-44,HIS,oil,Food_price,USD,33079218.4902201,30124504.7778967,36203556.5227766
35-44,HIS,oil,FL,mrh-eq,33079218.4902201,30124504.7778967,36203556.5227766
35-44,HIS,sat_fat,CED,MJ,-130625333.760245,-137804265.40519,-124177784.852215
35-44,HIS,sat_fat,Food_price,USD,-130625333.760245,-137804265.40519,-124177784.852215
35-44,HIS,sat_fat,FL,mrh-eq,-130625333.760245,-137804265.40519,-124177784.852215
35-44,OTH,added_sugar,CED,MJ,-46493626.2802724,-53099712.055064,-51342244.2497454
35-44,OTH,added_sugar,Food_price,USD,-46493626.2802724,-53099712.055064,-51342244.2497454
35-44,OTH,added_sugar,FL,mrh-eq,-46493626.2802724,-53099712.055064,-51342244.2497454
35-44,OTH,oil,CED,MJ,591324.43767662,3197012.7250282,1154160.1137336
35-44,OTH,oil,Food_price,USD,591324.43767662,3197012.7250282,1154160.1137336
35-44,OTH,oil,FL,mrh-eq,591324.43767662,3197012.7250282,1154160.1137336
35-44,OTH,sat_fat,CED,MJ,-70465948.3061813,-65502383.5293121,-68043653.8582587
35-44,OTH,sat_fat,Food_price,USD,-70465948.3061813,-65502383.5293121,-68043653.8582587
35-44,OTH,sat_fat,FL,mrh-eq,-70465948.3061813,-65502383.5293121,-68043653.8582587
45-54,NHW,added_sugar,CED,MJ,-380911450.08981,-379912339.683905,-322288952.520506
45-54,NHW,added_sugar,Food_price,USD,-380911450.08981,-379912339.683905,-322288952.520506
45-54,NHW,added_sugar,FL,mrh-eq,-380911450.08981,-379912339.683905,-322288952.520506
45-54,NHW,oil,CED,MJ,-19727984.0866511,-22468703.0043214,23392479.1391976
45-54,NHW,oil,Food_price,USD,-19727984.0866511,-22468703.0043214,23392479.1391976
45-54,NHW,oil,FL,mrh-eq,-19727984.0866511,-22468703.0043214,23392479.1391976
45-54,NHW,sat_fat,CED,MJ,-405452682.246741,-407034614.485745,-385694195.890387
45-54,NHW,sat_fat,Food_price,USD,-405452682.246741,-407034614.485745,-385694195.890387
45-54,NHW,sat_fat,FL,mrh-eq,-405452682.246741,-407034614.485745,-385694195.890387
45-54,NHB,added_sugar,CED,MJ,-73210296.7213357,-64552754.8871383,-72875585.2529463
45-54,NHB,added_sugar,Food_price,USD,-73210296.7213357,-64552754.8871383,-72875585.2529463
45-54,NHB,added_sugar,FL,mrh-eq,-73210296.7213357,-64552754.8871383,-72875585.2529463
45-54,NHB,oil,CED,MJ,-16207615.0345658,-11740658.8663485,-19793845.6906659
45-54,NHB,oil,Food_price,USD,-16207615.0345658,-11740658.8663485,-19793845.6906659
45-54,NHB,oil,FL,mrh-eq,-16207615.0345658,-11740658.8663485,-19793845.6906659
45-54,NHB,sat_fat,CED,MJ,-63645626.6029181,-65924523.0590484,-66902296.4583661
45-54,NHB,sat_fat,Food_price,USD,-63645626.6029181,-65924523.0590484,-66902296.4583661
45-54,NHB,sat_fat,FL,mrh-eq,-63645626.6029181,-65924523.0590484,-66902296.4583661
45-54,HIS,added_sugar,CED,MJ,-71741219.5581292,-81462723.6526074,-66229953.1232366
45-54,HIS,added_sugar,Food_price,USD,-71741219.5581292,-81462723.6526074,-66229953.1232366
45-54,HIS,added_sugar,FL,mrh-eq,-71741219.5581292,-81462723.6526074,-66229953.1232366
45-54,HIS,oil,CED,MJ,11833194.6563542,16161452.1352209,12286876.5170919
45-54,HIS,oil,Food_price,USD,11833194.6563542,16161452.1352209,12286876.5170919
45-54,HIS,oil,FL,mrh-eq,11833194.6563542,16161452.1352209,12286876.5170919
45-54,HIS,sat_fat,CED,MJ,-77630606.2952021,-88296963.9707891,-82717670.6428278
45-54,HIS,sat_fat,Food_price,USD,-77630606.2952021,-88296963.9707891,-82717670.6428278
45-54,HIS,sat_fat,FL,mrh-eq,-77630606.2952021,-88296963.9707891,-82717670.6428278
45-54,OTH,added_sugar,CED,MJ,-27962199.0638572,-40142319.4590481,-32741939.4831492
45-54,OTH,added_sugar,Food_price,USD,-27962199.0638572,-40142319.4590481,-32741939.4831492
45-54,OTH,added_sugar,FL,mrh-eq,-27962199.0638572,-40142319.4590481,-32741939.4831492
45-54,OTH,oil,CED,MJ,-6096308.35193518,-3568025.54052823,-3196122.21464725
45-54,OTH,oil,Food_price,USD,-6096308.35193518,-3568025.54052823,-3196122.21464725
45-54,OTH,oil,FL,mrh-eq,-6096308.35193518,-3568025.54052823,-3196122.21464725
45-54,OTH,sat_fat,CED,MJ,-56243350.2935427,-55562943.8217327,-59583309.9497239
45-54,OTH,sat_fat,Food_price,USD,-56243350.2935427,-55562943.8217327,-59583309.9497239
45-54,OTH,sat_fat,FL,mrh-eq,-56243350.2935427,-55562943.8217327,-59583309.9497239
55-64,NHW,added_sugar,CED,MJ,-451917492.984854,-523002762.15604,-445072276.040201
55-64,NHW,added_sugar,Food_price,USD,-451917492.984854,-523002762.15604,-445072276.040201
55-64,NHW,added_sugar,FL,mrh-eq,-451917492.984854,-523002762.15604,-445072276.040201
55-64,NHW,oil,CED,MJ,-32338160.5467625,-41108167.7783301,-48027512.7158369
55-64,NHW,oil,Food_price,USD,-32338160.5467625,-41108167.7783301,-48027512.7158369
55-64,NHW,oil,FL,mrh-eq,-32338160.5467625,-41108167.7783301,-48027512.7158369
55-64,NHW,sat_fat,CED,MJ,-555695020.817012,-589120941.200315,-568404382.523994
55-64,NHW,sat_fat,Food_price,USD,-555695020.817012,-589120941.200315,-568404382.523994
55-64,NHW,sat_fat,FL,mrh-eq,-555695020.817012,-589120941.200315,-568404382.523994
55-64,NHB,added_sugar,CED,MJ,-77012179.754316,-76296039.1085173,-85008999.49084
55-64,NHB,added_sugar,Food_price,USD,-77012179.754316,-76296039.1085173,-85008999.49084
55-64,NHB,added_sugar,FL,mrh-eq,-77012179.754316,-76296039.1085173,-85008999.49084
55-64,NHB,oil,CED,MJ,-10081025.8728541,-9605810.22672797,-12666438.349158
55-64,NHB,oil,Food_price,USD,-10081025.8728541,-9605810.22672797,-12666438.349158
55-64,NHB,oil,FL,mrh-eq,-10081025.8728541,-9605810.22672797,-12666438.349158
55-64,NHB,sat_fat,CED,MJ,-72989933.5837125,-74793664.8990288,-70267145.3570543
55-64,NHB,sat_fat,Food_price,USD,-72989933.5837125,-74793664.8990288,-70267145.3570543
55-64,NHB,sat_fat,FL,mrh-eq,-72989933.5837125,-74793664.8990288,-70267145.3570543
55-64,HIS,added_sugar,CED,MJ,-67617678.2012951,-66436442.1844889,-54223102.7811563
55-64,HIS,added_sugar,Food_price,USD,-67617678.2012951,-66436442.1844889,-54223102.7811563
55-64,HIS,added_sugar,FL,mrh-eq,-67617678.2012951,-66436442.1844889,-54223102.7811563
55-64,HIS,oil,CED,MJ,18559727.5014375,5882165.80449703,12025951.3809933
55-64,HIS,oil,Food_price,USD,18559727.5014375,5882165.80449703,12025951.3809933
55-64,HIS,oil,FL,mrh-eq,18559727.5014375,5882165.80449703,12025951.3809933
55-64,HIS,sat_fat,CED,MJ,-83213578.9430951,-73071983.5364547,-81157625.3811231
55-64,HIS,sat_fat,Food_price,USD,-83213578.9430951,-73071983.5364547,-81157625.3811231
55-64,HIS,sat_fat,FL,mrh-eq,-83213578.9430951,-73071983.5364547,-81157625.3811231
55-64,OTH,added_sugar,CED,MJ,-26853323.7062615,-32750757.593179,-28897813.5258353
55-64,OTH,added_sugar,Food_price,USD,-26853323.7062615,-32750757.593179,-28897813.5258353
55-64,OTH,added_sugar,FL,mrh-eq,-26853323.7062615,-32750757.593179,-28897813.5258353
55-64,OTH,oil,CED,MJ,-16087527.3909641,-19010463.0661238,-28848198.2554443
55-64,OTH,oil,Food_price,USD,-16087527.3909641,-19010463.0661238,-28848198.2554443
55-64,OTH,oil,FL,mrh-eq,-16087527.3909641,-19010463.0661238,-28848198.2554443
55-64,OTH,sat_fat,CED,MJ,-65377290.4257758,-68549792.3673825,-65942996.3797658
55-64,OTH,sat_fat,Food_price,USD,-65377290.4257758,-68549792.3673825,-65942996.3797658
55-64,OTH,sat_fat,FL,mrh-eq,-65377290.4257758,-68549792.3673825,-65942996.3797658
65-74,NHW,added_sugar,CED,MJ,-257746008.955114,-275885925.901291,-266549760.046017
65-74,NHW,added_sugar,Food_price,USD,-257746008.955114,-275885925.901291,-266549760.046017
65-74,NHW,added_sugar,FL,mrh-eq,-257746008.955114,-275885925.901291,-266549760.046017
65-74,NHW,oil,CED,MJ,-29665407.0789483,-41522471.4125106,-49149326.1864872
65-74,NHW,oil,Food_price,USD,-29665407.0789483,-41522471.4125106,-49149326.1864872
65-74,NHW,oil,FL,mrh-eq,-29665407.0789483,-41522471.4125106,-49149326.1864872
65-74,NHW,sat_fat,CED,MJ,-421244276.775243,-402265328.513113,-415307228.034143
65-74,NHW,sat_fat,Food_price,USD,-421244276.775243,-402265328.513113,-415307228.034143
65-74,NHW,sat_fat,FL,mrh-eq,-421244276.775243,-402265328.513113,-415307228.034143
65-74,NHB,added_sugar,CED,MJ,-39592336.6977147,-40506575.2664776,-38695172.4629918
65-74,NHB,added_sugar,Food_price,USD,-39592336.6977147,-40506575.2664776,-38695172.4629918
65-74,NHB,added_sugar,FL,mrh-eq,-39592336.6977147,-40506575.2664776,-38695172.4629918
65-74,NHB,oil,CED,MJ,-4770584.44320203,-1135934.54776931,-3210217.09526402
65-74,NHB,oil,Food_price,USD,-4770584.44320203,-1135934.54776931,-3210217.09526402
65-74,NHB,oil,FL,mrh-eq,-4770584.44320203,-1135934.54776931,-3210217.09526402
65-74,NHB,sat_fat,CED,MJ,-40960407.766112,-40664744.5134972,-40868407.6376312
65-74,NHB,sat_fat,Food_price,USD,-40960407.766112,-40664744.5134972,-40868407.6376312
65-74,NHB,sat_fat,FL,mrh-eq,-40960407.766112,-40664744.5134972,-40868407.6376312
65-74,HIS,added_sugar,CED,MJ,-23439142.2637949,-28286789.6691905,-21937672.480715
65-74,HIS,added_sugar,Food_price,USD,-23439142.2637949,-28286789.6691905,-21937672.480715
65-74,HIS,added_sugar,FL,mrh-eq,-23439142.2637949,-28286789.6691905,-21937672.480715
65-74,HIS,oil,CED,MJ,-2211287.87530744,-825853.916502958,3633564.54857453
65-74,HIS,oil,Food_price,USD,-2211287.87530744,-825853.916502958,3633564.54857453
65-74,HIS,oil,FL,mrh-eq,-2211287.87530744,-825853.916502958,3633564.54857453
65-74,HIS,sat_fat,CED,MJ,-36835851.0530502,-35914377.6655174,-35330787.8357862
65-74,HIS,sat_fat,Food_price,USD,-36835851.0530502,-35914377.6655174,-35330787.8357862
65-74,HIS,sat_fat,FL,mrh-eq,-36835851.0530502,-35914377.6655174,-35330787.8357862
65-74,OTH,added_sugar,CED,MJ,-10661931.2800119,-19086832.0588268,-14294385.1253181
65-74,OTH,added_sugar,Food_price,USD,-10661931.2800119,-19086832.0588268,-14294385.1253181
65-74,OTH,added_sugar,FL,mrh-eq,-10661931.2800119,-19086832.0588268,-14294385.1253181
65-74,OTH,oil,CED,MJ,-3473608.62536623,-5943249.74696364,-5901354.05186996
65-74,OTH,oil,Food_price,USD,-3473608.62536623,-5943249.74696364,-5901354.05186996
65-74,OTH,oil,FL,mrh-eq,-3473608.62536623,-5943249.74696364,-5901354.05186996
65-74,OTH,sat_fat,CED,MJ,-27501894.0309932,-24476153.5182022,-26181872.6301016
65-74,OTH,sat_fat,Food_price,USD,-27501894.0309932,-24476153.5182022,-26181872.6301016
65-74,OTH,sat_fat,FL,mrh-eq,-27501894.0309932,-24476153.5182022,-26181872.6301016
75+,NHW,added_sugar,CED,MJ,-239232370.145062,-226060731.727647,-236043752.605312
75+,NHW,added_sugar,Food_price,USD,-239232370.145062,-226060731.727647,-236043752.605312
75+,NHW,added_sugar,FL,mrh-eq,-239232370.145062,-226060731.727647,-236043752.605312
75+,NHW,oil,CED,MJ,2863383.9963599,7983521.00938432,5319879.30669848
75+,NHW,oil,Food_price,USD,2863383.9963599,7983521.00938432,5319879.30669848
75+,NHW,oil,FL,mrh-eq,2863383.9963599,7983521.00938432,5319879.30669848
75+,NHW,sat_fat,CED,MJ,-329684794.836553,-310323754.528438,-313817780.253288
75+,NHW,sat_fat,Food_price,USD,-329684794.836553,-310323754.528438,-313817780.253288
75+,NHW,sat_fat,FL,mrh-eq,-329684794.836553,-310323754.528438,-313817780.253288
75+,NHB,added_sugar,CED,MJ,-26948357.17986,-28605424.697757,-28224255.5895183
