age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,NHW,added_sugar,CED,MJ,-222315762.05795,-236209256.297252,-235722024.447294
20-34,Female,NHW,added_sugar,Food_price,USD,-222315762.05795,-236209256.297252,-235722024.447294
20-34,Female,NHW,added_sugar,FL,mrh-eq,-222315762.05795,-236209256.297252,-235722024.447294
20-34,Female,NHW,oil,CED,MJ,-43824812.5049209,-40806008.5282327,-41954204.5623031
20-34,Female,NHW,oil,Food_price,USD,-43824812.5049209,-40806008.5282327,-41954204.5623031
20-34,Female,NHW,oil,FL,mrh-eq,-43824812.5049209,-40806008.5282327,-41954204.5623031
20-34,Female,NHW,sat_fat,CED,MJ,-317018911.138658,-307763003.675303,-336673721.005575
20-34,Female,NHW,sat_fat,Food_price,USD,-317018911.138658,-307763003.675303,-336673721.005575
20-34,Female,NHW,sat_fat,FL,mrh-eq,-317018911.138658,-307763003.675303,-336673721.005575
20-34,Female,NHB,added_sugar,CED,MJ,-80335904.5353377,-75084790.9572476,-77795103.7479119
20-34,Female,NHB,added_sugar,Food_price,USD,-80335904.5353377,-75084790.9572476,-77795103.7479119
20-34,Female,NHB,added_sugar,FL,mrh-eq,-80335904.5353377,-75084790.9572476,-77795103.7479119
20-34,Female,NHB,oil,CED,MJ,-28944028.8053288,-22976983.0606666,-22740349.3282769
20-34,Female,NHB,oil,Food_price,USD,-28944028.8053288,-22976983.0606666,-22740349.3282769
20-34,Female,NHB,oil,FL,mrh-eq,-28944028.8053288,-22976983.0606666,-22740349.3282769
20-34,Female,NHB,sat_fat,CED,MJ,-71261925.9761805,-70233089.3847155,-77164957.2878609
20-34,Female,NHB,sat_fat,Food_price,USD,-71261925.9761805,-70233089.3847155,-77164957.2878609
20-34,Female,NHB,sat_fat,FL,mrh-eq,-71261925.9761805,-70233089.3847155,-77164957.2878609
20-34,Female,HIS,added_sugar,CED,MJ,-84854271.3559217,-91706153.4080102,-87943812.0495862
20-34,Female,HIS,added_sugar,Food_price,USD,-84854271.3559217,-91706153.4080102,-87943812.0495862
20-34,Female,HIS,added_sugar,FL,mrh-eq,-84854271.3559217,-91706153.4080102,-87943812.0495862
20-34,Female,HIS,oil,CED,MJ,-6853194.56247296,-8610332.27387818,-7282551.31747821
20-34,Female,HIS,oil,Food_price,USD,-6853194.56247296,-8610332.27387818,-7282551.31747821
20-34,Female,HIS,oil,FL,mrh-eq,-6853194.56247296,-8610332.27387818,-7282551.31747821
20-34,Female,HIS,sat_fat,CED,MJ,-94985790.0232311,-101001715.11626,-101966468.129275
20-34,Female,HIS,sat_fat,Food_price,USD,-94985790.0232311,-101001715.11626,-101966468.129275
20-34,Female,HIS,sat_fat,FL,mrh-eq,-94985790.0232311,-101001715.11626,-101966468.129275
20-34,Female,OTH,added_sugar,CED,MJ,-46108262.1354571,-36140038.9439256,-35355814.154547
20-34,Female,OTH,added_sugar,Food_price,USD,-46108262.1354571,-36140038.9439256,-35355814.154547
20-34,Female,OTH,added_sugar,FL,mrh-eq,-46108262.1354571,-36140038.9439256,-35355814.154547
20-34,Female,OTH,oil,CED,MJ,-9652572.78719068,-15626851.3937193,-13718950.0928066
20-34,Female,OTH,oil,Food_price,USD,-9652572.78719068,-15626851.3937193,-13718950.0928066
20-34,Female,OTH,oil,FL,mrh-eq,-9652572.78719068,-15626851.3937193,-13718950.0928066
20-34,Female,OTH,sat_fat,CED,MJ,-53373761.3157445,-49439291.497133,-45893974.710829
20-34,Female,OTH,sat_fat,Food_price,USD,-53373761.3157445,-49439291.497133,-45893974.710829
