race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-4914113469.69024,-4979007140.09129,-4789705450.83033
NHW,Food_price,USD,-4914113469.69024,-4979007140.09129,-4789705450.83033
NHW,FL,mrh-eq,-4914113469.69024,-4979007140.09129,-4789705450.83033
NHB,CED,MJ,-933060764.889887,-886405909.078727,-934724818.056355
NHB,Food_price,USD,-933060764.889887,-886405909.078727,-934724818.056355
NHB,FL,mrh-eq,-933060764.889887,-886405909.078727,-934724818.056355
HIS,CED,MJ,-905352813.285616,-929219568.756217,-874709041.840597
HIS,Food_price,USD,-905352813.285616,-929219568.756217,-874709041.840597
HIS,FL,mrh-eq,-905352813.285616,-929219568.756217,-874709041.840597
OTH,CED,MJ,-565369134.560023,-577657643.98152,-582919268.038425
OTH,Food_price,USD,-565369134.560023,-577657643.98152,-582919268.038425
OTH,FL,mrh-eq,-565369134.560023,-577657643.98152,-582919268.038425
