race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
NHW,added_sugar,CED,MJ,-2083357937.7128,-2111767187.7546,-1973968114.6697
NHW,added_sugar,Food_price,USD,-2083357937.7128,-2111767187.7546,-1973968114.6697
NHW,added_sugar,FL,mrh-eq,-2083357937.7128,-2111767187.7546,-1973968114.6697
NHW,oil,CED,MJ,-112526931.557862,-136764241.404022,-114365805.903203
NHW,oil,Food_price,USD,-112526931.557862,-136764241.404022,-114365805.903203
NHW,oil,FL,mrh-eq,-112526931.557862,-136764241.404022,-114365805.903203
NHW,sat_fat,CED,MJ,-2718228600.41957,-2730475710.93266,-2701371530.25742
NHW,sat_fat,Food_price,USD,-2718228600.41957,-2730475710.93266,-2701371530.25742
NHW,sat_fat,FL,mrh-eq,-2718228600.41957,-2730475710.93266,-2701371530.25742
NHB,added_sugar,CED,MJ,-442381402.776885,-428356506.138593,-450009112.909161
NHB,added_sugar,Food_price,USD,-442381402.776885,-428356506.138593,-450009112.909161
NHB,added_sugar,FL,mrh-eq,-442381402.776885,-428356506.138593,-450009112.909161
NHB,oil,CED,MJ,-71759475.5928803,-47658007.6376194,-67678025.6083416
NHB,oil,Food_price,USD,-71759475.5928803,-47658007.6376194,-67678025.6083416
NHB,oil,FL,mrh-eq,-71759475.5928803,-47658007.6376194,-67678025.6083416
NHB,sat_fat,CED,MJ,-418919886.520122,-410391395.302514,-417037679.538853
NHB,sat_fat,Food_price,USD,-418919886.520122,-410391395.302514,-417037679.538853
NHB,sat_fat,FL,mrh-eq,-418919886.520122,-410391395.302514,-417037679.538853
HIS,added_sugar,CED,MJ,-439364777.758814,-449624254.467101,-419691099.331482
HIS,added_sugar,Food_price,USD,-439364777.758814,-449624254.467101,-419691099.331482
HIS,added_sugar,FL,mrh-eq,-439364777.758814,-449624254.467101,-419691099.331482
HIS,oil,CED,MJ,71366859.2684428,77933726.4669737,83233399.3510052
HIS,oil,Food_price,USD,71366859.2684428,77933726.4669737,83233399.3510052
HIS,oil,FL,mrh-eq,71366859.2684428,77933726.4669737,83233399.3510052
HIS,sat_fat,CED,MJ,-537354894.795245,-557529040.756089,-538251341.86012
HIS,sat_fat,Food_price,USD,-537354894.795245,-557529040.756089,-538251341.86012
HIS,sat_fat,FL,mrh-eq,-537354894.795245,-557529040.756089,-538251341.86012
OTH,added_sugar,CED,MJ,-201833979.402426,-219183626.445628,-212101524.012027
OTH,added_sugar,Food_price,USD,-201833979.402426,-219183626.445628,-212101524.012027
OTH,added_sugar,FL,mrh-eq,-201833979.402426,-219183626.445628,-212101524.012027
OTH,oil,CED,MJ,-26060235.4752295,-28318615.9354915,-39407132.2253411
OTH,oil,Food_price,USD,-26060235.4752295,-28318615.9354915,-39407132.2253411
OTH,oil,FL,mrh-eq,-26060235.4752295,-28318615.9354915,-39407132.2253411
OTH,sat_fat,CED,MJ,-337474919.682367,-330155401.600402,-331410611.801057
OTH,sat_fat,Food_price,USD,-337474919.682367,-330155401.600402,-331410611.801057
OTH,sat_fat,FL,mrh-eq,-337474919.682367,-330155401.600402,-331410611.801057
