age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,-9921893.0977179,-9878883.45026171,-10226883.1471533
20-34,Female,Food_price,USD,-8096664.95602101,-7993295.84937584,-8206883.17008499
20-34,Female,FL,mrh-eq,-331073.288302094,-331039.968024525,-339570.901416426
20-34,Male,CED,MJ,-9295957.87269541,-8848497.51717165,-9128198.22007077
20-34,Male,Food_price,USD,-6650059.87542853,-5969322.62772466,-6496102.82304349
20-34,Male,FL,mrh-eq,-291496.418593231,-273013.44733365,-285152.002052687
35-44,Female,CED,MJ,-6643449.77447831,-6521408.534395,-6476253.70676971
35-44,Female,Food_price,USD,-4868305.31291257,-4484432.2343269,-4645296.74667556
35-44,Female,FL,mrh-eq,-233044.177861482,-224099.869901317,-224220.537895322
35-44,Male,CED,MJ,-6160588.43566771,-6403761.8793323,-5665425.78869768
35-44,Male,Food_price,USD,-4363584.61588409,-4585985.88035018,-4100533.75051867
35-44,Male,FL,mrh-eq,-201913.127955751,-210247.765759572,-186128.362556331
45-54,Female,CED,MJ,-6662804.39632459,-6494324.31694151,-5858060.84956835
45-54,Female,Food_price,USD,-4946775.77989877,-5061245.09147183,-4223895.22191815
45-54,Female,FL,mrh-eq,-229762.624880835,-225669.798723567,-199039.983937219
45-54,Male,CED,MJ,-5331058.9738948,-5776183.69367857,-5475128.61666317
45-54,Male,Food_price,USD,-3631302.62030661,-3743142.47035037,-3517229.44769437
45-54,Male,FL,mrh-eq,-181248.054688395,-195141.971441216,-183525.101911461
55-64,Female,CED,MJ,-8143237.64269399,-8385651.51483678,-8138517.35849383
55-64,Female,Food_price,USD,-5601297.79469297,-5926509.44221799,-5806983.12110365
55-64,Female,FL,mrh-eq,-280104.504354563,-293452.349123462,-283900.248613947
55-64,Male,CED,MJ,-6677844.5990592,-7485205.50689859,-6785596.98137437
55-64,Male,Food_price,USD,-4145270.92757987,-4499123.64537504,-3717546.71163499
55-64,Male,FL,mrh-eq,-229683.13868017,-259449.841396084,-228538.979799005
65-74,Female,CED,MJ,-5099468.82650941,-5072475.73099409,-5058533.53164432
65-74,Female,Food_price,USD,-3034287.47851832,-3174414.79329808,-3052040.65201838
65-74,Female,FL,mrh-eq,-174264.118981778,-177076.656274791,-172643.104118968
65-74,Male,CED,MJ,-4223101.90341774,-4253725.82637969,-4263405.34122765
65-74,Male,Food_price,USD,-2286260.11829495,-2446593.62136633,-2393921.05741037
65-74,Male,FL,mrh-eq,-142474.779482561,-146493.04609267,-146512.570296793
75+,Female,CED,MJ,-3989791.01707657,-3832850.17270125,-3996160.52682181
75+,Female,Food_price,USD,-2730577.11382035,-2684671.90613273,-2732657.93426986
75+,Female,FL,mrh-eq,-146782.850792903,-141657.764197355,-147345.677060298
75+,Male,CED,MJ,-2983122.59718969,-2798232.20255541,-2828199.24641765
75+,Male,Food_price,USD,-1663929.65099321,-1498749.7924578,-1625155.74781685
75+,Male,FL,mrh-eq,-101870.552997618,-94938.10407633,-97457.2539234031
