race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,added_sugar,CED,MJ,-11384079.66228248,-11131939.884208364,-10667294.309396816,-11057376.446756633,382742.0193401034,0,0,0,0,0,-11384079.66228248,-11131939.884208364,-10667294.309396816,-11057376.446756633,382742.0193401034,-449111280.63168705,-439364777.75881416,-420674783.2528483,-436226710.51913244,15211313.013472658,-7544634.384938563,-7377531.369842214,-7068898.626294323,-7327871.8159995675,254053.7819392502,-3839445.2773439246,-3754408.514366155,-3598395.6831024867,-3729504.6307570674,128688.36247785129,21212526.585920565,21677172.16073213,21929311.938806254,21602608.723280396,382742.01934011676,10545232.276523767,10545232.276523767,10545232.276523767,10545232.276523767,0,14056833.823984869,14365466.567532774,14532569.582629114,14315807.01369012,254053.78193925423,6987935.197690549,6987935.197690549,6987935.197690549,6987935.197690549,0,7155692.761935709,7311705.593199371,7396742.356177145,7286801.709590289,128688.36247785007,3557297.0788332177,3557297.0788332177,3557297.0788332177,3557297.0788332173,0,0,0,0,0,0,-3839445.2773439246,-3754408.514366155,-3598395.6831024867,-3729504.6307570674,128688.36247785129,0,0,0,0,0,0,0,0,0,0,7155692.761935709,7311705.593199371,7396742.356177145,7286801.709590289,128688.36247785007,3557297.0788332177,3557297.0788332177,3557297.0788332177,3557297.0788332173,0
HIS,added_sugar,FL,mrh-eq,-510691.0281467926,-499255.57944235037,-475396.0038893257,-494896.2366884618,18956.077774047393,0,0,0,0,0,-510691.0281467926,-499255.57944235037,-475396.0038893257,-494896.2366884618,18956.077774047393,-449111280.63168705,-439364777.75881416,-420674783.2528483,-436226710.51913244,15211313.013472658,-338511.61373060686,-330937.0132909392,-315091.8667367007,-328035.0672858266,12579.77528219058,-172179.4144161861,-168318.56615141119,-160304.13715262475,-166861.16940263522,6376.3099113969765,947432.5095942267,971292.0851472514,982727.5338516937,966932.7423933628,18956.07777404748,472036.50570490066,472036.50570490066,472036.50570490066,472036.50570490066,0,627953.3531491958,643798.4997034341,651373.1001431018,640896.5536983215,12579.775282190485,312861.48641249456,312861.48641249456,312861.48641249456,312861.48641249456,0,319479.15644503105,327493.5854438173,331354.4337085922,326036.1886950414,6376.309911396884,159175.0192924061,159175.0192924061,159175.0192924061,159175.0192924061,0,0,0,0,0,0,-172179.4144161861,-168318.56615141119,-160304.13715262475,-166861.16940263522,6376.3099113969765,0,0,0,0,0,0,0,0,0,0,319479.15644503105,327493.5854438173,331354.4337085922,326036.1886950414,6376.309911396884,159175.0192924061,159175.0192924061,159175.0192924061,159175.0192924061,0
HIS,added_sugar,Food_price,USD,-17550999.098265946,-17402262.13552211,-16687206.74717474,-17203553.916012097,486106.9116044437,0,0,0,0,0,-17550999.098265946,-17402262.13552211,-16687206.74717474,-17203553.916012097,486106.9116044437,-449111280.63168705,-439364777.75881416,-420674783.2528483,-436226710.51913244,15211313.013472658,-11630635.28231443,-11531390.861878468,-11056744.499898294,-11399670.882389272,322870.68043213966,-5920363.815951523,-5870871.273643651,-5630462.247276438,-5803883.03362283,163236.50128125562,33068268.313964777,33783323.70231214,33932060.665056,33584615.482802145,486106.9116044505,16381061.56679003,16381061.56679003,16381061.56679003,16381061.56679003,0,21910710.85801351,22385357.219993666,22484601.64042965,22253637.240504485,322870.6804321365,10853966.358115222,10853966.358115222,10853966.358115222,10853966.358115222,0,11157557.455951277,11397966.482318489,11447459.024626348,11330978.242297664,163236.5012812498,5527095.208674832,5527095.208674832,5527095.208674832,5527095.208674832,0,0,0,0,0,0,-5920363.815951523,-5870871.273643651,-5630462.247276438,-5803883.03362283,163236.50128125562,0,0,0,0,0,0,0,0,0,0,11157557.455951277,11397966.482318489,11447459.024626348,11330978.242297664,163236.5012812498,5527095.208674832,5527095.208674832,5527095.208674832,5527095.208674832,0
HIS,oil,CED,MJ,660646.7381460404,717113.4581438593,764029.6184379229,713762.3845635942,54489.380739626744,0,0,0,0,0,660646.7381460404,717113.4581438593,764029.6184379229,713762.3845635942,54489.380739626744,71695202.62836938,77933726.4669737,82968415.70680359,77511328.36214057,5944536.020749605,552505.6214661808,599808.1232792109,639014.3570050887,596967.3274591574,45597.33182422587,108141.11667986035,117305.3348646484,125015.2614328351,116795.0571044374,8892.116543032953,10792946.113198185,10839862.27349225,10896328.993490068,10843213.347072514,54489.38073962689,11556975.73163611,11556975.73163611,11556975.73163611,11556975.731636113,0,9020640.997920102,9059847.231645977,9107149.733459007,9062688.02746603,45597.33182422495,9659655.35492519,9659655.35492519,9659655.35492519,9659655.35492519,0,1772305.1152780873,1780015.0418462732,1789179.2600310612,1780525.3196064846,8892.116543032507,1897320.3767109218,1897320.3767109218,1897320.3767109218,1897320.3767109218,0,0,0,0,0,0,108141.11667986035,117305.3348646484,125015.2614328351,116795.0571044374,8892.116543032953,0,0,0,0,0,0,0,0,0,0,1772305.1152780873,1780015.0418462732,1789179.2600310612,1780525.3196064846,8892.116543032507,1897320.3767109218,1897320.3767109218,1897320.3767109218,1897320.3767109218,0
HIS,oil,FL,mrh-eq,33852.627229892365,36529.69485313332,38928.31660314894,36431.99454673847,2672.755052420395,0,0,0,0,0,33852.627229892365,36529.69485313332,38928.31660314894,36431.99454673847,2672.755052420395,71695202.62836938,77933726.4669737,82968415.70680359,77511328.36214057,5944536.020749605,28311.83124133486,30555.076592021378,32559.169929147232,30471.16360480711,2236.6223106162934,5540.795988557508,5974.618261111967,6369.146674001706,5960.830941931364,436.1375190415219,546759.7312215342,549158.3529715497,551835.4205947907,549256.0532779447,2672.7550524203275,585688.047824683,585688.047824683,585688.047824683,585688.047824683,0,456968.9616971191,458973.05503424496,461216.3003849316,459056.96802145924,2236.6223106163347,489528.13162626646,489528.13162626646,489528.13162626646,489528.13162626646,0,89790.76952441483,90185.2979373046,90619.12020985904,90199.0852564852,436.1375190415283,96159.91619841654,96159.91619841654,96159.91619841654,96159.91619841654,0,0,0,0,0,0,5540.795988557508,5974.618261111967,6369.146674001706,5960.830941931364,436.1375190415219,0,0,0,0,0,0,0,0,0,0,89790.76952441483,90185.2979373046,90619.12020985904,90199.0852564852,436.1375190415283,96159.91619841654,96159.91619841654,96159.91619841654,96159.91619841654,0
HIS,oil,Food_price,USD,449291.3508482544,469773.15360356536,548756.925570794,490300.1603445892,55286.27926201777,0,0,0,0,0,449291.3508482544,469773.15360356536,548756.925570794,490300.1603445892,55286.27926201777,71695202.62836938,77933726.4669737,82968415.70680359,77511328.36214057,5944536.020749605,375760.7752476472,392814.39188289124,458958.53997121076,410039.1397611634,46259.41988704602,73530.57560060824,76958.76172067455,89798.38559958243,80261.02058342598,9026.993924588824,7356939.209495719,7435922.981462935,7456404.784218254,7415395.974721919,55286.27926201346,7905696.135066509,7905696.135066509,7905696.135066509,7905696.135066509,0,6149094.109872349,6215238.257960672,6232291.874595914,6198013.510082398,46259.41988704739,6608052.649843561,6608052.649843561,6608052.649843561,6608052.649843561,0,1207845.0996233644,1220684.7235022732,1224112.9096223395,1217382.4646395214,9026.993924589427,1297643.4852229473,1297643.4852229473,1297643.4852229473,1297643.4852229473,0,0,0,0,0,0,73530.57560060824,76958.76172067455,89798.38559958243,80261.02058342598,9026.993924588824,0,0,0,0,0,0,0,0,0,0,1207845.0996233644,1220684.7235022732,1224112.9096223395,1217382.4646395214,9026.993924589427,1297643.4852229473,1297643.4852229473,1297643.4852229473,1297643.4852229473,0
HIS,sat_fat,CED,MJ,-28616462.403423302,-27689937.250132155,-27641374.198605604,-27997994.127944294,578405.5258406991,0,0,0,0,0,-28616462.403423302,-27689937.250132155,-27641374.198605604,-27997994.127944294,578405.5258406991,-556565155.8112909,-538251341.8601202,-537399717.1484883,-544378425.8038181,11397583.49617181,-21871352.789350983,-21172561.692517783,-21133447.508415982,-21404027.275932312,437051.97242519166,-6745109.614072331,-6517375.557614373,-6507926.690189633,-6593966.8520119935,141361.15835346913,62259064.26106966,62307627.31259624,63234152.46588737,62615684.19040836,578405.5258406964,34617690.06246406,34617690.06246406,34617690.06246406,34617690.06246406,0,47587109.022703335,47626223.20680514,48325014.303638324,47857688.790219665,437051.9724251821,26453661.51428735,26453661.51428735,26453661.51428735,26453661.51428735,0,14671955.238366343,14681404.105791088,14909138.162249047,14757995.400188707,141361.1583534725,8164028.548176719,8164028.548176719,8164028.548176719,8164028.548176718,0,0,0,0,0,0,-6745109.614072331,-6517375.557614373,-6507926.690189633,-6593966.8520119935,141361.15835346913,0,0,0,0,0,0,0,0,0,0,14671955.238366343,14681404.105791088,14909138.162249047,14757995.400188707,141361.1583534725,8164028.548176719,8164028.548176719,8164028.548176719,8164028.548176718,0
HIS,sat_fat,FL,mrh-eq,-782350.3091663369,-756553.9472174973,-755361.477693411,-765186.891927937,16052.03506303472,0,0,0,0,0,-782350.3091663369,-756553.9472174973,-755361.477693411,-765186.891927937,16052.03506303472,-556565155.8112909,-538251341.8601202,-537399717.1484883,-544378425.8038181,11397583.49617181,-597839.9757344313,-578381.7764978879,-577415.3687431961,-584870.1243862569,12129.799939764793,-184510.33343190572,-178172.17071960928,-177946.10895021484,-180316.76754168014,3922.434786120461,1701718.066456503,1702910.53598059,1728706.8979294286,1711543.480691029,16052.035063034298,946356.5887630918,946356.5887630918,946356.5887630918,946356.5887630918,0,1300460.534773298,1301426.9425279885,1320885.1417645325,1307915.2904163583,12129.799939764795,723045.1660301016,723045.1660301016,723045.1660301016,723045.1660301016,0,401257.53168320534,401483.5934525998,407821.7561648963,403628.1902746707,3922.4347861204938,223311.42273299044,223311.42273299044,223311.42273299044,223311.42273299044,0,0,0,0,0,0,-184510.33343190572,-178172.17071960928,-177946.10895021484,-180316.76754168014,3922.434786120461,0,0,0,0,0,0,0,0,0,0,401257.53168320534,401483.5934525998,407821.7561648963,403628.1902746707,3922.4347861204938,223311.42273299044,223311.42273299044,223311.42273299044,223311.42273299044,0
HIS,sat_fat,Food_price,USD,-3325911.19344766,-3240342.0238267356,-3217881.271769838,-3262485.328235166,60004.666100945484,0,0,0,0,0,-3325911.19344766,-3240342.0238267356,-3217881.271769838,-3262485.328235166,60004.666100945484,-556565155.8112909,-538251341.8601202,-537399717.1484883,-544378425.8038181,11397583.49617181,-2542649.2261160803,-2477575.8073564097,-2460896.393050725,-2494556.1597964047,45471.3254847651,-783261.9673315808,-762766.2164703246,-756984.8787191155,-767929.1684387623,14534.86308103433,7210978.834281424,7233439.586338319,7319008.755959245,7255582.890746751,60004.66610094548,3993097.5625115843,3993097.5625115843,3993097.5625115843,3993097.5625115843,0,5512811.6228265315,5529491.037132226,5594564.455891891,5546471.389572216,45471.32548476609,3051915.2297758134,3051915.2297758134,3051915.2297758134,3051915.229775814,0,1698167.2114548844,1703948.5492060934,1724444.3000673505,1709111.5011745312,14534.863081034659,941182.3327357686,941182.3327357686,941182.3327357686,941182.3327357686,0,0,0,0,0,0,-783261.9673315808,-762766.2164703246,-756984.8787191155,-767929.1684387623,14534.86308103433,0,0,0,0,0,0,0,0,0,0,1698167.2114548844,1703948.5492060934,1724444.3000673505,1709111.5011745312,14534.863081034659,941182.3327357686,941182.3327357686,941182.3327357686,941182.3327357686,0
NHB,added_sugar,CED,MJ,-11571888.125496138,-11389445.277493238,-11039735.016825784,-11330754.957260063,284655.13964533556,0,0,0,0,0,-11571888.125496138,-11389445.277493238,-11039735.016825784,-11330754.957260063,284655.13964533556,-449627727.40254724,-442381402.77688473,-429057750.9705076,-440249007.27487963,10982676.264141634,-7662349.052312686,-7541135.441167234,-7309701.037839758,-7502461.478998102,188601.91490308032,-3909539.0731834546,-3848309.8363260073,-3730033.97898603,-3828293.478261962,96053.49840366223,18842254.882558834,19191965.143226292,19374407.991229195,19133274.822993115,284655.139645341,7802519.865733053,7802519.865733053,7802519.865733053,7802519.865733053,0,12476004.978746442,12707439.382073915,12828652.993219366,12668765.419904783,188601.91490307788,5166303.940906685,5166303.940906685,5166303.940906685,5166303.940906685,0,6366249.903812401,6484525.761152374,6545754.998009822,6464509.40308833,96053.49840365964,2636215.924826371,2636215.924826371,2636215.924826371,2636215.924826371,0,0,0,0,0,0,-3909539.0731834546,-3848309.8363260073,-3730033.97898603,-3828293.478261962,96053.49840366223,0,0,0,0,0,0,0,0,0,0,6366249.903812401,6484525.761152374,6545754.998009822,6464509.40308833,96053.49840365964,2636215.924826371,2636215.924826371,2636215.924826371,2636215.924826371,0
