Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,6903468.36932626,7132741.50323491,7124701.10884198
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,14833616.348649751,15044802.50274187,15394505.56120129
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,317645.801169016,328195.230008371,327825.271404663
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,4929943.97277062,4906425.38665239,4915370.63368281
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,3404572.322497184,3395004.29273583,3469470.8639764683
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,262819.86939249304,261566.071830892,262042.95121719
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,25259746.72985088,24886811.38666449,26051670.5138777
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,3022045.863005895,2929110.6595045542,3092487.735849179
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,658377.374659996,648657.079567929,679018.306156043
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,2218535.4134286996,2128899.95091705,2175164.45023317
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,4080747.2988164397,3960986.53041587,3981537.84106807
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,87205.971723896,83682.5897837501,85501.15017037309
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,1372980.546322348,1326825.602589705,1324995.246820526
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,1031248.643010264,990797.5005380539,984521.443169358
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,70729.5587884801,68351.8711986149,68257.5798000029
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,5591517.27456226,5553268.56323071,5810972.28082327
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,628345.2000770881,622294.376129879,639889.717560922
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,146503.6158214382,145501.45947720698,152253.5671045401
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,2631865.03230845,2747875.53254727,2684174.62530136
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,4052116.0104973195,4207433.505296281,4085671.6326505803
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,114082.26357950951,119110.9182801754,116349.7038556244
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,1722462.3356706859,1736289.06268897,1725840.897639041
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1144237.56593311,1160500.2798471241,1167790.383706304
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,88909.0649913818,89622.7649926117,89083.4576497298
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,8390958.49364588,8632513.65275852,8671251.01467037
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1264454.486448053,1293639.585808184,1294527.711772936
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,229704.453303839,236317.0823388538,237377.5266906083
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,1495115.7176058851,1325573.666149304,1312235.373352318
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,2938147.705111197,2516165.245176174,2589862.230502811
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,67971.9913528979,60264.1526084744,59657.7578578988
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,1059855.781695609,1106713.758254304,1091749.54243471
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,825137.763019863,900168.492357816,844784.596087956
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,54246.3708367925,56644.6925867556,55878.7823425026
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,4689090.55456281,4535073.45942688,4396289.98466739
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,594522.008058977,582990.7387887989,564226.66527505
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,124192.90814873819,120113.6883667829,116437.93863817179
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,CED,MJ,6963496.94915962,6456325.83189133,6615756.89669466
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,Food_price,USD,13530865.75233433,12729375.568575699,13138537.194616519
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,285658.476180792,264853.163910316,271393.388650861
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,4566480.67690907,4632798.711345989,4642052.55043096
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,3225753.558819812,3297911.31519803,3329160.2737075053
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,234160.784089874,237561.45170280698,238035.97166014102
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,25336979.5961741,25429456.6888783,25583492.211639397
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,2912596.7879150272,2966527.096577175,2940680.416512525
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,689562.6494072,692079.474619633,696271.653200937
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,1857818.837328976,1774364.451800944,1853941.175566665
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,3292796.0929281632,3177356.1336744484,3277582.870692241
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,72443.5872821769,69189.37597771379,72292.38215782121
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,1041805.505415912,986289.806425091,1056573.959467635
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,356898.766277589,348154.590048827,352551.958212523
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,51452.1681541873,48710.3866365971,52181.5451610243
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,5053557.925192989,4827142.155399799,4838871.6420069
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,470880.547658966,452581.016615908,450560.05891208805
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,135991.41965167172,129898.56340633109,130214.2042991627
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,2558134.58398942,2403608.9391374,2580420.57871826
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,4678549.19218705,4457349.841959139,4711609.63325666
