Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,-222315762.05795,-236209256.2972517,-235722024.447294
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,-222315762.05795,-236209256.2972517,-235722024.447294
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,-222315762.05795,-236209256.2972517,-235722024.447294
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-43824812.5049209,-40806008.5282327,-41954204.562303096
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-43824812.5049209,-40806008.5282327,-41954204.562303096
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-43824812.5049209,-40806008.5282327,-41954204.562303096
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,-317018911.138658,-307763003.675303,-336673721.005575
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,-317018911.138658,-307763003.675303,-336673721.005575
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,-317018911.138658,-307763003.675303,-336673721.005575
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,-80335904.5353377,-75084790.9572476,-77795103.7479119
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,-80335904.5353377,-75084790.9572476,-77795103.7479119
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,-80335904.5353377,-75084790.9572476,-77795103.7479119
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-28944028.8053288,-22976983.06066662,-22740349.32827685
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-28944028.8053288,-22976983.06066662,-22740349.32827685
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-28944028.8053288,-22976983.06066662,-22740349.32827685
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,-71261925.9761805,-70233089.3847155,-77164957.2878609
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,-71261925.9761805,-70233089.3847155,-77164957.2878609
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,-71261925.9761805,-70233089.3847155,-77164957.2878609
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,-84854271.3559217,-91706153.4080102,-87943812.0495862
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,-84854271.3559217,-91706153.4080102,-87943812.0495862
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,-84854271.3559217,-91706153.4080102,-87943812.0495862
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-6853194.562472963,-8610332.27387818,-7282551.31747821
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-6853194.562472963,-8610332.27387818,-7282551.31747821
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-6853194.562472963,-8610332.27387818,-7282551.31747821
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,-94985790.02323109,-101001715.11625999,-101966468.1292752
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,-94985790.02323109,-101001715.11625999,-101966468.1292752
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,-94985790.02323109,-101001715.11625999,-101966468.1292752
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,-46108262.1354571,-36140038.943925604,-35355814.154547
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,-46108262.1354571,-36140038.943925604,-35355814.154547
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,-46108262.1354571,-36140038.943925604,-35355814.154547
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,-9652572.78719068,-15626851.393719329,-13718950.09280663
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,-9652572.78719068,-15626851.393719329,-13718950.09280663
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,-9652572.78719068,-15626851.393719329,-13718950.09280663
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,-53373761.315744504,-49439291.497133,-45893974.710829005
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,-53373761.315744504,-49439291.497133,-45893974.710829005
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,-53373761.315744504,-49439291.497133,-45893974.710829005
