age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,1.46036047148686,1.46036047148686,1.46036047148686
20-34,Food_price,USD,0.841774399974287,0.841774399974287,0.841774399974287
20-34,FL,mrh-eq,0.0510382898849652,0.0510382898849652,0.0510382898849652
35-44,CED,MJ,1.46794190932723,1.46794190932723,1.46794190932723
35-44,Food_price,USD,0.746853964954506,0.746853964954506,0.746853964954506
35-44,FL,mrh-eq,0.0516211290289699,0.0516211290289699,0.0516211290289699
45-54,CED,MJ,1.47246629250423,1.47246629250423,1.47246629250423
45-54,Food_price,USD,0.758943263557632,0.758943263557632,0.758943263557632
45-54,FL,mrh-eq,0.0526117777898394,0.0526117777898394,0.0526117777898394
55-64,CED,MJ,1.47209323983491,1.47209323983491,1.47209323983491
55-64,Food_price,USD,0.772842728640804,0.772842728640804,0.772842728640804
55-64,FL,mrh-eq,0.0528989044257734,0.0528989044257734,0.0528989044257734
65-74,CED,MJ,1.47591891846857,1.47591891846857,1.47591891846857
65-74,Food_price,USD,0.778074976184883,0.778074976184883,0.778074976184883
65-74,FL,mrh-eq,0.0523734061707168,0.0523734061707168,0.0523734061707168
75+,CED,MJ,1.45781725479732,1.45781725479732,1.45781725479732
75+,Food_price,USD,0.75673048344824,0.75673048344824,0.75673048344824
75+,FL,mrh-eq,0.0519827372708374,0.0519827372708374,0.0519827372708374
