sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,HIS,added_sugar,CED,MJ,0.269536849965781,0.269536849965781,0.269536849965781
Female,HIS,added_sugar,Food_price,USD,0.413272982667594,0.413272982667594,0.413272982667594
Female,HIS,added_sugar,FL,mrh-eq,0.0128401648880718,0.0128401648880718,0.0128401648880718
Female,HIS,oil,CED,MJ,0.300816775321865,0.300816775321865,0.300816775321865
Female,HIS,oil,Food_price,USD,0.215000143987771,0.215000143987771,0.215000143987771
Female,HIS,oil,FL,mrh-eq,0.0152946697214965,0.0152946697214965,0.0152946697214965
Female,HIS,sat_fat,CED,MJ,0.895803198535003,0.895803198535003,0.895803198535003
Female,HIS,sat_fat,Food_price,USD,0.110448079693926,0.110448079693926,0.110448079693926
Female,HIS,sat_fat,FL,mrh-eq,0.0241485722059894,0.0241485722059894,0.0241485722059894
Female,NHB,added_sugar,CED,MJ,0.275132863817323,0.275132863817323,0.275132863817323
Female,NHB,added_sugar,Food_price,USD,0.461627654507973,0.461627654507973,0.461627654507973
Female,NHB,added_sugar,FL,mrh-eq,0.0118882890597893,0.0118882890597893,0.0118882890597893
Female,NHB,oil,CED,MJ,0.2992491012794,0.2992491012794,0.2992491012794
Female,NHB,oil,Food_price,USD,0.180069687692002,0.180069687692002,0.180069687692002
Female,NHB,oil,FL,mrh-eq,0.014869806029013,0.014869806029013,0.014869806029013
Female,NHB,sat_fat,CED,MJ,0.828115631129638,0.828115631129638,0.828115631129638
Female,NHB,sat_fat,Food_price,USD,0.0979023269404911,0.0979023269404911,0.0979023269404911
Female,NHB,sat_fat,FL,mrh-eq,0.0217934848286116,0.0217934848286116,0.0217934848286116
Female,NHW,added_sugar,CED,MJ,0.267963976629602,0.267963976629602,0.267963976629602
Female,NHW,added_sugar,Food_price,USD,0.484233886923013,0.484233886923013,0.484233886923013
Female,NHW,added_sugar,FL,mrh-eq,0.0127828648475422,0.0127828648475422,0.0127828648475422
Female,NHW,oil,CED,MJ,0.299984520048689,0.299984520048689,0.299984520048689
Female,NHW,oil,Food_price,USD,0.236594098493188,0.236594098493188,0.236594098493188
Female,NHW,oil,FL,mrh-eq,0.015396594380792,0.015396594380792,0.015396594380792
Female,NHW,sat_fat,CED,MJ,0.902396315018292,0.902396315018292,0.902396315018292
