age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,HIS,CED,MJ,1.1281924929024,1.1281924929024,1.1281924929024
20-34,HIS,Food_price,USD,0.545433212630424,0.545433212630424,0.545433212630424
20-34,HIS,FL,mrh-eq,0.0394506805528225,0.0394506805528225,0.0394506805528225
20-34,NHB,CED,MJ,1.07831264037094,1.07831264037094,1.07831264037094
20-34,NHB,Food_price,USD,0.542631375290711,0.542631375290711,0.542631375290711
20-34,NHB,FL,mrh-eq,0.0369845802583686,0.0369845802583686,0.0369845802583686
20-34,NHW,CED,MJ,1.12234703872928,1.12234703872928,1.12234703872928
20-34,NHW,Food_price,USD,0.63287123206371,0.63287123206371,0.63287123206371
20-34,NHW,FL,mrh-eq,0.0394441608555922,0.0394441608555922,0.0394441608555922
20-34,OTH,CED,MJ,1.09686820202181,1.09686820202181,1.09686820202181
20-34,OTH,Food_price,USD,0.634623702447494,0.634623702447494,0.634623702447494
20-34,OTH,FL,mrh-eq,0.0389776233287627,0.0389776233287627,0.0389776233287627
35-44,HIS,CED,MJ,1.10818176994471,1.10818176994471,1.10818176994471
35-44,HIS,Food_price,USD,0.548759338293753,0.548759338293753,0.548759338293753
35-44,HIS,FL,mrh-eq,0.0395483553976865,0.0395483553976865,0.0395483553976865
35-44,NHB,CED,MJ,1.08473474727944,1.08473474727944,1.08473474727944
35-44,NHB,Food_price,USD,0.437305564273505,0.437305564273505,0.437305564273505
35-44,NHB,FL,mrh-eq,0.0375144297064041,0.0375144297064041,0.0375144297064041
35-44,NHW,CED,MJ,1.13173548153712,1.13173548153712,1.13173548153712
35-44,NHW,Food_price,USD,0.551924851056833,0.551924851056833,0.551924851056833
35-44,NHW,FL,mrh-eq,0.0390912391165941,0.0390912391165941,0.0390912391165941
35-44,OTH,CED,MJ,1.11549571972877,1.11549571972877,1.11549571972877
35-44,OTH,Food_price,USD,0.537260998190306,0.537260998190306,0.537260998190306
35-44,OTH,FL,mrh-eq,0.0418805821930888,0.0418805821930888,0.0418805821930888
45-54,HIS,CED,MJ,1.1089384214541,1.1089384214541,1.1089384214541
45-54,HIS,Food_price,USD,0.500547516502996,0.500547516502996,0.500547516502996
45-54,HIS,FL,mrh-eq,0.0391135188169262,0.0391135188169262,0.0391135188169262
45-54,NHB,CED,MJ,1.07180726707433,1.07180726707433,1.07180726707433
45-54,NHB,Food_price,USD,0.500298954886264,0.500298954886264,0.500298954886264
45-54,NHB,FL,mrh-eq,0.0371330953018682,0.0371330953018682,0.0371330953018682
45-54,NHW,CED,MJ,1.13798094642882,1.13798094642882,1.13798094642882
45-54,NHW,Food_price,USD,0.58794085037658,0.58794085037658,0.58794085037658
45-54,NHW,FL,mrh-eq,0.0410182029751454,0.0410182029751454,0.0410182029751454
45-54,OTH,CED,MJ,1.11941326294743,1.11941326294743,1.11941326294743
45-54,OTH,Food_price,USD,0.478771568938627,0.478771568938627,0.478771568938627
45-54,OTH,FL,mrh-eq,0.0403896715654288,0.0403896715654288,0.0403896715654288
55-64,HIS,CED,MJ,1.11491368774884,1.11491368774884,1.11491368774884
55-64,HIS,Food_price,USD,0.511637348775166,0.511637348775166,0.511637348775166
55-64,HIS,FL,mrh-eq,0.040040167702629,0.040040167702629,0.040040167702629
55-64,NHB,CED,MJ,1.07195710551572,1.07195710551572,1.07195710551572
55-64,NHB,Food_price,USD,0.501293945942243,0.501293945942243,0.501293945942243
55-64,NHB,FL,mrh-eq,0.0375486318641222,0.0375486318641222,0.0375486318641222
55-64,NHW,CED,MJ,1.13172608362032,1.13172608362032,1.13172608362032
55-64,NHW,Food_price,USD,0.574701399314749,0.574701399314749,0.574701399314749
55-64,NHW,FL,mrh-eq,0.0407315183614776,0.0407315183614776,0.0407315183614776
55-64,OTH,CED,MJ,1.08146455999961,1.08146455999961,1.08146455999961
55-64,OTH,Food_price,USD,0.620209203760707,0.620209203760707,0.620209203760707
55-64,OTH,FL,mrh-eq,0.0396666008519403,0.0396666008519403,0.0396666008519403
65-74,HIS,CED,MJ,1.0965229391151,1.0965229391151,1.0965229391151
65-74,HIS,Food_price,USD,0.529447924815405,0.529447924815405,0.529447924815405
65-74,HIS,FL,mrh-eq,0.0392867783827955,0.0392867783827955,0.0392867783827955
65-74,NHB,CED,MJ,1.07387016818973,1.07387016818973,1.07387016818973
65-74,NHB,Food_price,USD,0.448397615569822,0.448397615569822,0.448397615569822
65-74,NHB,FL,mrh-eq,0.0377007662609141,0.0377007662609141,0.0377007662609141
65-74,NHW,CED,MJ,1.13552144322859,1.13552144322859,1.13552144322859
65-74,NHW,Food_price,USD,0.590493421393807,0.590493421393807,0.590493421393807
65-74,NHW,FL,mrh-eq,0.039999720335391,0.039999720335391,0.039999720335391
65-74,OTH,CED,MJ,1.09338277470581,1.09338277470581,1.09338277470581
65-74,OTH,Food_price,USD,0.529734363919441,0.529734363919441,0.529734363919441
65-74,OTH,FL,mrh-eq,0.040092367461019,0.040092367461019,0.040092367461019
75+,HIS,CED,MJ,1.12455923035326,1.12455923035326,1.12455923035326
75+,HIS,Food_price,USD,0.494071837604387,0.494071837604387,0.494071837604387
75+,HIS,FL,mrh-eq,0.0394675107239268,0.0394675107239268,0.0394675107239268
75+,NHB,CED,MJ,1.05052934480615,1.05052934480615,1.05052934480615
75+,NHB,Food_price,USD,0.487933408955755,0.487933408955755,0.487933408955755
75+,NHB,FL,mrh-eq,0.0363206304046672,0.0363206304046672,0.0363206304046672
75+,NHW,CED,MJ,1.13255771124406,1.13255771124406,1.13255771124406
75+,NHW,Food_price,USD,0.584139195055186,0.584139195055186,0.584139195055186
75+,NHW,FL,mrh-eq,0.0400690715514255,0.0400690715514255,0.0400690715514255
75+,OTH,CED,MJ,1.09155496203313,1.09155496203313,1.09155496203313
75+,OTH,Food_price,USD,0.362495134837735,0.362495134837735,0.362495134837735
75+,OTH,FL,mrh-eq,0.0400933970070279,0.0400933970070279,0.0400933970070279
