age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,HIS,CED,MJ,-0.762635606026016,-0.785601351496634,-0.776002516865897
20-34,HIS,Food_price,USD,-0.411700066948399,-0.407796014672527,-0.416503278267914
20-34,HIS,FL,mrh-eq,-0.0233356082429774,-0.0237776188910089,-0.0236613491054067
20-34,NHB,CED,MJ,-0.872754347611765,-0.811337388014959,-0.864135792085331
20-34,NHB,Food_price,USD,-0.580096612521253,-0.544943873502268,-0.560254563257965
20-34,NHB,FL,mrh-eq,-0.0272675561617908,-0.0251051877878022,-0.0268547252421257
20-34,NHW,CED,MJ,-0.850556846729974,-0.836804245513291,-0.876509924954743
20-34,NHW,Food_price,USD,-0.458931704843505,-0.44381433397524,-0.470545875463238
20-34,NHW,FL,mrh-eq,-0.0258628284788563,-0.025454364306107,-0.0265660568362391
20-34,OTH,CED,MJ,-0.6947401933142,-0.637475100715782,-0.639398590010858
20-34,OTH,Food_price,USD,-0.417236335253054,-0.339706398303945,-0.377476625263074
20-34,OTH,FL,mrh-eq,-0.0218580647030212,-0.0197833465132721,-0.0201370187540241
35-44,HIS,CED,MJ,-0.710536160092958,-0.745767897419001,-0.671973806732953
35-44,HIS,Food_price,USD,-0.354570093491922,-0.342406307519877,-0.336477471384549
35-44,HIS,FL,mrh-eq,-0.0223579543993496,-0.0232509955249431,-0.0209622671877501
35-44,NHB,CED,MJ,-0.826712399786469,-0.83025449181143,-0.815979651733912
35-44,NHB,Food_price,USD,-0.505354853267878,-0.531483070287725,-0.517818928572994
35-44,NHB,FL,mrh-eq,-0.026246059416868,-0.0264087501240281,-0.0258136881752113
35-44,NHW,CED,MJ,-0.996640464390279,-1.01459444461447,-0.938644920414411
35-44,NHW,Food_price,USD,-0.552803405080122,-0.534412286943487,-0.502558947415563
35-44,NHW,FL,mrh-eq,-0.0319512455720508,-0.0319863455969578,-0.0298196003233637
35-44,OTH,CED,MJ,-0.715360212575803,-0.693328430648239,-0.711971566927088
35-44,OTH,Food_price,USD,-0.3030833783869,-0.319546289321112,-0.331802520018666
35-44,OTH,FL,mrh-eq,-0.0230218012390938,-0.0228246613373542,-0.023310883830712
45-54,HIS,CED,MJ,-0.667673996128495,-0.75533949139041,-0.683953363222948
45-54,HIS,Food_price,USD,-0.33970871270606,-0.375663967269779,-0.316113060265261
45-54,HIS,FL,mrh-eq,-0.0216351122385222,-0.024420442539953,-0.0217693457411199
