age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,CED,MJ,-0.809857616425248,-0.866559047100028,-0.861152650213332
20-34,Female,HIS,Food_price,USD,-0.433800104154626,-0.464451460012728,-0.447110353179064
20-34,Female,HIS,FL,mrh-eq,-0.0258728149102214,-0.0277590820485818,-0.0274170836690976
20-34,Female,NHB,CED,MJ,-0.923448146570281,-0.885583412171759,-0.95131788625515
20-34,Female,NHB,Food_price,USD,-0.651560281101913,-0.615387411565339,-0.622321321716105
20-34,Female,NHB,FL,mrh-eq,-0.0293387649466622,-0.0278368680291068,-0.0296810267083302
20-34,Female,NHW,CED,MJ,-0.922534056336052,-0.913344578628455,-0.977423482427082
20-34,Female,NHW,Food_price,USD,-0.529466230817388,-0.535440238033902,-0.567736096805128
20-34,Female,NHW,FL,mrh-eq,-0.0285792636564048,-0.0285559210311612,-0.0302306729689761
20-34,Female,OTH,CED,MJ,-0.760396154273897,-0.689055751893602,-0.645976854595486
20-34,Female,OTH,Food_price,USD,-0.480197010290745,-0.387771230327838,-0.387654955385366
20-34,Female,OTH,FL,mrh-eq,-0.024458576316679,-0.0220379278626435,-0.0207364145543915
20-34,Male,HIS,CED,MJ,-0.717719198027938,-0.70859639436831,-0.695009816678227
20-34,Male,HIS,Food_price,USD,-0.390679058322647,-0.353906756746002,-0.387390585845161
20-34,Male,HIS,FL,mrh-eq,-0.0209222800327235,-0.0199905496387061,-0.0200889873069779
20-34,Male,NHB,CED,MJ,-0.817099985859976,-0.729826134726639,-0.768422629787586
20-34,Male,NHB,Food_price,USD,-0.501639977883301,-0.467607192665891,-0.492114358756483
20-34,Male,NHB,FL,mrh-eq,-0.0249936724650679,-0.0221062032282866,-0.0237518604450234
20-34,Male,NHW,CED,MJ,-0.782692962331542,-0.764638009189698,-0.781363335693813
20-34,Male,NHW,Food_price,USD,-0.392428058161632,-0.357424630971057,-0.378909842586978
