age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,-0.111431657593959,-0.112742443419757,-0.112151425082395
20-34,Female,added_sugar,Food_price,USD,-0.217948611001856,-0.215249958374639,-0.220188820055293
20-34,Female,added_sugar,FL,mrh-eq,-0.0049200852469848,-0.00498635355222655,-0.00495709168791823
20-34,Female,oil,CED,MJ,-0.00414895991304237,-0.00409659085312183,-0.00398746122600209
20-34,Female,oil,Food_price,USD,-0.00258542112935924,-0.00283316639330334,-0.00295539653487536
20-34,Female,oil,FL,mrh-eq,-0.00021729146631594,-0.000214256090272823,-0.000208753788854974
20-34,Female,sat_fat,CED,MJ,-0.183113780022674,-0.180560576001142,-0.191737107734307
20-34,Female,sat_fat,Food_price,USD,-0.0232126437520986,-0.0225516678559493,-0.023920532036159
20-34,Female,sat_fat,FL,mrh-eq,-0.00482944467991783,-0.00476520865784811,-0.00505679296714605
20-34,Male,added_sugar,CED,MJ,-0.0939959945138484,-0.0811956814160654,-0.0901219863929223
20-34,Male,added_sugar,Food_price,USD,-0.176252940700026,-0.155738054441239,-0.171582832040385
20-34,Male,added_sugar,FL,mrh-eq,-0.0037533181583325,-0.0032382185310262,-0.00359484139887123
20-34,Male,oil,CED,MJ,0.00302585844453275,0.00380906655467473,0.00296496447471745
20-34,Male,oil,Food_price,USD,0.00207556855339011,0.00205380097456281,0.00168418128202841
20-34,Male,oil,FL,mrh-eq,0.000156444694458473,0.000196979018157079,0.000154045164126472
20-34,Male,sat_fat,CED,MJ,-0.181211888027084,-0.181693944390048,-0.180113064921335
20-34,Male,sat_fat,Food_price,USD,-0.0205337896340014,-0.0210951869684855,-0.0203047085218889
20-34,Male,sat_fat,FL,mrh-eq,-0.00493802808323805,-0.00495248783814157,-0.00490834326833009
35-44,Female,added_sugar,CED,MJ,-0.125338035556757,-0.113225052736329,-0.117047606888012
35-44,Female,added_sugar,Food_price,USD,-0.207754698994204,-0.188758127099262,-0.197378175177071
35-44,Female,added_sugar,FL,mrh-eq,-0.00590612395464125,-0.0053169998210559,-0.00550075858323854
35-44,Female,oil,CED,MJ,-0.00460087175160094,-0.00473832882502266,-0.00366897994911414
35-44,Female,oil,Food_price,USD,-0.0019184312264614,-0.00190308210476426,-0.00157600924403007
35-44,Female,oil,FL,mrh-eq,-0.000226480874020303,-0.000226559730627323,-0.000178779803441196
35-44,Female,sat_fat,CED,MJ,-0.185780391115063,-0.191956102608059,-0.187056986550651
35-44,Female,sat_fat,Food_price,USD,-0.0216852739338191,-0.0224542423928427,-0.0218060951949481
35-44,Female,sat_fat,FL,mrh-eq,-0.00494244606112529,-0.00510642744360189,-0.00497618316154138
35-44,Male,added_sugar,CED,MJ,-0.113914596626015,-0.117832854976332,-0.105109404074995
35-44,Male,added_sugar,Food_price,USD,-0.201469874614668,-0.212324790932069,-0.190889827431879
35-44,Male,added_sugar,FL,mrh-eq,-0.00482820004416986,-0.00501692468910436,-0.00446996055295318
35-44,Male,oil,CED,MJ,0.00434899358193984,0.00463208728986651,0.00384282155894012
35-44,Male,oil,Food_price,USD,0.00252502888167982,0.00250286030388401,0.00259960506416657
35-44,Male,oil,FL,mrh-eq,0.000220802064440815,0.000229821633971727,0.000195776700895481
35-44,Male,sat_fat,CED,MJ,-0.201298322643316,-0.209933714963121,-0.184611385109333
35-44,Male,sat_fat,Food_price,USD,-0.0212420825008927,-0.0215873882704389,-0.0186231321618247
35-44,Male,sat_fat,FL,mrh-eq,-0.00558115921080538,-0.0058220208156685,-0.00511787245396564
45-54,Female,added_sugar,CED,MJ,-0.139896822580345,-0.140310275196146,-0.117580199893286
