age_gp,sex_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,added_sugar,CED,MJ,-0.331078806744795,-0.357813028811782,-0.343133373119628
20-34,Female,HIS,added_sugar,Food_price,USD,-0.515852121732481,-0.551644505941632,-0.523584899820625
20-34,Female,HIS,added_sugar,FL,mrh-eq,-0.0143511233414277,-0.0155099595777084,-0.0148736471797053
20-34,Female,HIS,oil,CED,MJ,-0.00987158148246981,-0.0124026241861222,-0.0104900419906965
20-34,Female,HIS,oil,Food_price,USD,-0.00237760532173912,-0.00535456605432762,-0.00668905137086324
20-34,Female,HIS,oil,FL,mrh-eq,-0.000509545585651883,-0.000640191484592464,-0.000541468922599112
20-34,Female,HIS,sat_fat,CED,MJ,-0.760211260333935,-0.808359241162724,-0.816080565623529
20-34,Female,HIS,sat_fat,Food_price,USD,-0.117581406547332,-0.123398726324894,-0.123575752028181
20-34,Female,HIS,sat_fat,FL,mrh-eq,-0.0208109612367483,-0.0221290234846233,-0.0223403965494995
20-34,Female,NHB,added_sugar,CED,MJ,-0.451213924616521,-0.42172056694685,-0.436943285584146
20-34,Female,NHB,added_sugar,Food_price,USD,-0.83018997086826,-0.790784281666023,-0.797546417305889
20-34,Female,NHB,added_sugar,FL,mrh-eq,-0.0177362725487101,-0.0165769505476206,-0.0171753236738774
20-34,Female,NHB,oil,CED,MJ,-0.0583080929973879,-0.0462874078142881,-0.0458107063237215
20-34,Female,NHB,oil,Food_price,USD,-0.0447352688394296,-0.0342000929810904,-0.0325655441393201
20-34,Female,NHB,oil,FL,mrh-eq,-0.00300376119861983,-0.00238451152198511,-0.00235995408292168
20-34,Female,NHB,sat_fat,CED,MJ,-0.744528099699587,-0.733779053250844,-0.806201603814837
20-34,Female,NHB,sat_fat,Food_price,USD,-0.0842900618902182,-0.0825895970798368,-0.0875344209899644
20-34,Female,NHB,sat_fat,FL,mrh-eq,-0.0195074169193536,-0.0192257806310178,-0.0211233273976003
20-34,Female,NHW,added_sugar,CED,MJ,-0.304315737208779,-0.323333772199646,-0.322666827497934
20-34,Female,NHW,added_sugar,Food_price,USD,-0.653989502715287,-0.671507236257109,-0.70051484342335
20-34,Female,NHW,added_sugar,FL,mrh-eq,-0.0140023262196038,-0.0148773934522105,-0.0148467056627145
20-34,Female,NHW,oil,CED,MJ,-0.0225028559172156,-0.0209527817230109,-0.0215423493319198
20-34,Female,NHW,oil,Food_price,USD,-0.0134430893708581,-0.0128124751005994,-0.0177204534046854
20-34,Female,NHW,oil,FL,mrh-eq,-0.00119964804585739,-0.00111701215800153,-0.00114844255210485
20-34,Female,NHW,sat_fat,CED,MJ,-0.897235096399536,-0.871038788440112,-0.952862646069417
20-34,Female,NHW,sat_fat,Food_price,USD,-0.108470579513903,-0.101942479521043,-0.113418667776267
20-34,Female,NHW,sat_fat,FL,mrh-eq,-0.0233857961260652,-0.022703007947523,-0.0248356887359204
20-34,Female,OTH,added_sugar,CED,MJ,-0.305165184213469,-0.239191006796241,-0.234000654975728
20-34,Female,OTH,added_sugar,Food_price,USD,-0.605963053277703,-0.441756324389316,-0.470434153537205
20-34,Female,OTH,added_sugar,FL,mrh-eq,-0.0138736319993869,-0.010874268027681,-0.010638300640737
20-34,Female,OTH,oil,CED,MJ,-0.023387769519401,-0.0378631901326078,-0.0332404271785978
20-34,Female,OTH,oil,Food_price,USD,-0.0137884870439457,-0.0369670672099523,-0.0198578095641335
20-34,Female,OTH,oil,FL,mrh-eq,-0.00119705118404424,-0.00193794352823309,-0.00170133764484335
20-34,Female,OTH,sat_fat,CED,MJ,-0.691954171641921,-0.640946471658362,-0.594983873565215
20-34,Female,OTH,sat_fat,Food_price,USD,-0.0863196506360253,-0.0825007010392696,-0.0762863763799584
20-34,Female,OTH,sat_fat,FL,mrh-eq,-0.0183267522522549,-0.0169757878114483,-0.0157584454170463
20-34,Male,HIS,added_sugar,CED,MJ,-0.281312156634639,-0.247344896535743,-0.286210982200081
20-34,Male,HIS,added_sugar,Food_price,USD,-0.517428383596173,-0.468805154292754,-0.524695608411002
20-34,Male,HIS,added_sugar,FL,mrh-eq,-0.0102893407823047,-0.00904694614575633,-0.0104685213988799
20-34,Male,HIS,oil,CED,MJ,0.025944061320355,0.0489706979609959,0.037327547180558
20-34,Male,HIS,oil,Food_price,USD,0.0148972791711931,0.023118257805814,0.0191980940975215
20-34,Male,HIS,oil,FL,mrh-eq,0.00135921846371876,0.00256559202616275,0.00195560327686017
20-34,Male,HIS,sat_fat,CED,MJ,-0.725847498664727,-0.768565431436451,-0.704313481896029
20-34,Male,HIS,sat_fat,Food_price,USD,-0.0803888177023134,-0.0833087440562441,-0.0744992744631563
20-34,Male,HIS,sat_fat,FL,mrh-eq,-0.0200111820174725,-0.0211888899102154,-0.0194175020365971
20-34,Male,NHB,added_sugar,CED,MJ,-0.386312689090331,-0.356193185059134,-0.384913203031659
20-34,Male,NHB,added_sugar,Food_price,USD,-0.67918065576869,-0.637517245318728,-0.673690055058334
20-34,Male,NHB,added_sugar,FL,mrh-eq,-0.0150638353148382,-0.0138893586245722,-0.0150092639064724
20-34,Male,NHB,oil,CED,MJ,0.00447722149236473,0.0203737579158965,0.00024837682283656
20-34,Male,NHB,oil,Food_price,USD,0.000125864471890844,0.00262969885461708,0.00137054289598573
20-34,Male,NHB,oil,FL,mrh-eq,0.000221118771105673,0.00100620894473284,1.22667100411295e-05
20-34,Male,NHB,sat_fat,CED,MJ,-0.740085294355623,-0.669267456197964,-0.672936179825173
20-34,Male,NHB,sat_fat,Food_price,USD,-0.0684288902000349,-0.0627052021859356,-0.0620730913761478
20-34,Male,NHB,sat_fat,FL,mrh-eq,-0.0199157210291407,-0.0180100105395641,-0.0181087360200592
20-34,Male,NHW,added_sugar,CED,MJ,-0.26111216467257,-0.22141394758916,-0.233893224907812
20-34,Male,NHW,added_sugar,Food_price,USD,-0.502986992197723,-0.440251299604564,-0.472277940120406
20-34,Male,NHW,added_sugar,FL,mrh-eq,-0.0107114146264739,-0.00908290350886508,-0.00959483183578333
20-34,Male,NHW,oil,CED,MJ,0.0192318104106007,0.0151202173489142,0.014546496778051
20-34,Male,NHW,oil,Food_price,USD,0.0148030702970465,0.0103294254885026,0.00839204899531572
20-34,Male,NHW,oil,FL,mrh-eq,0.000986172092654563,0.000775337114188246,0.000745917771760906
20-34,Male,NHW,sat_fat,CED,MJ,-0.817360107273939,-0.823619065144301,-0.83404436960954
20-34,Male,NHW,sat_fat,Food_price,USD,-0.0937246019626918,-0.0973746683735356,-0.0956253348155387
20-34,Male,NHW,sat_fat,FL,mrh-eq,-0.0222449956575202,-0.0224153373336159,-0.0226990688865676
20-34,Male,OTH,added_sugar,CED,MJ,-0.238237657122965,-0.194026126022746,-0.26624117497194
