age_gp,sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,Female,added_sugar,CED,MJ,0,0,0
20-34,Female,added_sugar,Food_price,USD,0,0,0
20-34,Female,added_sugar,FL,mrh-eq,0,0,0
20-34,Female,oil,CED,MJ,0,0,0
20-34,Female,oil,Food_price,USD,0,0,0
20-34,Female,oil,FL,mrh-eq,0,0,0
20-34,Female,sat_fat,CED,MJ,0,0,0
20-34,Female,sat_fat,Food_price,USD,0,0,0
20-34,Female,sat_fat,FL,mrh-eq,0,0,0
20-34,Male,added_sugar,CED,MJ,0,0,0
20-34,Male,added_sugar,Food_price,USD,0,0,0
20-34,Male,added_sugar,FL,mrh-eq,0,0,0
20-34,Male,oil,CED,MJ,0,0,0
20-34,Male,oil,Food_price,USD,0,0,0
20-34,Male,oil,FL,mrh-eq,0,0,0
20-34,Male,sat_fat,CED,MJ,0,0,0
20-34,Male,sat_fat,Food_price,USD,0,0,0
20-34,Male,sat_fat,FL,mrh-eq,0,0,0
35-44,Female,added_sugar,CED,MJ,0,0,0
35-44,Female,added_sugar,Food_price,USD,0,0,0
35-44,Female,added_sugar,FL,mrh-eq,0,0,0
35-44,Female,oil,CED,MJ,0,0,0
35-44,Female,oil,Food_price,USD,0,0,0
35-44,Female,oil,FL,mrh-eq,0,0,0
35-44,Female,sat_fat,CED,MJ,0,0,0
35-44,Female,sat_fat,Food_price,USD,0,0,0
35-44,Female,sat_fat,FL,mrh-eq,0,0,0
35-44,Male,added_sugar,CED,MJ,0,0,0
35-44,Male,added_sugar,Food_price,USD,0,0,0
35-44,Male,added_sugar,FL,mrh-eq,0,0,0
35-44,Male,oil,CED,MJ,0,0,0
35-44,Male,oil,Food_price,USD,0,0,0
35-44,Male,oil,FL,mrh-eq,0,0,0
35-44,Male,sat_fat,CED,MJ,0,0,0
35-44,Male,sat_fat,Food_price,USD,0,0,0
35-44,Male,sat_fat,FL,mrh-eq,0,0,0
45-54,Female,added_sugar,CED,MJ,0,0,0
45-54,Female,added_sugar,Food_price,USD,0,0,0
45-54,Female,added_sugar,FL,mrh-eq,0,0,0
45-54,Female,oil,CED,MJ,0,0,0
45-54,Female,oil,Food_price,USD,0,0,0
45-54,Female,oil,FL,mrh-eq,0,0,0
45-54,Female,sat_fat,CED,MJ,0,0,0
45-54,Female,sat_fat,Food_price,USD,0,0,0
45-54,Female,sat_fat,FL,mrh-eq,0,0,0
45-54,Male,added_sugar,CED,MJ,0,0,0
45-54,Male,added_sugar,Food_price,USD,0,0,0
45-54,Male,added_sugar,FL,mrh-eq,0,0,0
45-54,Male,oil,CED,MJ,0,0,0
45-54,Male,oil,Food_price,USD,0,0,0
45-54,Male,oil,FL,mrh-eq,0,0,0
45-54,Male,sat_fat,CED,MJ,0,0,0
45-54,Male,sat_fat,Food_price,USD,0,0,0
45-54,Male,sat_fat,FL,mrh-eq,0,0,0
55-64,Female,added_sugar,CED,MJ,0,0,0
55-64,Female,added_sugar,Food_price,USD,0,0,0
55-64,Female,added_sugar,FL,mrh-eq,0,0,0
55-64,Female,oil,CED,MJ,0,0,0
55-64,Female,oil,Food_price,USD,0,0,0
55-64,Female,oil,FL,mrh-eq,0,0,0
55-64,Female,sat_fat,CED,MJ,0,0,0
55-64,Female,sat_fat,Food_price,USD,0,0,0
55-64,Female,sat_fat,FL,mrh-eq,0,0,0
55-64,Male,added_sugar,CED,MJ,0,0,0
55-64,Male,added_sugar,Food_price,USD,0,0,0
55-64,Male,added_sugar,FL,mrh-eq,0,0,0
55-64,Male,oil,CED,MJ,0,0,0
55-64,Male,oil,Food_price,USD,0,0,0
55-64,Male,oil,FL,mrh-eq,0,0,0
55-64,Male,sat_fat,CED,MJ,0,0,0
55-64,Male,sat_fat,Food_price,USD,0,0,0
55-64,Male,sat_fat,FL,mrh-eq,0,0,0
65-74,Female,added_sugar,CED,MJ,0,0,0
65-74,Female,added_sugar,Food_price,USD,0,0,0
65-74,Female,added_sugar,FL,mrh-eq,0,0,0
65-74,Female,oil,CED,MJ,0,0,0
65-74,Female,oil,Food_price,USD,0,0,0
65-74,Female,oil,FL,mrh-eq,0,0,0
65-74,Female,sat_fat,CED,MJ,0,0,0
65-74,Female,sat_fat,Food_price,USD,0,0,0
65-74,Female,sat_fat,FL,mrh-eq,0,0,0
65-74,Male,added_sugar,CED,MJ,0,0,0
65-74,Male,added_sugar,Food_price,USD,0,0,0
65-74,Male,added_sugar,FL,mrh-eq,0,0,0
65-74,Male,oil,CED,MJ,0,0,0
65-74,Male,oil,Food_price,USD,0,0,0
65-74,Male,oil,FL,mrh-eq,0,0,0
65-74,Male,sat_fat,CED,MJ,0,0,0
65-74,Male,sat_fat,Food_price,USD,0,0,0
65-74,Male,sat_fat,FL,mrh-eq,0,0,0
75+,Female,added_sugar,CED,MJ,0,0,0
75+,Female,added_sugar,Food_price,USD,0,0,0
75+,Female,added_sugar,FL,mrh-eq,0,0,0
75+,Female,oil,CED,MJ,0,0,0
75+,Female,oil,Food_price,USD,0,0,0
75+,Female,oil,FL,mrh-eq,0,0,0
75+,Female,sat_fat,CED,MJ,0,0,0
75+,Female,sat_fat,Food_price,USD,0,0,0
75+,Female,sat_fat,FL,mrh-eq,0,0,0
75+,Male,added_sugar,CED,MJ,0,0,0
75+,Male,added_sugar,Food_price,USD,0,0,0
75+,Male,added_sugar,FL,mrh-eq,0,0,0
75+,Male,oil,CED,MJ,0,0,0
75+,Male,oil,Food_price,USD,0,0,0
75+,Male,oil,FL,mrh-eq,0,0,0
75+,Male,sat_fat,CED,MJ,0,0,0
75+,Male,sat_fat,Food_price,USD,0,0,0
75+,Male,sat_fat,FL,mrh-eq,0,0,0
