age_gp,sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,HIS,CED,MJ,0.64848070978556,0.669192524710208,0.66572800817013
20-34,Female,HIS,Food_price,USD,0.408903124219309,0.422838433080507,0.413631444812988
20-34,Female,HIS,FL,mrh-eq,0.0222901200217197,0.0230113972664556,0.0228297337508194
20-34,Female,NHB,CED,MJ,0.661045018908783,0.646646664005792,0.668080757633122
20-34,Female,NHB,Food_price,USD,0.538985666078232,0.523517205743848,0.526655706301306
20-34,Female,NHB,FL,mrh-eq,0.0220517143599369,0.0214934033114322,0.0221206070859847
20-34,Female,NHW,CED,MJ,0.632986320757938,0.633447451302773,0.65111502804065
20-34,Female,NHW,Food_price,USD,0.498489045908494,0.502874057970682,0.515969972925008
20-34,Female,NHW,FL,mrh-eq,0.0218214497458677,0.02195443553732,0.0224131069925097
20-34,Female,OTH,CED,MJ,0.594453134951495,0.563287080544213,0.550590264974657
20-34,Female,OTH,Food_price,USD,0.471573292234138,0.419151973877909,0.424622495663139
20-34,Female,OTH,FL,mrh-eq,0.0208074514717798,0.0196186638574917,0.0192302615010078
20-34,Male,HIS,CED,MJ,0.621049848977852,0.615896688669668,0.615740553264105
20-34,Male,HIS,Food_price,USD,0.413458600950999,0.396306620943535,0.413823940077825
20-34,Male,HIS,FL,mrh-eq,0.0199429310486778,0.0196036011364458,0.0197653395969819
20-34,Male,NHB,CED,MJ,0.649810859478169,0.620250831999115,0.634168459630967
20-34,Male,NHB,Food_price,USD,0.453663143934687,0.437804996305312,0.45009768510317
20-34,Male,NHB,FL,mrh-eq,0.0213385999863058,0.0203607918696175,0.0209277076499676
20-34,Male,NHW,CED,MJ,0.632340136134278,0.621067423124761,0.6278203989754
20-34,Male,NHW,Food_price,USD,0.436853178598206,0.417244624415009,0.42797409625012
20-34,Male,NHW,FL,mrh-eq,0.0208700191849421,0.0203942616677335,0.0206385302704585
20-34,Male,OTH,CED,MJ,0.578021172238144,0.559341977297586,0.583701098886781
20-34,Male,OTH,Food_price,USD,0.408283265193421,0.377141861481959,0.41615031702636
20-34,Male,OTH,FL,mrh-eq,0.0196434282759307,0.0188845347463635,0.0199248923716548
35-44,Female,HIS,CED,MJ,0.599330484504691,0.59750464442329,0.580833202273761
35-44,Female,HIS,Food_price,USD,0.411403428958424,0.365638829159115,0.379371178930559
35-44,Female,HIS,FL,mrh-eq,0.0217212878317978,0.0212284949316515,0.0207828286964362
35-44,Female,NHB,CED,MJ,0.641513229010058,0.66117678201608,0.646379973096304
35-44,Female,NHB,Food_price,USD,0.427639756738148,0.465634883376977,0.433047405901425
35-44,Female,NHB,FL,mrh-eq,0.0220241073491473,0.0227635930752539,0.0221685292148277
35-44,Female,NHW,CED,MJ,0.684720205010881,0.672669564072705,0.677676665434567
35-44,Female,NHW,Food_price,USD,0.456806395978573,0.430250194445062,0.447062040721785
35-44,Female,NHW,FL,mrh-eq,0.0238523206294237,0.0231468443406158,0.023474494376011
35-44,Female,OTH,CED,MJ,0.639198118557599,0.624669139795588,0.632551635591052
35-44,Female,OTH,Food_price,USD,0.384535235891833,0.388254290921742,0.391007088829958
35-44,Female,OTH,FL,mrh-eq,0.0238649076136062,0.023452827466694,0.023590975119467
35-44,Male,HIS,CED,MJ,0.623783603136345,0.647701169245728,0.614902448275648
35-44,Male,HIS,Food_price,USD,0.359859818250808,0.39201611726941,0.378673456598521
35-44,Male,HIS,FL,mrh-eq,0.0207987410599567,0.0218188998872067,0.0207036555561594
35-44,Male,NHB,CED,MJ,0.653391766173774,0.636700212315125,0.645916508531754
35-44,Male,NHB,Food_price,USD,0.445564890047088,0.434939450906519,0.457319960282122
35-44,Male,NHB,FL,mrh-eq,0.0214614800690051,0.0208998718191908,0.021254039688301
35-44,Male,NHW,CED,MJ,0.728855419142542,0.742251227611935,0.685175534588524
35-44,Male,NHW,Food_price,USD,0.511665323470415,0.516404796396931,0.471119935794811
35-44,Male,NHW,FL,mrh-eq,0.0247489190854932,0.0250256499400035,0.0231679407402993
35-44,Male,OTH,CED,MJ,0.521034101915516,0.535318716044342,0.534111696897479
35-44,Male,OTH,Food_price,USD,0.279229324453526,0.30257618514835,0.305064710351549
35-44,Male,OTH,FL,mrh-eq,0.0183064290061077,0.0192498898665753,0.0192092892460344
45-54,Female,HIS,CED,MJ,0.595739211453383,0.602804072521685,0.588357835515581
45-54,Female,HIS,Food_price,USD,0.399488188426027,0.399912493036036,0.379028247324833
45-54,Female,HIS,FL,mrh-eq,0.0211559410002071,0.0213664174078134,0.0206323743380614
45-54,Female,NHB,CED,MJ,0.643892450494336,0.620033157404713,0.645052795218299
45-54,Female,NHB,Food_price,USD,0.486869089691149,0.455804085109209,0.480955337243931
45-54,Female,NHB,FL,mrh-eq,0.0221923817804088,0.0212015753118697,0.0221583448188712
45-54,Female,NHW,CED,MJ,0.710117810826463,0.702159743804609,0.649550598508399
45-54,Female,NHW,Food_price,USD,0.47685910563815,0.491358515656836,0.427656532652089
45-54,Female,NHW,FL,mrh-eq,0.0248523214420508,0.0247239380939826,0.0226142581382639
45-54,Female,OTH,CED,MJ,0.533543045711034,0.516963474530811,0.533350081435831
45-54,Female,OTH,Food_price,USD,0.339800093019848,0.338000825358463,0.334256479523809
45-54,Female,OTH,FL,mrh-eq,0.0191120374723136,0.018702028929404,0.019072578537797
45-54,Male,HIS,CED,MJ,0.604764651224772,0.663834170092136,0.61602874702045
45-54,Male,HIS,Food_price,USD,0.308252287586045,0.343570358863399,0.304481929489491
45-54,Male,HIS,FL,mrh-eq,0.0209443807218138,0.0229826329863225,0.0212555620137691
45-54,Male,NHB,CED,MJ,0.633798832382248,0.634042491048837,0.649866558191305
45-54,Male,NHB,Food_price,USD,0.369331825358749,0.362586412444764,0.379590721736967
45-54,Male,NHB,FL,mrh-eq,0.0218804368132054,0.0216692521606737,0.0224158858858374
45-54,Male,NHW,CED,MJ,0.688197199334345,0.70031555057543,0.687690666242286
45-54,Male,NHW,Food_price,USD,0.480533225767282,0.469632124892928,0.46367254407739
45-54,Male,NHW,FL,mrh-eq,0.0241018619895542,0.0243282319870558,0.0238361599231571
45-54,Male,OTH,CED,MJ,0.516006444580325,0.561026510799954,0.543076580829867
45-54,Male,OTH,Food_price,USD,0.226887835139825,0.273210950792181,0.245870849483045
