age_gp,race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
20-34,HIS,added_sugar,CED,MJ,-11.8604903344775,-11.7008995971432,-12.1869965851656
20-34,HIS,added_sugar,Food_price,USD,-11.8604903344775,-11.7008995971432,-12.1869965851656
20-34,HIS,added_sugar,FL,mrh-eq,-11.8604903344775,-11.7008995971432,-12.1869965851656
20-34,HIS,oil,CED,MJ,0.932211050744053,2.08151793173138,1.53308002489111
20-34,HIS,oil,Food_price,USD,0.932211050744053,2.08151793173138,1.53308002489111
20-34,HIS,oil,FL,mrh-eq,0.932211050744053,2.08151793173138,1.53308002489111
20-34,HIS,sat_fat,CED,MJ,-14.2958808221088,-15.1689177685833,-14.6010351747085
20-34,HIS,sat_fat,Food_price,USD,-14.2958808221088,-15.1689177685833,-14.6010351747085
20-34,HIS,sat_fat,FL,mrh-eq,-14.2958808221088,-15.1689177685833,-14.6010351747085
20-34,NHB,added_sugar,CED,MJ,-16.1373775212071,-14.9944693517408,-15.8227664379454
20-34,NHB,added_sugar,Food_price,USD,-16.1373775212071,-14.9944693517408,-15.8227664379454
20-34,NHB,added_sugar,FL,mrh-eq,-16.1373775212071,-14.9944693517408,-15.8227664379454
20-34,NHB,oil,CED,MJ,-3.06731783267014,-1.57789931322714,-2.57647679984569
20-34,NHB,oil,Food_price,USD,-3.06731783267014,-1.57789931322714,-2.57647679984569
20-34,NHB,oil,FL,mrh-eq,-3.06731783267014,-1.57789931322714,-2.57647679984569
20-34,NHB,sat_fat,CED,MJ,-15.4397401856874,-14.6215735888109,-15.4471275415474
20-34,NHB,sat_fat,Food_price,USD,-15.4397401856874,-14.6215735888109,-15.4471275415474
20-34,NHB,sat_fat,FL,mrh-eq,-15.4397401856874,-14.6215735888109,-15.4471275415474
20-34,NHW,added_sugar,CED,MJ,-11.0343904939823,-10.6290058406816,-10.8599462469768
20-34,NHW,added_sugar,Food_price,USD,-11.0343904939823,-10.6290058406816,-10.8599462469768
20-34,NHW,added_sugar,FL,mrh-eq,-11.0343904939823,-10.6290058406816,-10.8599462469768
20-34,NHW,oil,CED,MJ,-0.111558624015602,-0.257111028881478,-0.319285987529008
20-34,NHW,oil,Food_price,USD,-0.111558624015602,-0.257111028881478,-0.319285987529008
20-34,NHW,oil,FL,mrh-eq,-0.111558624015602,-0.257111028881478,-0.319285987529008
20-34,NHW,sat_fat,CED,MJ,-16.6167497796466,-16.43233313696,-17.3076155139096
20-34,NHW,sat_fat,Food_price,USD,-16.6167497796466,-16.43233313696,-17.3076155139096
20-34,NHW,sat_fat,FL,mrh-eq,-16.6167497796466,-16.43233313696,-17.3076155139096
20-34,OTH,added_sugar,CED,MJ,-10.4900450425285,-8.35914535763529,-9.61291315846051
20-34,OTH,added_sugar,Food_price,USD,-10.4900450425285,-8.35914535763529,-9.61291315846051
20-34,OTH,added_sugar,FL,mrh-eq,-10.4900450425285,-8.35914535763529,-9.61291315846051
20-34,OTH,oil,CED,MJ,-0.374416554369331,-0.909157491215802,-0.654231053201631
20-34,OTH,oil,Food_price,USD,-0.374416554369331,-0.909157491215802,-0.654231053201631
20-34,OTH,oil,FL,mrh-eq,-0.374416554369331,-0.909157491215802,-0.654231053201631
20-34,OTH,sat_fat,CED,MJ,-13.392331228979,-12.7498069516724,-12.290144396432
20-34,OTH,sat_fat,Food_price,USD,-13.392331228979,-12.7498069516724,-12.290144396432
20-34,OTH,sat_fat,FL,mrh-eq,-13.392331228979,-12.7498069516724,-12.290144396432
35-44,HIS,added_sugar,CED,MJ,-11.1313181687148,-11.2269808849432,-10.5787737797492
35-44,HIS,added_sugar,Food_price,USD,-11.1313181687148,-11.2269808849432,-10.5787737797492
35-44,HIS,added_sugar,FL,mrh-eq,-11.1313181687148,-11.2269808849432,-10.5787737797492
35-44,HIS,oil,CED,MJ,3.60217408431727,3.28041941032897,3.94240006320033
35-44,HIS,oil,Food_price,USD,3.60217408431727,3.28041941032897,3.94240006320033
35-44,HIS,oil,FL,mrh-eq,3.60217408431727,3.28041941032897,3.94240006320033
35-44,HIS,sat_fat,CED,MJ,-14.2244954234805,-15.0062479165798,-13.5223871318128
35-44,HIS,sat_fat,Food_price,USD,-14.2244954234805,-15.0062479165798,-13.5223871318128
35-44,HIS,sat_fat,FL,mrh-eq,-14.2244954234805,-15.0062479165798,-13.5223871318128
35-44,NHB,added_sugar,CED,MJ,-16.0838867886562,-16.623758284049,-16.5344949390505
35-44,NHB,added_sugar,Food_price,USD,-16.0838867886562,-16.623758284049,-16.5344949390505
35-44,NHB,added_sugar,FL,mrh-eq,-16.0838867886562,-16.623758284049,-16.5344949390505
35-44,NHB,oil,CED,MJ,-1.90351887090028,-1.42545397214688,-0.559542232723902
35-44,NHB,oil,Food_price,USD,-1.90351887090028,-1.42545397214688,-0.559542232723902
