sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-14.0609190828953,-14.2424001453518,-13.6197873797435
Female,added_sugar,Food_price,USD,-14.0609190828953,-14.2424001453518,-13.6197873797435
Female,added_sugar,FL,mrh-eq,-14.0609190828953,-14.2424001453518,-13.6197873797435
Female,oil,CED,MJ,-2.3559893650171,-2.44479837950088,-2.25768310702805
Female,oil,Food_price,USD,-2.3559893650171,-2.44479837950088,-2.25768310702805
Female,oil,FL,mrh-eq,-2.3559893650171,-2.44479837950088,-2.25768310702805
Female,sat_fat,CED,MJ,-16.9854023825802,-16.6485483260919,-16.8529984817609
Female,sat_fat,Food_price,USD,-16.9854023825802,-16.6485483260919,-16.8529984817609
Female,sat_fat,FL,mrh-eq,-16.9854023825802,-16.6485483260919,-16.8529984817609
Male,added_sugar,CED,MJ,-11.7169864806786,-11.877704721665,-11.249174100549
Male,added_sugar,Food_price,USD,-11.7169864806786,-11.877704721665,-11.249174100549
Male,added_sugar,FL,mrh-eq,-11.7169864806786,-11.877704721665,-11.249174100549
Male,oil,CED,MJ,1.35964018307445,1.49074014713802,1.26017424443617
Male,oil,Food_price,USD,1.35964018307445,1.49074014713802,1.26017424443617
Male,oil,FL,mrh-eq,1.35964018307445,1.49074014713802,1.26017424443617
Male,sat_fat,CED,MJ,-15.7350613572046,-16.2386577020853,-15.6749055657454
Male,sat_fat,Food_price,USD,-15.7350613572046,-16.2386577020853,-15.6749055657454
Male,sat_fat,FL,mrh-eq,-15.7350613572046,-16.2386577020853,-15.6749055657454
