"","age_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","added_sugar","CED","MJ",-0.303409022256652,-0.298894986706781,-0.286999643380984,-0.296305054153824,0.00892301561872932,0,0,0,0,0,-0.303409022256652,-0.298894986706781,-0.286999643380984,-0.296305054153824,0.00892301561872932,-11.7938478319655,-11.6297392971714,-11.1774850051001,-11.5286355226882,0.336010126653113,-0.200896756023709,-0.197911297788363,-0.190038017716448,-0.196196272582549,0.00590496758792758,-0.102512266232943,-0.100983688918417,-0.0969616256645365,-0.100108781571275,0.0030180482690719,0.564790429494166,0.576685772819962,0.581199808369833,0.574095840267006,0.00892301561872926,0.277790786113182,0.277790786113182,0.277790786113182,0.277790786113182,0,0.373979965295534,0.381853245367449,0.384838703602794,0.380138220161635,0.00590496758792766,0.183941947579085,0.183941947579085,0.183941947579085,0.183941947579085,0,0.190810464198632,0.194832527452513,0.196361104767039,0.193957620105371,0.00301804826907196,0.0938488385340958,0.0938488385340958,0.0938488385340958,0.0938488385340958,0,0,0,0,0,0,-0.102512266232943,-0.100983688918417,-0.0969616256645365,-0.100108781571275,0.0030180482690719,0,0,0,0,0,0,0,0,0,0,0.190810464198632,0.194832527452513,0.196361104767039,0.193957620105371,0.00301804826907196,0.0938488385340958,0.0938488385340958,0.0938488385340958,0.0938488385340958,0
"2","20-34","added_sugar","FL","mrh-eq",-0.012803977862877,-0.0126298365740795,-0.0121623358796346,-0.012526903449291,0.000349273490120821,0,0,0,0,0,-0.012803977862877,-0.0126298365740795,-0.0121623358796346,-0.012526903449291,0.000349273490120821,-11.7938478319655,-11.6297392971714,-11.1774850051001,-11.5286355226882,0.336010126653113,-0.00847848519175224,-0.00836333224210014,-0.00805387436754355,-0.00829515507546698,0.000231147416906081,-0.0043254926711248,-0.0042665043319794,-0.00410846151209102,-0.00423174837382397,0.000118126089623976,0.0238840025655586,0.0243515032600036,0.024525644548801,0.024248570135215,0.000349273490120821,0.011721666685924,0.011721666685924,0.011721666685924,0.011721666685924,0,0.0158159971240128,0.0161254549985694,0.0162406079482215,0.0160572778319363,0.000231147416906076,0.00776212275646927,0.00776212275646927,0.00776212275646927,0.00776212275646927,0,0.00806800544154578,0.00822604826143414,0.00828503660057955,0.00819129230327872,0.000118126089623975,0.00395954392945475,0.00395954392945475,0.00395954392945475,0.00395954392945475,0,0,0,0,0,0,-0.0043254926711248,-0.0042665043319794,-0.00410846151209102,-0.00423174837382397,0.000118126089623976,0,0,0,0,0,0,0,0,0,0,0.00806800544154578,0.00822604826143414,0.00828503660057955,0.00819129230327872,0.000118126089623975,0.00395954392945475,0.00395954392945475,0.00395954392945475,0.00395954392945475,0
"3","20-34","added_sugar","Food_price","USD",-0.582358158697169,-0.578825436831647,-0.549386600906793,-0.569735572249425,0.0190554849443947,0,0,0,0,0,-0.582358158697169,-0.578825436831647,-0.549386600906793,-0.569735572249425,0.0190554849443947,-11.7938478319655,-11.6297392971714,-11.1774850051001,-11.5286355226882,0.336010126653113,-0.385610149060883,-0.383277228722556,-0.363782586481993,-0.377255571914754,0.0126164096161533,-0.196748009636286,-0.19554820810909,-0.1856040144248,-0.192480000334671,0.00643907652986934,1.08343239917082,1.11287123509567,1.1164039569612,1.10378137051345,0.0190554849443953,0.534045798264027,0.534045798264027,0.534045798264027,0.534045798264027,0,0.71741532742142,0.736909969661983,0.73924289000031,0.730888312854181,0.0126164096161532,0.353632740939428,0.353632740939428,0.353632740939428,0.353632740939428,0,0.3660170717494,0.37596126543369,0.377161066960886,0.372893057659271,0.0064390765298693,0.1804130573246,0.1804130573246,0.1804130573246,0.1804130573246,0,0,0,0,0,0,-0.196748009636286,-0.19554820810909,-0.1856040144248,-0.192480000334671,0.00643907652986934,0,0,0,0,0,0,0,0,0,0,0.3660170717494,0.37596126543369,0.377161066960886,0.372893057659271,0.0064390765298693,0.1804130573246,0.1804130573246,0.1804130573246,0.1804130573246,0
"4","20-34","oil","CED","MJ",-0.00298383963194848,-0.00269391169017887,-0.000534169070648027,-0.00203783636464861,0.00140894335455711,0,0,0,0,0,-0.00298383963194848,-0.00269391169017887,-0.000534169070648027,-0.00203783636464861,0.00140894335455711,-0.316811156860212,-0.282225958480153,-0.0493267959665785,-0.212642111415762,0.153136514555933,-0.00247456317691365,-0.00223095497015853,-0.000426614369689574,-0.00168332956885543,0.00117759040625151,-0.00050927645503482,-0.000462956720020333,-0.00010755470095846,-0.00035450679579318,0.000231354149545979,0.302265994178958,0.304425736798489,0.304715664740259,0.303769661472959,0.00140894335455708,0.30173182510831,0.30173182510831,0.30173182510831,0.30173182510831,0,0.25240572097356,0.25421006157403,0.254453669780785,0.253662436172726,0.00117759040625159,0.251979106603871,0.251979106603871,0.251979106603871,0.251979106603871,0,0.0498602732053978,0.0502156752244597,0.0502619949594742,0.0501072253002325,0.000231354149545975,0.0497527185044394,0.0497527185044394,0.0497527185044394,0.0497527185044394,0,0,0,0,0,0,-0.00050927645503482,-0.000462956720020333,-0.00010755470095846,-0.00035450679579318,0.000231354149545979,0,0,0,0,0,0,0,0,0,0,0.0498602732053978,0.0502156752244597,0.0502619949594742,0.0501072253002325,0.000231354149545975,0.0497527185044394,0.0497527185044394,0.0497527185044394,0.0497527185044394,0
"5","20-34","oil","FL","mrh-eq",-0.000162354475693303,-0.000144638262197794,-3.46253442691824e-05,-0.000112253453624775,7.28415948493248e-05,0,0,0,0,0,-0.000162354475693303,-0.000144638262197794,-3.46253442691824e-05,-0.000112253453624775,7.28415948493248e-05,-0.316811156860212,-0.282225958480153,-0.0493267959665785,-0.212642111415762,0.153136514555933,-0.000134676722050919,-0.000119803956929135,-2.78906428567636e-05,-9.27721853675255e-05,6.08838003732069e-05,-2.76777536423834e-05,-2.48343052686577e-05,-6.7347014124188e-06,-1.94812682572496e-05,1.19578537736654e-05,0.0157126658717249,0.0158226787896535,0.015840395003149,0.0157902939810805,7.28415948493241e-05,0.0156780405274557,0.0156780405274557,0.0156780405274557,0.0156780405274557,0,0.0131207113804442,0.0132126246945165,0.0132274974596383,0.0131855929229549,6.08838003732091e-05,0.0130928207375874,0.0130928207375874,0.0130928207375874,0.0130928207375874,0,0.00259195449128071,0.00261005409513695,0.00261289754351068,0.00260470105812554,1.19578537736661e-05,0.00258521978986829,0.00258521978986829,0.00258521978986829,0.00258521978986829,0,0,0,0,0,0,-2.76777536423834e-05,-2.48343052686577e-05,-6.7347014124188e-06,-1.94812682572496e-05,1.19578537736654e-05,0,0,0,0,0,0,0,0,0,0,0.00259195449128071,0.00261005409513695,0.00261289754351068,0.00260470105812554,1.19578537736661e-05,0.00258521978986829,0.00258521978986829,0.00258521978986829,0.00258521978986829,0
"6","20-34","oil","Food_price","USD",-0.00351060629305721,-0.00208379270182914,-0.00132444903342966,-0.00231799267475145,0.00116834861437171,0,0,0,0,0,-0.00351060629305721,-0.00208379270182914,-0.00132444903342966,-0.00231799267475145,0.00116834861437171,-0.316811156860212,-0.282225958480153,-0.0493267959665785,-0.212642111415762,0.153136514555933,-0.00291960740979106,-0.00172805494280051,-0.00109523871247183,-0.00192410274513801,0.000975089058291878,-0.000590998883266162,-0.000355737759028627,-0.000229210320957847,-0.000393889929613453,0.000193260383431611,0.204034070867417,0.204793414535817,0.206220228127045,0.205027614508739,0.00116834861437177,0.202709621833988,0.202709621833988,0.202709621833988,0.202709621833988,0,0.17038205899005,0.171014875220379,0.17220642768737,0.171210923022716,0.000975089058291934,0.169286820277579,0.169286820277579,0.169286820277579,0.169286820277579,0,0.0336520118773671,0.0337785393154379,0.0340138004396754,0.0338166914860227,0.000193260383431605,0.0334228015564092,0.0334228015564092,0.0334228015564092,0.0334228015564092,0,0,0,0,0,0,-0.000590998883266162,-0.000355737759028627,-0.000229210320957847,-0.000393889929613453,0.000193260383431611,0,0,0,0,0,0,0,0,0,0,0.0336520118773671,0.0337785393154379,0.0340138004396754,0.0338166914860227,0.000193260383431605,0.0334228015564092,0.0334228015564092,0.0334228015564092,0.0334228015564092,0
"7","20-34","sat_fat","CED","MJ",-0.812741999390689,-0.796799243679236,-0.792028431473781,-0.800719223856779,0.0114182145768272,0,0,0,0,0,-0.812741999390689,-0.796799243679236,-0.792028431473781,-0.800719223856779,0.0114182145768272,-15.9384660446273,-15.6336434064637,-15.5307996780323,-15.7045131993522,0.223166807033014,-0.627082389947359,-0.614649620225348,-0.610842574340758,-0.617676189992864,0.00894013094552045,-0.185659609443331,-0.182149623453888,-0.181185857133023,-0.183043033863915,0.00247846894110524,1.67286629173915,1.6776371039446,1.69357985965605,1.68155708412214,0.0114182145768269,0.880837860265363,0.880837860265363,0.880837860265363,0.880837860265363,0,1.28979529703254,1.29360234291713,1.30603511263914,1.29662891268464,0.00894013094551973,0.678952722691778,0.678952722691778,0.678952722691778,0.678952722691778,0,0.383070994706608,0.384034761027473,0.387544747016916,0.3849281714375,0.00247846894110517,0.201885137573585,0.201885137573585,0.201885137573585,0.201885137573585,0,0,0,0,0,0,-0.185659609443331,-0.182149623453888,-0.181185857133023,-0.183043033863915,0.00247846894110524,0,0,0,0,0,0,0,0,0,0,0.383070994706608,0.384034761027473,0.387544747016916,0.3849281714375,0.00247846894110517,0.201885137573585,0.201885137573585,0.201885137573585,0.201885137573585,0
"8","20-34","sat_fat","FL","mrh-eq",-0.0217694137347824,-0.0213508590011286,-0.0212349342995191,-0.0214570449772845,0.000295954523541934,0,0,0,0,0,-0.0217694137347824,-0.0213508590011286,-0.0212349342995191,-0.0214570449772845,0.000295954523541934,-15.9384660446273,-15.6336434064637,-15.5307996780323,-15.7045131993522,0.223166807033014,-0.0167927290699451,-0.0164663683975647,-0.0163735681318882,-0.0165483194174608,0.000231745980343066,-0.00497668466483732,-0.00488449060356393,-0.00486136616763092,-0.00490872555982371,6.42203620152337e-05,0.0448735169711046,0.0449894416727141,0.0454079964063679,0.04509562764887,0.000295954523541939,0.0236385826715855,0.0236385826715855,0.0236385826715855,0.0236385826715855,0,0.0345903642584702,0.0346831645241467,0.0350095251965271,0.0347651155440428,0.000231745980343053,0.018216796126582,0.018216796126582,0.018216796126582,0.018216796126582,0,0.0102831527126344,0.0103062771485674,0.0103984712098408,0.0103305121048272,6.42203620152389e-05,0.00542178654500348,0.00542178654500348,0.00542178654500348,0.00542178654500348,0,0,0,0,0,0,-0.00497668466483732,-0.00488449060356393,-0.00486136616763092,-0.00490872555982371,6.42203620152337e-05,0,0,0,0,0,0,0,0,0,0,0.0102831527126344,0.0103062771485674,0.0103984712098408,0.0103305121048272,6.42203620152389e-05,0.00542178654500348,0.00542178654500348,0.00542178654500348,0.00542178654500348,0
"9","20-34","sat_fat","Food_price","USD",-0.0966497322664621,-0.0956246466574817,-0.0953169436402517,-0.0958763598475696,0.000734558764765135,0,0,0,0,0,-0.0966497322664621,-0.0956246466574817,-0.0953169436402517,-0.0958763598475696,0.000734558764765135,-15.9384660446273,-15.6336434064637,-15.5307996780323,-15.7045131993522,0.223166807033014,-0.0745738723221719,-0.0737700373262508,-0.0735015680337518,-0.0739578849414866,0.000587349391103203,-0.0220758599442903,-0.0218546093312311,-0.0218153756064998,-0.021918474906083,0.000147833357538211,0.200335923516524,0.200643626533754,0.201668712142734,0.200895339723842,0.000734558764765179,0.105018979876272,0.105018979876272,0.105018979876272,0.105018979876272,0,0.15445002368289,0.154718492975389,0.15552232797131,0.154906340590625,0.000587349391103107,0.0809484556491384,0.0809484556491384,0.0809484556491384,0.0809484556491384,0,0.0458858998336334,0.0459251335583647,0.0461463841714239,0.0459889991332166,0.000147833357538212,0.0240705242271336,0.0240705242271336,0.0240705242271336,0.0240705242271336,0,0,0,0,0,0,-0.0220758599442903,-0.0218546093312311,-0.0218153756064998,-0.021918474906083,0.000147833357538211,0,0,0,0,0,0,0,0,0,0,0.0458858998336334,0.0459251335583647,0.0461463841714239,0.0459889991332166,0.000147833357538212,0.0240705242271336,0.0240705242271336,0.0240705242271336,0.0240705242271336,0
"10","35-44","added_sugar","CED","MJ",-0.354279940604044,-0.342064837461276,-0.330269976097293,-0.34221229071699,0.0126374686196103,0,0,0,0,0,-0.354279940604044,-0.342064837461276,-0.330269976097293,-0.34221229071699,0.0126374686196103,-13.9852063794061,-13.4935129958802,-13.0349005865815,-13.5051203552582,0.500261948971243,-0.234699316172675,-0.226604934830044,-0.218802443344241,-0.226707352323668,0.00836724529343063,-0.11958062443137,-0.115459902631232,-0.111467532753052,-0.115504938393323,0.00427022636837186,0.602993995846308,0.614788857210291,0.62700396035306,0.614936310466005,0.0126374686196104,0.272724019749016,0.272724019749016,0.272724019749016,0.272724019749016,0,0.399528554071299,0.407331045557102,0.415425426899733,0.407433463050726,0.00836724529343043,0.180726110727058,0.180726110727058,0.180726110727058,0.180726110727058,0,0.20346544177501,0.20745781165319,0.211578533453327,0.20750284741528,0.00427022636837198,0.0919979090219571,0.0919979090219571,0.0919979090219571,0.0919979090219571,0,0,0,0,0,0,-0.11958062443137,-0.115459902631232,-0.111467532753052,-0.115504938393323,0.00427022636837186,0,0,0,0,0,0,0,0,0,0,0.20346544177501,0.20745781165319,0.211578533453327,0.20750284741528,0.00427022636837198,0.0919979090219571,0.0919979090219571,0.0919979090219571,0.0919979090219571,0
