"","age_gp","race_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","HIS","CED","MJ",-1.06954097297301,-1.05874159395781,-1.04064058602337,-1.05617961889843,0.0153716978073388,0,0,0,0,0,-1.06954097297301,-1.05874159395781,-1.04064058602337,-1.05617961889843,0.0153716978073388,-25.2534121535259,-25.2241601058423,-24.8100924675875,-25.0891370916068,0.260987553887587,-0.785121409765097,-0.776002516865897,-0.76330395156801,-0.774746491462849,0.0115342778757553,-0.284419563207912,-0.282739077091914,-0.277336634455365,-0.28143312743558,0.00389564474341894,2.52620285833563,2.54430386627007,2.55510324528526,2.54174189121068,0.0153716978073393,1.48556227231226,1.48556227231226,1.48556227231226,1.48556227231226,0,1.89149644447041,1.9041950097683,1.9133139026675,1.90293898436525,0.0115342778757549,1.1281924929024,1.1281924929024,1.1281924929024,1.1281924929024,0,0.634706413865221,0.64010885650177,0.641789342617767,0.638802906845436,0.00389564474341897,0.357369779409856,0.357369779409856,0.357369779409856,0.357369779409856,0,0,0,0,0,0,-0.284419563207912,-0.282739077091914,-0.277336634455365,-0.28143312743558,0.00389564474341894,0,0,0,0,0,0,0,0,0,0,0.634706413865221,0.64010885650177,0.641789342617767,0.638802906845436,0.00389564474341897,0.357369779409856,0.357369779409856,0.357369779409856,0.357369779409856,0
"2","20-34","HIS","FL","mrh-eq",-0.0328358775541869,-0.0327200385471144,-0.0322471488771723,-0.0325947576127742,0.00032830316446839,0,0,0,0,0,-0.0328358775541869,-0.0327200385471144,-0.0322471488771723,-0.0325947576127742,0.00032830316446839,-25.2534121535259,-25.2241601058423,-24.8100924675875,-25.0891370916068,0.260987553887587,-0.0237718054017288,-0.0236613491054067,-0.0233518952860989,-0.023591525413131,0.000229128488507109,-0.00906407215245807,-0.00905868944170774,-0.00889525359107341,-0.00900323219964318,0.000101001410186965,0.0838983361162891,0.0843712257862312,0.0844870647933036,0.084245944851891,0.000328303164468396,0.0516511872391167,0.0516511872391167,0.0516511872391167,0.0516511872391167,0,0.0628025758389214,0.0631120296582291,0.0632224859545513,0.0630422059659535,0.000229128488507122,0.0394506805528225,0.0394506805528225,0.0394506805528225,0.0394506805528225,0,0.0210957602773677,0.021259196128002,0.0212645788387523,0.0212037388859375,0.00010100141018697,0.0122005066862943,0.0122005066862943,0.0122005066862943,0.0122005066862943,0,0,0,0,0,0,-0.00906407215245807,-0.00905868944170774,-0.00889525359107341,-0.00900323219964318,0.000101001410186965,0,0,0,0,0,0,0,0,0,0,0.0210957602773677,0.021259196128002,0.0212645788387523,0.0212037388859375,0.00010100141018697,0.0122005066862943,0.0122005066862943,0.0122005066862943,0.0122005066862943,0
"3","20-34","HIS","Food_price","USD",-0.615634453478584,-0.608703772940167,-0.603097499652445,-0.609168477238656,0.00661065823062231,0,0,0,0,0,-0.615634453478584,-0.608703772940167,-0.603097499652445,-0.609168477238656,0.00661065823062231,-25.2534121535259,-25.2241601058423,-24.8100924675875,-25.0891370916068,0.260987553887587,-0.416263117701939,-0.411700066948399,-0.40799121728632,-0.411999786629613,0.0043613626019138,-0.199371335776644,-0.197003705991769,-0.195106282366125,-0.197168690609043,0.00224930759051379,1.36276486528597,1.36837113857369,1.37530181911211,1.36883584287218,0.00661065823062239,0.759667365633522,0.759667365633522,0.759667365633522,0.759667365633522,0,0.953424429916743,0.957133279578822,0.961696330332361,0.957432999260036,0.00436136260191387,0.545433212630424,0.545433212630424,0.545433212630424,0.545433212630424,0,0.409340435369225,0.411237858994869,0.413605488779744,0.411402843612143,0.00224930759051361,0.2142341530031,0.2142341530031,0.2142341530031,0.2142341530031,0,0,0,0,0,0,-0.199371335776644,-0.197003705991769,-0.195106282366125,-0.197168690609043,0.00224930759051379,0,0,0,0,0,0,0,0,0,0,0.409340435369225,0.411237858994869,0.413605488779744,0.411402843612143,0.00224930759051361,0.2142341530031,0.2142341530031,0.2142341530031,0.2142341530031,0
"4","20-34","NHB","CED","MJ",-1.19044734821422,-1.17867401699604,-1.11155692947517,-1.15925515513545,0.044797714899513,0,0,0,0,0,-1.19044734821422,-1.17867401699604,-1.11155692947517,-1.15925515513545,0.044797714899513,-34.6045323015533,-33.8463707793384,-31.3265636800568,-33.2282495242273,1.80638628020927,-0.872323419835443,-0.864135792085331,-0.813977308218477,-0.849409175904018,0.0332515510862685,-0.318123928378774,-0.314538224910711,-0.297579621256688,-0.309845979231427,0.0115511633353985,2.52724686561792,2.5943639531388,2.60613728435697,2.5749450912782,0.0447977148995135,1.41568993614275,1.41568993614275,1.41568993614275,1.41568993614275,0,1.89228994858942,1.94244843245627,1.95063606020639,1.92772181627496,0.0332515510862689,1.07831264037094,1.07831264037094,1.07831264037094,1.07831264037094,0,0.634956917028499,0.651915520682523,0.655501224150584,0.647223275003238,0.0115511633353983,0.337377295771811,0.337377295771811,0.337377295771811,0.337377295771811,0,0,0,0,0,0,-0.318123928378774,-0.314538224910711,-0.297579621256688,-0.309845979231427,0.0115511633353985,0,0,0,0,0,0,0,0,0,0,0.634956917028499,0.651915520682523,0.655501224150584,0.647223275003238,0.0115511633353983,0.337377295771811,0.337377295771811,0.337377295771811,0.337377295771811,0
"5","20-34","NHB","FL","mrh-eq",-0.0376023283583268,-0.0370583193664509,-0.0348277162455572,-0.0364665319527604,0.00154764339617347,0,0,0,0,0,-0.0376023283583268,-0.0370583193664509,-0.0348277162455572,-0.0364665319527604,0.00154764339617347,-34.6045323015533,-33.8463707793384,-31.3265636800568,-33.2282495242273,1.80638628020927,-0.0272469146158075,-0.0268547252421257,-0.0251926646605184,-0.0264091563972395,0.00114797994009317,-0.0103554137425193,-0.0102035941243253,-0.00963505158503878,-0.0100573755555209,0.000399725541430835,0.0831606808801609,0.0853912840010547,0.0859352929929305,0.0847994965873641,0.0015476433961735,0.0483329646346037,0.0483329646346037,0.0483329646346037,0.0483329646346037,0,0.062177244918887,0.0638393055004942,0.0642314948741761,0.0633937366556081,0.00114797994009317,0.0369845802583686,0.0369845802583686,0.0369845802583686,0.0369845802583686,0,0.0209834359612739,0.0215519785005604,0.0217037981187544,0.021405759931756,0.000399725541430844,0.0113483843762351,0.0113483843762351,0.0113483843762351,0.0113483843762351,0,0,0,0,0,0,-0.0103554137425193,-0.0102035941243253,-0.00963505158503878,-0.0100573755555209,0.000399725541430835,0,0,0,0,0,0,0,0,0,0,0.0209834359612739,0.0215519785005604,0.0217037981187544,0.021405759931756,0.000399725541430844,0.0113483843762351,0.0113483843762351,0.0113483843762351,0.0113483843762351,0
"6","20-34","NHB","Food_price","USD",-0.856887846973163,-0.830293388610652,-0.808621240098092,-0.832020514873793,0.0254474730162706,0,0,0,0,0,-0.856887846973163,-0.830293388610652,-0.808621240098092,-0.832020514873793,0.0254474730162706,-34.6045323015533,-33.8463707793384,-31.3265636800568,-33.2282495242273,1.80638628020927,-0.579104510058089,-0.560254563257965,-0.545709407990052,-0.561765016427162,0.0176249784883977,-0.277783336915074,-0.270038825352689,-0.26291183210804,-0.270255498446631,0.00782935673144465,1.57137599321185,1.59304814172441,1.61964260008692,1.59477526798755,0.0254474730162705,0.762754753113758,0.762754753113758,0.762754753113758,0.762754753113759,0,1.08834078328076,1.10288593854868,1.1217358853488,1.10439639171787,0.0176249784883972,0.542631375290711,0.542631375290711,0.542631375290711,0.542631375290711,0,0.483035209931088,0.490162203175737,0.497906714738122,0.49037887626968,0.00782935673144473,0.220123377823048,0.220123377823048,0.220123377823048,0.220123377823048,0,0,0,0,0,0,-0.277783336915074,-0.270038825352689,-0.26291183210804,-0.270255498446631,0.00782935673144465,0,0,0,0,0,0,0,0,0,0,0.483035209931088,0.490162203175737,0.497906714738122,0.49037887626968,0.00782935673144473,0.220123377823048,0.220123377823048,0.220123377823048,0.220123377823048,0
"7","20-34","NHW","CED","MJ",-1.17002639020881,-1.13922314424618,-1.1208587286992,-1.14358764614641,0.0261523014901122,0,0,0,0,0,-1.17002639020881,-1.13922314424618,-1.1208587286992,-1.14358764614641,0.0261523014901122,-28.4506403058769,-27.7626988976446,-27.3406624510792,-27.8559988841944,0.589760109224417,-0.875212271043505,-0.850556846729974,-0.837491875574125,-0.854623672399336,0.0201628258993023,-0.294814119165302,-0.288666297516207,-0.283366853125079,-0.288963973747073,0.00603038966995091,2.5871931948304,2.60555761037737,2.63636085634,2.6099221122776,0.0261523014901112,1.46633446613119,1.46633446613119,1.46633446613119,1.46633446613119,0,1.9598389143034,1.97290388545925,1.99755930977278,1.97697071112861,0.0201628258993017,1.12234703872928,1.12234703872928,1.12234703872928,1.12234703872928,0,0.627354280526992,0.632653724918121,0.638801546567216,0.632951401148986,0.0060303896699508,0.343987427401913,0.343987427401913,0.343987427401913,0.343987427401913,0,0,0,0,0,0,-0.294814119165302,-0.288666297516207,-0.283366853125079,-0.288963973747073,0.00603038966995091,0,0,0,0,0,0,0,0,0,0,0.627354280526992,0.632653724918121,0.638801546567216,0.632951401148986,0.0060303896699508,0.343987427401913,0.343987427401913,0.343987427401913,0.343987427401913,0
"8","20-34","NHW","FL","mrh-eq",-0.0360093253936667,-0.0351816793162344,-0.0346223165527433,-0.0352758138123541,0.000734542559075442,0,0,0,0,0,-0.0360093253936667,-0.0351816793162344,-0.0346223165527433,-0.0352758138123541,0.000734542559075442,-28.4506403058769,-27.7626988976446,-27.3406624510792,-27.8559988841944,0.589760109224417,-0.02653089541837,-0.0258628284788563,-0.0254747875147445,-0.0259610832070675,0.000562321584237837,-0.00947842997529668,-0.00931885083737818,-0.00914752903799877,-0.00931473060528663,0.000174194937822756,0.0860793682135177,0.0866387309770089,0.0874663770544411,0.0867328654731285,0.00073454255907542,0.0514570516607744,0.0514570516607744,0.0514570516607744,0.0514570516607744,0,0.0649189483703367,0.0653069893344485,0.0659750562739622,0.0654052440626597,0.00056232158423784,0.0394441608555922,0.0394441608555922,0.0394441608555922,0.0394441608555922,0,0.021160419843181,0.0213317416425604,0.0214913207804789,0.0213276214104688,0.000174194937822763,0.0120128908051822,0.0120128908051822,0.0120128908051822,0.0120128908051822,0,0,0,0,0,0,-0.00947842997529668,-0.00931885083737818,-0.00914752903799877,-0.00931473060528663,0.000174194937822756,0,0,0,0,0,0,0,0,0,0,0.021160419843181,0.0213317416425604,0.0214913207804789,0.0213276214104688,0.000174194937822763,0.0120128908051822,0.0120128908051822,0.0120128908051822,0.0120128908051822,0
"9","20-34","NHW","Food_price","USD",-0.690803783175155,-0.676052741209752,-0.654124823467227,-0.673534539182692,0.0194275076081327,0,0,0,0,0,-0.690803783175155,-0.676052741209752,-0.654124823467227,-0.673534539182692,0.0194275076081327,-28.4506403058769,-27.7626988976446,-27.3406624510792,-27.8559988841944,0.589760109224417,-0.469965166932251,-0.458931704843505,-0.444570202518653,-0.457763971427328,0.0134039743576143,-0.220838616242903,-0.217121036366247,-0.209554620948573,-0.215770567755364,0.0060530067345916,1.53663964406356,1.55856756180609,1.57331860377149,1.55604935977903,0.0194275076081335,0.882514820596337,0.882514820596337,0.882514820596337,0.882514820596337,0,1.07744143458236,1.09180293690721,1.10283639899596,1.09063520349104,0.0134039743576139,0.63287123206371,0.63287123206371,0.63287123206371,0.63287123206371,0,0.4591982094812,0.466764624898874,0.470482204775531,0.465414156287991,0.00605300673459169,0.249643588532627,0.249643588532627,0.249643588532627,0.249643588532627,0,0,0,0,0,0,-0.220838616242903,-0.217121036366247,-0.209554620948573,-0.215770567755364,0.0060530067345916,0,0,0,0,0,0,0,0,0,0,0.4591982094812,0.466764624898874,0.470482204775531,0.465414156287991,0.00605300673459169,0.249643588532627,0.249643588532627,0.249643588532627,0.249643588532627,0
"10","20-34","OTH","CED","MJ",-0.936059832522841,-0.865061930144181,-0.857909295864855,-0.887463778600087,0.0454776003415161,0,0,0,0,0,-0.936059832522841,-0.865061930144181,-0.857909295864855,-0.887463778600087,0.0454776003415161,-24.1718176149877,-22.5572886080941,-22.045068740902,-22.9440637448315,1.16838421625762,-0.691973113149033,-0.639398590010858,-0.637571275180536,-0.657204628013613,0.0325209770700851,-0.244086719373809,-0.225663340133323,-0.220338020684319,-0.230259150586475,0.0131176973304518,2.29605829930961,2.30321093358894,2.3742088359676,2.32561278204484,0.0454776003415168,1.43814900344475,1.43814900344475,1.43814900344475,1.43814900344475,0,1.73443947720235,1.73626679203267,1.78884131517084,1.75407283003542,0.0325209770700847,1.09686820202181,1.09686820202181,1.09686820202181,1.09686820202181,0,0.561618822107263,0.566944141556267,0.585367520796752,0.571539952009418,0.0131176973304517,0.341280801422944,0.341280801422944,0.341280801422944,0.341280801422944,0,0,0,0,0,0,-0.244086719373809,-0.225663340133323,-0.220338020684319,-0.230259150586475,0.0131176973304518,0,0,0,0,0,0,0,0,0,0,0.561618822107263,0.566944141556267,0.585367520796752,0.571539952009418,0.0131176973304517,0.341280801422944,0.341280801422944,0.341280801422944,0.341280801422944,0
