"","age_gp","sex_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","Female","added_sugar","CED","MJ",-0.333833588183806,-0.332162034334164,-0.330125762717497,-0.33203406318784,0.00195463150325579,0,0,0,0,0,-0.333833588183806,-0.332162034334164,-0.330125762717497,-0.33203406318784,0.00195463150325579,-13.2166339032355,-13.1501837402571,-13.0585927735889,-13.1413624056291,0.0835296243997321,-0.221120695680918,-0.220010609251769,-0.218658116749116,-0.219925554489136,0.00129818559690096,-0.112712892502889,-0.112151425082395,-0.111467645968381,-0.112108508698704,0.000656445909630136,0.602263708578546,0.604299980195213,0.605971534044856,0.604172009048889,0.00195463150325603,0.272137945861049,0.272137945861049,0.272137945861049,0.272137945861049,0,0.398926262568579,0.400278755071231,0.40138884150038,0.400193700308599,0.00129818559690091,0.180268145819463,0.180268145819463,0.180268145819463,0.180268145819463,0,0.203337446009967,0.204021225123982,0.204582692544475,0.20397830874029,0.000656445909630099,0.0918698000415862,0.0918698000415862,0.0918698000415862,0.0918698000415862,0,0,0,0,0,0,-0.112712892502889,-0.112151425082395,-0.111467645968381,-0.112108508698704,0.000656445909630136,0,0,0,0,0,0,0,0,0,0,0.203337446009967,0.204021225123982,0.204582692544475,0.20397830874029,0.000656445909630099,0.0918698000415862,0.0918698000415862,0.0918698000415862,0.0918698000415862,0
"2","20-34","Female","added_sugar","FL","mrh-eq",-0.0147655229112824,-0.0146828417791658,-0.0145782505759809,-0.0146751540349313,9.87889894847177e-05,0,0,0,0,0,-0.0147655229112824,-0.0146828417791658,-0.0145782505759809,-0.0146751540349313,9.87889894847177e-05,-13.2166339032355,-13.1501837402571,-13.0585927735889,-13.1413624056291,0.0835296243997321,-0.0097806324522713,-0.00972575009124757,-0.0096563150069494,-0.00972064387255478,6.55794988774628e-05,-0.00498489045901114,-0.00495709168791823,-0.00492193556903147,-0.00495451016237653,3.3209490744296e-05,0.0266788348985152,0.0267834261017002,0.0268661072338168,0.0267757383574657,9.87889894847085e-05,0.0121005843225344,0.0121005843225344,0.0121005843225344,0.0121005843225344,0,0.0176722123492131,0.0177416474335113,0.0177965297945351,0.0177365412148185,6.55794988774719e-05,0.00801589734226375,0.00801589734226375,0.00801589734226375,0.00801589734226375,0,0.00900662254930208,0.00904177866818884,0.00906957743928176,0.00903919714264714,3.32094907442989e-05,0.00408468698027062,0.00408468698027062,0.00408468698027062,0.00408468698027062,0,0,0,0,0,0,-0.00498489045901114,-0.00495709168791823,-0.00492193556903147,-0.00495451016237653,3.3209490744296e-05,0,0,0,0,0,0,0,0,0,0,0.00900662254930208,0.00904177866818884,0.00906957743928176,0.00903919714264714,3.32094907442989e-05,0.00408468698027062,0.00408468698027062,0.00408468698027062,0.00408468698027062,0
"3","20-34","Female","added_sugar","Food_price","USD",-0.651855155838468,-0.645524285780675,-0.637948827995919,-0.645087588332618,0.00732888428460962,0,0,0,0,0,-0.651855155838468,-0.645524285780675,-0.637948827995919,-0.645087588332618,0.00732888428460962,-13.2166339032355,-13.1501837402571,-13.0585927735889,-13.1413624056291,0.0835296243997321,-0.431778346235846,-0.427575674778819,-0.422563936989919,-0.427291791855355,0.00485591662586457,-0.220076809602622,-0.217948611001856,-0.215384891006,-0.217795796477263,0.00247297450135523,1.16973367585892,1.17730913364368,1.18364000370148,1.17687243619563,0.00732888428461067,0.531784847863007,0.531784847863007,0.531784847863007,0.531784847863007,0,0.774836118586819,0.779847856375719,0.784050527832746,0.779563973452255,0.00485591662586396,0.352272181596901,0.352272181596901,0.352272181596901,0.352272181596901,0,0.394897557272107,0.397461277267962,0.399589475868728,0.397308462743369,0.00247297450135534,0.179512666266106,0.179512666266106,0.179512666266106,0.179512666266106,0,0,0,0,0,0,-0.220076809602622,-0.217948611001856,-0.215384891006,-0.217795796477263,0.00247297450135523,0,0,0,0,0,0,0,0,0,0,0.394897557272107,0.397461277267962,0.399589475868728,0.397308462743369,0.00247297450135534,0.179512666266106,0.179512666266106,0.179512666266106,0.179512666266106,0
"4","20-34","Female","oil","CED","MJ",-0.0250537484846329,-0.0247469233032458,-0.024119953877027,-0.0246345919892698,0.000501006322963265,0,0,0,0,0,-0.0250537484846329,-0.0247469233032458,-0.024119953877027,-0.0246345919892698,0.000501006322963265,-2.68568614622704,-2.6498101682574,-2.58334185188447,-2.63907601443168,0.05466168501029,-0.0209074070245866,-0.0206503324501241,-0.0201270361696689,-0.0205569213252144,0.000418612447713876,-0.00414634146004634,-0.00409659085312183,-0.00399291770735807,-0.00407767066405543,8.2395003760331e-05,0.326887175485656,0.327514144911875,0.327820970093262,0.327401813597899,0.000501006322963377,0.302767221608629,0.302767221608629,0.302767221608629,0.302767221608629,0,0.272713487966222,0.273236784246677,0.27349385882114,0.273143373121768,0.000418612447713939,0.252586451796553,0.252586451796553,0.252586451796553,0.252586451796553,0,0.0541736875194338,0.0542773606651975,0.054327111272122,0.0542584404761311,8.23950037603155e-05,0.0501807698120757,0.0501807698120757,0.0501807698120757,0.0501807698120757,0,0,0,0,0,0,-0.00414634146004634,-0.00409659085312183,-0.00399291770735807,-0.00407767066405543,8.2395003760331e-05,0,0,0,0,0,0,0,0,0,0,0.0541736875194338,0.0542773606651975,0.054327111272122,0.0542584404761311,8.23950037603155e-05,0.0501807698120757,0.0501807698120757,0.0501807698120757,0.0501807698120757,0
"5","20-34","Female","oil","FL","mrh-eq",-0.00131197063581125,-0.00129423071379625,-0.00126261692207524,-0.001289362689338,2.63155288394555e-05,0,0,0,0,0,-0.00131197063581125,-0.00129423071379625,-0.00126261692207524,-0.001289362689338,2.63155288394555e-05,-2.68568614622704,-2.6498101682574,-2.58334185188447,-2.63907601443168,0.05466168501029,-0.00109483093829746,-0.00107997462352343,-0.00105358801814938,-0.00107592890752342,2.19877473400113e-05,-0.000217139697513784,-0.000214256090272823,-0.000209028903925866,-0.000213433781814579,4.32783173277883e-06,0.0171515204631958,0.0171831342549168,0.0172008741769318,0.0171782662304586,2.63155288394488e-05,0.0158889035411205,0.0158889035411205,0.0158889035411205,0.0158889035411205,0,0.0143089735871289,0.0143353601925029,0.014350216507277,0.0143313144765029,2.19877473400139e-05,0.0132553855689795,0.0132553855689795,0.0132553855689795,0.0132553855689795,0,0.0028425468760669,0.00284777406241385,0.00285065766965482,0.00284695175395561,4.32783173277803e-06,0.00263351797214103,0.00263351797214103,0.00263351797214103,0.00263351797214103,0,0,0,0,0,0,-0.000217139697513784,-0.000214256090272823,-0.000209028903925866,-0.000213433781814579,4.32783173277883e-06,0,0,0,0,0,0,0,0,0,0,0.0028425468760669,0.00284777406241385,0.00285065766965482,0.00284695175395561,4.32783173277803e-06,0.00263351797214103,0.00263351797214103,0.00263351797214103,0.00263351797214103,0
"6","20-34","Female","oil","Food_price","USD",-0.0178125695060023,-0.0171216977324084,-0.015705922474168,-0.0168673456325324,0.00113043067860785,0,0,0,0,0,-0.0178125695060023,-0.0171216977324084,-0.015705922474168,-0.0168673456325324,0.00113043067860785,-2.68568614622704,-2.6498101682574,-2.58334185188447,-2.63907601443168,0.05466168501029,-0.0148632844782056,-0.0142885313391051,-0.0131081140816115,-0.0140760176133531,0.000941928748903044,-0.00294928502779676,-0.00283316639330334,-0.00259780839255644,-0.00279132801917931,0.000188502751528224,0.231197620676676,0.232613395934916,0.233304267708511,0.232359043835041,0.00113043067860805,0.215491698202508,0.215491698202508,0.215491698202508,0.215491698202508,0,0.192887854067801,0.194068271325295,0.194643024464395,0.193855757599543,0.000941928748903102,0.17977973998619,0.17977973998619,0.17977973998619,0.17977973998619,0,0.0383097666088751,0.038545124609622,0.0386612432441154,0.038503286235498,0.000188502751528223,0.0357119582163186,0.0357119582163186,0.0357119582163186,0.0357119582163186,0,0,0,0,0,0,-0.00294928502779676,-0.00283316639330334,-0.00259780839255644,-0.00279132801917931,0.000188502751528224,0,0,0,0,0,0,0,0,0,0,0.0383097666088751,0.038545124609622,0.0386612432441154,0.038503286235498,0.000188502751528223,0.0357119582163186,0.0357119582163186,0.0357119582163186,0.0357119582163186,0
"7","20-34","Female","sat_fat","CED","MJ",-0.861875853445324,-0.825116639762414,-0.813435031494855,-0.833915799557274,0.0266096331238184,0,0,0,0,0,-0.861875853445324,-0.825116639762414,-0.813435031494855,-0.833915799557274,0.0266096331238184,-16.8719954728602,-16.1553320460761,-15.9207233320839,-16.3244740505645,0.521657703224054,-0.670569912096599,-0.64200285973974,-0.632746795292637,-0.648778644971233,0.0207537528970553,-0.191305941348726,-0.183113780022674,-0.180688236202219,-0.185137154586041,0.0058565560582454,1.68864560465122,1.70032721291878,1.73708642660169,1.70912637271364,0.0266096331238168,0.875210573156367,0.875210573156367,0.875210573156367,0.875210573156367,0,1.3132775443819,1.322533608829,1.35110066118586,1.3293093940605,0.0207537528970544,0.680530749089265,0.680530749089265,0.680530749089265,0.680530749089265,0,0.37536806026932,0.377793604089775,0.385985765415826,0.379816978653142,0.00585655605824538,0.1946798240671,0.1946798240671,0.1946798240671,0.1946798240671,0,0,0,0,0,0,-0.191305941348726,-0.183113780022674,-0.180688236202219,-0.185137154586041,0.0058565560582454,0,0,0,0,0,0,0,0,0,0,0.37536806026932,0.377793604089775,0.385985765415826,0.379816978653142,0.00585655605824538,0.1946798240671,0.1946798240671,0.1946798240671,0.1946798240671,0
"8","20-34","Female","sat_fat","FL","mrh-eq",-0.0227191134839766,-0.0217507127352675,-0.0214554872437052,-0.0219869145798804,0.000695813808538938,0,0,0,0,0,-0.0227191134839766,-0.0217507127352675,-0.0214554872437052,-0.0219869145798804,0.000695813808538938,-16.8719954728602,-16.1553320460761,-15.9207233320839,-16.3244740505645,0.521657703224054,-0.0176736879311919,-0.0169212680553497,-0.0166870667847536,-0.0171030991449097,0.000542625740828362,-0.00504542555278464,-0.00482944467991783,-0.0047684204589516,-0.00488381543497067,0.000153207332105715,0.0445610529582716,0.0448562784498339,0.045824679198543,0.0450924802944468,0.000695813808538963,0.0231055657145664,0.0231055657145664,0.0231055657145664,0.0231055657145664,0,0.034650331176238,0.0348845324468341,0.0356369523226764,0.0350663635363942,0.000542625740828358,0.0179632643914845,0.0179632643914845,0.0179632643914845,0.0179632643914845,0,0.00991072178203353,0.00997174600299977,0.0101877268758666,0.0100261167580526,0.000153207332105714,0.00514230132308193,0.00514230132308193,0.00514230132308193,0.00514230132308193,0,0,0,0,0,0,-0.00504542555278464,-0.00482944467991783,-0.0047684204589516,-0.00488381543497067,0.000153207332105715,0,0,0,0,0,0,0,0,0,0,0.00991072178203353,0.00997174600299977,0.0101877268758666,0.0100261167580526,0.000153207332105714,0.00514230132308193,0.00514230132308193,0.00514230132308193,0.00514230132308193,0
"9","20-34","Female","sat_fat","Food_price","USD",-0.107345683933844,-0.104334785136208,-0.101380810185126,-0.104354758415701,0.00313945488794163,0,0,0,0,0,-0.107345683933844,-0.104334785136208,-0.101380810185126,-0.104354758415701,0.00313945488794163,-16.8719954728602,-16.1553320460761,-15.9207233320839,-16.3244740505645,0.521657703224054,-0.0834605463118882,-0.0811221413841099,-0.0787960935343692,-0.0811264772009652,0.00245497801767473,-0.0238851376219559,-0.0232126437520986,-0.0225847166507568,-0.0232282812147356,0.000684566054989262,0.210429458197304,0.213383433148386,0.216394331946022,0.213403406427879,0.00313945488794174,0.109048648012178,0.109048648012178,0.109048648012178,0.109048648012178,0,0.163531133554723,0.165857181404463,0.168195586332241,0.165861517221319,0.00245497801767455,0.0847350400203533,0.0847350400203533,0.0847350400203533,0.0847350400203533,0,0.0468983246425813,0.0475262517439232,0.0481987456137805,0.0475418892065602,0.000684566054989258,0.0243136079918245,0.0243136079918245,0.0243136079918245,0.0243136079918245,0,0,0,0,0,0,-0.0238851376219559,-0.0232126437520986,-0.0225847166507568,-0.0232282812147356,0.000684566054989262,0,0,0,0,0,0,0,0,0,0,0.0468983246425813,0.0475262517439232,0.0481987456137805,0.0475418892065602,0.000684566054989258,0.0243136079918245,0.0243136079918245,0.0243136079918245,0.0243136079918245,0
"10","20-34","Male","added_sugar","CED","MJ",-0.277424410597167,-0.266539568390613,-0.241449106631691,-0.261555140477501,0.0194201899515805,0,0,0,0,0,-0.277424410597167,-0.266539568390613,-0.241449106631691,-0.261555140477501,0.0194201899515805,-10.5637611675933,-10.1509601601242,-9.19421566460668,-9.96010279589668,0.739521392757229,-0.183622116489365,-0.17641758199769,-0.159807109966783,-0.173117253036556,0.0128559576856462,-0.093802294107802,-0.0901219863929223,-0.0816419966649083,-0.0884378874409454,0.0065642323092922,0.524737826107665,0.549828287866587,0.560713130073141,0.544843859953476,0.0194201899515807,0.283288719475975,0.283288719475975,0.283288719475975,0.283288719475975,0,0.347322184745933,0.363932656776841,0.371137191268516,0.360632327815707,0.0128559576856464,0.187515074779151,0.187515074779151,0.187515074779151,0.187515074779151,0,0.177415641361732,0.185895631089746,0.189575938804626,0.184211532137769,0.00656423230929227,0.0957736446968237,0.0957736446968237,0.0957736446968237,0.0957736446968237,0,0,0,0,0,0,-0.093802294107802,-0.0901219863929223,-0.0816419966649083,-0.0884378874409454,0.0065642323092922,0,0,0,0,0,0,0,0,0,0,0.177415641361732,0.185895631089746,0.189575938804626,0.184211532137769,0.00656423230929227,0.0957736446968237,0.0957736446968237,0.0957736446968237,0.0957736446968237,0
