"","age_gp","sex_gp","race_gp","Foodgroup","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","20-34","Female","HIS","added_sugar","CED","MJ",-0.357079046027174,-0.343133373119628,-0.331681535063537,-0.344008402892068,0.0133885740543466,0,0,0,0,0,-0.357079046027174,-0.343133373119628,-0.331681535063537,-0.344008402892068,0.0133885740543466,-13.9722939496759,-13.4266079360098,-12.9785042195806,-13.460847338549,0.523887061802285,-0.236567529660212,-0.227328417407916,-0.219741489333756,-0.227908131154631,0.00887003010943592,-0.120511516366962,-0.115804955711711,-0.111940045729782,-0.116100271737438,0.00451854394491111,0.607107002321751,0.618558840377842,0.632504513285389,0.619433870150283,0.0133885740543477,0.275425467258214,0.275425467258214,0.275425467258214,0.275425467258214,0,0.402212914413756,0.409799842487916,0.419038954740212,0.41037955623463,0.00887003010943593,0.18247142508,0.18247142508,0.18247142508,0.18247142508,0,0.204894087907996,0.208758997889925,0.213465558545177,0.209054313915652,0.00451854394491112,0.0929540421782146,0.0929540421782146,0.0929540421782146,0.0929540421782146,0,0,0,0,0,0,-0.120511516366962,-0.115804955711711,-0.111940045729782,-0.116100271737438,0.00451854394491111,0,0,0,0,0,0,0,0,0,0,0.204894087907996,0.208758997889925,0.213465558545177,0.209054313915652,0.00451854394491112,0.0929540421782146,0.0929540421782146,0.0929540421782146,0.0929540421782146,0
"2","20-34","Female","HIS","added_sugar","FL","mrh-eq",-0.0154781439578083,-0.0148736471797053,-0.0143772495333416,-0.0149115766996138,0.000580348466000965,0,0,0,0,0,-0.0154781439578083,-0.0148736471797053,-0.0143772495333416,-0.0149115766996138,0.000580348466000965,-13.9722939496759,-13.4266079360098,-12.9785042195806,-13.460847338549,0.523887061802285,-0.0102543857461331,-0.00985390212472083,-0.00952503498385685,-0.00987903071438688,0.000384485184643101,-0.00522375821167524,-0.00501974505498445,-0.00485221454948479,-0.00503254598522695,0.000195863281357856,0.0263159927312408,0.0268123903776045,0.0274168871557075,0.026850319897513,0.000580348466000987,0.0119387431978992,0.0119387431978992,0.0119387431978992,0.0119387431978992,0,0.0174345413438568,0.0177634084847208,0.0181638921061331,0.0177885370743869,0.000384485184643116,0.00790950636,0.00790950636,0.00790950636,0.00790950636,0,0.00888145138738395,0.00904898189288363,0.00925299504957442,0.00906178282312612,0.000195863281357864,0.00402923683789918,0.00402923683789918,0.00402923683789918,0.00402923683789918,0,0,0,0,0,0,-0.00522375821167524,-0.00501974505498445,-0.00485221454948479,-0.00503254598522695,0.000195863281357856,0,0,0,0,0,0,0,0,0,0,0.00888145138738395,0.00904898189288363,0.00925299504957442,0.00906178282312612,0.000195863281357864,0.00402923683789918,0.00402923683789918,0.00402923683789918,0.00402923683789918,0
"3","20-34","Female","HIS","added_sugar","Food_price","USD",-0.550241525635581,-0.523584899820625,-0.516238760636888,-0.530360509164913,0.0188336229476344,0,0,0,0,0,-0.550241525635581,-0.523584899820625,-0.516238760636888,-0.530360509164913,0.0188336229476344,-13.9722939496759,-13.4266079360098,-12.9785042195806,-13.460847338549,0.523887061802285,-0.364539112233905,-0.346878898933008,-0.34201202696566,-0.35136779062899,0.0124774155886332,-0.185702413401676,-0.176706000887618,-0.174226733671228,-0.178992718535923,0.00635620735900092,0.934182881854992,0.941529021038728,0.968185646853683,0.948304630383015,0.018833622947633,0.417944121218103,0.417944121218103,0.417944121218103,0.417944121218103,0,0.618903122628134,0.62376999459548,0.641430207896377,0.628258886291463,0.0124774155886331,0.276891095662473,0.276891095662473,0.276891095662473,0.276891095662473,0,0.315279759226858,0.317759026443248,0.326755438957307,0.320045744091553,0.00635620735900102,0.14105302555563,0.14105302555563,0.14105302555563,0.14105302555563,0,0,0,0,0,0,-0.185702413401676,-0.176706000887618,-0.174226733671228,-0.178992718535923,0.00635620735900092,0,0,0,0,0,0,0,0,0,0,0.315279759226858,0.317759026443248,0.326755438957307,0.320045744091553,0.00635620735900102,0.14105302555563,0.14105302555563,0.14105302555563,0.14105302555563,0
"4","20-34","Female","HIS","oil","CED","MJ",-0.0123069950763509,-0.0104900419906965,-0.00990250450788114,-0.0109214158864295,0.00131951008725506,0,0,0,0,0,-0.0123069950763509,-0.0104900419906965,-0.00990250450788114,-0.0109214158864295,0.00131951008725506,-1.30442578335276,-1.11184583695916,-1.0495723870621,-1.15756741467725,0.139855664890694,-0.0102643857137449,-0.00874899489907126,-0.00825897184246924,-0.00910877305979813,0.00110050913360556,-0.00204260936260601,-0.00174104709162521,-0.0016435326654119,-0.00181264282663135,0.000219000953649487,0.315335168292581,0.315922705775397,0.317739658861051,0.31635407967113,0.00131951008725513,0.3054326637847,0.3054326637847,0.3054326637847,0.3054326637847,0,0.262998544842469,0.263488567899071,0.265003958713745,0.263848346059798,0.00110050913360556,0.254739573,0.254739573,0.254739573,0.254739573,0,0.0523366234501126,0.0524341378763259,0.0527357001473067,0.052505733611332,0.000219000953649468,0.0506930907847007,0.0506930907847007,0.0506930907847007,0.0506930907847007,0,0,0,0,0,0,-0.00204260936260601,-0.00174104709162521,-0.0016435326654119,-0.00181264282663135,0.000219000953649487,0,0,0,0,0,0,0,0,0,0,0.0523366234501126,0.0524341378763259,0.0527357001473067,0.052505733611332,0.000219000953649468,0.0506930907847007,0.0506930907847007,0.0506930907847007,0.0506930907847007,0
"5","20-34","Female","HIS","oil","FL","mrh-eq",-0.000635255356492796,-0.000541468922599112,-0.000511141752499244,-0.000563735330947819,6.81097088017681e-05,0,0,0,0,0,-0.000635255356492796,-0.000541468922599112,-0.000511141752499244,-0.000563735330947819,6.81097088017681e-05,-1.30442578335276,-1.11184583695916,-1.0495723870621,-1.15756741467725,0.139855664890694,-0.000529821127359867,-0.00045160056041975,-0.000426306833593649,-0.000470171381512387,5.68054441929192e-05,-0.000105434229132929,-8.98683621793615e-05,-8.48349189055958e-05,-9.35639494354323e-05,1.13042646088486e-05,0.0162767884041289,0.0163071155742288,0.0164009020081225,0.0163293819825775,6.81097088017647e-05,0.0157656466516297,0.0157656466516297,0.0157656466516297,0.0157656466516297,0,0.0135753068335936,0.0136006005604198,0.0136788211273599,0.0136191713815124,5.68054441929133e-05,0.013149,0.013149,0.013149,0.013149,0,0.00270148157053529,0.00270651501380906,0.00272208088076263,0.00271021060106513,1.13042646088491e-05,0.0026166466516297,0.0026166466516297,0.0026166466516297,0.0026166466516297,0,0,0,0,0,0,-0.000105434229132929,-8.98683621793615e-05,-8.48349189055958e-05,-9.35639494354323e-05,1.13042646088486e-05,0,0,0,0,0,0,0,0,0,0,0.00270148157053529,0.00270651501380906,0.00272208088076263,0.00271021060106513,1.13042646088491e-05,0.0026166466516297,0.0026166466516297,0.0026166466516297,0.0026166466516297,0
"6","20-34","Female","HIS","oil","Food_price","USD",-0.00662232710503646,-0.00535456605432762,-0.00252645335836855,-0.00480707424897666,0.00220724992158157,0,0,0,0,0,-0.00662232710503646,-0.00535456605432762,-0.00252645335836855,-0.00480707424897666,0.00220724992158157,-1.30442578335276,-1.11184583695916,-1.0495723870621,-1.15756741467725,0.139855664890694,-0.00552321011806537,-0.00446586116028902,-0.00210713432460151,-0.00400923734347809,0.00184090953325255,-0.0010991169869711,-0.000888704894038605,-0.000419319033767036,-0.000797836905498578,0.000366340388329024,0.209606526536404,0.212434639232364,0.213702400283074,0.211887147427013,0.00220724992158232,0.207080073178037,0.207080073178037,0.207080073178037,0.207080073178037,0,0.174817835153136,0.177176561988823,0.1782339109466,0.176719938172013,0.00184090953325246,0.172710700828535,0.172710700828535,0.172710700828535,0.172710700828535,0,0.0347886913832692,0.0352580772435408,0.0354684893364733,0.0351672092550007,0.000366340388329033,0.0343693723495022,0.0343693723495022,0.0343693723495022,0.0343693723495022,0,0,0,0,0,0,-0.0010991169869711,-0.000888704894038605,-0.000419319033767036,-0.000797836905498578,0.000366340388329024,0,0,0,0,0,0,0,0,0,0,0.0347886913832692,0.0352580772435408,0.0354684893364733,0.0351672092550007,0.000366340388329033,0.0343693723495022,0.0343693723495022,0.0343693723495022,0.0343693723495022,0
"7","20-34","Female","HIS","sat_fat","CED","MJ",-0.815694499400489,-0.808359241162724,-0.762618659375374,-0.794883689040062,0.0302743736044761,0,0,0,0,0,-0.815694499400489,-0.808359241162724,-0.762618659375374,-0.794883689040062,0.0302743736044761,-15.5601183332467,-15.4201915760252,-14.5476481596287,-15.1631330991217,0.577511355166429,-0.62477953127347,-0.619161105248862,-0.584126200305553,-0.608839533698441,0.0231885944604316,-0.190914968127019,-0.189198135913861,-0.178492459069821,-0.186044155341622,0.00708577914404472,1.67493515697207,1.72067573875942,1.72801099699718,1.70720018663675,0.0302743736044761,0.912316497596694,0.912316497596694,0.912316497596694,0.912316497596694,0,1.28291315321555,1.31794805815886,1.32356648418347,1.30762648660844,0.0231885944604314,0.698786952909999,0.698786952909999,0.698786952909999,0.698786952909999,0,0.392022003756513,0.402727680600554,0.404444512813712,0.399573700028315,0.00708577914404504,0.213529544686693,0.213529544686693,0.213529544686693,0.213529544686693,0,0,0,0,0,0,-0.190914968127019,-0.189198135913861,-0.178492459069821,-0.186044155341622,0.00708577914404472,0,0,0,0,0,0,0,0,0,0,0.392022003756513,0.402727680600554,0.404444512813712,0.399573700028315,0.00708577914404504,0.213529544686693,0.213529544686693,0.213529544686693,0.213529544686693,0
"8","20-34","Female","HIS","sat_fat","FL","mrh-eq",-0.0223298278962557,-0.0221290234846233,-0.0208768643491421,-0.0217601270902904,0.000828768065435965,0,0,0,0,0,-0.0223298278962557,-0.0221290234846233,-0.0208768643491421,-0.0217601270902904,0.000828768065435965,-15.5601183332467,-15.4201915760252,-14.5476481596287,-15.1631330991217,0.577511355166429,-0.0171034859456495,-0.0169496802178072,-0.0159905914924072,-0.0166671247800677,0.000634793202403687,-0.00522634195060617,-0.00517934326681619,-0.0048862728567349,-0.00509300231022275,0.00019397486303228,0.0458517420677263,0.0471039012032075,0.0473047056148401,0.0467350048088747,0.000828768065435973,0.0249748777185842,0.0249748777185842,0.0249748777185842,0.0249748777185842,0,0.0351200479324072,0.0360791366578071,0.0362329423856495,0.0357965812200676,0.000634793202403634,0.01912945644,0.01912945644,0.01912945644,0.01912945644,0,0.0107316941353191,0.0110247645454004,0.0110717632291904,0.010938423588807,0.000193974863032293,0.00584542127858419,0.00584542127858419,0.00584542127858419,0.00584542127858419,0,0,0,0,0,0,-0.00522634195060617,-0.00517934326681619,-0.0048862728567349,-0.00509300231022275,0.00019397486303228,0,0,0,0,0,0,0,0,0,0,0.0107316941353191,0.0110247645454004,0.0110717632291904,0.010938423588807,0.000193974863032293,0.00584542127858419,0.00584542127858419,0.00584542127858419,0.00584542127858419,0
"9","20-34","Female","HIS","sat_fat","Food_price","USD",-0.123566900743016,-0.123398726324894,-0.11787227253621,-0.121518628300135,0.00341088271169926,0,0,0,0,0,-0.123566900743016,-0.123398726324894,-0.11787227253621,-0.121518628300135,0.00341088271169926,-15.5601183332467,-15.4201915760252,-14.5476481596287,-15.1631330991217,0.577511355166429,-0.0946458145591007,-0.0945170017079609,-0.0902840257466958,-0.093076944476338,0.00261255862753827,-0.0289210861839157,-0.0288817246169329,-0.0275882467895141,-0.0284416838237974,0.000798324084160976,0.252328249897494,0.257854703686178,0.2580228781043,0.255974605661419,0.00341088271169903,0.134455977361284,0.134455977361284,0.134455977361284,0.134455977361284,0,0.193270306240729,0.197503282201994,0.197632095053134,0.196063224970371,0.00261255862753787,0.102986280494034,0.102986280494034,0.102986280494034,0.102986280494034,0,0.0590579436567641,0.0603514214841829,0.0603907830511657,0.0599113806910475,0.000798324084160973,0.0314696968672501,0.0314696968672501,0.0314696968672501,0.0314696968672501,0,0,0,0,0,0,-0.0289210861839157,-0.0288817246169329,-0.0275882467895141,-0.0284416838237974,0.000798324084160976,0,0,0,0,0,0,0,0,0,0,0.0590579436567641,0.0603514214841829,0.0603907830511657,0.0599113806910475,0.000798324084160973,0.0314696968672501,0.0314696968672501,0.0314696968672501,0.0314696968672501,0
"10","20-34","Female","NHB","added_sugar","CED","MJ",-0.450500392664902,-0.436943285584146,-0.422481702878715,-0.436625925715839,0.0147492397981147,0,0,0,0,0,-0.450500392664902,-0.436943285584146,-0.422481702878715,-0.436625925715839,0.0147492397981147,-17.450601869568,-16.9254532081653,-16.3652687415027,-16.9131599431618,0.571327163719314,-0.297878296941016,-0.288914113924939,-0.279351876693839,-0.28870427034072,0.00975244084971305,-0.152622095723886,-0.148029171659207,-0.143129826184876,-0.147921655375119,0.00499679894840129,0.701247371356603,0.715708954062034,0.729266061142788,0.715391594193726,0.0147492397981137,0.278765668477888,0.278765668477888,0.278765668477888,0.278765668477888,0,0.46367633883384,0.473238576064939,0.482202759081017,0.473028732480721,0.00975244084971323,0.18432446214,0.18432446214,0.18432446214,0.18432446214,0,0.237571032522764,0.242470377997094,0.247063302061773,0.242362861713006,0.00499679894840108,0.0944412063378875,0.0944412063378875,0.0944412063378875,0.0944412063378875,0,0,0,0,0,0,-0.152622095723886,-0.148029171659207,-0.143129826184876,-0.147921655375119,0.00499679894840129,0,0,0,0,0,0,0,0,0,0,0.237571032522764,0.242470377997094,0.247063302061773,0.242362861713006,0.00499679894840108,0.0944412063378875,0.0944412063378875,0.0944412063378875,0.0944412063378875,0
