"","race_gp","outcome","outcome_unit","impact_lower_bound (2.5th percentile)","impact_median","impact_upper_bound (97.5th percentile)","impact_mean","impact_SD","substitution_impact_lower_bound (2.5th percentile)","substitution_impact_median","substitution_impact_upper_bound  (97.5th percentile)","substitution_impact_mean","substitution_impact_SD","combined_impact_lower_bound (2.5th percentile)","combined_impact_median","combined_impact_upper_bound  (97.5th percentile)","combined_impact_mean","combined_impact_SD","delta_lower_bound (2.5th percentile)","delta_median","delta_upper_bound (97.5th percentile)","delta_mean","delta_SD","combined_consumed_impact_lower_bound (2.5th percentile)","combined_consumed_impact_median","combined_consumed_upper_bound (97.5th percentile)","combined_consumed_impact_mean","combined_consumed_impact_SD","combined_unconsumed_impact_lower_bound (2.5th percentile)","combined_unconsumed_impact_median","combined_unconsumed_upper_bound (97.5th percentile)","combined_unconsumed_impact_mean","combined_unconsumed_impact_SD","current_intake_impact_lower_bound (2.5th percentile)","current_intake_impact_median","current_intake_impact_upper_bound (97.5th percentile)","current_intake_impact_mean","current_intake_impact_SD","CF_intake_impact_lower_bound (2.5th percentile)","CF_intake_impact_median","CF_intake_impact_upper_bound  (97.5th percentile)","CF_intake_impact_mean","CF_intake_impact_SD","current_intake_consumed_impact_lower_bound (2.5th percentile)","current_intake_consumed_impact_median","current_intake_consumed_upper_bound (97.5th percentile)","current_intake_consumed_impact_mean","current_intake_consumed_impact_SD","CF_intake_consumed_impact_lower_bound (2.5th percentile)","CF_intake_consumed_impact_median","CF_intake_consumed_impact_upper_bound (97.5th percentile)","CF_intake_consumed_impact_mean","CF_intake_consumed_impact_SD","current_intake_unconsumed_impact_lower_bound (2.5th percentile)","current_intake_unconsumed_impact_median","current_intake_unconsumed_upper_bound (97.5th percentile)","current_intake_unconsumed_impact_mean","current_intake_unconsumed_impact_SD","CF_intake_unconsumed_impact_lower_bound (2.5th percentile)","CF_intake_unconsumed_impact_median","CF_intake_unconsumed_impact_upper_bound (97.5th percentile)","CF_intake_unconsumed_impact_mean","CF_intake_unconsumed_impact_SD","inedible_impact_lower_bound (2.5th percentile)","inedible_impact_median","inedible_upper_bound (97.5th percentile)","inedible_consumed_impact_mean","inedible_impact_SD","wasted_impact_lower_bound (2.5th percentile)","wasted_impact_median","wasted_unconsumed_upper_bound (97.5th percentile)","wasted_unconsumed_impact_mean","wasted_impact_SD","current_intake_inedible_impact_lower_bound (2.5th percentile)","current_intake_inedible_impact_median","current_intake_inedible_upper_bound (97.5th percentile)","current_intake_inedible_impact_mean","current_intake_inedible_impact_SD","CF_intake_inedible_impact_lower_bound (2.5th percentile)","CF_intake_inedible_impact_median","CF_intake_inedible_impact_upper_bound (97.5th percentile)","CF_intake_inedible_impact_mean","CF_intake_inedible_impact_SD","current_intake_wasted_impact_lower_bound (2.5th percentile)","current_intake_wasted_impact_median","current_intake_wasted_upper_bound (97.5th percentile)","current_intake_wasted_impact_mean","current_intake_wasted_impact_SD","CF_intake_wasted_impact_lower_bound (2.5th percentile)","CF_intake_wasted_impact_median","CF_intake_unconsumed_wasted_upper_bound (97.5th percentile)","CF_intake_wasted_impact_mean","CF_intake_wasted_impact_SD"
"1","HIS","CED","MJ",-1.01713064585574,-0.986817493670782,-0.973367583486257,-0.992734420688477,0.0235963004256885,0,0,0,0,0,-1.01713064585574,-0.986817493670782,-0.973367583486257,-0.992734420688477,0.0235963004256885,-24.0282978801941,-23.4412415921295,-22.687489422549,-23.3827518091414,0.707504260478897,-0.746114782345127,-0.723907209294931,-0.714689010916723,-0.728464884618436,0.0170043207370524,-0.271015863510611,-0.262910284375851,-0.258678572569534,-0.264269536070042,0.00659914857383921,2.44194957079931,2.45539948098383,2.48571263316879,2.46131640800153,0.0235963004256886,1.46858198731305,1.46858198731305,1.46858198731305,1.46858198731305,0,1.830659324144,1.83987752252221,1.8620850955724,1.84443519784571,0.0170043207370522,1.11597031322728,1.11597031322728,1.11597031322728,1.11597031322728,0,0.611290246655311,0.615521958461628,0.623627537596388,0.616881210155819,0.00659914857383942,0.352611674085777,0.352611674085777,0.352611674085777,0.352611674085777,0,0,0,0,0,0,-0.271015863510611,-0.262910284375851,-0.258678572569534,-0.264269536070042,0.00659914857383921,0,0,0,0,0,0,0,0,0,0,0.611290246655311,0.615521958461628,0.623627537596388,0.616881210155819,0.00659914857383942,0.352611674085777,0.352611674085777,0.352611674085777,0.352611674085777,0
"2","HIS","FL","mrh-eq",-0.0325354095820139,-0.0316098488134054,-0.0308915370570153,-0.031682567765061,0.000867485023907432,0,0,0,0,0,-0.0325354095820139,-0.0316098488134054,-0.0308915370570153,-0.031682567765061,0.000867485023907432,-24.0282978801941,-23.4412415921295,-22.687489422549,-23.3827518091414,0.707504260478897,-0.0234544697688865,-0.0227876007641181,-0.0222923916075199,-0.0228478322897918,0.000613840374855939,-0.00908093981312737,-0.00882224804928729,-0.00859914544949542,-0.00883473547526912,0.000253806481249596,0.0827808663188586,0.0834991780752486,0.0844247388438571,0.0835718970269042,0.000867485023907423,0.0518893292618432,0.0518893292618432,0.0518893292618432,0.0518893292618432,0,0.0617886904886449,0.0622838996452431,0.0629507686500115,0.0623441311709168,0.000613840374855953,0.039496298881125,0.039496298881125,0.039496298881125,0.039496298881125,0,0.0209921758302136,0.0212152784300055,0.0214739701938456,0.0212277658559873,0.000253806481249598,0.0123930303807182,0.0123930303807182,0.0123930303807182,0.0123930303807182,0,0,0,0,0,0,-0.00908093981312737,-0.00882224804928729,-0.00859914544949542,-0.00883473547526912,0.000253806481249596,0,0,0,0,0,0,0,0,0,0,0.0209921758302136,0.0212152784300055,0.0214739701938456,0.0212277658559873,0.000253806481249598,0.0123930303807182,0.0123930303807182,0.0123930303807182,0.0123930303807182,0
"3","HIS","Food_price","USD",-0.52630711213149,-0.525201893703797,-0.501315362560295,-0.517208450645619,0.0148639594266737,0,0,0,0,0,-0.52630711213149,-0.525201893703797,-0.501315362560295,-0.517208450645619,0.0148639594266737,-24.0282978801941,-23.4412415921295,-22.687489422549,-23.3827518091414,0.707504260478897,-0.355228643462401,-0.354785443030167,-0.338225106953971,-0.349130307716496,0.0102016728787064,-0.171078468669089,-0.170416450673631,-0.163090255606324,-0.168078142929123,0.00466659312552553,1.23353258187474,1.25741911301825,1.25852433144594,1.24942566996007,0.0148639594266738,0.732217219314449,0.732217219314449,0.732217219314449,0.732217219314449,0,0.869368415303188,0.885928751379383,0.886371951811618,0.880273616065713,0.0102016728787064,0.531143308349217,0.531143308349217,0.531143308349217,0.531143308349217,0,0.364164166571557,0.371490361638864,0.372152379634322,0.369152053894356,0.00466659312552536,0.201073910965233,0.201073910965233,0.201073910965233,0.201073910965233,0,0,0,0,0,0,-0.171078468669089,-0.170416450673631,-0.163090255606324,-0.168078142929123,0.00466659312552553,0,0,0,0,0,0,0,0,0,0,0.364164166571557,0.371490361638864,0.372152379634322,0.369152053894356,0.00466659312552536,0.201073910965233,0.201073910965233,0.201073910965233,0.201073910965233,0
"4","NHB","CED","MJ",-1.14849581809364,-1.14641348677865,-1.11283505525388,-1.13536222354715,0.0210681397866235,0,0,0,0,0,-1.14849581809364,-1.14641348677865,-1.11283505525388,-1.13536222354715,0.0210681397866235,-33.2820207461048,-33.2257276188336,-31.6474440706153,-32.6916958921855,0.976736683551491,-0.838630828788663,-0.837548151671296,-0.812545382855578,-0.829155137040296,0.0155345570023602,-0.309864989304972,-0.308865335107356,-0.300289672398305,-0.306207086506852,0.00554054964384618,2.52725502297167,2.56083345449644,2.56291578581142,2.54978219126493,0.0210681397866231,1.41441996771778,1.41441996771778,1.41441996771778,1.41441996771778,0,1.88754292973911,1.91254569855483,1.9136283756722,1.90415268392383,0.0155345570023596,1.07499754688353,1.07499754688353,1.07499754688353,1.07499754688353,0,0.639712093232554,0.648287755941605,0.649287410139221,0.645629507341102,0.00554054964384593,0.339422420834249,0.339422420834249,0.339422420834249,0.339422420834249,0,0,0,0,0,0,-0.309864989304972,-0.308865335107356,-0.300289672398305,-0.306207086506852,0.00554054964384618,0,0,0,0,0,0,0,0,0,0,0.639712093232554,0.648287755941605,0.649287410139221,0.645629507341102,0.00554054964384593,0.339422420834249,0.339422420834249,0.339422420834249,0.339422420834249,0
"5","NHB","FL","mrh-eq",-0.0375537295693939,-0.0374278917250739,-0.0362165466042196,-0.0370470119789215,0.000777244516991571,0,0,0,0,0,-0.0375537295693939,-0.0374278917250739,-0.0362165466042196,-0.0370470119789215,0.000777244516991571,-33.2820207461048,-33.2257276188336,-31.6474440706153,-32.6916958921855,0.976736683551491,-0.0270391434444692,-0.0269714336081618,-0.0260664717925652,-0.0266776609838498,0.000571665634607363,-0.0105145861249246,-0.0104564581169121,-0.0101500748116545,-0.0103693509950717,0.000206146588584109,0.0850809941152463,0.0862923392361006,0.0864181770804205,0.0859114594899482,0.000777244516991574,0.0488644475110267,0.0488644475110267,0.0488644475110267,0.0488644475110267,0,0.0632935158764331,0.0641984776920297,0.0642661875283372,0.0639047050677177,0.000571665634607366,0.037227044083868,0.037227044083868,0.037227044083868,0.037227044083868,0,0.0217874782388132,0.0220938615440709,0.0221519895520834,0.0220067544222305,0.000206146588584115,0.0116374034271587,0.0116374034271587,0.0116374034271587,0.0116374034271587,0,0,0,0,0,0,-0.0105145861249246,-0.0104564581169121,-0.0101500748116545,-0.0103693509950717,0.000206146588584109,0,0,0,0,0,0,0,0,0,0,0.0217874782388132,0.0220938615440709,0.0221519895520834,0.0220067544222305,0.000206146588584115,0.0116374034271587,0.0116374034271587,0.0116374034271587,0.0116374034271587,0
"6","NHB","Food_price","USD",-0.773579161208346,-0.762093594612615,-0.743413735735715,-0.759569281531503,0.0160263417833497,0,0,0,0,0,-0.773579161208346,-0.762093594612615,-0.743413735735715,-0.759569281531503,0.0160263417833497,-33.2820207461048,-33.2257276188336,-31.6474440706153,-32.6916958921855,0.976736683551491,-0.523316888785097,-0.515615610513422,-0.502205592148748,-0.513612543814124,0.0112458066482662,-0.250262272423249,-0.246477984099194,-0.241208143586967,-0.245956737717379,0.00478666403279573,1.43995410986033,1.45863396873723,1.47011953533296,1.45610965565612,0.0160263417833495,0.696540374124618,0.696540374124618,0.696540374124618,0.696540374124618,0,0.998778069034535,1.01218808739921,1.01988936567088,1.01018502069991,0.0112458066482659,0.496572476885786,0.496572476885786,0.496572476885786,0.496572476885786,0,0.441176040825799,0.446445881338026,0.450230169662081,0.445924634956212,0.00478666403279576,0.199967897238832,0.199967897238832,0.199967897238832,0.199967897238832,0,0,0,0,0,0,-0.250262272423249,-0.246477984099194,-0.241208143586967,-0.245956737717379,0.00478666403279573,0,0,0,0,0,0,0,0,0,0,0.441176040825799,0.446445881338026,0.450230169662081,0.445924634956212,0.00478666403279576,0.199967897238832,0.199967897238832,0.199967897238832,0.199967897238832,0
"7","NHW","CED","MJ",-1.29827269586302,-1.28875670262448,-1.26555994221739,-1.28395643344253,0.0177120086018712,0,0,0,0,0,-1.29827269586302,-1.28875670262448,-1.26555994221739,-1.28395643344253,0.0177120086018712,-32.6091573963671,-32.2051345889933,-31.4305802028882,-32.0751235087367,0.630439487754021,-0.96316960919766,-0.956578072602614,-0.940462098243074,-0.953236164615072,0.0122967617143693,-0.335103086665364,-0.332178630021863,-0.325097843974318,-0.330720268827462,0.00541525595410675,2.74700074206373,2.77019750247081,2.77971349570936,2.76539723328887,0.0177120086018709,1.48144079984634,1.48144079984634,1.48144079984634,1.48144079984634,0,2.07148279060647,2.08759876496601,2.09419030156106,2.08425685697847,0.01229676171437,1.1310206923634,1.1310206923634,1.1310206923634,1.1310206923634,0,0.675517951457252,0.682598737504798,0.685523194148299,0.681140376310396,0.00541525595410702,0.350420107482935,0.350420107482935,0.350420107482935,0.350420107482935,0,0,0,0,0,0,-0.335103086665364,-0.332178630021863,-0.325097843974318,-0.330720268827462,0.00541525595410675,0,0,0,0,0,0,0,0,0,0,0.675517951457252,0.682598737504798,0.685523194148299,0.681140376310396,0.00541525595410702,0.350420107482935,0.350420107482935,0.350420107482935,0.350420107482935,0
"8","NHW","FL","mrh-eq",-0.0421421735325293,-0.0417238468776785,-0.0408066854502005,-0.041548817132897,0.000719047113916887,0,0,0,0,0,-0.0421421735325293,-0.0417238468776785,-0.0408066854502005,-0.041548817132897,0.000719047113916887,-32.6091573963671,-32.2051345889933,-31.4305802028882,-32.0751235087367,0.630439487754021,-0.0307391491297951,-0.0304465183332196,-0.0298171375540499,-0.03032836044459,0.000495940732709342,-0.0114030244027343,-0.0112773285444589,-0.0109895478961507,-0.011220456688307,0.000223123123666818,0.0933042169770518,0.0942213784045298,0.0946397050593806,0.0940463486597483,0.000719047113916894,0.0524975315268513,0.0524975315268513,0.0524975315268513,0.0524975315268513,0,0.0698714961925758,0.0705008769717456,0.0707935077683211,0.070382719083116,0.000495940732709328,0.040054358638526,0.040054358638526,0.040054358638526,0.040054358638526,0,0.023432720784476,0.0237205014327842,0.0238461972910596,0.0236636295766323,0.000223123123666819,0.0124431728883253,0.0124431728883253,0.0124431728883253,0.0124431728883253,0,0,0,0,0,0,-0.0114030244027343,-0.0112773285444589,-0.0109895478961507,-0.011220456688307,0.000223123123666818,0,0,0,0,0,0,0,0,0,0,0.023432720784476,0.0237205014327842,0.0238461972910596,0.0236636295766323,0.000223123123666819,0.0124431728883253,0.0124431728883253,0.0124431728883253,0.0124431728883253,0
"9","NHW","Food_price","USD",-0.721814389517539,-0.716923254623222,-0.69123410748926,-0.709625706468961,0.0172912113199495,0,0,0,0,0,-0.721814389517539,-0.716923254623222,-0.69123410748926,-0.709625706468961,0.0172912113199495,-32.6091573963671,-32.2051345889933,-31.4305802028882,-32.0751235087367,0.630439487754021,-0.491006236523395,-0.487363110837643,-0.470325937450507,-0.482663444977508,0.0116204393075628,-0.230808152994144,-0.22956014378558,-0.220908170038752,-0.226962261491452,0.00567549427914062,1.50709119164963,1.53278033878359,1.53767147367791,1.52548279062933,0.0172912113199491,0.815857084160369,0.815857084160369,0.815857084160369,0.815857084160369,0,1.06140786446982,1.07844503785695,1.08208816354271,1.07374537199682,0.0116204393075628,0.591081927019311,0.591081927019311,0.591081927019311,0.591081927019311,0,0.445683327179811,0.454335300926638,0.455583310135202,0.45173741863251,0.00567549427914047,0.224775157141059,0.224775157141059,0.224775157141059,0.224775157141059,0,0,0,0,0,0,-0.230808152994144,-0.22956014378558,-0.220908170038752,-0.226962261491452,0.00567549427914062,0,0,0,0,0,0,0,0,0,0,0.445683327179811,0.454335300926638,0.455583310135202,0.45173741863251,0.00567549427914047,0.224775157141059,0.224775157141059,0.224775157141059,0.224775157141059,0
"10","OTH","CED","MJ",-0.875185717953395,-0.873805256137709,-0.871461697544101,-0.873467327443701,0.00198173887265342,0,0,0,0,0,-0.875185717953395,-0.873805256137709,-0.871461697544101,-0.873467327443701,0.00198173887265342,-22.7729336067899,-22.5775671331849,-22.1212892376957,-22.4860192658571,0.352015161863128,-0.65370821436572,-0.651760573323283,-0.651388884568585,-0.652313539038279,0.00131127287045833,-0.222386520030874,-0.221447652049424,-0.219671272682568,-0.221153788405422,0.00145156106651994,2.31237865773022,2.31472221632383,2.31610267813951,2.31438428762982,0.00198173887265353,1.44091696018612,1.44091696018612,1.44091696018612,1.44091696018612,0,1.75256923336551,1.75294092212021,1.75488856316264,1.7534938878352,0.00131127287045793,1.10118034879692,1.10118034879692,1.10118034879692,1.10118034879692,0,0.559407884071764,0.56118426343862,0.562123131420069,0.560890399794618,0.00145156106651997,0.339736611389196,0.339736611389196,0.339736611389196,0.339736611389196,0,0,0,0,0,0,-0.222386520030874,-0.221447652049424,-0.219671272682568,-0.221153788405422,0.00145156106651994,0,0,0,0,0,0,0,0,0,0,0.559407884071764,0.56118426343862,0.562123131420069,0.560890399794618,0.00145156106651997,0.339736611389196,0.339736611389196,0.339736611389196,0.339736611389196,0
