Foodgroup,sex_gp,race_gp,age_gp,subgroup_id,population,Intake_unit,outcome,outcome_unit,X1,X2,X3
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,CED,MJ,4881480.05366017,4881480.05366017,4881480.05366017
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,Food_price,USD,10487104.7202003,10487104.7202003,10487104.7202003
added_sugar,Female,NHW,20-34,1,18192633,tsp eq/day,FL,mrh-eq,224609.07468267,224609.07468267,224609.07468267
oil,Female,NHW,20-34,1,18192633,g/day,CED,MJ,5501856.88583398,5501856.88583398,5501856.88583398
oil,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,3837682.94575975,3837682.94575975,3837682.94575975
oil,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,293309.075343999,293309.075343999,293309.075343999
sat_fat,Female,NHW,20-34,1,18192633,g/day,CED,MJ,15956750.4141891,15956750.4141891,15956750.4141891
sat_fat,Female,NHW,20-34,1,18192633,g/day,Food_price,USD,1888553.49047047,1888553.49047047,1888553.49047047
sat_fat,Female,NHW,20-34,1,18192633,g/day,FL,mrh-eq,415901.376928044,415901.376928044,415901.376928044
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,CED,MJ,1281301.23512032,1281301.23512032,1281301.23512032
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,Food_price,USD,2355741.32338201,2355741.32338201,2355741.32338201
added_sugar,Female,NHB,20-34,2,4596338,tsp eq/day,FL,mrh-eq,50365.2628681768,50365.2628681768,50365.2628681768
oil,Female,NHB,20-34,2,4596338,g/day,CED,MJ,1375563.01739523,1375563.01739523,1375563.01739523
oil,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,1028868.08496779,1028868.08496779,1028868.08496779
oil,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,70862.5956622057,70862.5956622057,70862.5956622057
sat_fat,Female,NHB,20-34,2,4596338,g/day,CED,MJ,3800517.11380644,3800517.11380644,3800517.11380644
sat_fat,Female,NHB,20-34,2,4596338,g/day,Food_price,USD,424214.291088771,424214.291088771,424214.291088771
sat_fat,Female,NHB,20-34,2,4596338,g/day,FL,mrh-eq,99577.5335787528,99577.5335787528,99577.5335787528
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,CED,MJ,1804027.17064995,1804027.17064995,1804027.17064995
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,Food_price,USD,2737519.36593433,2737519.36593433,2737519.36593433
added_sugar,Female,HIS,20-34,3,6549965,tsp eq/day,FL,mrh-eq,78198.3500902276,78198.3500902276,78198.3500902276
oil,Female,HIS,20-34,3,6549965,g/day,CED,MJ,2000573.25764656,2000573.25764656,2000573.25764656
oil,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,1356367.23151358,1356367.23151358,1356367.23151358
oil,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,103264.433770542,103264.433770542,103264.433770542
sat_fat,Female,HIS,20-34,3,6549965,g/day,CED,MJ,5975641.12818093,5975641.12818093,5975641.12818093
sat_fat,Female,HIS,20-34,3,6549965,g/day,Food_price,USD,880681.945757201,880681.945757201,880681.945757201
sat_fat,Female,HIS,20-34,3,6549965,g/day,FL,mrh-eq,163584.574936006,163584.574936006,163584.574936006
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,CED,MJ,1072944.6427268,1072944.6427268,1072944.6427268
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,Food_price,USD,2084219.04576671,2084219.04576671,2084219.04576671
added_sugar,Female,OTH,20-34,4,3878604,tsp eq/day,FL,mrh-eq,48778.9561160835,48778.9561160835,48778.9561160835
oil,Female,OTH,20-34,4,3878604,g/day,CED,MJ,1179189.13359773,1179189.13359773,1179189.13359773
oil,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,935185.842468623,935185.842468623,935185.842468623
oil,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,60354.1841565668,60354.1841565668,60354.1841565668
sat_fat,Female,OTH,20-34,4,3878604,g/day,CED,MJ,3339433.56606802,3339433.56606802,3339433.56606802
sat_fat,Female,OTH,20-34,4,3878604,g/day,Food_price,USD,428878.099974001,428878.099974001,428878.099974001
sat_fat,Female,OTH,20-34,4,3878604,g/day,FL,mrh-eq,88446.5679034358,88446.5679034358,88446.5679034358
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,CED,MJ,5478852.15589339,5478852.15589339,5478852.15589339
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,Food_price,USD,10730615.3843198,10730615.3843198,10730615.3843198
added_sugar,Male,NHW,20-34,5,19295314,tsp eq/day,FL,mrh-eq,224754.971460314,224754.971460314,224754.971460314
oil,Male,NHW,20-34,5,19295314,g/day,CED,MJ,5833841.7144631,5833841.7144631,5833841.7144631
oil,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,4144512.02738277,4144512.02738277,4144512.02738277
oil,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,299148.742054798,299148.742054798,299148.742054798
sat_fat,Male,NHW,20-34,5,19295314,g/day,CED,MJ,17317087.5265596,17317087.5265596,17317087.5265596
sat_fat,Male,NHW,20-34,5,19295314,g/day,Food_price,USD,1995200.25309686,1995200.25309686,1995200.25309686
sat_fat,Male,NHW,20-34,5,19295314,g/day,FL,mrh-eq,471295.984965547,471295.984965547,471295.984965547
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,CED,MJ,1189816.25565033,1189816.25565033,1189816.25565033
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,Food_price,USD,2131937.45447747,2131937.45447747,2131937.45447747
added_sugar,Male,NHB,20-34,6,4186659,tsp eq/day,FL,mrh-eq,46395.5666903892,46395.5666903892,46395.5666903892
oil,Male,NHB,20-34,6,4186659,g/day,CED,MJ,1267682.7580761,1267682.7580761,1267682.7580761
oil,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,428384.632908963,428384.632908963,428384.632908963
oil,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,62607.6807001094,62607.6807001094,62607.6807001094
sat_fat,Male,NHB,20-34,6,4186659,g/day,CED,MJ,3519120.08202359,3519120.08202359,3519120.08202359
sat_fat,Male,NHB,20-34,6,4186659,g/day,Food_price,USD,330126.921508887,330126.921508887,330126.921508887
sat_fat,Male,NHB,20-34,6,4186659,g/day,FL,mrh-eq,94699.6438871965,94699.6438871965,94699.6438871965
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,CED,MJ,1935069.18596469,1935069.18596469,1935069.18596469
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,Food_price,USD,3518791.17083161,3518791.17083161,3518791.17083161
added_sugar,Male,HIS,20-34,7,6886181,tsp eq/day,FL,mrh-eq,70777.5537677418,70777.5537677418,70777.5537677418
oil,Male,HIS,20-34,7,6886181,g/day,CED,MJ,2049093.27888511,2049093.27888511,2049093.27888511
oil,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,1049588.98946026,1049588.98946026,1049588.98946026
oil,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,107352.714910425,107352.714910425,107352.714910425
sat_fat,Male,HIS,20-34,7,6886181,g/day,CED,MJ,6195827.561552,6195827.561552,6195827.561552
sat_fat,Male,HIS,20-34,7,6886181,g/day,Food_price,USD,664052.932590406,664052.932590406,664052.932590406
sat_fat,Male,HIS,20-34,7,6886181,g/day,FL,mrh-eq,170815.265343167,170815.265343167,170815.265343167
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,CED,MJ,1071552.35156551,1071552.35156551,1071552.35156551
added_sugar,Male,OTH,20-34,8,3785306,tsp eq/day,Food_price,USD,1933271.00993352,1933271.00993352,1933271.00993352
